user_name,star,comment_time,geo_ip,vote,short
囍夭夭,4,2009-04-06 20:40:29,,5663,看到开头就知道结局，不过这并不重要，重要的是过程。。。最感人的不是赢得职位，而是在厕所里捂住儿子的耳朵。。。作为一名容易感情用事的中国观众，感动比励志对我来说更重要=。=
Zia,5,2009-08-09 19:33:17,,6738,如果能让自己不再为光阴被虚度，才华被耗尽而流泪，如果能让自己坚定，“我不要似是而非的人生，我要自己做的每一件事都刻骨铭心”，那么这场狂热便是得其所，记住这永远不是最差的人生。
水木丁,5,2015-03-08 15:31:34,,3584,虽然是个好莱坞励志片，但真正让我感慨的其实是，穷人想要翻身，真是太难太难了，他们大多数不是不努力工作，但确实是一根绳子勒在脖子上，压根没有喘息的机会，而且他们的孩子从出生下来就没有，毕竟不是每个穷人家的孩子，都足够幸运能有这么顽强，比别人聪明十倍的爸爸啊。
疤疤爸爸,5,2009-08-23 12:15:59,,2507,为毛不去天桥上乞讨？为毛不去地铁里乞讨？在我们这儿是这么办的。
半袖,5,2007-01-28 00:42:12,,2172,孩子母亲颤抖着说你会照顾好他；装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；“你是个好爸爸”，孩子说。看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。幸福在这里敲门了，可是那些没有被敲门的人呢？
天亮天黑,5,2010-11-10 20:38:55,,1168,生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》
小没,4,2008-02-12 19:07:33,,3658,我一直记得，有人对我说：当你迈过这个坎之后，你会发现，还会有什么不可以面对的困难。
小海,5,2012-04-04 18:24:29,,1132,想起来徐本禹说的那句话：”你穷，别人会同情你，但你一直穷，别人不会一直同情你的。“《幸福来敲门》虽然算不上是完美的励志片，但它至少教会我一点，不要把自己经历过的事儿当个事儿，即使能感动他人，这些也什么都不是。把这些扔在脑后，让生命爆发出战斗力，去击败一切，才是真正动人的感人故事。
曾经,4,2010-01-22 23:46:32,,1773,有点失望...感觉是为了励志而励志......要不是导演和演员功力，就沦落成俗套励志片了......
青猫,5,2008-02-17 16:59:01,,713,除了幸福什么都能放弃一定要幸福和自己喜欢的人在一起做自己喜欢的事
树木夕凉,4,2007-04-28 19:30:46,,773,失业时候看的，简直是催泪弹，WILL的儿子将来一定是块料，奥斯卡上看他跟小美女打闹，忒逗.
冲浪小子Z,5,2018-06-17 14:00:30,,526,老爸走了10年了，还是会常常想起他
lynn,5,2016-12-31 13:32:56,,292,Yougotadream，yougottaprotectit.Don'tletyourdreamsbedreams.
今天也没有猫,5,2018-02-05 14:56:42,,213,以前的英语老师推荐给我的，非常励志感人的一部影片，父子俩睡在厕所那一段至今印象深刻，逆境中的依偎和成长很打动人。
明天你好,5,2018-05-26 23:26:34,,189,爸爸为钱被政府划走而打电话时，儿子的表情很戳心，爸爸和别人争吵打架时儿子的哭泣很揪心……儿子看到了爸爸所有的窘迫，还好孩子只是孩子，转瞬就会忘记所有的困境，愿他的未来足够精彩！
luc1en,NaN,2009-06-09 01:25:45,,5181,不是幸福来敲门，而是死皮赖脸敲幸福家的门，直到幸福来开门
shield,4,2017-01-05 18:11:19,,211,就算身在阶级底层，父亲也极力让儿子相信世界并不是那么残酷无情，故事非常感人。
Over5,3,2009-01-11 20:48:02,,1492,睡在厕所的父子，有人被尿憋死在门外～哎～
Panda的影音,5,2011-10-10 20:42:58,,147,我们都不晓得幸福什么时候会来敲门？所以我们最好自己主动去寻找。
momo,5,2016-11-01 01:16:13,,115,really励志，很多时候，再艰难也要撑下去，因为更艰难的日子在未来。。。
EMMA,3,2008-01-25 08:48:30,,1172,不太喜欢里面说的有钱了代表幸福了，它的穷困与之后富有，只能说是不用为了钱奔波而已
张樾,4,2008-02-17 09:53:47,,200,总会找到一个上帝，端坐天堂。
荒芜,5,2017-03-12 21:17:26,,95,当你迈过这个坎，后面没有什么是过不去的。可如果当你翻过一座山。发现后面全是山。你还能坚持吗？现实远比电影更残酷。
某茶君,4,2007-01-25 01:07:18,,133,就算一个男人面临再窘迫的环境...他至少还可以拥有自尊...梦想以及明天...我也要守护好自己的理想...关于电影而言有些副线做的稍显简单...故事还有一定的潜力可以挖掘...
sharon,4,2017-03-19 22:39:56,,197,看到男主最困难的时候去捐血换吃食，带着西装上班，特别心酸，而这份难受的对比使得美好结局更激动人心
乌漆麻黑,5,2021-02-17 02:54:05,,70,前面的时候我会想，人生真有这么难吗；后面又在想，成功有那么简单吗；
朝暮雪,4,2012-08-18 01:16:50,,86,如果陪伴你我就无法工作，但如果工作我就无法陪伴你，那我还是陪伴你吧。
小熊娃娃,3,2009-08-23 00:29:04,,529,★★★[CCTV6]典型的美国励志片，有点假有点滥情，有些小细节不错。只是，我很反感这种“美国梦”、“成功梦”的模式，现代社会的骗局，只能把艰难的生活变得更艰难。
三井寿司🍣,4,2018-01-15 18:55:48,,104,这绝对是我看过的最温情的影片之一！片中父亲为了孩子能够吃上饭，一贯好脾气他与别人起了争执，不在乎自己挨饿，自己遭受白眼……只在乎对自己来说最重要的人。影片最后，父亲一身轻松走入人群中的镜头，让我想起来了朱自清的《背影》，一样的温暖。
斑斑点点,5,2017-03-12 14:07:10,,66,大学英语课看的电影。非常典型的好莱坞励志片。也很适合学习英语。
赤练的老公,4,2017-12-26 19:04:20,,116,前半段很绝望，后半段很励志。儿子的爆炸头好评。爸爸在绝境中一直努力，很振奋人心。值得一看
收尸中心阿姨,2,2010-04-09 12:22:13,,200,这部电影让我对史密斯的好感度直降。。。。
谢谢你们的鱼,1,2012-01-12 11:12:45,,283,忍不住再发一次，真的是一部让人忍无可忍的超级烂片，剧情就是，我们家很穷，我很有天赋，然后我和儿子过得很惨，煽情往死里煽情，然后结束，佛都有火啊，剧作上毫无价值与水平的片子，也难怪中国电视剧都又臭又长了，大家都喜欢模仿这种恶心的电视剧式电影。
叶洲,4,2008-07-06 22:57:15,,81,没有走国产教育故事的勤能补拙的谬论道路，突出了天赋+机遇+努力才能成功的道理
雨果,5,2016-12-29 12:37:30,,47,生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》
幕天席地,5,2017-03-04 09:00:55,,44,努力总会有回报吗？
大头绿豆,3,2008-10-17 01:01:14,,430,嫌假了点
花衬衫,4,2017-12-06 10:56:15,,50,记得以前高中的时候，全校晚自习统一播放，当时看完很感动，温情励志正能量，评分这么高也不无道理，确实算一部好电影，可能有一些不太合理的地方，但可以忽略，注重故事本身的内涵。
