user_name,star,comment_time,geo_ip,vote,short
malingcat,5,2010-10-30 00:12:19,,9972,八公的主人，也在天堂的门口等了它很久吧。
汪拾叁,5,2010-02-06 20:02:14,,7930,这真是漫长的一生啊，八公。
shu,5,2010-02-14 23:07:02,,6673,Hachi就是爱一个人过一生了。
倪娜,4,2010-02-06 19:55:52,,7962,被狗狗的一往情深击倒，和老公两个哭得稀里哗啦。今天抱着家里的狗亲了一天。
farmyra,5,2010-02-05 14:36:08,,5217,动物是我的死穴...从头哭到尾..
神迦乐小舞,5,2010-02-06 13:48:18,,4441,这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。
影志,5,2010-02-10 23:56:48,,4011,“永远都不能忘记你所爱的人”狗尚如此，人何以堪？5星给动情的真实故事。
Y,5,2010-02-17 02:49:17,,3870,“等有一天它会给你捡球的时候，一定有什么特殊的理由”八公用这种方式来告别了他的主人....
玉米鸡蛋小笼包,5,2010-02-06 00:11:23,,2972,纸巾抽到还剩最后一张
战国客,3,2010-02-28 00:51:04,,798,感动你们的是电影，还是故事本身？
浑浊儿,4,2010-02-09 17:36:57,,3913,你要养狗，就不能当它是guest，十年可是一只狗的一辈子
Kelly光。,5,2010-02-07 01:55:37,,2942,哭死啦...想去涉谷看看那尊雕像...bytheway，那个帅老头我好喜欢...!!!
塔塔,5,2010-02-21 10:51:04,,2913,这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道
饭岛蜗牛,5,2010-02-06 02:15:48,,1000,....明早眼睛又肿了
大头绿豆,3,2011-08-12 16:00:59,,309,散乱不堪，俗不可耐。如果没有那只秋田犬的表演，根本是浪费时间；即使有了它的表演，也还是浪费时间。
chaaaaad。,5,2010-02-23 16:57:18,,468,狗比人更有情意。我们若是怀念一个人，也许只有短短一段时间。
゛婷滞吥偂﹏,5,2010-02-07 14:22:56,,420,任泪纵横。。。
bekey,5,2018-01-23 18:11:42,,478,手法细腻独到，却又慢慢渗入人的情感，感动、悲痛、泪流，直至成伤。这个世上最厉害的武器，从不是伤害，而是温暖，你的心都掏空了。而我们又甘之如饴，我们终究是孤独的个体，需要爱和暖。
ZWW,5,2017-09-10 22:45:31,,130,热泪盈眶
接十分钟的吻,5,2018-01-20 03:31:49,,205,还记得全班一起哭的震撼画面，等待教授对八公来说是一种幸福
城南草木生,4,2010-03-31 23:12:47,,1882,你和我在一起两年，你走之后，我剩下的人生都留给你了。。。
Jiong,4,2010-02-21 06:06:59,,1402,所以说，与人打交道越多，就会越喜欢狗
愿赌服输,5,2018-02-06 10:22:31,,374,在狗狗的世界里，认定了你，就是一生一世，泪目。
滚滚的麻麻,5,2017-08-15 00:30:45,,128,看的时候哭成狗，心痛的不行。
橘生淮北,5,2018-01-04 09:11:04,,296,hachi的后半生都在等待，暴风哭泣。
待城,5,2017-01-02 14:15:48,,185,生与死的距离，对于一条狗来说，它无法参透，它只相信，他的主人会回来。它的生命如一注流水，一点一点在车站的青石台上年复一年地流逝。作为一只狗，它有它的原则，不离不弃，不论生老病死。它卧在那里，十年，透彻成一种风景。死生契阔，与子成说。
梦询,5,2018-01-11 15:36:39,,75,感人致深，哭死我了。值得回味，发人深省。
👹天神的审判,5,2018-03-04 11:29:15,,88,看完后觉得狗狗演技好棒！这狗狗太通人性了，和主人的感情太好了！哪怕后来主人去世后它每天都要去车站等主人接主人而且是不管刮风下雪，真的很让人感动，看完这片子后我都想养只狗狗了
Mr.lonely,4,2010-02-07 12:34:13,,1134,催泪大片，排毒良品，超憨的秋田犬，还有久违的理查基尔兄
雨果,5,2016-12-23 19:06:33,,222,秋田犬不会像其他犬种一般讨好邀宠于主人，自古便作为人类伙伴与同盟者的它们，自信高傲，绝不委屈自己。小小的八公在火车站遇上教授帕克，这就是天授的缘分，他们是朋友也是家人，注定一辈子不离不弃，相扶相守（最后八公在车站门口想着教授慢慢死去的情景太感人了）。
同志亦凡人中文站,4,2015-05-01 03:55:30,,615,看完只有轻飘飘的感动，故事性还是太弱了些。人类真无耻，主演表排第一位的为什么不是八公？！
赫恩曼尼,5,2014-11-23 09:59:10,,106,存了好久的片子终于鼓足勇气看完。最怕这种嘲讽，人在无尽的生命里早早学会遗忘，狗短暂的一生只懂得一个道理——终始如一。
