user_name,star,comment_time,geo_ip,vote,short
胡克,4,2010-12-07 00:25:43,,13452,某山渣树怎么好意思说自己是史上最纯？？！！！！！这个真打动我了。。。女孩是第二眼美女！！！！！！！！！！
不流ᝰ,4,2010-12-18 12:27:04,,6183,上学的时候早恋，父母反对；上班了不恋爱，父母反对。你真是羡慕人家老外啊。
鹿 卡,5,2010-11-28 22:39:46,,17071,外公说的话：有些人浅薄，有些人金玉其外败絮其中，但是总有一天，你会遇到一个绚丽的人，她让你觉得你以前遇到过的所有人都只是浮云。片尾曲Everlybrothers的Letitbeme很好听。
❤yone.小米,4,2010-11-28 21:09:59,,5130,篮子男孩，好萌的活动，怎么我们学校以前没有啊！
图灵莉莎,5,2010-12-02 10:41:07,,15358,我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。
Esse,5,2010-12-03 21:13:45,,13381,当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……
黄青蕉,4,2012-11-18 22:07:57,,3306,斯人若彩虹，遇上方知有
熊大柚小內內,5,2010-12-01 10:49:29,,7198,………………我能給十星嗎！
七沐妹妹,4,2018-01-31 10:48:17,,2898,一连看了两遍《怦然心动》，真的是怦然心动。一对小孩，一棵树，特别简单的故事，讲得荡气回肠。我感触最深的一点是：女生十来岁就有超脱的自省意识，审视自己爱的人到底值不值得爱。一旦触及她的自尊，立刻决定放弃这个男生。我们文化里的“爱”，似乎都要低到尘埃里，舍弃自尊才叫爱，犯贱当真爱
Doublebitch,4,2010-11-26 14:00:57,,1961,赤果果的早恋啊！在天朝肯定要被禁！
桃色響尾蛇,5,2010-11-24 13:08:03,,6290,萌死我算了，男主太帅了吧！
abby,4,2010-11-23 23:46:44,,1380,越看越觉得自己真是老了。。。。。
狷介有乌青,5,2010-12-12 16:52:05,,5775,当她在他身边蹦跶乱窜，他始终不屑一顾。当他意识到原来自己的眼神早已无法离开她时，她已优雅、自信、美丽得如同女神一般。
浅。,5,2010-12-18 16:39:03,,4870,Someofusgetdippedinflat，someinsatin，someingloss.Buteveryonceinawhile，youfindsomeonewho'siridescent.Andwhenyoudo，nothingwillevercompare.有些人浅薄，有些人金玉其外而败絮其中。有天你会遇到一个彩虹般绚丽的人，当你遇到这个人后，会觉得其他人只是浮云而已。
Phyllis,5,2010-11-25 14:30:55,,4927,Flipped，怦然心动，喜欢这个翻译的片名，就像第一次看到那棵树上的美景，就像第一次看到你闪亮的眼睛，那一瞬，就莫名心动了
大奇特(Grinch),5,2010-12-02 23:53:46,,2256,罗伯.莱纳强势回归！手法流畅洗练，丝毫没有落入俗套和滥情之处。对两小无猜的男孩儿/女孩儿巧妙地互动关系下，呈现出他们不同的性格、观点与差异，旁白充满纯真、幽默和浪漫，在两者巧妙地互动关系下，也对成长有了一番细腻的描绘。男女主角很萌，一个像莱昂纳多，一个有娜塔莉波曼的气质~
tina,5,2011-03-05 15:05:14,,2139,爱情是树不是花。
肖浑,5,2010-12-10 19:06:19,,2197,这算完美吗？小镇美景、帅正太、酷萝莉、家庭温情、成长点滴。。。双线结构，视角切换，细节丰富，过程明晰。。。爱就该是这样悠悠扬扬、婉婉转转、一阵冷、一阵热、一阵抽风、一阵颤抖的过程。。。睿智外公和脑残叔叔是惊喜。。。爱到最后拼的果然还是人格魅力啊。
yuci2,5,2010-11-29 11:39:19,,1787,可能比山楂树还纯哦！
九尾黑猫,4,2013-03-26 23:33:49,,831,希望每个人都能遇到这样的女孩，吻醒那些腐朽的心。
Q。,4,2010-11-30 13:06:25,,702,"“IblessthedayIfoundyou.""有人或许会认为这种以独白为主和双角度的叙事表现方式会降低故事的感染力，但我却十分喜欢这种表现形式。故事虽然单薄，也很模式化，结尾也略显仓促，但看过以后是绝对不会想要给予低分的。Btw，字幕后那段钢琴曲太美妙了。★★★★☆"
UrthónaD'Mors,5,2010-12-02 00:36:55,,856,真好，两小无猜只是相知过晚。如果你遇到像彩虹一般的ta一定要抓住并珍惜！有些人浅薄，有些人金玉其外败絮其中，但是总有一天，你会遇到一个绚丽的人。ps片尾曲Everlybro的歌词真好，虽然我不相信永远不过如果我可以和相知的ta在一起的话，那么我希望那个人就是我。这片感觉到就够了
荔枝超人,2,2010-12-12 22:42:08,,446,干脆去电台朗读小说就好了。
刘一涵,3,2010-12-16 18:40:10,,1094,事实证明，很多人还是喜欢绣花枕头的
桃桃林林,4,2010-12-05 09:16:04,,474,很喜欢《伴我同行》，罗伯·莱纳在蛰伏了差不多20年之后，终于又回到了他的童年故事。关于回忆，关于金色的美好时光。初恋的故事。那些小感动，他始终有一手。
ssxy,5,2010-11-25 23:19:20,,674,真好小鹿乱撞啊
赫恩曼尼,4,2012-06-29 14:38:45,,512,学着像这个小姑娘一样有尊严地爱。不过最打动我的还是那句，总有一天，你会遇见一个如彩虹般绚烂的人；到那个时候，你会觉得之前的都是浮云。
抖啊抖,4,2011-02-12 02:16:37,,351,我想任何一段感情都是有时差的你先注意到我把我默默看在眼里和我很久以后才确信你是唯一的最好的只想要度过一生的人很多年后你跟我随意谈起那些我从不自知和早已遗忘的琐碎细节我想起当时自己是如何把所有心思都花在另一个人身上而仿佛被施了障眼法时间看似残忍却默不作声地容忍我们暂且做伴
亵渎电影,4,2011-01-02 00:39:34,,339,结局过于仓促了点，但过程却是那种的清新而美妙！遇到一个对的人那种瞬间悸动被导演还原了，再次带观众清纯年轻了一次，回想那一年的怦然心动！★★★★
刷鞋大王,2,2018-08-03 21:56:50,,153,校园青春片的一股清流。只是我既没怦然也没心动，不明白为什么会被捧上天
苏更生,3,2010-12-03 09:58:50,,537,什么乱七八糟的心动……小孩的幼稚你就以为是爱情了……家庭的温情和励志不就好莱坞的那些老一套嘛。。。。。。。
亚比煞,3,2011-03-10 18:27:18,,273,很纯的故事，也许是太纯了，所以让我喜欢不起来，总让我联想到心灵鸡汤，读者之类的故事，中间有几个小波折，最后是励志的皆大欢喜的结尾。不痛不痒，也看不到新意和发人深省的东西。难道是我心理太阴暗，太挑剔？我宁愿要看血肉模糊的现实。
米姐起飞,4,2010-12-09 15:29:23,,359,当他爸爸画了棵大树扛到伤心的她面前，我哭了呢~
lowdive,5,2010-12-24 15:08:29,,717,我想对我将来的儿子说，你可以14岁的时候就恋爱，但你喜欢的女孩一定要像JuliBaker一样。
朝暮雪,4,2013-11-07 12:52:36,,184,叙事手法很赞，同一件事在不同人的眼中可能截然不同。
mon babe,5,2010-12-05 20:17:37,,828,又一部让我痛哭流涕的片子。让我想起Melody，以及一切怀有美好情感的故事。我羡慕朱莉安娜的家庭，听到兄弟俩完美的和声，当时就落泪了；我羡慕她有一个好爸爸，为她画下心爱的梧桐树。更羡慕有一个布莱斯那样的可爱男孩，最后慢慢的意识到自己喜欢她。原本没怀有期望，可是，在童话面前，我输了
顾盼,4,2018-01-25 17:56:20,,184,有趣的内心比美丽的外表更有魅力。唉，老夫的少女心…
不良生,4,2012-05-24 08:27:28,,156,某段时间我们都是那个少女，某段时间我们都是那个少男。
沉歌,5,2010-12-23 01:44:27,,557,这女孩让我想起了十几年前的老电影《小丫头》里的女主角——越看越觉得这男孩根本配不上她，好想成为这样的女孩。
影志,5,2010-12-05 14:44:20,,483,融入了一切我喜欢的电影元素，画风怀旧，演员超萌。60高龄的导演罗伯·莱纳在2010年奉献了一部极像是80年代电影的「两小无猜」式爱情小瘙痒，不及《伴我同行》深刻，却同样令人“怦然心动”。
尽欢,4,2018-01-25 17:51:54,,121,在最好的年纪遇到你。电影中的场景，色彩，人物都很美。喜欢女主多一点。
马赛克,2,2010-12-08 20:53:56,,81,尴尬肤浅的低幼小清新，这种片在你瓣也能捧上天
杨东,3,2021-01-02 00:02:25,,194,这部电影为什么能那么高分呢，不太懂，剧情不算很出彩，女主也不是我喜欢的外貌。不过男主倒挺像小李子小时候的。不错的小朋友恋爱片，但应该没那么高分。
韦思嘉,5,2016-06-07 12:48:37,,352,女主角这种类型的姑娘，以后一定会长成参天大树保护周围所有人的，男主太囊了，但是架不住皮囊太好啊，如何不喜欢。
小十三,4,2017-12-30 23:43:45,,265,看了三遍，每年都会拿出来看，起初觉得男女主一定要在一起，为什么男主这么别扭，到现在，觉得其实有没有在一起又如何，成长才是最重要的吧，看人不是凭一时冲动，学会全面的认识那些对自己重要的人，才是本事
苏午饭,4,2018-01-25 20:45:42,,77,好久好久之前看过已经忘了具体的剧情了只记得那段美好的感情叫做“怦然心动”
战国客,4,2010-12-12 21:51:41,,88,如果当年我上学时有“篮子女孩”的活动，又会怎样？……哈哈
大宸,4,2010-12-01 09:55:56,,76,美国小清新罢了，CallanMcAuliffe真是帅气...
滚滚的麻麻,4,2017-08-15 00:39:36,,64,清新自然，不过我这样晚熟的人，不容易代入孩子们的小世界。
bekey,4,2018-03-24 22:45:13,,87,今晚刚看完，分别从男女主角的视角出发将初恋的那种感觉细腻的表达了出来。女主洒脱开朗，男主内敛沉静。但是当爱前后来到时，他们都表现的很勇敢，觉得挺难得的。不喜欢的一点是男主一家太小家子气，尤其是他的爸爸，很想知道为什么对音乐有那么大的成见及希望交代一下他那么有优越感的原因。
蚂蚁没问题,5,2010-12-13 19:14:17,,357,譬如说女追男然后女的放弃然后男的突然开窍了开始反追然后女的拒绝然后男的继续无所不用其极然后你来我往几个回合最后皆大欢喜在一起的情节其实隽永美好的跟灰姑娘也快差不多了，我最喜欢也不是那句好莱坞俗套一般的“有天你将遇到一个人巴拉巴拉”，而是小孩儿应该怎么正能量的长大，遇到爱情也不卑微
葵花卷,4,2012-04-11 09:02:49,,102,有人住高楼，有人在深沟，有人光万丈，有人一身锈，世人万千种，浮云莫去求，斯人若彩虹，遇上方知有。
grace-xhu,4,2018-02-27 09:48:25,,63,很纯爱的电影，两个小孩子其实从见面的第一眼就注定会喜欢对方，只不过因为性格的原因，小女孩比较主动，而小男孩后知后觉。还是很美好的。
同志亦凡人中文站,5,2011-06-25 14:35:56,,243,让人怦然心动的青涩童年
酒鬼一家小迷妹,5,2018-01-20 18:25:27,,171,女孩之于男孩，就是那个彩虹般绚烂的人，虽然我是女的，但是也想要个善良，真诚，有主见如女主的小青梅啊。一部处处有哲理的温情片，强烈推。
毛利,3,2011-01-04 23:56:34,,197,一个暗恋女苦尽甘来的故事，美式罐装心灵鸡汤，看来很多人都喝high了。
TORO VAN DARKO,4,2010-12-01 10:33:55,,39,莱纳继《伴我同行》后再度讲述上世纪六十年代的成长故事，只是这一次是关于爱情。影片的双线旁白在最后合二为一煽情效果不俗。不过之前对两人情感纠葛过多的描述稍显拖沓。“整体和部分“不止存在于人身上更是在生活中，至于结果是谁大于谁，是由我们自己决定。一个如此萌的正太站在面前，谁不会心动？
橐龠,5,2018-02-22 16:24:44,,99,看完真的很有触动，初恋原来是那个样子，而且国外人举办那个活动也好有意思，尽然可以拍卖对象。拍得真不错呀
蓝色啄木鸟,5,2017-01-08 20:34:04,,63,偶然看到的剧，意外的好看，浓浓的美式乡村小清新纯爱剧，中英文版都看了一遍。外国小男生小女生好早熟哦，学校还安排这种与喜欢的男生独处时间的拍卖，场面蛮搞笑的！男主颜挺正，眼睛很好看！女主是童星拍了不少温情片，演技超厉害，很有灵气，期待他们的成长！
吃薯片的猫,5,2012-06-12 12:35:35,,53,非常温暖的一个片，看完心情很好
