user_name,star,comment_time,geo_ip,vote,short
齊克斯尼力佐飛,4,2010-05-26 23:51:38,,12358,如果知道女朋友爱上我是因为我像她曾经爱着的人，我会崩溃
战国客,4,2007-07-14 09:05:26,,13839,暗恋的极致
伊卡洛斯,5,2011-09-13 18:49:26,,28259,那些没有开口的告白，最终还是让你听见了。
林愈静,3,2006-05-02 11:10:50,,3066,2000年，本人看得第一部文艺片，当时不知道啥是文艺片，表面上洋洋得意，认为自己算个文艺青年了，内心里无比的可惜那一块钱，因为本来是租《唐伯虎点秋香》去的。被人租走了才不得以看《情书》
沉歌,5,2007-07-12 10:04:13,,9460,关于藤井树的种种回忆，是你拥有的，我把它寄还给你。
丁一,5,2011-01-18 20:10:55,,8320,经不住似水流年，逃不过此间少年，彩云易散琉璃脆，水仙已乘鲤鱼去
果酱☮,5,2007-01-02 20:29:46,,8237,无论如何都会流下热泪的电影，五星又怎么够！
减肥书法家,5,2021-05-23 13:21:38,,7176,一个英语考27分的人哪会在意什么break的过去式
宅蘑菇Moku,4,2015-01-20 19:24:40,,5313,「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色
AllenGY,5,2008-05-24 11:13:53,,6743,不好意思，这么多年了，我就靠这个活着了。
荞麦,5,2014-12-20 20:40:18,,5160,不知道为什么一直没看一直没看……四个主演竟然全部都是双鱼座……所以真是一部极其双鱼的电影……暗恋的极致……但导演却是水瓶座……
隆咚锵,5,2007-02-26 01:07:49,,7058,翻过来的卡片，肖像，是初恋回忆的完美情书
陀螺凡达可,5,2011-12-28 04:09:16,,6133,最后卡片翻过来后，我真的哭了。
刘嘉玲（e人版,5,2021-05-20 15:44:15,,4017,十年都没有第二个人借过追忆似水年华只能说这本书真的很难读
嘉沐難再續.K,4,2008-02-14 08:57:16,,6118,总是点到为止的岩井俊二.
海盐小圆饼干,3,2021-02-17 22:49:08,,2411,真的救命啊看得我满脸问号，我无法理解电影的展开方式，暗恋的细腻美好要从发现自己是白月光替身的这种角度来切入吗🆘
朝暮雪,4,2012-08-18 01:40:46,,3735,查来查去，最后查出自己原来是替代品。
杜边生,4,2007-11-17 03:21:14,,3519,从相恋开始准备看，分手后真的看成了
岛上的夏奈,5,2010-11-13 22:08:26,,5374,这个人偷偷爱了你大半辈子
清歌墨苒,4,2017-01-06 21:39:58,,2867,永远忘不了柏原崇倚在窗口的样子，他拿着一本书，低着头看，窗帘在他身后轻轻飘荡，抬起头，我看到了这个世纪末的美少年的干净美好。《情书》的就是经典的岩井俊二摄影风格，此后很多爱情片都有借鉴他的取景和摄影风格。
大头绿豆,5,2005-09-04 11:43:30,,4296,你好吗？我很好。你好吗？我很好。你好吗？我很好。
进宝,3,2012-06-09 16:46:06,,1601,生命只是一连串孤立的片刻，靠着回忆和幻想，许多意义浮现了，然后消失，消失之后又浮现。——普鲁斯特
巴乌,5,2006-04-23 23:07:15,,3407,也许每人都有似曾相似的故事，逝去了才追悔莫及。
哪吒男,5,2016-08-11 01:54:45,,2033,所有人都执迷于“爱到你”时，《情书》重拾“爱你”的清甜隽永。
焚紙樓,3,2017-10-10 00:29:59,,938,當她的遺憾終於放下，另一個她的遺憾卻才正要展開。重看發現自己記錯了結尾，記憶中的藤井樹站在玄關讀完了那張書卡，立刻嚎啕大哭不能自己，重看卻發現她不在玄關也沒有嚎啕，而是僅僅掩嘴含淚。這麼明顯的情節，怎麼就記錯了呢？還是，那個曾經嚎啕大哭的，其實是我自己？
毛利,2,2006-11-21 20:15:54,,2330,不喜欢这部电影，看得我要睡着了
Busycon,5,2021-05-21 01:03:42,,1244,看小说的时候我以为震撼我的是卡片背后的素描，未置一词但一瞬间所有的爱意倾泻。看电影的时候我发现最震撼我的是卡片上反复描摹的名字。因为寡言所以隐秘，虽然隐秘却盛大：图书馆里满是我给你的情书，无数人可以见证，但只要我不说，你就永远不会知道。
紫苏バジル,4,2013-10-31 21:10:45,,1978,“所以我多能明白男藤井的心情，我能想象他握笔的角度，写字的力度，倾慕的浓度，仿佛要把爱恋全都揉进“藤井树”这三个字里。”用回忆的手法写初恋是最好的，因为他过滤掉无谓的细节，只余下白色的窗帘后，那个身影若隐若现的少年。
危楼大海,3,2020-03-03 18:10:12,,890,用一个男人的死亡、一个作为替代品的男人的包容，一个作为替身的女人的悲哀和一个女人半生的迷茫表达了一种叫做暗恋的情绪，我是不理解的，用我的三观来看，这是个悲剧，但诚然能表达清楚这样一种人类的情绪，也是不易。。。，
芥末小馒头,4,2006-06-20 10:55:11,,1076,古典的爱情，死亡隔绝了爱与恨
刷鞋大王,2,2021-04-30 01:49:16,,815,太适合催眠了，老土的青春校园暗恋看得人又尬又困。。。博子真是娇妻本妻，都知道自己是替身了还一个劲舔，求婚被晾了俩小时居然还感觉抱歉，在雪山前大喊“我很好”的时候简直能尬出雪崩了，人家根本不care你好不好，到底在这自我感动个什么劲啊。。。还有她现男友，存在的意义就是和她比赛看谁更尬吗。。。
Ex,1,2006-06-12 03:10:04,,1259,做作，太做作了，毫不留情的打个很差.
小岩井,5,2014-11-16 19:27:09,,1448,这样的电影，就是为了一些特别的夜晚存在的，或名怀念，或名逝去，皆是难眠。
Connie,4,2006-01-20 03:02:41,,612,当年曾经多么叹服于奇巧的构思.....后来才知或许并非全是岩井君的原创.....（参见汤祯兆《糖衣下的苦涩》）
最后的时间领主,5,2021-05-20 15:50:11,,743,渡边小姐出于爱，向逝者寄出的信得到了回音，这本身就是爱能跨越死亡的一个美好象征。同样地，藤井小姐在最后发现了尘封的初恋证明，恍然大悟，一时激动地不知所措，可见爱再一次超越了生死，被人喜欢是一件多么温暖幸福的事情。更令人感慨的是，两位女性身上都体现出了无私的大爱：藤井小姐因善意而毫无保留地向一个陌生人分享着自己的回忆；渡边小姐则在最后将所有的信件都归还给了自己的“情敌”。她们的身边也都有着爱她们的人，不管是陪伴渡边博子的秋叶先生和祝福他俩的暗恋女子，还是雪夜里背着藤井树蹒跚前行的爷爷和妈妈。面对着“死亡”这一人生难题，难以直面未婚夫之死的渡边小姐，最终向着山谷高喊“你好吗？我很好”；因父亲之死而对医院产生阴影的藤井小姐，最终在医院醒来时喃喃道“你好吗？我很好”。《情书》真的是很温柔的电影。
