user_name,star,comment_time,geo_ip,vote,short
Yanisk,5,2011-12-29 12:12:24,,4343,如果没有办法想起他什么样子，就试着想想和他共渡的时光。
魏无忌,5,2008-07-06 23:23:52,,3867,战争电影No1，美利坚精神输出大片。
容安,4,2011-02-28 22:41:26,,4438,厄本这个角色很有意思，懦弱，非常懦弱，还有一种可笑的浪漫和无知的善良。他才是你我他，对战争的残酷抱有一种可耻的畏惧，并对其有好心的幻想。可惜事实并非如此，战争就是你死我活，战争是考验勇气的时刻，而非善心。胆小的也许能活下来，但在战争中，你已经输了。而那些死了的勇士，他们才是胜利者
Obtson,5,2011-01-15 19:00:58,,1361,真正意义的大导大片，开场的抢滩和结尾的瑞梅尔血战机位控制臻入神技，牛逼的主次特写像一位幸存的二战联盟老兵啐着唾沫在回忆戎马。瑞梅尔的残破桥头，米勒上尉的身后是无尽残阳，他的面前是这个略显荒谬任务的完结，他的面前也是詹姆斯瑞恩的明天。
.Aмаиdα.,5,2008-03-30 23:21:14,,1758,我心目中的永恒经典。不知道集结号借用了他多少情节。反正不少。
垂緌饮清露,5,2017-03-17 16:12:56,,901,场面恢宏。曾经和老公探讨过，为什么付出那样的代价去营救一个人，是否值得！这和中国所宣扬的价值观有些相反。集体和个人，谁更重要？他说，米国这样做，是让每个上战场的士兵知道，他们永远不会被抛弃！对比冯小刚的集结号，看完心里堵得慌！
影志,5,2005-08-24 07:22:25,,1066,看到结尾Hanks无力地对着迎面驶来的坦克，内奔……
托尼·王大拿,5,2014-12-19 02:54:12,,602,那些近乎白描式的战役刻画，真实而震撼；米勒中尉不由自主颤抖的手，是那时每个如棋子般无法控制自己命运战士的写照；在更高层面上的人性与伦理的探讨，其实已经无关紧要。
###疼,5,2010-12-04 18:06:38,,273,有一個小細節我很喜歡...將要下雨的時候..鏡頭給了湖水，葉子..水滴一滴一滴地落在湖水上，，之後變得密集..就好像槍林彈雨前的感覺，，，好佩服皮爾斯伯格對電影的構思和湯姆漢克斯的演技，，一部偉大的作品!
赫克托尔,5,2008-04-23 17:34:16,,466,让我感动得哭了.
L.,4,2012-10-20 20:27:09,,3183,为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。
边边,4,2010-05-30 02:26:55,,2590,小狙太冷静了，太帅了！
霍尔顿狐狸振作,4,2007-11-22 01:38:44,,1398,其实……我并不赞同这部片子所宣扬的精神……
烬。,5,2018-04-16 11:46:38,,198,比血战钢锯岭高出10个段位。其实剧本还是很工整的，有些匠气的痕迹，但是节奏快慢的间歇拿捏的特别好，剧本台词超棒，细节对于人物形象的凸显到位。没有说教，没有煽情，只有人物与情节的推进，好电影。最爱战争前那段休息时刻，生死关头前的平静祥和，惨烈前的美好，最令人心碎。
