user_name,star,comment_time,geo_ip,vote,short
sherry Q,5,2006-04-20 13:46:40,,5776,于我，魔戒永远是不可逾越的史诗。
Nakedself,5,2006-05-17 15:58:25,,2503,在拒绝好莱坞N年后，一次意外的走入影院，我成为了LOTR的死忠，总有一个绿衣服的弓箭手在眼前晃悠，我冒着花痴般的笑容，历史就此翻开了崭新的一页。
影志,5,2005-08-24 07:20:11,,3460,甘道夫掉下桥的那一刻，真的落泪了…
颜良辰,5,2010-03-05 00:17:22,,3421,每次看魔戒都会被奥兰度惊艳到~
YLXC,5,2021-04-18 13:17:02,,1506,波洛米尔牺牲的时候，就是人类找回高尚、荣誉和希望的时刻。
阿底,3,2008-12-08 12:46:11,,1093,太长了。看得我昏昏欲睡。
邹而复始找寻,3,2009-08-16 02:29:03,,385,再看一遍终于理解小时候没看明白的原因了故事冗长曲折情节还没加勒比吸引但不得不说画面实在很美
死鬼,5,2018-03-14 08:40:50,,1112,无限的生命并不能给精灵带来永恒的快乐更残酷的是让他们眼睁睁看着身边的美好一点点消逝或许有限的生命才是命运之神对人类最大的眷顾我宁愿和你度过凡人短暂的一生也不愿一个人看尽这世界的沧海桑田
芳菲弥章,5,2021-04-18 16:49:23,,867,看过几十遍了，新西兰去过了，weta去过了，取景地去过了，正版碟买过了，周边买了一堆，原著买了三个版本，电影设计📖也买过了，20年后来补上电影票，真的好好看啊，20年也没有什么什么片子可以取代你
眼角的花朵,5,2008-06-24 18:37:07,,866,人性与其他生灵都有自身的脆弱性，所以，即使是选择了善，也有可以脆弱导向其他的方向，就像森林女王。更可怕的是，用恶的手段达到善良的目的，本质上的以毒攻毒，以恶抗恶，就像人类国王贡多的儿子，都是人类信念不够坚定，内心的力量越来越弱时产生的。
张天师,5,2007-04-02 13:01:40,,1128,只为~～奥兰多布鲁姆
束,4,2007-11-22 02:58:00,,1713,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。
庄小龙也有尾巴,4,2017-08-11 13:23:09,,1148,场景好美！！特效好棒！！但是剧情我真的不是很感冒，差点看睡着了。
艾小柯,5,2006-06-16 01:38:11,,646,Alltimefavorite!
Layoo,5,2021-04-23 23:20:47,,450,重映后，居然好多人说是烂片😅这到底是《指环王》烂了，还是这个时代越来越烂了
尼桑，都是尼桑的错,NaN,2008-08-23 14:46:57,,313,那个世界上最美的精灵啊~~
岛上的夏奈,4,2013-03-04 00:32:12,,1301,Frodo和Sam史诗般的真爱历险记。
米粒,4,2012-03-06 14:01:33,,281,原来某人ID是这里来的，不过据称其实是前传《霍比特人》里的。果然是很像西方版的西游记，人物多了一些所以可以分成若干支线，风景和精灵们确实相当迷人，奥兰多布鲁姆在这里面太好看了啊。但也没有想象的那么好。二三集待续。看的加长版，最后字幕长达二十分钟⋯⋯
蛋的壳,5,2021-04-18 01:08:41,,260,在弗罗多说希望没有遇上这事，甘道夫告诉他，“所有人在一生中都会遇到这样的时刻，但这不是他们所能决定的。我们所应决定的是在仅有的时间里该去做些什么。”二十年后再看，感觉我们每个人都和弗罗多一样，平淡的人生对于每个人，都是艰难与困苦，我们背负的虽然不是决定人类命运的责任，但是魔戒的欲望，与人类今日的欲望也无差，我们只有在与它的抗争中胜利，才能走好这段人生路。
Qing,4,2017-01-17 23:16:49,,269,有些名不副实了这个剧本真是白瞎了这么好的阵容有种在看单机游戏通关视频的感觉给个四星观察一下希望后俩部能打得上五星吧
战国客,3,2008-08-02 23:11:53,,150,对欧美的魔幻不感冒，还是喜欢中国的玄幻
朝暮雪,5,2014-01-06 03:09:01,,339,“指环王”三个字，就是“史诗”的代名词。
阅读理解零分,5,2021-04-18 17:43:13,,236,有些电影太烂配不上观众，但也有些观众太烂配不上电影。指环王，yyds。迟到了五年的好评。不管怎么说，有生之年还能在大银幕上看到你，就是足够让我开心的一件事了。
流空破刃,5,2011-06-17 22:42:52,,120,改编的地方比原以为的多，除了时间线的缩短外，故事线的改动也有好几处，最大的一点是——多了一整条故事线。倒不好说好坏，但就视觉还原来说，这曾经“不可能作影视改编”作品的影视改编，水准是一等一。
胤祥,4,2011-08-05 03:08:58,,131,只说改编：1、强化了魔戒的力量。2、改成了一部青春冒险片（弗拉多离开霞尔都50多了啊亲），四个霍比特人犹如少年。3、萨鲁曼成了可见的的Boss（因此也加了戏）。4、细节上欠交代但是尽量保留。5、结合了第二部的前几章。|事实证明做简化是必要的，同时Casting和造型太重要了，奥兰多·布鲁姆抢戏成功
欢乐分裂,4,2012-08-06 17:33:43,,84,2021-4-17重看；恍惚间重回疫情之前的大片院线时光，而这般壮阔的史诗可能很久都不会复现，一部适合在黑暗中做梦的影片；抛却各种奇观和视效不谈，fellowship的架构组成及个人心境映射就足够叫人感动。那还是对人类未失信心的年代——“不要急于审判”，向着那光明灿盛的目标进发，正如美如梦幻的女王赠予的光明一样，他们终会冲破内心的黑暗和妄念，将忠诚和情义置于高出生命的位置——如此，世界才不至于被吞噬。貌美的精灵王子和女王啊，真是神仙样貌；片尾曲太动人了。
思无邪,4,2018-03-12 10:47:27,,103,精灵好帅٩(๑´3｀๑)۶，对于一个花痴来说有颜就够了。剧情也还不错，不过还是迷恋颜
莲蓉修狗,4,2021-02-22 21:32:42,,65,但凡小伙伴们管好自己Frodo也不至于挨这么多次打
小雨,3,2011-11-10 23:05:38,,130,除了吕秀才很帅场面很大之外。我几次要进入睡眠。。
closer,5,2021-04-22 23:47:09,,118,特地补了霍比特人三部曲来看，看完后，真的搞不懂那些打一星的，20年前的史诗级的巨作放到现在竟然被人来讨论是不是烂片...真的是在多元文化和快餐文化的发展下，很多下一代的孩子都看不进去那些好的东西了，只能接受那些爽片，剧情单一的，而且最过的是有些人在不了解的情况下肆意评论...这些评论将会影响下一代...好的作品到后面有可能会被这些人给埋没...
water,5,2007-12-17 16:30:09,,110,Gandalf:Sarumanbelievesitisonlygreatpowerthatcanholdevilincheck，butthatisnotwhatIhavefound.Ifounditisthesmalleverydaydeedsofordinaryfolkthatkeepthedarknessatbay.Smallactsofkindnessandlove.
BROmance🌈,5,2021-04-17 22:03:07,,161,不要急着审判生死，主持正义
晚不安,5,2021-04-17 04:12:59,,57,在IMAX+4K规格的检视下，在《霍比特人》高帧率的对比下，开场一晃而过的战争大远景还是有点露怯，世纪初的特效水平难免要被今天的观众打上“网游质感”的差评；打斗戏也大量依赖近景和快切，让人挺为《王者无敌》的大银幕体验捏一把汗。不过这次的重看完全没祛魅，文本和影像的整体质素依然是超高水准的：彼得·杰克逊太懂得如何在冒险故事里添加史诗感，将神性和人性勾兑得恰到好处，不仅给后面一系列奇幻大片开了个好头，更值得在《正联》里滥用慢镜头的扎克·施耐德反复学习。第一部也绝不是“超长预告片”，不光奉献出不少在视听上足够雕琢的动作场面，护戒同盟的建立与瓦解，也给了九人的性格足够多展示空间，魔戒那可怖的魅惑力进一步得到体现，更在结尾正式开启了续集的多线叙事。
七七,5,2018-03-15 19:32:46,,164,信仰真的重要，有信仰的人生永远也不会结束，死亡只是另一种人生。
如小果,3,2011-09-06 01:54:32,,93,把我都看睡着俩次了。。
小十三,5,2018-03-17 21:13:27,,65,小的时候的特效也就是这些了吧，印象超级深刻的，宏大的场景真的，幼小的心灵里留下深深的烙印hhh，剧情已经记不太清了，但是就只有一个印象是:好看!!!
坚果粒粒,5,2021-04-21 19:30:15,,96,波罗米尔，你说你想念刚铎回家的号角，它将永远为你响起。
冰红深蓝,4,2013-08-04 14:14:57,,48,经典中的经典！三部曲都非常出色！第三部更是横扫11项奥斯卡大奖！三部曲共获得30个奥斯卡提名和17座小金人！创下奥斯卡三项辉煌纪录！【2021.4.19.IMAX版影院重温，升为五星，第一部已经相当完整、动人了】
糖罐子.,5,2018-06-29 15:04:48,,67,开篇之作，注定成为经典.多年后再看，依然会被宏大的场面和雄浑激荡的经典配乐所震撼。与二没有任何割裂，三部合起才是完整的一部史诗级大片。每个人的成长都像在与“邪恶”抗争，我们要抵得住诱惑耐得住寂寞.很多东西不能“碰”，很多路我们要一个人走。
张春[阿卡纳],3,2021-04-20 21:57:16,,38,从头到尾没有超过30秒没配乐的，对着我的耳朵疯狂呐喊“看！我是史诗！史诗！！！”看完聋了。
乍暖,3,2018-08-07 01:15:48,,59,6.5/10。emmmm，很无聊。片长怎么可以这么长！看时的心情好比看一堆宿舍男生打游戏，一直听他们杀怪发出的激烈欢呼声，我却呵欠连天。分数全给大制作和颜值，这个故事真的太儿童文学了。
一起吃地瓜,4,2018-03-17 09:45:45,,47,很经典！画面效果、背景音乐都值得回味，故事交待的细致完整。史诗般巨作。
星期三喝牛奶,3,2021-04-24 14:09:23,,39,以前没看过，因为评分高以及各种口碑去看的。对于一点情怀没有的人来说，还是不要看了。拖沓就不说了，很多设定也觉得莫名其妙，几度想走，看到甘道夫说不要评判生死那段以为电影终于渐入佳境，结果越来越无聊…我能理解情怀分，场面也确实拍的宏大壮观，可是现在的评分放到今天真的虚高…而且我真是太讨厌无谓煽情的慢镜头了。
波波维奇,4,2018-03-17 09:41:40,,42,228分钟的版本，真的特别长，故事简单说还是好人与坏人，场面宏大。本人比较喜欢魔幻题材。
端木夜,4,2018-03-17 20:43:46,,44,很好看的一部电影，场面好大，特效在当时来说，水平相当高，剧情也好，看的很激动
大-燕-威-王,4,2012-11-13 17:22:43,,58,我一直觉得男主很废柴。一般情况下，这类型的电影男主都能像幸运物一样，可惜他不但不像幸运物，反而还是个招怪拉仇恨的机器，真是太摧残我的心灵了。
狸空,5,2006-11-11 05:04:38,,177,永远的经典
北纬34°东经108°,5,2021-04-22 23:31:56,,62,十年前看五星，十年后看，六颗星，因为这届观众不行，因为太长而打一星...
达力猿,3,2021-04-17 17:13:18,,51,好无聊的工业产品，过了看三小时纯打怪还不疲惫的年纪了
西楼尘,4,2021-05-18 21:33:10,,26,走过了离家最远的那条线，披挂上斗篷的那一刻，不知前路道阻且长，却愿意一路护送魔戒。尚且不知迷雾山脉有落石与雪崩，摩瑞亚矿坑有水怪和炎魔，远方有精灵和奥克。故乡在后，世界在前，我们无法选择命运，却能选择怎样过完一生。伸手握住水中山姆的手，我渺小却能拯救世界，故乡美好却终究无法久留。
同志亦凡人中文站,5,2012-07-20 19:55:54,,78,完美的开篇
阿妖、,3,2018-03-12 22:04:15,,52,太长了，我都睡着了两次吧😜
Ocap,4,2015-02-07 12:44:53,,15,沉心静气对这个系列做出第四次尝试，总算是融入进去了。慢镜、圣光衬人影、怒喊回音、自作磅礴的配乐都是流水大片的特性，但纵观整体却能凝结为一种精致。尚未get到胸怀中土的情绪，不过不妨我喜欢；如果早几年，在热衷纳尼亚和哈利波特的年纪看这部，我会打五星。→21.4.18时隔七年大银幕重温。
mOco,5,2008-07-07 11:40:08,,39,就像一杯茶，不缓不急地讲述着一部史诗。瑰丽的画面，动人的情节。合理地叙事结构使全片的3个多小时并不冗长。
遇见彩虹🌈,5,2017-11-23 09:01:27,,55,一段传奇故事的开始，惊艳无比。
朝阳区妻夫木聪,3,2021-04-18 21:57:22,,21,终于终于大银幕看了，倒是也没有什么特别的感受，就是觉得也太长了点……我可能就是那一类对魔戒这个故事无感的观众吧……但能大银幕看掉也算是了却一桩心事了，不然这么长的片子在电脑上可能真的看不下去……
点漆,5,2021-04-22 08:51:14,,31,重温了那么多遍居然都没标记…小说里波洛米尔走了一百多天才到幽谷，踏上护戒旅途后阵亡，借的洛汗的马自己跑了回去，每每想到这里就觉得真人类波洛米尔太伟大了。
kingfish,2,2006-03-22 12:38:57,,1078,为什么这样的电影也能得奥斯卡呢
momo,5,2021-04-18 13:29:57,,33,电影院复映了再刷一遍达成。朋友都惊叹我的记忆力各种“剧透”。但我只是被经典场景震惊过后记忆深刻。再一次感叹这么多年了也没有什么同类型能超越指环王的
Rebel Scum,5,2010-02-19 22:01:43,,57,这是引领我进入电影殿堂的作品。十一岁那年看完后，人生彻底改变。
JaHn,3,2022-11-24 23:45:12,江苏,26,大家好像很喜欢用史诗和宏大这种形容来掩盖故事的拖沓，大可不必发展那么多支线，本身情节就简单，西方魔幻不涉黑的话都带有一种低幼的童话感，大家又和善又信命
小明的屍體,5,2021-04-17 14:35:12,,45,我在不同年龄时期看魔戒的感受真的不一样，这一遍我聚焦到了波罗米尔身上，中年男人恐慌发作，作为摄政王之子和刚铎将领经常战斗在前线，战争局势日渐黑暗，四分五裂的昔日同盟让他看不到希望，各种压力聚他一身，他想寻求一条出路一条捷径，这让他成为了护戒小队里最容易受魔戒蛊惑的人，但是他并不是一个死板的脸谱化的角色，他会和霍比特人打闹，也会把自己脆弱的一面展示给阿拉贡这个他一开始不认可的继承人，他会贪婪，会犯错，会反省，会勇敢，会牺牲。
焰熠,4,2018-03-17 10:22:21,,32,我心里永恒的经典特效场面都深入我心小时候的经典回忆还有为剧情无数次的感动都环绕心间
托尼·王大拿,5,2021-04-22 17:19:15,,19,圆梦大银幕，这部电影中展示的纯粹与美好似乎早已不属于这个时代，但对信仰与诱惑的阐述又将贯穿于每个时代。
慕詩,4,2018-01-02 16:27:43,,61,精灵王子貌美如花。
Kim,5,2021-04-23 02:31:07,,29,发现魔戒其实是心魔，人都有脆弱的一面，我现在像是介于生死之间行尸走肉的戒灵，追着魔戒到处奔跑，追逐的是执念、求而不得、巨大的遗憾。消灭魔戒的路途是完成自我的救赎，与“心魔、欲望”做抗争，需要抵得住诱惑，也会和小伙伴分开再汇合，很多路我们要一个人走。开始期待看2了。
回火,5,2021-04-19 13:13:14,,49,小时候印象最深的是绝美精灵王子，现在看，给我印象最深最难过的人是Boromir
顗礼,4,2021-04-18 19:33:25,,8,当然是作者电影，你见过哪个八流行活导演敢在这种量级的电影中以“特写镜头”来调动影像生命力并毫不避讳地放B级片趣味？人们为誓言而动容，为死亡而落泪，而这一切的源头毫无疑问就是PJ那真挚而勇敢的表达，他就像Frodo，看起来并不伟大出众，却自有独一无二的耀眼光芒；他完全不避讳那些看起来滑稽笨拙甚至有点过时的镜头组接方式，因为在那些时刻，摄影机/角色/观者进入了一种特殊的交互状态中，你也许会发笑、会皱眉，但你也一定能感受到其中蕴藏的魔力
123木头人,4,2018-03-12 20:30:28,,34,不错的故事，看过的人都觉得还可以
美好时光只为你,4,2017-04-08 22:21:39,,22,整部片子的画面色彩并不明媚，但是还是挺吸引人的。
fateface,5,2019-12-26 13:59:30,,28,第一次看的时候觉得这电影太长了真无聊，后来看了书，觉得第一卷是最没劲的，最近又刷了一遍电影，才体会到其中古典主义的美。
刘康康,3,2021-05-16 14:15:07,,8,跟着朋友终于看了这部久负盛名的电影，确实是很经典和宏大的故事，不过确实对我来说也是一部可看可不看的电影，看完也没啥更多的感受。可能确实错过了最适合看这部电影的年龄？就很难进入故事情境之中，没办法真的关心故事里人物的命运，可能不是电影的问题而是我的问题。有时候我会笑话有的观众看完剧之后跑去微博骂演员（包括《红毛女》陈强差点被底下的观众给枪毙了）。但其实能够沉浸进故事里是一种能力，原始人类通过部落祭祀的仪式沉浸进集体神话故事里为个人生活汲取力量，而现代人的这种能力其实是退化了的，我总怀疑这与当代心理疾病增多有因果联系。
柴斯卡,NaN,2021-04-17 18:09:20,,14,非粉丝对类似题材一般吧之前看的时候太小了这次看边看脑子里边勾勒出性别和种族的研究角度（彼得杰克逊的电影还都有点这样）想到不少金属乐唱片掌握了爬塔、俯瞰点、砍杂兵等各种思维模式看到了HP和它的深厚渊源感受到了它对后世文化的巨大影响力这些年世界变了很多我也变了很多啊
邓安庆,5,2021-04-21 22:52:49,,17,有些庆幸以前没有看过，今天还是第一次看指环王，因为早年技术的限制，在巨幕上看有些画面已经显得有些模糊不清了，但不妨碍我沉浸其中。一种激荡的情绪萦绕心中，有时候甚至忍不住泪目。
IF,4,2018-03-17 21:19:20,,20,特效很震撼，当时来说真的超级赞，很喜欢魔幻的电影题材的电影，很喜欢
岸辺☆扑克,4,2013-03-04 22:21:24,,16,精灵族太仙了三只美得不可方物甘道夫那句fly，youfools瞬间就泪目了阿拉贡这样会打架的汉子被精灵公主看上有什么奇怪的嘛（¯﹃¯）完全不想腐魔戒但是谁告诉我弗罗多跟山姆是怎么回事==|||是我多虑了吗
