user_name,star,comment_time,geo_ip,vote,short
大佑,3,2010-02-20 20:52:20,,119,我對電腦特技真的不那么熱衷...真的........真的.......
眼角的花朵,5,2008-06-24 16:56:46,,1572,LOTR都有意或无意地削弱魔法的存在。因为LOTR所要传达的是：即使是平凡人也能改变事情的发展趋势，即使是最微不足道的角色也能改变许多人的命运，而魔法对事物进程的影响，却在演员们本色的表演中渐渐被淡化，这也是为什么在三部曲中魔法仅仅以渲染人物心理变化作为某种基调存在，而非针对某样事物的实体了。FOTR的行云如水可称为“公路电影”，而TTT与其说是魔幻篇章还不如说是战争史诗。
故里,3,2011-08-01 07:13:57,,82,除了魔幻的视觉效果，有什么好看的？精灵箭手是精灵还是地精？认住了甘道夫这个角色，就是磁力王！
影志,5,2005-09-04 18:47:54,,1553,“这个世上一定有某种善良，值得我们奋战到底。”其实最喜欢这个第二部。第一部刚开始，很多故事还没展开，也没有大场面的决战；第三部大场面战斗又太过饱和，容易疲劳。所以第二部末尾的圣盔谷大战，承前启后，来的刚刚好，“各路神仙”先后登场对付萨撸曼军队，也看得最酣畅淋漓。
朝暮雪,4,2014-01-08 04:01:45,,1789,你能想象吗，彼得·杰克逊总共只花了2.8亿美元，就把《指环王》三部曲拍出来了，最后全球票房29亿美元，三部曲通通获得奥斯卡最佳视觉效果，还有一部拿了奥斯卡最佳影片。
颜小兽,5,2012-12-17 01:01:45,,1456,第二部，树精很萌，甘道夫升级了，〔尊敬的用户甘道夫，恭喜你升级为vip1白袍巫师！〕→_→精灵王子吕秀才越来越帅了！
wise,4,2012-11-04 10:00:01,,1568,比第一部有意思，树人开闸放水冲毁艾辛格的时候，其中一个着火的树人赶紧把头伸进水里笑死我了，好萌啊。假如一开始魔戒就被丢到末日火焰哪来这么多战争和死亡，和异形一样，都是人类的贪欲，自作孽。
撒旦的表妹,5,2013-03-30 18:08:18,,1463,树人开闸放水之后，有一个着了火了树人颠儿颠儿跑进水里灭火的那段戳中笑点，哈哈哈哈哈～～～莱戈拉斯无敌了，简直就是完美的化身！
颜良辰,5,2010-03-05 00:17:11,,1564,每次看魔戒都会被奥兰度惊艳到~
17950,5,2006-10-12 13:11:32,,745,作为3步曲，比教父3部更完美!!
엘라노,5,2019-01-01 00:05:37,,468,如果在今天晚上九点十三分十九秒准时打开双塔奇兵加长版，你跨年的那一刻将恰好就是希奥顿说出Soitbegins的那一刻！寓意大概是，祝大家面对如同半兽人大军一般的2019年，都有像希奥顿王一样的勇气！这个跨年真感动(•̥́ˍ•̀ू)
束,5,2007-11-22 02:58:57,,519,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。
Lin Nashty,5,2021-04-23 19:29:30,,452,2021.4.23重映。四星改五星。“那些一直前行的角色们，有他们所相信的东西，世上还存在着善良和美好，值得我们奋战到底。”没想到，这一句升华一整部电影主题的话语，是始终陪伴在弗洛多身边的小胖，在弗洛多迷茫时警醒他的话语。在我心中，他的形象相比主角更为立体与生动。“比起弗洛多与魔戒的故事，我更愿意听勇者山姆怀斯的故事。”
齐木楠雄,3,2017-01-03 22:10:52,,29,还是非常符合原著的，但是第二部是展开卷，作为一个电影其实相当沉闷
Leon Winters W,5,2015-11-12 15:20:12,,403,我现在明白了。这些故事里的主角有很多机会半途而废，但是他们并没有。他们决定勇往直前，因为他们抱着一种信念。佛罗多：我们抱着什么信念？山姆：这世上存在着某些美好的事物，值得我们奋战到底。
Ocap,4,2015-02-07 21:52:28,,476,4.5。蓝光加长版。其实根本找不到一点讨巧的地方，就像某些老派的歌手唱歌，不收只放，每个桥段都要倾心倾力去讲。高潮会持续到麻木，心灵被施以重压，放到任何时刻抑或时代都是空前绝后的观感；以够真挚的心态用挺笨拙的手段造最豪华的制作，这就是彼得·杰克逊。
欢乐分裂,5,2021-04-23 16:46:54,,237,比第一部更让人动容，“这世上还存在着某些美好的事物，值得我们奋战到底”——勇者山姆的独白真让人泪目；这个故事还没写完，我们并不知道结局如何，不知自己会成为传奇还是化为灰烬，可是只要看看黎明升起的太阳，那一缕光射到身上，信念就在那里光芒万丈。作为三部曲的衔接部分，竟也拍得如此磅礴契阔甚至悲壮（大场面的震撼无与伦比），较多着墨于信任问题——无论是人类与其他物种之间，还是护戒联盟内部，也包括弗罗多与咕噜之间；对个体心灵在贪欲与黑暗蛊惑面前的分裂与挣扎，对选择爱情还是永生，均刻画得入骨深刻。根本没有人能置身事外，这不仅是一个暗影倾覆的中土世界，也是我们所处的现实。
薇羅尼卡,4,2006-03-29 15:50:28,,415,第二部，喜欢树精。|2021.4.26毫无疑问，第二部最成功的的角色塑造当属咕噜，开创性的真人动作捕捉让这个角色有了独一无二的魅力，也开始了属于安迪的黄金年代。
number5,5,2005-06-13 23:20:22,,244,greatnovel，greatmovie
错乱天堂,4,2008-11-19 18:31:28,,703,莱格拉斯无敌帅~
流空破刃,5,2011-06-18 20:12:37,,104,影视改编的重点偏移在这一部里表现得更为显著。彻底挑明的原创感情副线，比重加大打法几乎完全原创的圣盔谷一战（当然这段干得不错可以收货），到不算太成功但尚算是有想法的视角切换。最值得赞的是咕噜的形象设计，除了技术限制导致的皮肤质感略欠真实外几乎做到了满分。
遇见彩虹🌈,5,2017-11-23 09:06:16,,151,传奇延续，依旧震撼，精灵王子还是那么帅。
冰红深蓝,5,2013-08-04 14:16:28,,64,经典中的经典！三部曲都非常出色！第三部更是横扫11项奥斯卡大奖！三部曲共获得30个奥斯卡提名和17座小金人！创下奥斯卡三项辉煌纪录！【2021.4.23.杜比影院版重温】第一部令我印象最深的其实是几个人物一瞬间的黑化，尤其是精灵女王盖拉德丽尔夫人的黑化视角。第二部则是精灵王埃尔隆德劝阻女儿埃尔文痴爱阿拉贡时描绘出的阴惨未来图景：天地都失去了颜色，身披黑纱的埃尔文面对着逝去的老年阿拉贡，哀绝无言，永生的孤独与幸福的短暂直透心底。最感动的时刻除了山姆勉励弗罗多的那段话（Thatthere'ssomegoodinthisworld，Mr.Frodo...andit'sworthfightingfor.）以及畅想后人讲述护戒传奇的元小说式段落外，当属精灵哈尔迪尔带领的援军赶来圣盔谷之时（精灵信守盟约，再度与人类并肩作战），原著中无此情节，彼得增改得妙。
没理想青年,5,2021-04-24 01:45:25,,148,恩特是不是格鲁特的爷爷🤔
库库尔坎,5,2015-02-06 22:13:10,,52,發現Saruman這個壞巫師利用近代工業技術復甦遠古邪靈與邪術的行為簡直跟某團夥高度相似唯一的差別是大洪水反過來把自己給卷了……論自然之復仇嘛的；咕嚕雖有極可憐和可理解之處但卻充分說明要小心那些奴性極強的貨/禍其目地在跪舔的各種仿作姿態中便已暴露：曾對朋友落井下石的人何故倒投？呵呵。
同志亦凡人中文站,5,2012-07-20 19:56:14,,133,激动人心！我看哭了都...
左胸上的吸盘,2,2010-07-30 22:17:14,,554,魔戒系列的废戏实在是太多了
火娃,3,2021-05-01 19:40:07,,12,7/10。重温。开头爬下悬崖的山姆冒死守护一小盒盐，因为盐倾注了对自然生活的热爱，反观半兽人缺乏文化根基，抢食同类的尸首，是残忍的工业力量创造出的粗鄙劳动阶级，于是当树人群攻萨鲁曼的工业之谷、拆除水坝，当弓箭手流畅地击杀猛犸战象，还有参战者排山倒海的圣盔谷之战后，比赛杀敌的精灵王子射向被矮人斧子砍在面部神经上、仍在抽搐的半兽人，任何国家的观众都会感到代表底层劳力、异教徒的半兽人生命毫无价值，而为侧光转为逆光下冲向豺狼的骑士团（完全是基督救世军的形象）欢呼雀跃，且不论这个基督教消灭异教徒大军、王者归来的文本隐喻是否简单又暴力，就总是通过人物直接陈述（如咕噜善恶两重人格的对话）的叙事也显得呆滞。有一说一，皮平翻身面对跃起的马尖叫后立刻转场，直至阿拉贡推理皮平的踪迹解决悬念，这处制造紧张的蒙太奇很妙。
波吕许尼亚,4,2019-10-16 02:55:27,,126,曾经看到一个影评说，第一次看的时候最喜欢帅气的精灵射手，威武的剑士，神奇的法师等，但是第二次开始对Frodo着迷，注意着他的一言一行，一举一动，感触着他的内心，为他深受感动。”我估计按照这个节奏第三次会最喜欢咕噜哈哈哈……我倒是比较喜欢Sam，Frodo虽然卑微，但也是个天选之子，而Sam则更加卑微。Frodo的任务多少是别人安在他身上的，Sam则出于自己的选择。Frodo多次想放弃同伴单干，Sam则始终选择同伴互相扶持。Frodo几次想要放弃，Sam却从不动摇。除此之外，老国王的侄女与矮人谈话时，发出的笑声美好极了。
胤祥,4,2011-08-10 22:37:51,,52,[20110810]果然是把故事线理顺了（托尔金的写法固然有趣，但是拍成电影必须调整顺序）。抓住一切可能拍爱情戏，并且拍成三角恋（加了一些魔戒3附录里的内容）。恩特们的造型有点坑爹。这一集比较忠于原著，主要的改动还是萨鲁曼那里（附体这个设计真好）。但是真他妈的长……|[20210423重映]完全放松的重看，居然真的看进去了，忽然觉得2才是系列最佳，剧作分布很平衡，而且最重要的是拍出了难得的希腊悲剧般的史诗感：人物面对诱惑时的艰难挣扎更细致了，重要的是人物与命运的英勇搏斗写得真是可歌可泣。战争隐喻更加明显了。
岛上的夏奈,3,2015-02-06 19:47:47,,14,打打停停抒抒情，打打停停又抒抒情，煽情镜头直逼琼瑶戏；《魔戒》系列的高口碑完全靠J.R.R.Tolkien的好故事罢了，PeterJackson越看越像捡了狗屎运。
HenriqueZZZ,2,2021-05-01 15:51:06,,8,毫无重点，罗里吧嗦说了三个小时，弃
积德行善积德,5,2021-04-29 17:10:49,,83,虽然但是，那个冲过去灭火的树精好可爱。
白鲸,5,2011-08-15 16:46:37,,47,作为战略典范，《双塔奇兵》算是三部曲中我极喜欢的一部；而“圣盔谷之战”也因为彼特杰克逊会在影史上留下浓墨重彩的一笔了；在人物能力上趋于平衡，它刻意将巫师精灵能力削弱，而更多的则是利用人性的光辉与伟大赢得战斗；安迪瑟金斯对于咕噜的刻画简直神乎其神。
米粒,5,2014-05-23 12:52:56,,50,加长版（片尾字幕就有二十分钟）竟然有四个小时！活活从吃完晚饭看到12点！但是这部真的好热血啊，第一部主要介绍背景和人物导致动作场面不足的情况这部全都补回来了，甘道夫每次出现都让人又想哭又想笑又想叫！最后的峡谷城堡大战还有好萌的乐高模型耶~
汪金卫,5,2014-02-18 20:57:58,,41,【三部曲剧场版IMAX马拉松】第二部开场绝妙，从另一视角回溯第一部的剧情高潮，迅速调动观众情绪，也为甘道夫的进化埋下伏笔。前部萨鲁曼背叛，这部则是奸臣作乱。精灵的预言同样为三部曲结局埋下天人永隔的悲伤伏笔。安迪·瑟金斯饰演的咕噜大放异彩，与影片互相成就。而精灵救兵与守城则是商业的套路。四星半
大蒂茎蕾,5,2021-04-26 12:01:18,,66,虽千万人，吾往矣。悲壮，把妇联衬成儿童剧。
糖罐子.,5,2018-06-29 15:07:11,,52,"""我们本来就不该来，但是我们来了。""我现在明白了，这些故事里的主角有很多机会半途而废，但是他们并没有，他们决定勇往直前，因为他们抱着一种信念。我们抱着什么信念？这世上一定存在着善良，值得我们奋战到底。"
托尼·王大拿,5,2021-04-23 16:45:27,,37,在这首光明与黑暗较量、正义与邪恶对决的极致纯粹的寓言史诗中，也有令人忖度的回思：树人恩特们的最终参战证明在生灵涂炭时选择中立也是助纣为虐，并将殃及自身。
大-燕-威-王,4,2012-11-15 15:32:32,,71,一剑士，一大锤，一弓手，一魔法师……你们是在组队玩RPG游戏么！？
白羽宁,5,2021-05-06 19:02:33,,60,那个着火的树人把头扎到水里真的笑死我了
👹天神的审判,5,2018-03-15 19:19:36,,37,经典就是经典，演员颜值演技都在巅峰状态，导演的灵感和智慧都无人能及，值得收藏的一部电影！
大头绿豆,4,2005-09-11 17:24:26,,130,跟书一样壮观。
a little mark,5,2010-06-28 21:59:11,,51,三部曲里面最爱的应该是这一部吧，每次我看到甘道夫带着洛汗国的勇士和万丈光芒一起冲下圣盔谷，我就会被震撼地大哭。LOTR讲述的品质都是简单到让人根本不会注意的，恰恰是最本质的真善美最能打动人的心。
123木头人,4,2018-03-12 12:49:23,,36,那几年想起国外魔幻大场景大片的代表作吧
柴斯卡,5,2021-04-23 20:07:31,,30,感慨这几条线平衡得真好啊弗雷多咕噜-不疯魔不成活重度抑郁找自我树精皮平-降速作用，诙谐放松矮人精灵-悲壮的反差萌国王等等-优质酱油阿拉贡（这条线我不太喜欢但没有这条怎么显得其他的有趣呢）-俊男美女王者归来多线叙事汇于大战的漂亮节奏与结构山姆，没有你我走不了这么远长大以后才知道这条路有多难
塔塔君Minkun,5,2021-04-24 00:15:44,,23,感性上比第一部更喜欢，只因这种对终极的善的信任。这个绝对价值的匕首，正是因为整个世界之宏图徐徐展开，我们发现这个世界的运转系统是伟大的内恰的，其淬炼而成的情感与价值取向虽古典朴素，但却有着永恒的力量。
AnnaPanPan,5,2021-04-25 23:09:07,,34,回不去的夏尔，战火蔓延的刚铎，乱世之下，无论是人皇，还是小人物，都不能独活，唯有手执武器，正面迎战。黎明之时，看向东方，胜利号角再次响起，多年之后再看“圣盔谷之战”，依然振奋人心！帅气的精灵王子填满了我的少女时代，现在却觉得那个说着要与他的子民一起抗战到底的Aragorn更帅了。
Qing,5,2017-01-18 23:22:44,,23,（圣盔谷和五军之战真的好相似啊不知是否有人也这么觉得）史诗巨著不是瞎说的全程完全沉浸在魔戒中中土世界仿佛真的存在一样燃哭好几次(°Д°≡°Д°)
gogoFelix.,5,2021-04-26 01:20:46,,28,电影院一刷就想赖着不走直接把第三部一起放了.我只能说..真香.
美好时光只为你,4,2017-04-08 22:23:58,,29,感觉整个画面色彩比第一部更灰色，但是展现的背景更广阔强大了。
鱼丸粗面,3,2006-10-18 11:38:26,,14,前面有点罗唆。。
