user_name,star,comment_time,geo_ip,vote,short
内陆飞鱼,5,2013-10-03 14:55:05,,6533,当结尾旁白说“影院友情提示，为了保证您没有看过这部电影的朋友，有机会获得更大观影乐趣，请您不要像任何人透露这部电影的结局”时，真爽，这个电影真是骗足了同情心，飚足了演技，压足了节奏，然后唰唰大释放。一场英国男人和德国女人之间爱情与欺骗的故事，现在才看，对不起比利·怀尔德老人家。
沉歌,5,2012-02-08 13:29:42,,10271,男人贪心，女人贪爱
又烧包小队长,5,2016-06-06 08:54:25,,5502,这片最大的反转不是影片末尾的谜底揭晓，而是看完影片后我查到女主角拍摄时已经五十六岁了。昏迷。
Q。,4,2011-07-10 22:55:56,,3973,无论是剧本、导演还是个人表演，几乎都无可挑剔。机智的台词和精彩的法庭辩论，十足精彩！即便在结局前猜到了最终结果也并不会让电影在精彩程度上有丝毫削减。btw，电影最后提示请勿剧透我还真是头一会见。★★★★☆
XA™,5,2010-06-18 20:27:23,,4590,五星级结局，难以置信这是1958年的黑白电影！
丁一,4,2009-11-30 09:10:01,,4434,律师三寸舌，妇人宫心计，两者皆不敌，最坏男人心，花心郎算尽太聪明，反算了戚戚性命
般若死火,5,2010-02-22 01:22:58,,4986,好片遇上好字幕~爽
蚂蚁没问题,4,2011-07-10 14:00:28,,949,演的不错，但是结局也没有说的那么玄乎吧？多读几本阿婆的书，这样的结局还不是手到擒来。
黄青蕉,5,2017-04-26 22:23:35,,3014,比利怀德真的是各种意义上的领先时代五十年，连防剧透声明都领先了
大奇特(Grinch),5,2009-01-24 11:59:21,,2674,查尔斯劳顿简直是戏精！比利怀德的电影和阿加莎克里斯蒂的小说都是在结尾峰回路转，此片简直是两位大师珠联璧合的杰作！
桃桃林林,5,2011-07-10 11:36:22,,2317,阿加莎·克里斯蒂的精妙情节配上比利·怀德的风趣对白，以及查尔斯·劳顿、玛琳·黛德丽、泰隆·鲍华等人的精彩表演，几近完美的电影。不老的玛琳·黛德丽，又被感动了，真棒。
