user_name,star,comment_time,geo_ip,vote,short
有点迷人,5,2017-01-04 21:54:29,,21193,阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！
小鲸鱼社畜版,5,2017-04-16 17:24:12,,16959,关于本片价值观－不看社会背景就评判三观就是耍流氓。在印度的社会状况下，女性是没有自由选择职业的氛围的，先破才能立。就像片中父亲对女儿说的－你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。最后，这场斗争的意义早已超脱出父亲一己的梦想，升华了呀。
仰望星空の派,5,2016-12-24 07:02:54,,16492,这么好的一部电影。。弄得这踏马什么破译名。。听起来像儿童片似的。。
同志亦凡人中文站,4,2016-12-23 17:50:46,,11690,根据真人真事改编，讲述印度一块女子摔跤金牌的诞生。剧情热血逗乐，竞技惊心动魄，挑不出什么毛病的宝莱坞电影，父女情尽在不言中。阿米尔·汗太敬业了，为了一闪而过的几秒就把自己的身材从肥胖练成魔鬼，好演员都是用生命在演戏啊～
Mona Lishark,5,2017-04-11 14:21:49,,14351,好看死了。拜托大家认真看完电影再做评论。爸爸有约定一年为期，不行就不勉强。吉塔在赢得了第一场摔跤比赛之后，也主动请爸爸带自己参赛。她们已经自己选择了自己的道路，被父母逼着选了专业还怂着不敢转型的朋友，你跟人家根本没有半点共鸣的好吧。另外，脱离印度实际环境谈女不女权根本没有意义。
踢迩达,4,2017-01-18 00:46:54,,7672,豆瓣文青们可能已经成功被白左的西方政治正确洗脑了：不放在具体语境下，以西方女权衡量一切本来就是一种偏见和武断。在整体状况还不如中国的印度，本片已经适当地展现了一种进步的女性生活方式，即便在父权的引导之下。让符号化的解读蒙蔽影片传达的真情实感，令人感到可悲。
内陆飞鱼,4,2017-05-03 21:24:11,,3333,就电影来讲，我们有什么资格嘲笑印度。
caj,5,2016-12-31 18:07:42,,11439,就凭电影，谁也没资格叫人家阿x
大侦探凤梨,4,2017-04-30 00:46:29,,2496,这片也能被女权主义者黑，我也真是无语了。黑之前先去了解下印度女性的社会地位吧。这明明是在倡导女权才对。猪队友太多了，心疼阿米尔汗。
豆丁,5,2016-12-31 11:44:40,,10051,印度排名第一的电影，全球口碑已炸裂
延延,5,2017-04-16 17:32:01,,5885,#北京电影节#我不觉得这个片子囿于父权的藩篱，父亲虽然有在女儿身上圆梦的渴望，但也建立在发现女儿的天分的前提上。摔跤让两个女孩子挣脱了偏见和无止境的家务，挣脱了14岁嫁人的命运，踏入更广阔的世界。说直男癌都是怎么想的？
柯里昂,4,2017-04-19 13:07:56,,1518,“不是技术老了，是爸爸老了”，父女摔跤那段确实催泪，说是近几年最好的印度片也不为过。不过教练和父亲那条线挺没说服力的，剧情冗长也是印度本土电影的通病，不接近三小时都不叫电影。以及，整个华语影坛都很难找出一个像阿米尔·汗这样敬业的演员。最后，温室里的花朵都会给本片打低分，不信你看。
大奇特(Grinch),5,2017-04-16 17:50:39,,4971,（看的完整版）取材真实，剧作扎实，用体育竞技片来拍父女情节剧，并改写了上到封建礼数、下到官僚制度的不变法则。有人提出片中受父权压制的价值观导向，请站在印度国男尊女卑的角度去看待吧，它明明是在拥护女性。另外结尾父亲的缺席，也暗示了女性的独立。另外，套路也是路，不要排斥套路。
木卫二,4,2017-05-31 01:53:26,,435,与眺望好莱坞望洋兴叹不同，这个印度电影，大概是中国电影人觉得自己应该可以能够拍出来的。但很遗憾，他们没有。最难得的可能是演员（尤其是女儿），因为也有不少华人影星试过弹簧变化的，但大多就是胡须拉渣讲口方言忧郁深沉而已，真正愿意为一部电影付出的，太少了。俗套不可怕，俗套最可靠。
Mr.猫,5,2016-12-24 08:44:27,,4450,阿米尔汗就是印度电影的金字招牌，而且他每部电影都反映了印度方方面的问题，从《三傻》反映的教育，《我神》反映的信仰，到这部《摔跤》前一半反映了印度女权问题，后一半更像是父爱家庭人生的混合体，但这部电影的动作戏真是帅爆了，很精彩，没得说，8.5分应该不过分！！
岛上的夏奈,4,2017-05-05 17:23:09,,914,觉得拍得很好，在评论区讨论父权是没有意义的，因为这不是教育片，是一部电影，如果AamirKhan演的是一个专制的父亲，那么让你感到厌恶是因为他演得好。讨论电影价值观正不正确很无趣，电影只是在讲故事，谁规定主角一定要价值观正确，《电锯惊魂》的杀人狂价值观正确吗？
黄青蕉,4,2017-05-08 18:52:26,,482,虽然吹是一部女权电影有些过了，但仍然很好，这么老套的母题拍得工整细致，情感真挚动人，幽默也恰到好处，对摔跤毫无兴趣也能看得热血沸腾，走出电影院想想自己每天看的项目，哎，操了操了
火火,3,2017-01-04 23:23:13,,2417,在印度看得169分钟，一部处处衬着男权和父权的女性电影，女儿没有任何选择权，被父亲残暴地教育成为世界冠军，这个冠军的“正确“结果就意味着父亲教育的正确了。意外这部电影宣传期在国内口碑这么好，大家去看完整版吧认知会反转的
严箫玉,5,2017-05-07 07:55:23,,3138,当查到两个女儿的演员并不是职业摔跤手时我惊呆了，这是一部市场经济主导的天朝电影界永远拍不出来的电影，女演员根本没有档期练什么摔跤，也不可能真的剪短发，更不可能有一线巨星为了演发福真的去增重，再为了一两场戏花五个月的时间减掉50斤。我们只有白百何的假头套和刘德华的大块头套装。
@sniper,5,2016-12-27 09:19:56,,3103,最惊讶的是放印度国歌的时候电影院几乎所有人都站起来了。。
七姐Claudia,5,2017-01-19 01:47:35,,1880,我的印度女同事说:Iwonder--whydidn'tmyfatherbringmeupthisway.
根,5,2017-05-08 19:02:19,,1325,能做到不打小孩、还会跟小孩说你很棒这两点的爸爸就算杀人放火都是好爸爸，就算杀人放火每个月小孩都会去牢里看他
影志,3,2017-01-08 15:41:30,,1072,不聊三观，这就是一部通俗的励志片，千万别以为这是今年的《三傻》。
shininglove,4,2017-05-07 21:48:34,,383,莫名想起小时候看完《足球小将》后，偷偷跑到球场在雨中加练的情形。梦想像一盘鸭血，我们似乎早已习惯凝固过的晦暗模样，忘记当初是鲜红的，在流淌。
bird,4,2017-01-09 14:43:40,,316,道德优越已成为评判电影最有效武器，但国家意志下的奥运奖牌，我们不也是抬头望五星旗留下不作假的眼泪、泛出荣耀？体育场外的我们永远也不会理解运动员的无奈委屈赛前赛后的悲凉，他们真实的快乐仍只会自己感知。什么时候电影不再容纳矛盾、还必须刻意记录三观伟正的故事？五味杂陈，才是体育和人生。
桃桃林林,3,2017-05-05 15:50:48,,985,技巧方面还是很厉害的，很多煽情和励志的点都特别舒服，以及，阿米尔·汗真是努力。
Big hero,5,2017-01-04 16:34:36,,1971,有的人拍电影只是为了捞钱，而有的人拍电影是为了良心。
米粒,3,2017-01-03 13:20:42,,646,励志和煽情都拍得特别使劲，甚至有点过头了，一到稍微有点要起情绪的时候就变成MV。感觉我们国家可以照葫芦画瓢拍很多这样的啊！很套公式的，不难拍。有很多鼓励女性的鸡汤话，实际还是个男权社会的毒瘤产物啦，从头到尾都在强调父亲的梦想，两个女儿自己的态度创作者觉得并不是重点吧
司令,4,2017-01-03 11:17:05,,204,新年第一片，挺励志的。和去年的《麦克法兰》很像，体育传记。有头有尾，制作精良，戏很饱满，情节全都在点儿上。完成得异常标准，同时也缺乏惊喜。开头摔跤的一段mv很喜欢，可能因为对印度了解不多吧。最后放国歌的时候观众站起来了一半（印度人）。每次看这种片子都感叹我国最应该拍出这种东西。
李小丢,5,2017-05-08 16:56:51,,1208,哭了好几次，还有到底多瞎的人才能说爸爸是直男癌啊？没看到婚礼上的小新娘说非常羡慕女儿们能有这样为她们考虑未来的爸爸啊？还有爸爸一脸骄傲地对怕女儿嫁不出去的妈妈说：以后只有我女儿挑丈夫的份儿。（大概意思）还有最后决赛的时候爸爸对女儿说一定要赢的意义也是为了更多的女孩改变命运啊！
Jer3my,5,2017-05-05 19:07:28,,1177,在电影院哭得像个二百斤的孩子
老袁,5,2017-05-07 18:22:06,,706,我眼睛不好，想着能不哭就别哭了，最后还是哭到双目失明
游牧人·芳汀,NaN,2017-05-05 22:40:19,,325,#电影院#脱离国情背景去吐槽三观就是耍流氓。梦想建立在父亲对女儿无情的童年剥夺和精神压榨上看似不妥，那也得女儿自己有天分不是？毕竟三女四女他就没强迫去学。而她们的成功在印度这个极度重男轻女的国家确实是有革命意义的，也许能成为改变其她女子命运的一个契机，星星之火，可以燎原。
Augenstern,5,2017-05-05 22:07:14,,797,非常好看。不说别的，国内电影啥时候把120分钟的故事好好讲明白不让观众坐如针毡就是最大的进步了。
