user_name,star,comment_time,geo_ip,vote,short
隆咚锵,5,2007-03-03 02:07:09,,18911,牛就牛在，他让所有演员都达到了巅峰
XAr,5,2008-02-15 00:48:21,,11994,当年我深刻的爱上了梁朝伟同学
熊阿姨,NaN,2007-01-18 17:27:40,,2601,百年不遇的经典
刘小姜,5,2012-09-14 19:42:32,,8537,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。
小罗伯特唐寅,5,2017-04-11 13:25:40,,6895,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。
影志,5,2006-02-16 22:18:21,,6639,“出来混，迟早要还的。”别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。
momo,4,2016-12-27 22:15:16,,6999,刘嘉玲说：当年拍无间道的时候梁朝伟每天只开工三四个点就回家，拍了二十多天就拍完了，之后就是获奖无数。演戏这种事，不得不承认是有天赋的。
文泽尔,3,2007-09-19 22:39:39,,467,其实这部片子我并没有觉出任何好来，所有人都装着深沉.因此无论怎样都可以继续神展开，总结一下就是：一部大家从头到尾都在努力装着一直装到最后还要装下去的片子.交换角色身份的片子，梁朝伟过得很杯具.其实所有人装着装着连自己的身份都快要忽悠掉了，白的想黑，黑的想白.对了这个有原著么？
曾于里,5,2012-01-18 13:49:18,,4634,怎么形容梁朝伟的分量呢？就我个人来看，影坛少了一个梁朝伟，就等于少了一百个刘德华。
Doublebitch,5,2008-11-24 22:57:04,,3411,港片新旗帜
伍德与夏洛蒂,5,2011-03-16 20:44:47,,3089,港片的里程碑
欠揍的我,5,2020-12-26 11:46:32,,2566,常看常新。我认为无间道里最精彩的设计之一，就是陈永仁从头到尾都没有一丝丝动摇，站在巷道里冲着警司的灵车敬礼那一刻，闪耀着强大又微弱的人性光辉。
同志亦凡人中文站,5,2012-07-20 20:07:49,,2869,一气呵成。梁朝伟的眼神令人揪心。
掀桌超人｜2U4U,4,2006-04-27 17:09:20,,6104,看了美版的，才知道港版有多好看~55555555
巴喆,5,2012-01-01 15:46:15,,2458,重新对香港电影刮目相看，它从哲学的角度深入质问人性，去感受身不由己之下的那种窒息，感受贪婪与自私，体验善恶的痛楚纠结。剧本相当出色，梁朝伟的陈松仁直接神化，所有的角色都可圈可点，没有一出多余的地方，以至多年后看美版的时候仍然不忘旧爱。这是港片的里程碑。9.3
白开水,4,2008-02-11 00:27:01,,3915,“《无间道》拍得相当好，但是再好也已经没有当年港片热气腾腾的生命力了。不知是拍的人变了，还是看的人倦了。《无间道》的前传后续也声势闹猛，它似乎可以打破港片沉沦的僵局。但是，它更像一具艳尸，妆扮得精美绝色，但终究是死物。”网上的这段评论深得我心。
掉线,5,2013-01-21 22:34:57,,1996,卧！槽！居！然！这！么！好！看！（好后悔现在才看这部电影……所有人的演技都太棒了，甚至萧亚轩……）
薇羅尼卡,5,2006-04-26 23:07:44,,1252,经典港片，无间道，如人生~~
琴酒,5,2011-11-14 00:49:42,,916,五星献给黄秋生突然掉下来的那个瞬间。
伊豆,4,2008-12-09 14:47:36,,3857,梁朝伟已经无与伦比了，那忧郁的眼神，欧~~
mon babe,5,2008-11-02 19:07:43,,986,难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。
朝暮雪,5,2012-08-12 21:51:30,,639,《无间道》IMDb8.1，《无间道风云》IMDb8.5兼奥斯卡最佳影片？
圓,3,2006-05-01 15:07:03,,145,雷聲太大，只不過是香港電影算好的罷了
xl,5,2021-05-13 23:49:48,,500,很棒。但有个剧情较愚蠢，梁朝伟发现刘德华卧底身份时，为什么走人了？好歹装一装，等身份恢复后再揭穿刘德华啊。
鬼腳七,5,2013-02-28 22:24:29,,535,有意思的是，真的在最后消除掉了好人和坏人的分界线，所以更完整地复制出了江湖和命运意味。
西楼尘,3,2013-08-21 22:49:28,,41,没觉得多么惊艳。
