user_name,star,comment_time,geo_ip,vote,short
Ridden,5,2009-01-10 11:24:03,,8278,你可以像疯狗那样对周围的一切愤愤不平，你可以诅咒命运，但是等到最后一刻到来之时，你还得平静的放手而去。每个人在某种程度上都对自己有不同的认识，但是我们最后都会去往同一个地方。只是走的路不同罢了。你也有属于你的道路。
mon babe,5,2009-01-06 14:52:35,,6178,有种莫名的伤感。我们总会失去所爱之人，要不，怎么会感到他们有多重要呢。
莫沂,5,2009-01-08 13:01:25,,4780,阿甘正传+大鱼+摩托日记+罗拉快跑+千岁情人+第六感生死恋
荔枝超人,5,2009-01-08 21:07:44,,5026,关于时间关于爱……后40分钟忧伤到令人窒息。
minhe,4,2010-05-20 22:28:38,,7842,你前进，我倒退，我们爱对方整整一个曾经。
眠去,5,2009-01-20 11:42:27,,3729,当他变成一个孩子，他开始迷惑，“我好似已经经历了一生。”他曾经的衰老，曾经的爱恋，曾经的年华，到了某一刻，只能轻轻放手，顺服地走向死亡。
熊阿姨,5,2009-01-18 10:10:14,,3661,“于时间的长廊上你再也不等我”
思阳,3,2009-02-22 13:42:54,,1807,虽然明星众多，也有装逼文艺片的嫌疑，但这部片子实际有点混乱，而且似乎什么都没有说。
西楼尘,5,2013-09-05 00:21:58,,2754,我心目中最优秀的电影，至今无法超越。满满的都是时光的隽永、寂寞的主角和奇特的故事。影片的质感丝丝入扣，如同醇酒回味无穷。这是一个温柔的童话，黛西的女儿在母亲的病房里，读到本杰明写给她的那些不会被寄出的明信片“我想成为你的父亲，我这一生做过的所有事都没有这件有意义。”真是无比心碎。
莫呼洛迦-屁股上的青春在歌唱,5,2009-04-24 01:01:53,,2225,其实也是有感动，感动的点很奇妙。
晨雾鹤影,4,2010-02-15 15:29:24,,2254,我们像婴儿一般来到这个世上，又像婴儿般安详的离去.留下的，也许都在最后与心爱的人眼神交汇那一个瞬间，从眼前飞逝而过的所有故事吧.
张小北,5,2009-01-21 22:39:43,,1800,看了第二遍后，觉得是杰作。好电影就是每次看都会觉得心醉神迷。
红豆♥,4,2012-09-19 22:30:06,,1989,最喜欢黑人妈妈了，她是天生的母亲。TT
同志亦凡人中文站,4,2015-03-28 10:37:04,,1792,时间的玩笑，时间的重量，这惊天动地的化妆...
衣莎贝,3,2009-01-26 04:08:14,,1283,前半部太冗长了，我现在对这些都市童话不大有耐心了。也许我老了
根,5,2016-10-19 13:51:17,,1056,哇被两个女王睡过的男人，简直可以说是Holycock了
Doublebitch,5,2009-02-18 16:16:53,,551,我好像曾经有过一生可我忘记它到底是怎样的了
蚂蚁没问题,5,2009-01-09 14:02:43,,541,逆行的钟和每分钟心跳两千四百下的蜂鸟
大島,4,2018-10-30 11:17:00,,1394,我们每个人都有本杰明梦寐以求的能力：和爱的人一起变老。
艾小柯,4,2009-01-03 16:59:36,,1159,细节成功，但缺乏整体性。
某茶君,4,2009-01-04 07:23:32,,541,和原著相比改动很大啊，甚至都很难说是同一个故事了，不过还是看的出来有菲茨杰拉德的那种享乐主义调调。应该说这是一部各方面技巧都比较纯熟的作品，特别是化妆，太赞了！不过看影片的时候总不自觉的想起<时间旅行者的妻子>，都是包着幻想外壳但实质是纯粹的爱情故事。
恶魔的步调,4,2009-01-14 14:18:54,,426,很好，四平八稳，只是没有惊喜.
流空破刃,5,2011-08-30 23:15:55,,531,细节无比丰满，视觉效果，被雷劈了七次的人，水手，妓女，团聚，分开，年轻，衰老，在路上。两个方向并行前进的中心点，时长结构叙事两段人物线索一整个故事所共同构筑的四平八稳。
沉歌,4,2011-11-06 20:34:07,,389,逆行于时间的洪流中，竟也到达完美的终点
大奇特(Grinch),5,2009-05-19 10:48:53,,344,给5星，大卫芬奇的成人童话拍的那么美，美到极致，芬奇把凯特.布兰切特的美也诠释的淋漓尽致。
不生气,5,2022-09-22 23:51:40,上海,233,Benjamin不用上学不用上班的一生
Pearciac,5,2009-08-03 11:53:47,,292,我喜欢这样错身而过的故事，在秋叶纷飞的小径上老年Daisy对小孩Benjamin那俯身一吻时突然泪流满面。
UrthónaD'Mors,4,2009-01-06 10:30:17,,272,真的很精彩，但我看到些阿甘的影子如果我是奥斯卡，给他们最佳化妆和编剧哈哈，可我不是，不过毕竟把pitt画的那么年轻过有那么苍老过，还有cate那么年轻明艳动人过这一点，最佳化妆还真的应当给他们。最后变成婴儿我真的不是太理解为什么会变婴儿，但是最后的新生还是理解的
徐小花,3,2009-01-31 23:43:41,,698,或许我还没到打五星的年龄.结构，节奏是硬伤～～
影志,3,2009-01-27 19:25:07,,293,“你可以像疯狗一样的对周围的一切愤愤不平，你可以诅咒命运，但是等到最后，你还是得平静的放手而去”。平淡无奇，哎，我又麻木了…
刘康康,4,2012-02-12 01:10:05,,305,虽然他们时间之流的方向是相反的，虽然在溪流交汇前，他跟别的女人上床，她跟别的男人上床，虽然在溪流交汇后，他会遇见别的女人，她会嫁给别的男人，但爱情正是在合适的时间遇上了那个合适的人。“很高兴，我没有在26岁爱上你，那时候我太年轻，而你还太老。”让我们用剩下的一生为那刻的相逢而庆幸。
卡卡,3,2009-03-09 00:00:12,,229,野心比成果大。
囧叔,5,2014-08-06 20:00:13,,159,怎么没人告诉我应该直接从1小时开始看？
Charlie,3,2009-02-21 18:52:59,,215,额...最好半小时才觉得好看。
冰红深蓝,5,2015-06-28 15:04:30,,138,一部探讨人生和时间的电影，感人至深。逆向发育返老还童的设定看似奇幻，实则影响不大，毕竟人与人的交集常常只是一个断面。穿插美国历史毫不刻意，比[阿甘]自然大气。特效和化妆极佳。你可以像疯狗那样对周围的一切愤怒不平，你可以诅咒命运，但是等到最后一刻到来之时，你还得平静的放手。（9.5/10）
亚比煞,5,2009-02-06 10:54:33,,123,他以孩童的样貌告别世界。
TimberNord,5,2012-04-21 14:34:16,,110,我心目中最好的电影，没有之一
