user_name,star,comment_time,geo_ip,vote,short
SWX,5,2012-10-08 23:40:20,,11862,这是一只安卓和苹果的故事么。。
徐小花,5,2008-12-27 22:33:27,,7501,把所有的好东西都给eva
Ragdoll™,4,2009-01-23 15:00:46,,5001,乡下文艺小伙儿追求都市女精英的故事……以及……
mon babe,5,2008-11-14 22:54:45,,4752,很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。
岛上的夏奈,5,2015-12-17 07:17:48,,4655,浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。
Connie,3,2008-08-29 13:40:35,,872,機器人談戀愛也避免不了男女搭配的窠臼(叫Eva倒有夠諷刺)，就更不用説亙古不變的雙眼雙手擬人造型...人類的想象力其實很貧瘠
lenlen,5,2008-09-12 09:37:55,,3635,我看哭了。。。
影志,5,2008-11-16 00:30:29,,2415,再也没有比《瓦力》更美的动画片了！谈到Wall·E的来源，导演安德鲁·斯坦顿否认了“ET”或者“霹雳五号”的说法（尽管外形很像），他只承认自己创造Wall·E受到了“小台灯”（Luxo）、双筒望远镜、R2-D2、迪士尼乐园“星空之旅”的机器人、卓别林以及伍迪·艾伦的影响。
Doublebitch,5,2008-10-28 02:52:41,,2104,陈奕迅都为你唱歌了
眼角的花朵,4,2008-07-10 11:35:55,,1685,人类在这个片子里面是处于完全被嘲笑的位置。（其实应该说美国人？）片中的超大型连锁企业BNL在未来已经统一了所有的商业领域。而人类堕落成完全依靠电脑的帮助才能吃喝拉撒的胖子们。而且从小就接受电脑的教育要消费消费再快点消费。这个世界虽然没有Matrix的灰暗，但是其实相差不远。好在人类并非丧失了本性，只是“遗忘”了而已。而WallE和Eva的出现就提醒了他们还有一个“家”，虽然已经满目疮痍，在等待着他们的回归。
🌞娘卷卷🌙,5,2015-03-07 11:13:00,,1948,到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。
阿北,5,2008-09-16 11:26:11,,1065,准备看第二遍
陀螺凡达可,5,2011-12-28 05:12:35,,1026,堪称完美的动画作品。
bamboo,5,2010-03-28 15:27:20,,870,你不知道我有多喜欢这部总共加起来还没有几句台词的动画片
斑斑点点,5,2017-02-23 17:28:12,,629,懒散的舰长道出了人生的真谛：我们不要生存，我们要家，要做有意义的事情！
眠去,4,2008-11-03 08:21:09,,1743,没有引进真是太遗憾了。
股神看不懂,5,2016-11-02 22:24:12,,456,乡村小屌丝恋上了城里的白富美，整部影片既有幽默搞笑又有感动的地方，最让我印象深刻的还是那个有强迫症的清洁机器人，真的很可爱。同时，这部片子还教会了我们保护绿化的重要性，具有很好的教育意义
momo,5,2021-02-04 15:28:20,,314,确实浪漫得一塌糊涂，想哭。瓦力一边自娱自乐一边孤独地生活就是我本人
西楼尘,5,2013-08-21 23:03:15,,292,等你苏醒的日子，比我在地球上的百年还要久。等我记起的时光，比你在太空里的百年还要长。原来牵手就是电极线碰触产生电流，原来跳舞就是消火栓喷射产生动力。生了锈的身体也会激动，液晶屏的眼睛也能流泪。我们不用戴上眼镜吸食补给，只要给你缠满灯泡就能发光，给我传输信号就能复活，有爱就不孤独。
浪味仙,5,2008-10-13 10:33:15,,372,Justneedsomeonewhowilllookafteryou
junepig,4,2008-09-15 16:46:41,,1591,清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi
我坏故我在,5,2008-07-30 16:03:59,,458,walle很傻很可爱，eva很酷。
事儿妈,5,2016-10-07 11:05:57,,288,看完只想把所有好东西都给它……
美丽新世界,4,2009-02-01 00:15:49,,924,地球上最后一個收納歸類狂walle應該是巨蟹座吧。。
巴喆,5,2013-05-21 13:24:02,,205,WALL·E是所有美好人格的象征。9分
褶皱,5,2020-07-28 23:53:44,,157,我觉得Wall.E一开始好孤独啊一个个体在硕大的被遗弃的星球日复一日的重复相同的工作如果没有自我意识就算了可是它会把自己喜欢的废品带回家会看几百年前的录像带😭
徐若风,5,2013-05-12 13:12:28,,143,皮克斯最好的动画电影。
同志亦凡人中文站,4,2012-07-20 20:13:21,,732,呃，能吐句槽吗...剧情，好弱...
ZWW,5,2017-09-08 22:23:34,,226,瓦力瓦力瓦力……伊娃伊娃伊娃……
🔥🔥,5,2022-12-24 23:12:43,北京,138,当新人类已经不懂什么叫生活，两个机器人却在星河之间舞蹈
艾小柯,4,2008-07-04 16:09:58,,952,小瓦力，大人生
