user_name,star,comment_time,geo_ip,vote,short
传奇☂,5,2007-02-27 10:39:27,,12048,看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。
胡如隐,5,2016-05-01 22:09:33,,8346,“金融，工程，建筑，计算，固然很重要，那是我们生存的条件；但诗歌，浪漫，爱，是我们生而为人的原因。”
私享史,5,2008-01-01 11:15:24,,4264,《死亡诗社》最后安德森爬上课桌那一幕哭得我稀里哗啦的，一个刚到口的龙眼就活生生地吞下去了。它和《孩子王》有一个同样的情境设定，但立意确实不同的。《孩子王》里“从前有座山”那段也是让我唏嘘呀。另外，《死亡诗社》的中文配音配得很好，不知道出自哪儿。
珍妮的肖像🦄,5,2008-09-07 08:55:48,,6948,哦！船长！我的船长！
mon babe,5,2009-05-08 16:16:49,,4884,最后大家还是屈服了，但是永远不会忘记seizetheday.
樹一,5,2010-09-19 15:48:18,,2971,我和Nill有个一样的父亲，却从来没有遇见过像Mr.Keating那样的老师。所以我哭了。
理想多钱一斤啊,5,2009-10-16 17:10:50,,2515,深刻并不来自死亡，而来自那对心爱姑娘眸上的深深一吻，岩洞里的昂扬青春，还有生命陨落前那最后璀璨。Carpediem--换个角度，换个心态，不再一样。
有心打扰,4,2012-01-04 03:51:33,,9267,开场精彩，中场尽显疲态，结局来了个绝杀，最后终于反败为胜，深入我心。凶手毋庸置疑是那个“船长”，他教会了学生追求快乐，但是却没有教会他们反抗，他教学生成为一个理想主义的诗人，却没有教会他们现实的残酷。充满理想的开篇却以悲剧性的事件结尾，理想终归要回到现实，并一直被现实压制。
九月五的酒,5,2012-02-26 15:15:25,,2186,后来，多年以后，追姑娘被揍的他成了律师合伙人，继续暗恋过去的女人，被双亲寄予厚望的他终究还是“妥协”成了医生，洒脱不羁胸前刺字的他消失匿迹在茫茫人海，那个羞涩腼腆外柔内刚的文艺青年，一步步蜕变成了文艺中年。光阴飞逝，诗社不朽，Captain，OhCaptain
鱼丸粗面,4,2007-03-28 21:22:29,,4883,选择和别人不一样的路走的人，虽然会感觉孤独甚至会招致歧视，但并不意味着那就是过错——相反，一个真正的英雄往往会选择一条很少人会走的路.大多数的人都在平静的绝望着
薇羅尼卡,5,2014-08-03 20:53:42,,1367,“人无千日好，花无百日红。”为什么Keating喜欢当老师？也许正是喜欢置身于人生第一个转折处，给予他们自己最好的指引。“梭罗说，大多数人都生活在平静的绝望中”，这句话人至中年才慢慢体味个中含义，所以，少年时期的梦呀，爱呀，理想呀，追求呀，努力追问，努力回答，才不枉一生。
路人X,4,2005-07-08 18:37:38,,4525,如果能遇到这样的老师，要积累多少的rp?
kingfish,5,2006-03-23 08:23:34,,1765,明明不是悲剧，就是不停的被感动着
20个小明≯,4,2011-09-25 22:22:38,,1843,有多少孩子的一生都是这样被断送的！！！春风化雨，润物无声，不敢奢望啊…只能说这部片子的结尾收的太棒了，拯救了整部片子！前半部分真心平庸无聊，不愠不火压抑了那么久，情绪全部积蓄在结尾爆发！让人实在无法平静啊…
Ocap,3,2017-03-12 00:50:48,,1136,3.5。对传统教育做教育、激情多于思辨的电影。Neil自杀显然引出更尖锐的问题：当自由理想遭遇现实阻力的冲击，如何避免惨剧发生？这是源于电影本身极为重要且漂亮的自问，却没有自答、没有探索，甚至没有企图抛给观众。这或许仍不失为理想主义的悲歌，但同时也是电影作者“自设台阶不敢踩”的不负责。
宋小君,5,2012-01-08 16:20:27,,850,站在课桌上看到的世界是不一样的。成长的路上一定要打破所谓规矩，抓住当下，及时行乐，即使在别人眼里，此刻你像个白痴。
Sophie  Z,5,2014-08-17 09:53:08,,467,如果能重做一部25周年纪念版，我真希望电影最后会和《历史系男生》的结尾一样，几个已近中年的学生回到课堂说说自己最后做了什么。大概我们会看到傲骨贤妻里的律师，会看到豪斯里的医生，会看到娶了法国女人的小说家，只是这时再也听不到keating对他们的评价。CarpeDiem
赫克托尔,5,2007-03-23 16:42:25,,898,我步入丛林.只想活得有意义.
Yolanda,4,2008-11-03 20:17:14,,2077,这个时候他该怎么办我想，只能去死了。没想到他真去死了。sb一样的父母
荒也,5,2016-10-07 11:52:39,,482,罗宾威廉姆斯手插裤口袋站立在讲桌上的那张黑白照当做屏保背景用了三年。后来某天早上收到新闻提醒，划开手机看到他自杀消息。再后来不久手机就掉了（时隔多年的大银幕重温，感觉重温的不是电影，而是多年前年少的自己。
水湄物语,5,2014-08-24 09:29:02,,465,当然我是看哭了，但是也在想，也许在非常应试化非常禁锢人性的寄宿制男校去倡导拥抱生活珍惜现在是对的，但是，鼓励荷尔蒙水平不稳定的高中生肆意去做想做的事儿真的大丈夫吗？
Q。,4,2010-09-13 06:22:06,,1486,结局相当完美。不需要再多说什么，在荡气回肠的片尾曲中回味无穷，让人思考的好电影。“Captain，mycaptain。”★★★★☆
冉笛,5,2010-10-31 14:38:05,,451,尼尔打开窗户，戴着自己演戏时的荆棘王冠，赤裸着上身的他张开双臂感受着自然之风的最后一次吹拂，他在最后感受生命的意义。这一刻的眼神坚定的告诉我：没有了梦想的生活比死亡更让人可怕
