user_name,star,comment_time,geo_ip,vote,short
赫恩曼尼,4,2012-06-29 14:18:40,,3817,中国不是没有好电影，而是真正好的电影没有在这个社会喘息的余地。竟沦落至此，天涯同道，难语归途。友庆死掉的那段，泣不成声，不忍卒读，他们逃不过。
沉歌,4,2014-03-24 17:13:09,,3792,长太息以掩涕兮，哀民生之多艰
余小岛,4,2013-04-28 18:18:47,,1399,活着就是他妈遭罪，可死了又不甘心。
西楼尘,5,2015-06-23 22:22:35,,6936,国家走了一小段弯路，对于一代人就是蹉跎了一辈子。生活不易，还是得这么活着。笑中带泪，死人堆里暗暗许下活着的誓约，可谁也不曾想大环境下生活的艰辛。国师在第五代导演最好的时期奉献了极其有温度的作品。经年以后，鹤发的富贵摇着蒲扇回想那天不让有庆上学，少买几个馒头就好了，可生活不曾回头。
Lan~die,5,2009-01-25 17:28:31,,4447,活着就是受罪活着就是劳累活着就是互相折磨活着就是不对活着就是受罪活着就是劳累活着还得互相安慰活着就会憔悴活着就是受罪活着就是劳累活着就得拼命挣扎活着就得干脆——尹吾你笑着流出了泪
艾小柯,5,2006-06-16 01:33:13,,6608,个人认为是张义谋最好的电影。
momo,5,2016-10-23 09:48:39,,4232,演员选得很好，巩俐演啥像啥。但整体没有小说感人，可能小说太残酷了吧。兴，百姓苦；亡，百姓苦。活到最后的人，往往最痛苦。
狷介有乌青,5,2011-11-27 00:04:27,,3308,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。
巴喆,5,2012-06-28 12:41:16,,3215,（短评已多次被删）
柠檬海盐,4,2017-05-02 19:52:29,,1067,历史背景太严肃总觉得下一秒就会是悲剧一路想着这么看完反倒有点释然
影志,5,2005-07-22 01:47:20,,2103,活着就是一切！戛纳评委会大奖，老谋子最好的电影。
小耳朵图吗,5,2008-09-02 23:13:25,,1672,改编自余华的小说【活着】。很好看。书和电影都好看。活着的人比死了的人还痛苦。我觉得是的。
kk,5,2018-10-02 23:18:26,,626,有庆死的时候，福贵在有庆的尸体前大喊“爹来了，有庆叫爹啊有庆”，家珍被人群拦着，拼命地想看看有庆最后一眼，哭着喊着“让我看看，有庆，让我看看”，然后她看着被血染红的白布盖着他的有庆，从她面前走过。我想起小说里那天晚上，福贵背着死掉的有庆往回走，深夜里他坐在村西的田埂上，一遍遍的看着他的儿子最后在天亮前，悄悄地埋掉了他，他怕死掉的有庆带走重病的家珍。后来家珍让福贵背着她往村西走，家珍说“我夜夜听着你从村西走过来，我就知道有庆死了”，夜晚他们站在村口，“有庆再也不会在这条路上跑来了”，那条路，那条有月光撒下来的路像是撒满了盐。小说里重病的家珍没看到有庆最后一眼，也没看到凤霞最后一眼，电影好在让妈妈再痛苦也最后一刻陪着孩子。电影的福贵没那么悲惨，最后他的家珍还在，二喜还在，馒头也还在，真好。
shu,5,2008-01-13 09:39:00,,1054,从一开始不可能让人哭，我就哭得一塌糊涂，因为这部片，又不全是。
尉迟上九,4,2017-08-13 22:37:32,,522,半个世纪过去了，我们依然身处在这个荒诞可笑的社会里，一直都是活着，从未走进生活。
朝暮雪,4,2012-08-07 16:04:10,,466,如果你觉得自己很惨，那就去看看《活着》。
Andre,4,2014-10-17 23:27:33,,232,因为是电影，所以皮影和箱子做线索好。////其实我想到的是“贫贱夫妻百事哀”——当然要我去过这贫贱日子，我也会去过。/////小说再怎么说也是属于少数人的悲剧故事，而电影则是属于大多数人自己的故事，更有质感，更加震撼。这电影太陕西了。
小A,4,2013-10-23 03:49:25,,211,少年凤霞这小姑娘真水灵啊（大了之后也挺美的），这是唯一的亮点。故事和卡司是真不错，剧本是真糟糕，镜头语言很生硬，不知是编剧、摄影师还是剪辑师的问题，正反打视角不符合逻辑，每场戏都讲不透就换到下一场了。剧情贪多嚼不烂，跟《蓝风筝》一个毛病。
冰红深蓝,5,2015-04-25 15:20:35,,671,张艺谋最好的作品，即便不少广播标语甚至背景无法翻译传达给外国人，仍然斩获戛纳评审团大奖，葛优也凭借超凡的演技加冕影帝。即便小说和题材占得不少先天优势，老谋子的改编依然居功至伟。影片配乐带入感极强，摄影沉稳大气，黑色幽默里满是政治讽刺，平实质朴中尽显悲凉无奈。（9.0/10）
暖鱼,5,2006-03-03 17:05:24,,1381,看一次骂一次
美好时光只为你,4,2017-04-25 22:18:06,,193,因为老谋子的改编，是影片看起来没有原著那骨子压抑的绝望，更温情了一些。
UrthónaD'Mors,5,2012-02-26 12:18:09,,702,有些人活过来了，有些人死去了，命运，往往不肯将幸福给予善良而又卑微的人们。反而叫那些人们一惨到底。。。
王喝冰,5,2020-12-21 14:39:41,,457,说真的，任何一个国家把这样一部伟大的电影禁掉都是这个国家的耻辱。
陆钓雪de飘飘,4,2015-08-02 03:01:51,,131,眼看着时间越变越少，家里面还有那么多人，急得很呐还不死绝，没想到就没了。禁个屁啊反映的真实面不过三寸。
方枪枪,4,2009-09-12 14:05:12,,114,电影虽然已经看哭我好几次，但整体来说还是没有小说好看！
匹诺曹,3,2008-08-06 10:55:41,,1736,没有原著好看啊
A小姐,5,2011-02-03 04:24:19,,466,对于生活在我们这个年代的人来说这无疑是一部科幻片（文革很科幻··）
。,4,2021-09-07 18:18:24,,86,电影还是温情了，个人感觉温情了这个故事就变味了，原著是高中的时候熬了个大夜囫囵吞枣看完的，无数次希望升起，无数次希望破灭，人在时代面前很无奈，不是想要好生活，就能有好生活，福贵以前是个怂包，日子却过得有滋有味的，后来越来越靠谱了，生活却没好起来过了影片改编以后淡化了福贵个人的成长，变成了一部年代记，略显平淡
青葙,4,2018-01-18 14:43:44,,73,和原著有些差异，但电影改变无可厚非，给里面演员的演技打call，特别喜欢凤霞，有庆的设定我更喜欢书里面的，这孩子死的时候哭死了😭
lynn,5,2016-11-06 19:45:00,,348,先看的小说才找出这部电影来看很喜欢余华的小说大多写小人物的悲欢离合这里主人公一家子的命运看小说更能体会我记得那个老爷爷弓着腰吆喝牛日出而作日落而息一日复一日土地旁的墓那里有他的父母妻子女儿儿子他们沉睡着似乎能听到老爷爷的吆喝声
FloriaZENG,4,2013-02-02 13:59:55,,80,被书虐完后硬是撑着看了电影葛优不愧是因此片而成影帝的一个眼神就能映照出苦难的面目但是不太喜欢电影为了控制节奏而改了许多剧情还是无法表达出余华对生命的理解。最后，禁片还是有原因的啊，还原了历史的原貌，看了对体制牙痒痒。
same ,4,2016-11-03 11:36:00,,74,活着是最好的交代。在这部片子里找到了巩俐的风采。没有荷尔蒙的影响却依旧使人感触万千的电影。
樹一,5,2012-07-13 23:29:22,,271,就算生活已经千疮百孔，中国人还能隐忍地活着，哪怕这些荒诞和苦痛都是由自己亲手砌起来的。传说这是张艺谋最好的一部电影，大概就是好在把那些人们已经闭口不谈或者选择性遗忘的东西拿出来说，而且说得隐晦而丰满吧。
临素光,4,2018-05-21 13:40:06,,49,几千年来，老百姓都盼着鸡变成鹅，鹅变成羊，羊再变成牛，牛最后变成什么？早些时候，是并耕而食，是小国寡民，是天下大同。到后来却让鸡不成鸡，鹅不成鹅，羊不成羊，牛不成牛，人也不成人。
forever young,NaN,2008-02-01 12:53:14,,486,当年输给《低俗小说》的电影
Lies and lies,3,2008-07-25 11:52:01,,96,私认为有几处可能是无奈的改动减低了对于“活着”这一母题的表现力。一是福贵的职业由农民改成了小贩，这样失却了一种人与自然的紧张对抗，失去了《裸岛》般的冲击力。二是大跃进只表现了富足，没表现饿？可能对于知情者来说，后面的事实都知道。又抑或那块烂钢就有所预示。但我觉得还是不应该放过这一强烈表现活着的片段。三是最后留下人太多啦。。这样原著的活着的苟延残喘性被转化为了生生长流。相对更像活下去（toliveon），而不是活着。医院那段戏改编得很好~值得表扬。总体上影片重心已移位到红色批判。
雪里花蕾,4,2018-05-31 06:53:28,,51,一部很走心的电影，剧中的家珍遇到任何事情的时候都没有埋怨过富贵，默默的陪伴相守，引起我们的反思。
驻马店凯鲁亚克,NaN,2007-12-04 04:46:51,,191,不曾觉得那样算活着。
小墨MO,3,2013-08-14 17:51:28,,78,对比书来说“残酷”显得太薄弱了。余华的语言太美，塑造的乡下太美，选择的叙述方式太美。主要是我喜欢这个故事的主要原因，是福贵讲述自己一生时，那样清醒，沉着，不自哀的态度。
Ocap,4,2016-10-04 01:32:01,,23,4.5。最珍贵和区别化的就是土气，一种通俗又不浮躁的土。仅论艺术价值会低于很多同类，却必是使我在内容上收获最多的一部。那么多年，时代一直在影响个体，而个体对时代的唯一影响或许就只有“顺应”，不抵抗永远不意味着不抵抗。活着太难了，活着就好了，家一直不得不为国，但家总不是因国生的啊。
寂地,5,2006-01-01 17:45:34,,490,不看的话人生就不圆满!
黄金大白菜,3,2012-08-30 11:52:55,,63,我从来都不觉得张艺谋的活着拍得多好，无论你怎么说服我，我也不明白为什么很多人都称赞它的伟大，我需要回应的是：拜托，你去看看原著，就知道电影的差距。伟大的电影是什么，看看肖生克救赎的原著吧，斯蒂芬金写下的字还不及摩根旁白的一半。
杨迪,5,2015-04-08 13:31:20,,299,才看。一个月前看了原著，都好都苦，都要顽强的活着。
阿尔七,5,2022-11-28 23:10:00,浙江,137,看见一个评论说，国家走了一小段弯路，一代人就蹉跎了一辈子。也会恍惚理解为什么老一辈总是希望小辈们安稳，稳定。这是他们基因里曾经缺失的东西。
甜椒Oli,5,2017-03-26 15:03:57,,122,风雨飘摇社会动荡都不是借口。你要告诉我那个时代有多压迫那个时代有多难堪那个时代有多不公我想说你让我看到的只是大家没有改变反抗的想法哪怕是一点点。
张老实,4,2017-04-03 22:47:08,,21,前40分钟非常好，值得称赞的两个镜头一是刺刀刺破皮影幕布，二是战场上黑压压的人跑在雪地里处理很棒。后面内容略微有点水，结尾处理反倒弱化了悲剧色彩，难道是艺术处理后坟头上长出来的那朵小花？免得让观众过于悲观？（可以肯定我看的是删节版！！）另，演员的表演太好了，增色不少，姜武尤其好
国王KING,5,2015-10-12 00:41:33,,130,一部2小时的电影，记录了近代中国的变迁。忘不了巩俐在深巷里的痛哭。一户人家，命运经历了大起大落，痛苦有过，幸福也有，终究还是活着。此时此刻我们都活着。
思路乐,5,2018-11-17 21:20:34,,51,【A】不愧是张艺谋第二好的电影，剧本、演员、摄影、艺术成就都好的不能再好了。剧本上有余华的原著加持，虽然还是迫于审查压力对结局进行了大改，但仍是顶级的电影改编剧本，兜兜转转中依旧充斥着直击人心的力量。葛优与巩俐不愧为中国最好的男女演员之一，角色的年龄跨度之长、内心转变幅度之大、最终完成度之高，无不令人惊叹。至于摄影和艺术成就，我觉得比张艺谋以后所有古装电影都好。在光影的配合下，屏幕上的那个世界从头到尾都透露着一种坚韧的生命力和荒诞的时代感。其中两幕刺刀刺进皮影的镜头，寓意极深。以皮影代指富贵的一生，这个点改编的极好，极好。唉，好歹当年这样的电影还是给拍的...
薇羅尼卡,5,2006-01-08 22:41:37,,123,活着究竟是怎样呢？生活在现在的我们应该庆幸的不止一点半点吧！
LORENZO 洛伦佐,4,2010-12-20 10:11:40,,24,希望有更好的反映中国时代的电影。不仅仅是一部《活着》。
焚紙樓,4,2016-11-08 06:35:40,,8,一如往常地，再次拿這片來當學程教材。一如往常地，開頭賭輸家產這場戲播完，學生都醒了，卻輪到我開始昏昏欲睡再無認真看下去的興致......
爱情海,4,2017-03-26 11:38:49,,29,好死不如赖活着，活着就有希望。
醋梨儿,5,2022-06-22 21:49:41,,49,挺牛逼的，三十年前的电影拍的几十年前的故事，跟今天正在发生的事情相差无几。看到每一个关键性时刻的时候就紧张，在心里着急，盼望角色活下去，挺过这一关。仿佛如果他们能挺住，现实的这一刻也就有了希望
尽欢,5,2018-04-05 01:21:32,,121,活着是为了什么啊。就是活着啊。活着，就已经用尽全力了。
一蓑烟雨任平生,4,2018-05-30 22:15:12,,18,很好的还原了书本的画面和情节，不错的片子。
凯文怎么了,5,2022-05-01 15:03:10,,84,感谢老谋子最后不杀之恩
zzfznp,5,2017-09-14 15:00:30,,83,书是十几年前看的，把我看哭了好几回，唏嘘不已。前几年老婆也看这本书，然后躲被窝里没完没了的哭，说太惨了太惨了。我说惨的还在后头呢，她就哭得更来劲了，最后看完哭得双眼红肿，说怎么死绝了？所以我决定不再看。结果今天看了电影版……演得真好。结局也稍微改了一下别太惨了。这片现在过不了审。
偏要勉强,5,2018-05-30 22:10:39,,109,自认为是张艺谋最好的一部作品，巩俐和葛优的演技不用多说。真是活着遭罪，死了不甘。
铃铛,5,2018-04-08 23:51:15,,43,人啊，活着时受了再多的苦，到了快死的时候也会想个法子来宽慰自己。
