user_name,star,comment_time,geo_ip,vote,short
隆咚锵,5,2007-02-26 00:54:43,,16342,某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园
杜边生,5,2007-11-17 03:00:33,,9968,如果我把吉他练熟了，就可以不用买打火机啦
杜扬Seatory,5,2006-10-20 22:58:33,,7441,每个人的心里都有自己的一艘船一个近乎偏执的小归宿只是因为它让我们感到实实在在的安全不致无枝可依。
Zuschauerin,4,2007-03-12 18:11:47,,18215,我总觉得这是一个真实的故事，因为他的懦弱，懦弱得真实。
朝暮雪,4,2012-08-07 15:43:51,,5165,在船上出生，在船上死亡，他是一个从来没有存在过的人。第一次放弃下船，他放弃了财富和名气。第二次放弃下船，他放弃了生命。人们把音乐当成一种比赛，他不在意虚名和输赢。人们想利用他的才华致富，他不愿意让他的音乐离开他。人们浪费了太多的时间去问“为什么”，他想活得简单点。宁愿一生孤独，不愿随波逐流。人可以下船，但是不能离开大海。每个人的心中都有一片海，而他的大海是音乐，是钢琴，是那个女孩。
石头星,4,2017-02-08 17:43:50,,1487,尤记得男主在船舱里弹琴，望着甲板上的姑娘，画面、音乐、意境如梦如幻，还有斗琴那一段。但是明明进一步就可以海阔天空，非要退一步万劫不复，孤独着自闭着，害怕离开旧时的生活，无论如何不支持这样的选择。
寂地,5,2006-01-03 16:34:09,,5041,又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．
明珠一颗孙小美,5,2005-09-01 22:36:02,,5083,最喜欢的电影，喜欢，不是之一，而是唯一
幕天席地,5,2017-03-17 08:52:27,,3495,键盘有始有终，你确切知道88个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！
眠去,5,2008-12-19 19:10:57,,4020,我就爱他说，fucktheregulations!!
事儿妈,4,2016-09-19 15:42:54,,790,对于一个父母不详的孤儿来说，汪洋大海之中只有那艘船是他唯一的依靠，这艘大船已经不仅仅是他能证明自己价值的舞台，更是他的整个世界。离开了大海和大船，他的整个世界便立即崩塌，这便是他完全走不出那艘大船的原因。
boliang,3,2006-07-17 13:16:54,,2200,给大众看的艺术家电影，很多煽情与细述很不必要，但是很多人喜欢
托尼·王大拿,4,2014-04-17 12:26:41,,460,托纳多雷拍了那么多电影归根结底其实只是一部电影：时过境迁，物是人非，回忆永存，往昔不再。是一段传奇，但也只是一段从未踏上真正土地的传奇，显得没有根基；镜头运动棒得就像手指抚过琴键流淌出的美妙音乐，不过这片子的成功大半还得记到莫里康尼账上。
诸葛若见,5,2011-12-18 16:31:54,,3010,每天睁眼，去面对这个世界都需要勇气。
岁月如歌,5,2015-09-25 18:25:49,,2875,当一个人习惯了孤独，那么让他融入人群等于杀死他
内陆飞鱼,5,2012-08-28 20:14:42,,2128,1998年有两部关于大船的片子，一部以全球票房大热胜出，一部以文艺情怀成为经典，我喜欢后者。
白日梦小姐,5,2007-12-19 17:26:48,,1972,我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。
夏小暖,5,2015-02-24 17:11:05,,1641,很多年前看的时候怎么都不懂1900为什么不下船，今天下午重新再看了一遍，居然特别感同身受。其实，我也从来没有下过船。
Ocap,5,2014-04-30 21:39:16,,484,感动，不再得以用流泪表达。当他在死神面前，临空奏下一曲时，我会心一笑。伟大的人，在这世间何以存在？逃脱名誉与金钱包笼的唯一渠道，非是离去不可。众生念想与膜拜，都不会在其心上，他一个人自得其乐、以自己的思想为信仰，无论生死，都将自己紧紧捆绑在88个琴键之间。
赫恩曼尼,5,2012-06-29 15:20:55,,380,我们习惯了陆地、喧嚣、身份认定和稳定的城市居所，“所有那些城市，你就是无法看见尽头。尽头？拜托！拜托你给我看它的尽头在哪？当时，站在舷梯向外看还好。我那时穿着大衣，感觉也很棒，觉得自己前途无量，然后我就要下船去。放心！完全没问题！可是，阻止了我的脚步的，并不是我所看见的东西，而是
大宸,2,2007-11-08 17:51:25,,1052,也就音乐还算可以，TimRoth太猥琐，不适合演这种文绉绉的角色
九尾黑猫,2,2008-03-19 00:34:26,,1590,不喜欢，没共鸣。
囧囧有神晨小咩,5,2014-07-10 23:20:17,,470,最爱的两幕：那个风雨交加的夜晚，他们坐在钢琴椅上，和大海跳着华尔兹；还有那天他看着窗外停留的姑娘，写下那首无名曲。手机还里保存了MagicWaltz那段视频。这不是一个悲剧，因为大海是他的归宿。
Ridden,5,2007-08-27 18:48:03,,584,1900，不特别的特别存在着。
匡轶歌,5,2006-10-19 00:49:13,,225,13年来刷过不知n多遍，今天首度在大银幕上重温。只有这部电影，真真正正讲述了一个“我不愿去”的故事——“有我所不乐意的在天堂里，我不愿去；有我所不乐意的在地狱里，我不愿去；有我所不乐意的在你们将来的黄金世界里，我不愿去”。一个人或许可以选择“下船”，但他永远无法离开他的“大海”。就像你永远听不见呼号在你血液里的海浪声。
愿赌服输,4,2018-02-03 14:58:19,,448,男主弹钢琴技术和配乐简直可以称得上完美，对于我这种手控来说，福利啊！原来真的有人会一直坚持自己的意志，佩服，再说一遍，里面的配乐真的太美了
欢乐分裂,4,2019-11-15 14:21:42,,176,#重看#4.5；依旧被无敌配乐和质感光晕煽得泪意充盈，tornatore的煽情功力和过于冗余的抒怀一样著名。完全以浪漫写意的方式讲述这块流动空间自20世纪初到二战后的神奇经历，1900是这个“倒霉世纪”的开端，生命中最美好的时光就是一战到二战之间短暂的黄金时间——衣香鬓影的派对狂欢，大爵士乐队呈现的荣光盛世，与Max结尾目睹的昔日锦簇成废墟（“原来是姹紫嫣红开遍，似这般都付与断井颓垣。”）、取回小号消匿在昏黄纽约街道的身影成对比；Max作为见证者和叙述者，旁观角度+多年后闪回的“隔空”转述再添传奇色彩。不愿踏足陆地不仅因为边际无尽，更在于1900正是goodolddays告罄的标识，锈斑大船和“不存在的人”消失于大海，旧时代结束，第一个喊出“America！”之人的新时代马上来临了。斗琴段落视听精彩，人戏合一。
Mr. Infamous,5,2019-11-09 20:07:47,,171,那时刚上大学，初探电影，这一部让假期在家的我感受到一种强烈的骄傲、孤独与烂漫。时隔百八年，竟然还能在影院等来修复版。再不会有哪个故事衬得起那个雨夜，钢琴如同船中船，以琴键为桨，一时一世的自在都在旋转。繁华也好，窘迫也罢，音乐无界限地跳荡，误过的终生，也有沧海的意思。他始终没有去陆上，那个有鲨鱼，有妈妈这种最好的赛马，也有关押无子者的孤儿院的世界，那个趋近无限而无从抉择的世界，就像是用一种固执的浪漫，成全了一出艺术的悲壮，而我们共同仰视了那条别无他法的绝路。四星半。
高压电,3,2012-10-03 02:42:18,,1768,最长的一版完全是顺着煽情的每一个Ｇ点往下走的，坏处就是高潮多了人也会厌的。另外从小就好奇男二的眼睛为什么会小范围打转。
ZZS,2,2009-04-06 11:50:53,,390,不伦不类
巴伐利亞酒神,4,2019-11-15 22:21:03,,229,15年后再看，三星变四星。并非人老了容易感伤，也并非大银幕委实过瘾，而是这一次，真正感受到一种关于“终极自由”的探寻。1900并非厌倦俗世，他成长经历太特殊了，因此塑造了一种独特的思维模式。他只能活在“有限创造无限”中，而不能遵循一切未知的生活，这让他恐惧。哪怕一辈子不下船，住在像监狱一样的舱室，但他的心灵却是无限的，这就是自由。相反，船员们会不顾一切地冲向陆地，在妓女和酒精中寻求身体上的自由，但内心真的就是自由的吗？
Cactus,1,2012-10-03 21:04:54,,791,这么多年我还是没有看完这部高分片……从一开始的故事带出演员表演方式我就知道不是我的菜越往下看越觉得有些刻意矫情导演的人生哲学暂且不提单说讲故事的方式就像小学生作文一样刻意那种流于表面的情感根本无法吸引我更别说被打动了。
小波福娃,NaN,2007-10-29 18:18:06,,442,令人感动的宅男，让我想起了树上的男爵
多看电影爱电影,4,2017-03-17 08:26:39,,332,1900的人生就像一面镜子，极端地反映出现代人心理中最黑暗、最隐私的那一部分消极思想情绪。
Rilkelee,1,2011-10-01 17:11:42,,20,抱着极大的期望去看，带着极大的失望而归。骨子里散发出来一阵萦绕不去的通俗。这根本是通俗化的天才，通俗化的钢琴，通俗化的音乐，通俗化的人生，更糟的是这种通俗化却带给许多人神化般的体验。
亵渎电影,4,2019-11-20 01:51:27,,146,还是第一次看这个125分钟的版本，剪辑上和印象中不太一样，用麦克斯最后那条在弃船上寻找1900的故事线串联整个回忆，把1900一生的几个部分分开呈现，感觉并不如长版直接展开1900的故事那样叙事上不着痕迹，但依旧是一个完整的故事。最后片尾字幕的时候在等那首Lostboycalling，结果在这个院线版里这首歌并没有。真希望国内以后可以多上一些这样的经典老电影，比那些乱七八糟的新片靠谱多了！
高歌,5,2008-08-01 23:15:46,,320,眼角带泪看完重映。感觉，九十年代的电影有一种魔力，能唤起你内心深处对电影最初的感动。
橘猫爱吃鱼,4,2018-02-03 09:45:02,,231,非常喜欢它的配乐，钢琴和小号的音色能够演绎出如此华丽的乐章，这在电影中还是首次看到。
七姐Claudia,2,2016-11-10 18:50:57,,141,这部电影对于我个人非常有纪念意义，它令我惊觉自己的改变。那种宁愿守着旧梦死去也不愿意走向迷茫未来的懦弱，令我哀其不幸怒其不争，你哪儿都还没去怎么敢装逼。于是曾经爱过的人和电影，便都不爱了
再来一块烤白薯,3,2008-04-27 01:54:53,,206,ＭＳ肖申克１０周年，此片，《肖》，《迷失东京》三部连看，可惜皆有徒有虚名之叹。
小耳朵图吗,5,2007-08-21 07:02:12,,261,GiuseppeTornatore三部曲之一.电影院上映了来看了遍曾经那么想当个船员
杨迪,5,2012-07-24 23:12:42,,262,看的越多越放不下，大家都迷失了。
胡子大王,5,2005-12-09 20:28:38,,319,疯子电影一根筋
乌鸦,4,2021-05-03 11:33:32,,133,有亿点点矫情。在艺术家的世界里，我认为最浪漫主义的，还是有一个会偷偷藏起你毁掉的唱片、你要下船时送你自己最时髦大衣、永远知道去哪里找你不会放弃你的胖子。
齊克斯尼力佐飛,3,2010-09-21 00:11:47,,231,逃避也能被说成伟大？懦弱也能成为共鸣？浪费我三小时！两个三小时！
momo,5,2016-10-31 11:54:29,,250,多么希望男主可以活下来，但毕竟轮船才是他的家。
春风绿江南,3,2017-06-01 19:40:19,,161,很一般嘛而且我觉得片子拍得太做作了……
HHG🥱,2,2014-01-30 00:20:12,,42,A.#讨厌马克西姆的一千个理由#B.塑造人物也太失败了...1900是上帝本人吗都没有成长过程的。C.Ihatetediouslegends.D.Allthoseclicheabout“LOVE”E.煽情煽情过度煽情呵呵大F.TimRoth演的不算好。还是跟昆汀玩儿吧QQAQQG.但是运镜啊布景啊光影啊都完全decent。这个值得赞很多次
丁吃饭,2,2019-08-09 06:04:23,,35,我不喜欢这种旁白、不喜欢装x的剧情，不觉得钢琴竟然可以通过弹得快慢比较高下，不喜欢一见钟情的爱情，不能理解乐器行老板突然变得有情怀，不能喜欢这部电影
在你身体里冲刺,5,2015-11-15 01:08:29,,160,1900说，你看陆地上，有那么多条街道，横纵交错着，太可怕了，我看不到哪里是尽头。可是明明，在一个游动着的岛国一般的船上生活以此为家才更孤独更可怕。我想，这大概是我穷极一生也不会懂得的宇宙级的浪漫和孤独。他的灵魂和船融为了一体，这也许是他最好的结局了，他应该被历史铭记，却不适合未来
雨果,4,2016-12-05 00:02:06,,94,每个人的心里都有自己的一艘船一个近乎偏执的小归宿只是因为它让我们感到实实在在的安全不致无枝可依。另外，钢琴弹得越快越牛逼，那还要肖邦干啥？
西楼尘,5,2013-08-21 22:29:50,,119,是经典，是传奇。这个才叫念念不忘，必有回响。
徐若风,4,2013-02-03 08:48:53,,37,(导演版)天才和凡人间的差异不过一念。不大理解剪辑的思路，繁冗的结构太掉价。/2019.11.16(影院重刷两小时版)六年前时看不出来的一个巨大的寓言体——“世界经过我的身边”，短版真是比导演版好不知道多少。
爱好喷废物,2,2019-02-05 04:28:49,,37,剧情矫情至极，斗琴看着犯尴尬，不明白这样的片有什么可吹的，IMDB上都达不到top前250在豆瓣竟然top13？真服了国内这帮电影白痴了，以为跟风吹小清新文艺片就能给自己装B了？跟风吹属实弟中弟，这种业界水平中下的电影，纯粹导演意淫向，《返老还童》作为同类型的人生电影秒杀你这意淫片
股神看不懂,5,2016-10-31 08:24:33,,158,挺喜欢的，之所以到最后都没离开，应该是船上有太多的记忆难以忘怀了，从他被抱起的那一刻开始就注定是属于大海的了
冰红深蓝,4,2015-06-22 15:29:24,,42,托纳多雷的“回家三部曲”之二，个人觉得差《天堂电影院》远矣。孤独纯真与世无争的天才钢琴师、随波逐流飘浮于船舱中的钢琴、浩瀚大海与逼仄游轮、纷纷攘攘无限广阔的钢筋水泥森林...本片是一部符号化的寓言，也是对文艺范观众的满足。莫里康内的配乐竟然首次让我喜爱不能，又被赚了眼泪。PS：2019.11.29大银幕重温短版，观感差不多，还是觉得剧情不能细究，过于表面化。不过最爱钢琴师录制唱片时边痴望着舷窗外女子边弹琴的段落。（8.0/10）
爱情海,4,2017-03-11 09:33:11,,124,活在自己的音乐中、活在自已孤独的世界中，他的人生是耐人寻味的、感动的。
Qing,5,2016-11-19 23:42:45,,111,这部电影意外地合我胃口，可能和我弹钢琴有关系吧，有时候听着听着就能听出钢琴曲中的情感，电影里面的钢琴曲都很美啊……唯一的不足就是别对我撒谎先入为主了吧，1900的纯粹和质朴还少了点火候，但不可否认关键的剧情里他的眼神戏很足，能代入情感！瑕不掩瑜，是一部值得慢慢品味反复观摩的电影。
别人老公,4,2017-03-26 09:16:16,,130,是音乐让人孤独，还是孤独的人喜欢音乐
影志,4,2007-02-28 15:30:45,,42,大学里《西方电影分析》课上老师放太多遍，反而没感觉了。
南笙,5,2012-06-22 17:10:21,,119,天才都是孤独的，天才都是被另一个天才发现的
媛木子,4,2017-03-11 16:24:59,,40,托那托雷三部曲之一，这种天才和孤独作为凡人其实是不能理解1900的，但是对那种内心的徘徊刻画的非常好。
世界尽头,5,2017-06-08 18:54:56,,88,音乐动人，情感真挚
qw0aszx,3,2015-06-04 14:20:31,,122,典型的影迷口碑虚高平庸片，MTC58分和烂番茄的54%不是白给的★★★
紫苏バジル,3,2015-09-23 21:53:55,,111,叙事方式抄袭泰坦尼克，钢琴弹得飞快就是好，把懦弱美化成坚持。总之我觉得这部片子担不起这个评价，我虽然也是个社恐，但是我每天都打起百倍精神去应付这个操蛋的世界。我们要死皮赖脸地活下去不是吗。不过那个画从墙上掉下的隐喻还是很喜欢的，爱情来时的钢琴曲也真的很美，让人想起肖邦。
烛光前,2,2019-11-24 19:12:40,,24,这部传说中的经典我从来也没有完整看过，这次找了个夜场补上了。问题极大，首先是表演，Roth的作品这么多年看下来永远一个样子，演什么都是他自己，我看不到1900这个角色；Max的演员很入戏，但是找这个无法控制自己眼球活动的人真的明智？再说叙述结构，很熟悉吧，从泰坦尼克号来的，只是这部里的旁白很多时候不知是Max对谁说的；最可怕的是对爱情和音乐的描绘，鬼鬼祟祟潜入女舱偷吻姑娘？你在逗我？不是背后有煽情的音乐就纯真了，这是非常恶劣的行为。对音乐更是亵渎，首先，这种天生就掌握全部音乐理论与复杂和声的神童不存在，音乐是刻苦训练昼夜思考才能得来的，其次，斗琴？琴弦能点烟，这简直就是给小学生看的动漫的路数啊，音乐是和谐与交流的艺术，不是斗出来，现在连动漫都不这么演了。结尾的那一套我也不买账（下续）
安东尼,NaN,2007-08-13 12:04:19,,112,就不应land要我说
momo,4,2016-12-31 13:17:41,,53,“Fuckthelaw”“Fucktheregulations”
听君一席话,4,2018-01-13 10:03:07,,39,画面很震撼剧情很感动值四星半
aicbgyihai,2,2011-05-02 14:37:13,,39,冲着莫里康内的配乐看的，电影本身实在欣赏不来，timroth那样子太痞了，深切怀疑这片靠OST骗了不少分
黑腹果蠅,3,2022-02-27 21:06:35,,45,想了很久还是难以共情。这不应该只是一个伟大而令人惋惜的故事，更应该是一个懦弱、逃避的故事，但电影好像只想把男主塑造成一个坚定自我，干净纯粹的具有神性的完美人类，我更希望看到他在放弃下船以后的某个夜晚无声痛哭，哀叹自己仅有的希望幻灭。
冲浪小子Z,5,2018-05-07 14:49:09,,150,海上斗琴，我还能再看500遍
🦋,5,2021-07-06 11:08:40,,101,极简主义的世界里的王者他不是懦弱只是懂得取舍他知道人生能够掌控的东西不多88个钢琴键发挥极致的技术船头到船尾的距离一个吹小号的老友一段注定不能上岸的感情和年月漫长的孤独这些就是他人生的全部
此生未命名,4,2021-02-06 23:41:50,,60,一个姑娘在轮船上遇到了一个奇怪又有点可爱的男人，慌乱之中只能告诉他自己的地址，然后等着他来找她。可是这个姑娘等了好久好久，日复一日年复一年，中间经历过了战争、结婚、生子、生离甚至死别。她偶尔还能想起父亲说过他是位伟大的钢琴家，她还好奇那天他到底要和她说什么要送给她什么，或许心中还始终留存着一个浪漫的期待，可是不知为何他却从未出现过，更无从寻觅。她可能不知道的是，那个人早在好多年前就轻易斩断了这根情丝，他没有发生意外没有无奈，他只是没有来而已。他没有下船。他从未下过船。
🌵🌵,4,2019-11-10 18:36:38,,16,三星半，“若非大银幕这辈子可能都不会点开”系列，这部电影很好地解释了为啥意大利大师那么多唯独托纳多雷火遍全中国：恢宏的个人史诗气质、富有传奇性的超能人物、让人若有所得的至理名言，以及，大气纯熟的导演技法。我也无比理解那些厌恶本片的情绪：假借高概念引人入梦实则根本不关心艺术、巧用大叙事格局遮蔽时代背景和现实环境、营造怅然忧愁的时光逝去感掩盖喻体的符号本质。
圆首的秘书,3,2010-02-19 14:11:41,,43,朱塞佩的文艺还是太过直白了，无论是剧情设置还是镜头语言都是如此。一些完全可以让人回味无穷的行动最终还是用各种各样的语言讲了出来，档次真是降低。而且不得不说，越往后越矫情，搞得不好。海上钢琴师有一股莱昂内的味道，尤其是音乐让人瞬间想起美国往事。唯一不变的就是莫里康内啊。
KID Y,2,2019-11-10 17:02:11,,38,5.1院线版，最典型的伪经典电影，无聊不可怕，无聊又流水账还没有情感才可怕，更可怕的是这些都没有讲清就开始煽情，蒂姆罗斯的表演太糟糕了，装逼不说，他根本没有一秒能让我感觉到这个男人没去过陆地，分全是给莫里康内的配乐的，这片能有如此高的影迷口碑简直匪夷所思
己注销,5,2014-07-22 08:54:25,,73,有些人从陆地到海上寻找更广阔的世界，有些人在陆地聆听海的声音，而海上的人却对无限延伸的坚实土地有着对未知的恐惧。船就是他的琴键，他不必下船，世界自然从他身边经过，世界不必知道他，他却可以从船上从琴键中读懂这个世界。琴键是有限的，音乐是无限的，生命的长度是有限的，生命的可能是无限的
命中注定的爱,4,2018-03-10 12:12:25,,32,比较传奇的钢琴家，看完这部电影以后，我也想学钢琴啦！
Panda的影音,5,2011-08-30 23:37:59,,53,《海上钢琴师》：一生一世，献给音乐和海洋！——曾经，我以电影和音乐在我心中的地位来比较《天堂电影院》和《海上钢琴师》的喜爱程度；如今，两次资料馆大屏幕的重温，虽然都不如第一遍的观感，但让我明白自己确实喜爱《天堂电影院》超过《海上钢琴师》一点。我的眼泪和我的感受，让我更清楚这两部作品在我心中的分量！
CyberKnight电子骑士,3,2008-03-10 15:38:59,,18,这是一个完全从概念出发的电影，全部目的就是为了制造一个“传奇”，缺乏质感和真切（也因此在主题表达上显得单薄和虚浮）——主角天生传奇，无师自通，虽然出身低贱且并未得到良好教育，但影片中穿着精致的西装，始终优雅无比地弹奏着钢琴。除了1900和麦克斯，船上所有的人都面目模糊，无名无姓，我们甚至看不到1900和麦克斯到底因何成为至交好友。最精彩的斗琴一场戏，'JellyRoll'Morton作为一位爵士钢琴大师，为何主动找到名不见经传的1900挑战？除了烘托1900的传奇性，这场戏其实毫无意义，况且其中还有各种雪茄掉裤裆，假发不见而不自知的夸张戏谑手法。借AllenJohnson的影评：它本可以成为一部富于洞见的，令人难以抗拒的电影，却变成了一部简单的自说自话的传说故事，令人愉悦但毫无意义。
刘建明,2,2012-02-06 09:22:56,,22,一个缩卵的技术宅的传奇一生~过于矫情的宅男幻想~装逼片中的战斗鸡
糖罐子.,4,2018-06-29 13:54:09,,23,我们没有你的勇气，我们只能依旧在人海中沉浮，抓紧或者松手，相逢或失去。
