user_name,star,comment_time,geo_ip,vote,short
怂囧小赫,5,2016-09-14 20:22:29,,6659,人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？
左佐,5,2016-08-31 12:54:35,,5338,成功之处在于每个角色都很立体，都有优点缺点，海蒂不守规矩却天真可爱，克劳拉自私骄纵却优雅美丽，皮特淘气却耿直，爷爷脾气古怪却默默付出，女管家严厉却谨慎。山里的人没有那么朴实无华，“宫殿”里的人也没那么惟利是图。
小小斌,5,2016-08-14 01:46:34,,3559,小姑娘很有灵气，给人的感觉就好像天生属于大山，光着脚奔跑在花草山峦中，风般轻盈，鸟儿般欢乐。电影中的感情都很真挚，也很友善，没有绝对的坏人，而且大家到最后都得到了所希望的幸福，这种幸福让观众看着也幸福。
Panda的影音,5,2016-08-19 11:40:02,,3412,难怪片名让我有种莫名的熟悉感，看正片后才知道这与高畑勋导演、宫崎骏担任场面设定的动画剧集《阿尔卑斯山的少女》都改编自小说《海蒂》，真是太惊喜了。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。→2019.05.23：去看自己喜爱的电影有时就像是去赴重要的约会，要特地挑选影院、时间、座位，然后放映前要好好养精蓄锐以便看片时能有充沛的精力，循环原声配乐能让观影过程更有带入感更能沉浸在电影的世界里，没有琐事分心烦心以及同场观众能不吵不闹看电影则是小幸运……就这样，一次开心愉悦、享受至极的《海蒂和爷爷》重温之旅存进了我的脑海！
朝暮雪,5,2019-05-12 19:26:29,,2882,海蒂失去了父母，于力失去了孩子，他们是两个被抛弃的人，恰好填补了对方缺失的部分。来到克拉拉家，海蒂有了新衣服、新鞋子，有了食物，有了温暖的大床，她什么都有了，可是没有了爷爷、雪山和羊群。你给了她物质生活，其实她要的是精神生活，要的是亲情和自由。无数的规矩和礼仪把克拉拉压得喘不过气，让她产生了心病。不仅身体寸步难行，心理也被牢牢困住。你以为你给了她一切，其实你根本不知道她想要的是什么。正是蓝天和白云，青草和蝴蝶，让她打开心扉，融化了她内心的病魔。当然，城里也有柔软的面包，山里也有人没有见识。城里并非一无是处，山里的人也不一定都是对的。电影还有一条暗线，老师强迫海蒂认字，然而欲速则不达；奶奶鼓励她自己看故事，从而培养了她的兴趣。果然没有教不会的学生，只有不会教的老师。
Ck,4,2016-06-27 17:48:41,,3623,人老了，由頭哭到尾。
私~川流,4,2016-07-15 19:35:00,,2388,这是一部被翻拍多次的剧本。小的时候看过秀兰邓波的版本，只记得阿尔卑斯的山景。不知为何，看过这部电影，仿佛回到了上个世纪，简单地剧本，没有特效，专注于人物的情感与内心。这才是艺术真正动人的地方。
Valley,4,2016-09-15 01:12:53,,2545,“大家都笑我，因为我想写故事”“那是因为大家知道的太少，而你看过更大的世界。如果你觉得这个世界有那些东西会让你快乐，就去做，无论别人说什么”
蜗牛然小九,5,2021-04-26 12:08:31,,2250,看完了想去瑞士，看的时候一度害怕克拉拉被坏人骗，害怕外婆嫌弃海蒂，害怕克拉拉嫌弃山里的日子，害怕她和海蒂因为什么争吵，看来我真的已经如履薄冰太久，不敢去相信在童话的世界里一切都是美好了，这是成长的代价嘛？真的可悲
耳东某,5,2016-09-24 23:11:05,,1245,寄养的地方就像[唐顿庄园]，睿智的老祖母，故作姿态又可爱的管家，优雅不落灰尘的大宅子，可海蒂最后离开了这里，她回到了祖父的小屋里，那里有鹰和雪山，那里有第一个真正疼爱她的人，那里有自然的怀抱。人类走出山野为了进步，人类回到山野，为了放置一颗不安的心。
许多许光汉,5,2016-08-16 10:54:41,,1091,喜欢很温馨我泪点有点低
