user_name,star,comment_time,geo_ip,vote,short
C°,5,2012-01-03 07:16:41,,13894,他们至少有电影的力量在支撑着弱势群体，而我们呢？因为【熔炉】的上映，一部关于【性暴力犯罪处罚特别法部分修订法律案】目前已通过韩国国会正式颁布，当时的嫌疑人也已被警方逮捕，【熔炉】让我们看到一部现实题材影片所蕴含的巨大能量。有时候一部电影真的可以改变一个世界！
茱湮河,5,2011-12-28 03:27:03,,12163,想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。
又又,5,2011-12-30 13:13:27,,7259,這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。
qw-p,5,2011-12-30 20:48:57,,4851,我们无法改变世界，但我们可以选择不被世界改变...
Doublebitch,5,2012-01-03 12:43:01,,4321,当邪恶的力量已经渗透至社会的每个角落尤其是当权者手中，我们还他妈向谁去央求公平和自由
桃桃林林,4,2011-12-30 21:04:54,,5533,我们愤怒的不仅是禽兽的行径，更是禽兽逍遥法外，正义无处伸张，无能为力才是最痛苦和绝望的。一个非常容易感动观众的题材，尤其还是真实事件改编。其实电影还有很多提升空间，包括对犯罪场面的描述太刻意未也太多了。但仍喜欢这样的电影，这才是电影应有的立场。这就是我们和韩影的差距。3星半
握不住的灵魂,4,2012-06-09 20:12:08,,3275,《内咸》--鲁迅
白发生,5,2012-04-26 10:50:11,,3535,大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。
薇羅尼卡,5,2012-09-14 22:32:22,,3526,令人绝望的不是电影，而是生活本身。
落大雨了,4,2012-01-03 15:13:50,,2168,我在想演戏的小孩子会不会有心理阴影
阿巴厮,5,2012-01-02 22:48:12,,3122,不说别的，光电影那股正义的力量，就足以让人沸腾。
齊克斯尼力佐飛,5,2012-03-27 22:42:27,,2095,不能用电影的标准来评判它，因为这事件本身已经震撼得出一身冷汗，能拍出来就是已经了不起的事。
niania兔,5,2011-09-27 22:22:34,,1779,孔侑在里面对自己的母亲说：我在她被性暴行的时候来不及去阻止，现在这些孩子需要我的时候，我怎么能袖手旁观呢？如果这样都做不到，我又怎么能当一名合格称职的父亲~
Q。,4,2011-12-29 04:49:37,,1960,“奋起反抗不是为了改变这个世界，而是为了不让这个世界改变我们。”电影以真实故事改编，又一部极其精彩反映社会阴暗的题材。每个人物都刻画的立体丰满，情感同样控制得当，无力感充斥全身。电影完结，愤怒、无奈、唏嘘、悲伤各种情感如同“雾津”的浓雾一般，久久未能飘散，始终萦绕心头。★★★★
刘康康,5,2013-01-06 20:17:56,,1180,韩国电影总是有本事让我能痛痛快快哭一下。影片最后的信里，问孩子们这件事发生后对他们而言最大的变化是什么？孩子们说，知道了自己也是有人关心的。我一下子就泪崩了。
大鼻先森,5,2017-11-24 08:20:43,,942,我有一个长长的望远镜，一直能伸到你的家里，你说什么做什么我都能看得到。
维城乱马,5,2013-10-30 16:51:06,,713,又一部没有大场面的五星级韩国大片，值得鼓掌叫好。电影里说“我们一路奋战不是为了改变世界，而是为了不让世界改变我们”，网友说“他们有改变国家的电影，我们有改变电影的国家。”
