user_name,star,comment_time,geo_ip,vote,short
罗弘霉素,4,2010-07-08 18:09:30,,1276,败在“刀疤”没有反派魅力！
同志亦凡人中文站,4,2012-10-28 18:47:54,,524,现在看剧情真的好简单啊，不过拟人感实在太完美了。还有那个“哈库那莫塔塔”，好多年没听到了...CanYouFeelMyLoveTonight？
铃铛,4,2018-04-25 16:06:49,,676,我只是在必要的时候才会勇敢，勇敢并不代表你要到处闯祸。
嘉沐難再續.K,3,2009-05-30 04:09:24,,409,我真的不覺得特別。
影志,5,2005-08-24 07:19:46,,2283,“太阳所能照到的地方，都是我们的国土”随时随地、再看百遍、都会感动如初的经典。
老鸡｜扶立,4,2008-01-10 16:46:34,,645,从此得知，原来动画片还可以是这样的……
恶魔的步调,5,2006-05-13 08:01:49,,1955,hakunamatata
股神看不懂,5,2016-11-02 22:31:06,,697,经典之所以称之为经典正是因为他无法复制，狮子王就是这样的经典，每一个细节都那么出色，每个音乐都那么动听，恰到好处的搞笑和贯彻始终的感动。这样的片子不管放到什么时候都不会落伍，因为他本身就是传奇
伍德与夏洛蒂,5,2011-03-16 20:44:17,,851,最爱的迪士尼，没有之一。
寒  汐,5,2008-02-02 12:03:44,,933,动物版哈姆雷特
巴喆,4,2016-07-26 21:14:57,,328,这动画说的是龙生龙凤生凤、狮子王的孩子还是王；野心家的夺权、王子的复位，以及童年情愫、成年的炮。这动画加分都在技术项，比如使用了当时最先进的2D动画技术，现在看来极具美感渲染的画面，以及太经典的歌曲，《CanYouFeeltheLoveTonight》一曲足矣！8.4
EL_CR,4,2018-02-08 16:32:29,,81,四星半吧…真的很喜欢…小时候看的…还看哭了哈哈哈…和家人每次说起TheLionKing反倒不是提起辛巴…而是那三只hyena（好像是狗吧没记错的话）…被质问的时候第三只点头的笨蛋样子太深刻了哈哈哈…
寒枝雀静,4,2019-07-12 14:05:11,,26,C/单论剧本原版未必要比真人版好，有几处的转折还要更生硬。但是动画的优势实在是太明显了，从第二场戏开始气质就完全不同。主要的几个人物都是由丰富、夸张甚至是妖娆的“姿态”连贯而成，加上几个华彩段落的视觉表现力，整部片富于狂欢感的节奏一下子就充实了起来。不过这把年纪看余味倒也没有多少……
TORO VAN DARKO,5,2008-10-04 03:44:04,,381,又是一部是属于那个年代的影迷的经典
lostcat,5,2009-08-05 13:46:26,,554,经典得都烂了
赱馬觀♣,4,2019-07-24 09:35:25,,24,土狼纵有千般厌点，但至少——兄弟齐心，绝不内斗！特别考虑到本故事主题核心便是取材于文学史上的内斗极品哈姆雷特，就更加反衬出……等等！为什么绝大多数观众并没有感受这种“反衬”，而是几乎完全按照影片设定好的善恶轨迹去移情狮子厌恶土狼？只能说明本片编导狡诈地更或者是无意识歪打正着地充分利用了土狼的丑陋猥琐外在形象彻底主导了观众好恶心理，以至于“土狼远比狮子更团结”这个主题动向上形成的叙事偏差也被掩盖住了。试想一下换作魔戒双塔决战圣盔谷，此节主题重点之一展示“勇气”，而城内飞石从天而降，强兽首领怒吼一声纹丝不动……
路可可,2,2010-10-16 18:25:00,,50,反面角色没有灵魂太可怕了。
炫3D,5,2017-03-22 11:18:42,,292,这部动画绝对是经典，内容积极向上，音乐无可挑剔。
顾俏乜,4,2017-06-03 23:30:58,,25,动物版的《哈姆雷特》。
吃瓜小能手,5,2017-04-12 19:52:36,,235,勇气与成长的故事，即使过了多少年，即使生处不同的时代，仍旧能够让人有所感悟……辛巴是在波折的人生中踏出了那条成王的道路！
