user_name,star,comment_time,geo_ip,vote,short
mon babe,5,2009-02-05 13:02:25,,9918,事实证明，聪明的头脑永远可以赚钱。
你看起来很美味,4,2012-05-15 20:11:53,,6292,他离家出走，说谎，制造不同的身份开始光鲜亮丽的生活。他是智商超群的罪犯，但是他只是个孤独的孩子。在平安夜的时候打电话给抓他的警探，在平安夜被捕的时候拥抱着他说圣诞快乐，在听到父亲的死讯以后失声痛哭，看到妈妈的新家庭以后对来抓他的警察说你们带我走吧。他终究只是个孩子。
罗弘霉素,5,2012-02-18 05:39:05,,6205,我只想说，02年小李还是尖脸呢。
十二,4,2012-04-17 15:04:31,,7288,他也只是一个伤心的孩子
高歌,5,2014-07-16 00:17:05,,3028,简直就是《华尔街之狼》的前传。PS：K两礼拜书就能从小白考到各种执照，跪服....这样的天才，为非作歹必为大盗，秉公执法必为大侠，无论怎样人生都是闪亮亮的，再次跪服......PS：结尾说的是--人生难得好基友，何必天涯胜旅。
彌張,5,2010-07-10 23:09:34,,2862,这结局还真是没想到！绝不浪费一个人才！疏忽+牛Bthisisall
同志亦凡人中文站,5,2013-01-01 19:36:46,,1764,诚实的人最自信，所以——我会尽量让自己不那么害怕。精彩绝伦的猫鼠游戏，现实比电影还牛叉闪闪，斯皮尔伯格真是拍传记片的天才！
[己注销],4,2014-06-24 23:56:46,,2858,（8/10）卡尔警官是虚构人物，但伪造犯弗兰克却真人真事，因其出色的鉴伪技术为FBI戴罪立功。必须一提的是现实中弗兰克的父母婚姻问题主要责任在父亲一方，但影片却把责任推给母亲。他的确有律师执照，但花了八周而不是两周。维基百科说弗兰克本尊在片中演一法国警察，但我没认出来。
战国客,4,2008-05-12 08:55:29,,2768,很难想象是根据真人真事改编的，很牛，不过在中国估计出不了这种人吧...除非，中国也有个FBI？很好莱坞的片子~~
竹叶卷心,5,2016-09-23 10:20:55,,1688,非常好看，里面有很多有意思的经典桥段，看到小李子装同行骗过汤姆非常刺激，李子的美貌在这部电影中还是表现的挺淋漓尽致的，尤其是穿机长服时，简直帅爆
