user_name,star,comment_time,geo_ip,vote,short
山风如月,5,2010-09-01 10:06:31,,50129,大概广电局也不知道该从哪里剪
大宸,5,2010-07-31 22:49:13,,13112,卡梅隆负责革新电影技术，诺兰负责革新电影结构...
楚仙,5,2010-07-15 21:54:25,,10964,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。
陈允然,5,2010-07-17 13:34:58,,7030,我的陀螺停不下来了。
朝暮雪,5,2012-08-07 15:42:42,,6803,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。结尾柯布根本不在乎陀螺有没有停下来，因为他出机场的时候没戴戒指，他早就知道自己回到现实了。
桃桃林林,4,2010-09-01 22:04:56,,18341,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
影志,5,2010-08-26 17:31:32,,5816,“既然做梦，就做大点”这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。”Doyourememberhowyougothere?
seren,5,2010-07-16 20:48:58,,4943,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！
kingkongofkhan,5,2010-08-01 08:27:29,,2801,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。
Villalon,5,2010-07-16 21:45:08,,2401,我还能说什么呢出影院第一件事就是拿iphone上豆瓣至少5颗星啊第156个评分的哈哈哈哈一直要用心用脑看的电影内容很严谨逻辑性强非常好看等高人仔细分析。。又去影院看了一遍很爽很抖擞
熊想躺平,5,2010-07-17 16:53:52,,1784,列奥纳多干完这票肯定是要去ShutterIsland修养一阵了。
TORO VAN DARKO,5,2010-07-17 05:37:42,,1705,《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。
flowerowl,5,2010-07-17 14:44:06,,1752,ChristopherNolan是天才!
鼬,3,2010-09-01 14:52:13,,1325,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。
法海爷爷,5,2010-06-25 10:04:15,,1663,诺兰+莱昂纳多的电影，我无话可说！
TheSingingSea,5,2010-07-19 05:14:35,,1374,永远别用回忆来建构你的梦境
