user_name,star,comment_time,geo_ip,vote,short
Enigma,5,2017-03-20 19:12:01,,13437,其实这种多重反转的电影很容易bug频出，但是这部完成度太高了，质感和小细节都相当漂亮。导演对后半程的解密把控地相当出色，直接让观感上升了一个level。西班牙的悬疑片总是给人惊喜。（猜到反转并不是多了不起的事，请不要在悬疑片短评区剧透好吗，靴靴。）
影志,5,2017-03-25 23:15:50,,8205,现在能有意外结局还让人颠覆的故事，真的很难得了。结局半小时的反转再反转，能自圆其说，能刷新认识，能大呼过瘾，对一部悬疑推理片来说已经完成的相当漂亮。不会苛求太多，这样的故事和设定已经满足。
frozenmoon,4,2017-03-28 19:37:50,,14367,律师是假扮的这个梗其实倒是不难猜。不过这不是重点。重点在于“叙述”和“真相”的关系。在缺乏物证链条的基础上，男主的每一次叙述其实都是自洽且成立的，但或许也都不是真的。这一点才真的引人深思。我们所认定和掌握的真相，又有多少是被叙述掌控的呢？
Andrea,5,2017-03-24 23:00:56,,7051,好看，强烈推荐。问题是如此重要的辩护人竟然不是当面引荐的。
Indecent time,5,2017-04-25 23:43:43,,4592,“男主玩家的言论真是无懈可击，可惜我是预言家，你已经被我查杀了，你自爆不自爆”
Panda的影音,5,2017-03-24 23:32:21,,1758,2015年看的《罪恶之家》，2016年看的《完美陌生人》，2017年看的《看不见的客人》，共通之处就是利用剧作上的巧合和人性的叵测，将一个充满黑色悬疑的精彩故事有条不紊地讲述出来，虽然过程中猜测出女律师古德曼的身份，但劳拉却并非我预测地来个《大卫·戈尔的一生》的自我救赎……人言可畏亦难信？！
обломов,3,2017-03-23 21:07:40,,4595,比较一般，如果男主是策划一切的人，他根本不会如此相信一个素未谋面的人
文泽尔,5,2017-03-29 17:54:02,,1256,调度上有种将阿加莎小说当代化的直感谷仓之冰和密室的三重解答亦是对黄金时代的致敬拍推理片需要的是娓娓道来不急不缓的叙述以及临近收尾时暴风骤雨般地揭晓真相本片都做到了虽然对于非脸盲症而言这个最早来自莎士比亚的诡计略显累赘讲义系列若拍成电影要的也是这种感觉
齐鲁矿业李德友,5,2017-04-02 21:35:24,,1065,记得拉窗帘！
大島,4,2017-09-04 22:23:42,,8430,西班牙人太热情了在我们这房间里叫破喉咙都没人理的
喜悦之地,5,2017-03-22 13:59:53,,996,2016最佳，好久没看这种过山车式悬疑片了
子酉,3,2017-03-26 13:44:35,,2357,一部片检验脸盲症发病率。
杨迪,5,2017-05-22 01:29:02,,788,整个看到鸡皮疙瘩大起，爱死了。
亚比煞,5,2017-07-12 23:06:28,,692,精彩的本子。最后的反转倒不难，难在多重结构的编织，对话环环相扣，很不好写，特别容易出bug，这个编剧完成的很漂亮。
冰山李,2,2017-03-29 19:03:45,,296,看不出导演做了什么，感觉还是好好干编剧吧
Fornever,4,2017-04-02 16:44:27,,5246,好看。另外建议豆瓣给「我看了七分钟就猜到结局」的观众准备彩蛋，他们是推动电影业进步的动力，值得满屏掉落大拇指。
颜落寒,4,2017-03-19 07:35:35,,4475,剧本太精彩，处处伏笔，层层反转，虚实交错，暗潮涌动。自作聪明的往往一败涂地，不动声色的才能笑到最后。
芦哲峰,4,2017-03-27 11:31:46,,3929,所有爱玩反转的悬疑电影都可以用一句话来概括：你以为你以为的就是你以为的。
柯里昂,4,2017-03-21 13:10:08,,1691,看过片子后再来这个页面，发现海报上人物关系已经把结局剧透了。观影过程很享受，虽然结局并不难猜，但几段假设推理确实容易被误导，尽管每个假设都有一些经不起推敲的小细节，但是并不影响整体效果，除了老夫妻过分精明和易容的不彻底外，几乎没有大败笔。说别人脸盲的希望你在电影院也能一眼认出来。
麻绳,4,2017-03-25 20:32:09,,1486,作为一部连环反转的惊悚片，此片对观众心理的拿捏是教科书级别的。不难猜中结局，但这个过程还是太精彩了。
天朝小蚂蚁,5,2022-10-23 19:05:39,浙江,544,让观众最难忍的是，当得知自己儿子没有死并被推下湖的时候，这位妈妈忍住了
同志亦凡人中文站,4,2017-03-28 19:42:39,,774,拍摄手法太像在套供了，导致看到一半就猜到了故事走向。MarioCasas留胡子后还是那么sexy～
蔕,5,2017-03-22 21:31:23,,450,为了掩饰一个谎言需要更多谎言，践踏过一次人性，下次就更容易了。随着故事推进能猜到一些反转，但紧张的节奏和没有一点废话时间的剧情能吸引你不断看下去，反转套着下一个反转，当真相全部揭开的时候必须叫一声好。西班牙意大利一些小成本电影质量真高
张小北,5,2017-09-17 13:40:50,,232,4星半。不过西班牙新导演值得鼓励一下。而且影院观影体验太好了。
木卫二,4,2017-09-19 22:51:30,,582,就不断论证这么个事：人很坏，坏到你都无法想象的坏，尤其是那些高高在上的社会精英。只有如此诛心，才能理解男主为何要铤而走险。最后结局自然要掉入一个常见套路：反派死于话多。作为电影，除制造冷色与调成昏暗，仍有种故意制造紧张悬念惊悚的搬演感觉。还有，终于明白那么多人看目击者要想到它
朝暮雪,4,2017-03-27 11:46:55,,381,竟然能把“打小三”的故事拍到《控方证人》和《罗生门》的高度，服气！
有心打扰,3,2017-03-20 20:57:21,,1498,有多少人是猜中了结尾却没猜中过程？有多少人是对猜中的结尾感到失望，对没猜中的过程感到傻逼？影片的引申主题就是——只要是个人说的话都别信。
CyberKnight电子骑士,3,2017-04-25 22:52:43,,1140,8.7分真过誉了，IMDb7.9都偏高。与《谜一样的双眼》《消失的爱人》《一级恐惧》《非常嫌疑犯》等同类比都有所不如，刻意于情节的twist，对主题和角色都缺乏发掘展开（女主小三都没给出确定性格，完全功能角色）。看后缺乏回味，生硬和缺乏逻辑的地方很多。咱这儿还真喜欢这种看似烧脑、高智商的片子。
小岩井,5,2017-07-25 17:22:05,,222,了不起的剧本，看了两遍发现细节满满，不败退休律师的提前到来，打不通菲利克斯的电话，以及中间闲聊的时候提到妻子以前在剧团工作，以及情妇前后长短发的改变，包括最后那支笔的几次特写，这样的剧情电影真的是让人感到反转的快感。所以还是那个意见，编剧才是一部剧的核心。即使中间猜到了结局但无碍
岛上的夏奈,5,2017-04-08 12:30:21,,239,我没有猜到结局！
知月,5,2023-06-24 11:00:02,四川,143,好看好看消失的她是她的低低低低低配版
柴斯卡,5,2017-09-17 01:23:48,,103,用院线片的标准来看真是很精彩了《控方证人》灵魂附体这是各个流派的导演都希望拍出来的电影结尾都看哭了中产焦虑蔓延全片颇有代入往深了说这是一场传统行业把互联网按到地上操死的大型隐喻实录
刘康康,3,2017-09-16 15:18:18,,474,所以……都不用确认对方的身份，也不用自己的私人律师在场，就这样跟一个第一次见面的人和盘托出？当然，细节上的小设计还是很不错的，喜欢调整汽车座椅这个设计，很生活又很巧妙，打火机和汽车入水的蒙太奇也不错。
根,4,2017-09-16 14:45:14,,342,日本小说里一百个这样的故事有没有，可能还不止一百个
七七的蟹子壳,5,2022-03-25 22:06:08,,117,还是男人了解男人啊。我老公一上来就说，也许这个男的撒谎呢，明明是他的主意，却赖给他情人。另，不要低估一对为儿女报仇的父母的心啊。
米姐起飞,4,2017-03-25 22:06:57,,432,"是我喜欢的片子类型。""生意上如此成功的人，怎么可能这么没有决断力呢。""所以从逻辑上，就推翻他的谎言了。"
Adalepemi,5,2021-06-14 00:26:29,,120,就喜欢这种，玩儿观众，但不把观众当傻逼的电影。
点儿酱,NaN,2017-03-23 03:28:44,,495,妈妈第一个镜头就认出是开头的女律师......
西楼尘,3,2017-05-17 00:28:29,,400,看得见的客人堂而皇之走进来，逼出真相；看不见的客人无踪无影溜出去，疑窦丛生。人心有看得见的角落，装着你车坏了我替你修的善意；也有看不见的角落，盛着容不得你苟活的凶恶。商界杀伐决断化作情感中的冷血残暴，机关算尽却低估了丧子之痛。需要多大的定力，在得知儿子本应存活的时候，不喊一声痛。
黄青蕉,4,2017-04-25 20:53:18,,311,叙事的细腻和节奏感还是挺好的，就是最后那个易容梗太没必要了，完全有别的办法可以规避漏洞，况且易完之后还是很像好吗！只够欺负重度脸盲了！
寒狐传媒,5,2017-04-19 01:10:23,,97,4.5星。鹿在林中跑，锅从天上来。老娘不发威，你当我是爱心律师啊。
汪金卫,2,2017-09-05 15:30:19,,149,大失所望。看到了《闪灵》《告白》等片的影子。刚开场就猜中真凶的感觉还真是不太好。反复地反转也是忽悠观众，结尾更是扯淡，说换脸就换，你是权游无面者啊？所谓伏笔细节等非常拙劣浅薄。剧情中角色的动机、逻辑等完全不着调地随便玩弄。别说烧脑，简直是故弄玄虚，幼稚可笑。再看一遍的话会给1星吧
国王KING,5,2017-03-24 09:58:32,,91,继《消失的爱人》后，我最喜欢的犯罪片。一次次的反转，到最后居然是被害者母亲与凶手的对峙……
杉崎四季,5,2023-07-01 00:00:49,山东,94,满分，尤其是看了陈思成拙劣的模仿作之后，更是想立刻二刷洗涤一下灵魂。
LeungChanXXX,4,2017-03-19 10:35:30,,328,剧本算不上特别高明缜密，但不妨碍故事讲得足够精彩，以及叙事上用了类似罗生门式结构，只是电影依旧有着那种套路式的、早已透露导演心思算盘的“工整”，即便诡计再多反转也不难猜，揭底时也没有太多意外感，不过近几年西班牙悬疑惊悚片确实是后起之秀。相比导演前作《女尸谜案》还是有进步的。
malingcat,4,2017-10-10 18:42:04,,239,观影时，一直在研究，到底是男的更聪明还是女的更聪明？几次反转之后，懂了，母亲更聪明。
恶魔的步调,3,2017-03-26 21:49:00,,157,有完成度，但缺乏惊喜，只是一般的两集长度犯罪类美剧的水准。其实这就是一部走进科学。
Hinkly,3,2017-03-19 01:58:58,,116,案情的不断推翻重构是最大的亮点，但后段的设计太刻意，使真相并没有带来破茧而出般的惊喜。★★★☆
种瓜得瓜,3,2017-04-07 21:52:01,,180,即使编剧做了各种人设，老夫妻两个喜欢看戏剧表演，老妇以前教文学（编剧本没问题），也无法说服我扮演一个律师，毕竟她儿子最后是没死而被男主推入湖中并不在他们的剧本内，而本身并非律师应该是无法应付这种突发状况的。一开始就猜测律师是老头对方的，结局果然是，这就可以了，没必要一定要老妇去。
