user_name,star,comment_time,geo_ip,vote,short
shu,5,2009-09-09 12:53:07,,7569,最后他成为了穿条纹睡衣的男孩。
Doublebitch,5,2010-03-11 11:16:33,,5880,无论你之前是什么样的人，在穿上这件条纹睡衣之后，都会变成一样的人。这部电影主题深得我心啊，故事讲得也不错，镜头运用，结局处理都很出色，特别是结尾处那个长达数秒的长镜头发人深省。
朝暮雪,5,2013-01-01 11:28:06,,4000,小孩总是交友，大人总是树敌。
tifanie,4,2012-10-14 02:46:01,,8675,"""突然镜头换到那扇黑色大门前，慢慢拉远。如果你哭了。是为BRUNO对吗？那么，shmul呢？"""
junepig,4,2009-03-03 20:50:58,,5522,这大概是对纳粹反犹最狠毒的嘲讽了吧，通过欺骗，杀害的不仅是“敌人”，还有自己的孩子。
Sophie  Z,5,2012-04-14 01:14:58,,3947,我一直以为会有传统电影中“最后一分钟营救”的那种结局，我一直理所当然地认为主角不死的光环会在这个男孩的身上，以至于看到最后一幕后我很久都没法接受。说到底这是一部纳粹电影。
陆企鹅,5,2020-07-20 13:26:23,,2680,最难过的不是布鲁诺穿条纹睡衣了，而是每一个穿条纹睡衣的人本都是布鲁诺。
眼角的花朵,5,2009-02-08 09:40:23,,2376,看得我浑身发冷~
不流ᝰ,5,2009-03-01 23:04:35,,2278,感动我的是孩子的勇气，强大的勇气。
小伙锅,4,2013-03-04 19:57:40,,3248,如果你看完之后只是为这一个小男孩而伤心，那么你是真的有种族歧视了。
Ruby超人小姐,4,2009-03-29 06:53:43,,3042,你还当这是一场游戏么？
Hey Johnny,5,2011-03-23 19:43:08,,1865,夜里安静地看这部片子，莫名的忧伤和震撼。有时候可怕的并不是罪恶本身，而是掩饰罪恶带来的后果会让人误以为罪恶是美好的。看到结局，最后的防线被击垮了，到底该为小男主无辜的死亡和其母痛失爱子而悲恸，还是要为这死成了对其父及纳粹罪行的惩罚而窃喜…（ps.RupertFriend太妖孽。
kissdemon,4,2010-12-10 00:26:29,,2462,大半夜很容易走进情绪，最后的结局压抑得我说不出话。最可怕的教育是价值观的强行灌输，而最可怕的价值观是被一件条纹睡衣分割，看着姐姐满墙的贴画真是触目惊心的疼。
公民奎文,5,2021-07-26 23:59:34,,1382,你骗不了一个探险家，他必须亲眼见证才肯罢休。
nikki,5,2012-09-02 14:52:12,,1489,我觉得它并不比[辛]差，不是只有透过大社会看战争才是正统的片子。父亲就算是纳粹也爱自己的妻子小孩，母亲做为女性心软，青少年容易被骟动，而什么都不知道的小孩只能接受大人给他灌输的知识。我觉得这些都是可以理解的，并不是“刻板”“形像化”的。最后的长镜头看了几遍
宋小君,5,2012-01-03 16:17:43,,990,结局震撼，角度刁钻。
Connie,4,2010-01-18 11:34:18,,1625,母亲和奶奶的反应跟一味想要走进成人世界的Gretel姑娘形成强烈对比，不过Gretel在接受洗脑的过程中还是抽空想念起她的小伙伴和远方的家....她屋里的招贴画才是最触目惊心的吧，我比较关心这个女孩的将来
lenlen,4,2011-02-03 14:15:14,,1072,fuck这么狗血的结局看得心里好难受
练达,5,2016-10-07 08:57:28,,902,看到结尾除了沉思还能做什么，当你穿上条纹睡衣，那么我们都是一样的了。
鲨鱼,5,2021-04-10 09:40:53,,758,我以为布鲁诺会体验到“农场”艰苦和绝望，没想到他直接就体验了死亡.
Meng,5,2022-03-05 20:40:13,,431,被短评排第一的说中了：当最后黑色大门前的镜头缓慢拉远时，我想到的只有bruno，而shamul呢？这个结局对他来说似乎是理所当然的一样……我想我这样的恶，即是社会的恶，无力改变，无心改变，无从改变…..只有时刻警示自己，换来些许良知的安慰…却又仍是自顾自的自私的体现….
L二次方,5,2021-07-31 13:21:53,,362,一群遭迫害犹太人被赶进焚尸炉，和一个德国孩子不小心走进焚尸炉，后者会让你更加感到“惋惜”。因为前者在影视剧里看的太多了，你看不到里面每一个人鲜活的面孔。可是，那更是整整几百万人！
冰红深蓝,2,2016-09-25 15:11:39,,152,问题非常多。首先，看了开头就能猜出结尾，使得故事欠缺悬念感与叙事张力。其次，人物过于脸谱化，简直像一个萝卜一个坑量身刨出来的。最后，情节设计感太重，时刻让人出戏，结尾毫不悲戚，只觉虚伪。PS：《浩劫》才是直面犹太人二战苦难的绝佳之作，无有能出其右者。（5.0/10）
萨嘎摩多熊猫桑,4,2010-08-10 16:54:23,,805,"每一个""纳粹""的孩子，上辈子都是折翼的天使"
