user_name,star,comment_time,geo_ip,vote,short
毛毛毛读作cuì,5,2011-04-22 12:53:01,,8388,饰演魏斯乐入木三分的名演员穆荷自己，在两德统一后去察看自己的“忠诚资料”，发现有长达六年的时间，每天向秘密警察报告他的言行举止的，正是他自己的妻子。
sogdiana,5,2007-08-01 10:49:55,,3888,两条线，两个男人，两个故事，两个互相打捞的故事。丢了一个，彼此的人生都会沉入海底。当剧作家在街头，看到行走在人行道上的特工时，他本可以上前喊住他的。但是终于是没有。就像哈代所言，呼唤的人与被呼唤的很少能互相答应。他们最终选择了沉默地相互记录。
seeme | 北北,5,2011-02-08 21:07:48,,3681,2006年最佳奥斯卡外语提名。用自己的后半生成全了理想，沉默又坚定的男人，最后只得到“献给好人的奏鸣曲”。有时选择坚持自己的路，是用幸福去交换的。
南笙,5,2013-01-24 23:48:34,,3559,最后一句，不，这是给我的。一语双关，瞬间落泪。这种利落的结尾，漂亮。
黑刀,5,2007-09-11 19:22:42,,3118,结尾让人叹为观止，感慨万千。
林小熏,4,2010-12-11 22:24:48,,8219,国安局血的教训：千万别请文艺青年做秘密警察～
今天小熊不吃糖,5,2010-09-29 07:08:38,,2465,看到结尾到底还是忍不住泪奔了
杨子虚,5,2012-11-03 21:36:52,,1932,这个故事告诉我们，女人是靠不住的，好基友才是一辈子的！
桃桃林林,3,2006-12-18 09:34:39,,408,远没有期待的好，一般而已
影志,5,2015-11-15 19:07:37,,1672,“你还站在正确的一方吗？”……惊艳于“做点变通”，惊诧于“重要的不是成绩而是成败”，惊呆于口误后的抓手动作，惊愕于搜索后可获损失赔偿，惊叹于女主的悲剧，惊奇于小人物改变的大历史，惊喜于“这是给我的！”
握不住的灵魂,4,2012-02-12 14:10:03,,7428,东诺士马克的电影用了很多当初东德的机关大楼实地拍摄，但是监狱博物馆的馆长却拒绝了他拍摄的请求。原因？馆长说，因为东诺士马克的剧本不符合史实:整个东德历史，像魏斯乐那样“良心发现”的秘密警察，对不起，一个都没有。
御姐控_光崽,5,2009-11-15 20:37:33,,1685,你还记不记得他听歌流泪的样子，倾斜在椅子上陶醉的样子？
