user_name,star,comment_time,geo_ip,vote,short
熊阿姨,4,2005-07-17 14:13:25,,1791,没有看过这个的经历会显得自己太无知老土，看过了，觉得真是金童玉女啊，真是令人向往的爱情啊！真是......尽管看完了该无知还无知，老土的也没变洋气，毕竟主人公那长相那气质不是几个整容手术几部电影能成就的。
Ocap,5,2015-08-30 10:28:13,,3499,从他背对着走，到不自然的转身，观众和他一样，都在奢望些什么。最后整个记者会的段落，就像戏剧和现实的静谧对抗，现实赢了，却让戏剧的魅力更大。也许爱情就是，你不知道她会不会出现，但你却能肯定：她也想出现。这就够了。这样的结局不知可以完爆多少现代爱情片。
影志,5,2006-01-08 05:14:19,,5045,赫本，无与伦比的美丽。
同志亦凡人中文站,4,2015-07-11 08:26:34,,1610,因为罗马，所以经典。因为短暂，所以永恒。顶着锅盖说一句：其实赫本的气质大过演技～
Doublebitch,5,2010-07-29 11:49:03,,4696,离开你并不是因为不爱你
Miss Lucky,4,2006-12-22 20:35:26,,1994,谁不爱赫本啊
Cherry,5,2005-07-12 16:57:32,,1756,完美的公主，天使的笑容，魅力的男人
老阿飞—故园,5,2006-01-08 17:38:20,,1120,公主与拍小照的穷光蛋，影史上不灭的永恒瞬间
[己注销],5,2012-03-31 01:11:45,,589,（９／１０）大俗亦大雅。什么叫经典，看过本片后，你就知道有多少后世影片，模仿和抄袭过这部作品了……以前的影片没有特效轰炸之类，便需要加强演技来吸引观众，看过本片就会被赫本和派克的精湛演出打动。赫本的短发造型确实很酷，在那个崇尚古典优雅的年代，公主对头发的这一剪估计让很多人为之惊异吧。重看本片时，深感是不是一直以来，对男二欧文太过忽视了呢？欧文并没有像乔那样对Ann投入很强烈的感情，但当他选择把自己辛苦拍下的照片交给Ann时，他和男主就有了同样的高尚。
littletwo,5,2007-11-11 10:06:50,,915,罗马，当然是罗马……
W之芮,5,2018-01-13 11:53:31,,624,赫本一出场我真是被惊艳到了，身材高挑、五官精致、气质绝佳，无法超越的美，整个影片也拍的很好，不愧是经典，很喜欢
安东尼,4,2007-04-22 00:17:26,,1360,她说我最爱罗马
犀牛,5,2006-03-08 09:58:01,,534,永远的奥黛丽·赫本
梦里诗书,5,2015-01-02 17:42:40,,236,是一生一世还是一日之爱能更足以诠释爱的真挚？很多人会毫不犹豫的选择前者，但电影《罗马假日》无疑呈现了那刹那芳华间爱最美的形态，再难有一部电影能将如此短暂的爱情给人以洞彻心灵的动容，光影留存住了那永远的绅士和公主。
九尾黑猫,5,2008-03-19 00:33:29,,253,经典中的经典，感动中的感动~我的公主，我的罗马
Hey Johnny,5,2012-01-26 23:46:36,,184,赫本精灵动人的美丽，派克迷人的微笑，浪漫而毫不做作的爱情，如今看来也不觉过时的幽默情节……实在想不出有什么理由去讨厌一部这么可爱的电影。
米粒,5,2012-09-24 00:47:18,,77,这种浪漫又不造作的爱情故事要上哪里寻啊~派克和赫本真是让人心旌荡漾啊。。看到最后真有点感动了呜呜虽然老早就被剧透了【混蛋现在才看完整的一遍。。
能工巧匠沙门哥,4,2007-08-17 15:41:10,,829,不错，但也不至于让人欲仙欲死吧?
susu/苏酱,5,2006-01-16 18:16:08,,171,不看就太可惜了。
shu,5,2007-12-02 13:30:21,,102,赫本赫本派克派克
战国客,3,2008-03-18 13:57:46,,2103,没觉得奥黛丽·赫本特别好看，相比更喜欢费·雯丽~~
眠去,5,2007-02-10 10:58:04,,128,假日短暂。
赫尔西,4,2012-09-04 20:33:34,,872,戏里戏外皆是戏梦一场
把噗,5,2011-11-12 12:49:00,,39,《罗马假日》，之所以经典，是因为它的纯粹、自然。是电影的方方面面铸造了电影这种不可复制的特质，这包括故事本身、演员的表演，罗马的场景……而在罗马迷人的影像里，我看到一个最为纯粹、自然的爱情故事。
momo,5,2023-02-19 19:36:20,广东,38,虽然是爱情电影，但是公主选择责任的结局，真的太好了。在电影里，公主的每一个选择都只从自身角度出发，去体验，去遇见，去感受更丰富的世界，记者joe是公主这段体验里的爱情，但是他就跟平底鞋，短发，路边吃雪糕一样，是短暂的体验而已，七十年前的爱情电影，每一处细节都是女性独立的影子。
遇见彩虹🌈,5,2018-01-25 13:17:46,,124,少女感满满的赫本，短暂而美好的爱情。经典。
Chimney,NaN,2010-03-14 16:33:54,,453,奥黛丽·赫本是永远的公主
蓝下老婆,5,2017-02-10 17:32:16,,53,在我心中最美的外国女神，永远的经典
嫣然若兮,4,2021-02-09 14:55:49,,494,那年公主为了和他握手，握了在场所有人的手
露咪亚,5,2018-01-21 16:16:46,,108,看的第一部赫本的电影，清纯不谙世事的小公主让人怦然心动💗
木槿莘莘,5,2016-12-02 13:14:24,,46,经典片啊，赫本真的很有气质，动作很有活力，优雅浪漫又干练的公主
张敦厚,4,2010-04-06 16:43:29,,221,赫本简直是天下最好看的女人。剧本一流，每句话都是潜台词。当年出来混的编剧真不是吃干饭的。
momo,5,2016-11-01 01:06:55,,77,男女主演颜值高，剧情甜，虐狗派克先生，风度翩翩
陈圆润,4,2018-02-05 23:13:18,,166,赫本太美了，醉酒那又很娇憨，很流行的爱情故事，但是就是抑制不住的动容
平凡的人,2,2014-06-10 18:49:43,,190,除了奥黛丽·赫本和经典电影的招牌，这部电影一无所有。不仅结尾无聊没劲，而且全剧索然无味，所谓的爱情也没有明确的体现。所以，我并不想人云亦云，毕竟这是一部50年代的电影，距今已有60年历史了，就算不能说是烂片，但从现在的审美来讲也并不好看。
Friday,4,2021-11-24 19:27:04,,85,“为了跟你握手道别，我认识了所有的记者。”
谢谢你们的鱼,3,2013-08-27 16:00:07,,216,我不会因为赫本超凡脱俗的美而喜欢这部平庸的爱情片
有心打扰,3,2011-12-25 20:07:55,,48,终只是一日之梦。喜欢结尾处两人笑中带泪的画面，令人惋惜的结局，但是却也是早已知之的必然。上世纪50年代的偶像爱情剧。
