user_name,star,comment_time,geo_ip,vote,short
不靠谱小姐,5,2010-08-17 11:39:02,,28464,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...
老鸡｜扶立,5,2008-01-10 16:54:36,,13486,如果谎言可以这样美丽，我也情愿生活在谎言之中
UrthónaD'Mors,5,2008-01-27 23:20:12,,9260,喜剧的开始，悲剧的结束，满满的亲情，无限的父爱
海上明月,5,2007-09-03 15:23:38,,7573,绝对难忘的一部片子----影片结尾美国大兵的那句hei!boy!叫人已经凉透了的心又感到了温暖。
文泽尔,5,2007-11-20 17:09:28,,5543,父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.
朝暮雪,5,2012-08-07 15:40:11,,3447,从天而降的钥匙打开了她的心房，却打不开奴役的枷锁；骑马逃离婚姻的羁绊，却逃不出法西斯的束缚。现实残酷，他就用温柔回敬现实。战争凶猛，他就用父爱打赢这场战争。做一块蛋糕，他就融化了她的心窝；铺一张地毯，她就走进了他的生活。一句广播，一首音乐，让妻子重新看见希望。一个善意的谎言，一个属于父子之间的游戏，给孩子一个没有阴影的童年。我只是一个普通人，你却让我做了公主。我只是想要一个玩具坦克，你却让我坐上了真坦克。他默默无闻，但他又无所不能。纵然身在地狱，他也能将它变成天堂。以生命为代价，给家人一个美丽人生。
寂地,5,2006-01-05 00:14:15,,6524,即使是悲惨世界，也要大大的笑着.
ᥫ᭡້໌,5,2017-02-08 13:44:54,,3960,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。
亲爱的我呀,5,2007-09-05 13:08:50,,4928,很久以前看过的，永远难忘片中父亲的鬼脸
momo,5,2016-09-10 21:31:11,,4687,不敢相信男主死了，总以为他能活过来
雨果,5,2016-12-09 23:06:45,,2559,看过很多遍，我会背很多台词：我想和你做爱，我见你的第一眼就想和你连续做三次爱。如果你违反了三条规定中的任何一条，你的得分就会被扣光：一、如果你哭，二、如果你想要见妈妈，三、如果你饿了，想要吃点心！想都别想！第一句爱情性感，第二句父爱如山最爱的还是那句：早安，公主！
毛驴哥🔒🔒🔒🔒,5,2005-12-26 23:07:42,,3707,对我说：“早上好，公主”吧
影志,5,2005-12-28 01:22:48,,1951,世界上最美丽的谎言与微笑。Surpriseher，forever!
太空小孩,5,2011-02-19 03:14:50,,1857,该给1000分的电影
