user_name,star,comment_time,geo_ip,vote,short
♣lùlu♣,4,2007-06-29 11:46:21,,6301,所以说不要学数学，你就是不信邪
阿猴HOSEA,5,2008-10-10 23:42:39,,12505,幸运的是爱他的女人存在于真实里。
小白的山,5,2010-06-15 14:11:57,,5139,我觉得你很有魅力，你对我的主动性说明你对我有同感。尽管如此，传统的信任仍然需要我们在做爱之前进行数多次柏拉图式恋爱。我正在往这方面发展，但事实说来，我真正想做的只是尽快和你XXXX。
Lan~die,5,2009-01-23 14:25:48,,4479,“我的追求带我穿越了物理、形而上学、幻觉，又带了回来”，顶尖科学家的世界已经足够神奇，何况他还有着伟大的爱情。这部电影不仅是纳什的精彩传记，更是对爱情的崇高礼赞——爱是无限，爱是信仰，爱是一切逻辑和原由。
时以星,4,2006-10-18 19:59:04,,3870,是的，你必须学会分清哪些是幻觉，哪些是梦，哪些是真实的人生，才可以活下去。
别歌,5,2011-01-14 15:38:27,,3206,李笑来老师推荐的一部电影。纳什是历史上第一个广为人知的“用自己的精神战胜了自己的精神病”的人。看的时候不够专注，这是部需要安静认真去看的影片，另现实中精神病始终是一个没有最终被解密的领域，治疗的药物对人的大脑损伤很严重，加速度痴呆和记忆衰退，包括影响性欲。他的爱人其实才是最伟大的
等一个人,5,2011-03-27 12:43:59,,2500,每个孤独的孩子其实都有一个别人看不见的好朋友
眠去,5,2007-02-14 10:45:16,,1988,你让我相信还真有感情这回事。
喻鸣,4,2014-11-29 02:06:53,,784,和近日的《万物理论》相映成趣，皆是饱受精神或生理折磨的伟大天才，以及爱上天才的坚强女人。两部传记片皆淡化传主的道德瑕疵，同时对各自妻子也倾于美化。现实生活中，两位妻子都曾因不堪忍受心生恨意，两对皆离婚。可纳什比霍金幸运，艾西莉亚即便离异也从未放弃爱他，两人2001年复婚。简却另嫁他人
funny_vee,5,2006-11-29 12:35:46,,1823,这才是真真的传奇，再好的编剧也想不出来吧。
蜉蝣,3,2013-10-19 19:28:43,,1581,幻想又有什么不好，至少多了三个爱你的人。
影志,5,2005-07-21 17:38:01,,992,有你终生美丽
大島,5,2014-06-12 11:11:55,,941,用精神治好了自己的精神病
尧耳,5,2008-11-03 16:00:36,,923,与自己战斗，坚持，勇敢，相信自己。面对一切困境，克服它，朝着自己的理想前进。这是人性的光辉之处，这是人超越一切生物的闪光点。
朝暮雪,5,2014-08-30 15:27:54,,491,他是情商最低的人，但他也是最真实的人。
杨迪,5,2017-09-27 17:29:42,,361,八年前标注了想看，今天在去北京的高铁上看了。我以为的还真不是我以为的，众人给教授钢笔时真的很激动。
战国客,4,2007-07-24 10:18:36,,662,与我想象中的不一样，很震撼人的传记电影，从中我最大的体会是：做伟人也真不容易啊~~
simpleplan,4,2015-05-24 22:15:43,,486,刚看到新闻说JohnNash出车祸死了。。。
乡村名媛狗小剩,NaN,2005-11-05 01:48:04,,557,打破幻象是nash最值得敬佩的地方
掉线,4,2012-09-08 20:32:51,,346,前半段觉得好平淡，不知道剧情的话后边还说挺出人意料的，詹妮弗康纳利永远的女神！男主角就是一只萌萌的熊叔吗！估计骚受们肯定喜欢他！
勤劳的小蜘蛛,4,2010-04-24 17:01:32,,319,那三只影子好可怜啊，难道幻觉就一定比现实无价值么？这只能由当事人来判定吧？不治好病又如何，我要是他就疯下去，看他之后的萎靡，哪有当年当疯子的意气风发？
kouzi_,5,2021-02-12 17:24:33,,238,高光是Nash内心博弈，用逻辑找到幻想中的漏洞然后出去拦Alicia的那一段。这可能就是天才。还有就是结尾那个幻想三人组笑死我了哈哈哈哈哈，可能会迟到但永远不会缺席
我即方位,5,2022-10-30 20:08:59,黑龙江,185,我的幻觉中有三个人，我虚构出好友在低谷时陪我屋顶畅饮，我虚构出上司证明我所效力的是最伟大的事业，我虚构出小女孩来给予她最单纯的关爱。然而真实的是，我的对手成为我的帮手，精神科医生击破我的幻象，我的爱人一生坚定的相信我照顾我。如果说世界上的事情都有通用的公式和逻辑，那么感谢爱人教会我真与理，我的心灵一半是你的手帕一半是我的钢笔。
赫恩曼尼,4,2012-06-29 14:53:24,,335,所有伟大而美丽的心灵都是孤独的，纳什疯了，是因为他太孤独了。
陆钓雪de飘飘,4,2016-08-16 01:23:43,,147,以前觉得自己适合去社科院，只搞研究不教书。后来经过陆谷孙和沛公的洗礼后，才发现读了书就更应该好好生活，而教书比写书重要得多。
Doublebitch,4,2008-11-21 23:03:26,,163,数学果然容易让人精神分裂
晚,4,2022-09-18 00:28:38,河南,107,美丽心灵这四个字我觉得是在说他老婆
itssobeautiful,4,2022-07-05 14:54:15,,89,了解了下真实情况，艾丽西亚确实照顾了他一辈子，但很多年都不是以爱人的名义，而是亲人。纳什有婚前私生子。纳什从未在颁奖典礼上致谢过妻子的照顾。故事用爱情为治愈理由，虽容易感人，但多少有些陈腔滥调。纳什是天才，但应该不是一位感性的丈夫。
苦杏仁,5,2021-11-21 14:16:12,,188,-你知道宇宙有多大吗？-宇宙是无限大的。-有什么证据可以证明吗？-没有，但我就是相信。-爱情也是这样的。
九尾黑猫,4,2008-08-23 00:57:04,,95,好的导演，好的演员，好的故事，好的电影。
红豆♥,NaN,2011-07-28 23:07:50,,288,拘谨的纳什坐在餐厅里。而一支支钢笔接连放到他面前时。彻底泪崩了。可是我想不通。如果他没有成功呢。如果爱西莉亚抛弃了他。如果他一辈子沉沦在幻觉中。如果他在精神病院里郁郁而终。这还会是个美丽的故事吗？是不是。故事都是因为最后的成功而美丽的。所以。失败者是不会有故事的是不
朋克大帝,4,2016-07-19 17:11:26,,73,我要有这么漂亮的老婆，我也有斗志
亚比煞,5,2007-08-08 17:11:59,,174,看三次了。第一次在大学图书馆，第二次在上班以后，第三次是电影频道滚动播放的测试片。每个细节都记得清清楚楚，大概是永远也不会忘记的片子了。
Q。,4,2009-02-02 02:33:30,,37,无欲则刚
