user_name,star,comment_time,geo_ip,vote,short
犀牛,5,2005-10-28 00:28:07,,21472,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
文泽尔,4,2008-01-14 01:53:08,,4304,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.ihope
理想多钱一斤啊,4,2009-10-07 19:58:08,,2695,Hopeisagoodthing，andmaybethebestthingofall.
如小果,5,2008-02-27 21:43:23,,23477,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
Eve|Classified,5,2008-05-09 23:15:34,,11583,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。
711|湯不餓,5,2010-03-27 21:30:29,,17332,策划了19年的私奔……
艾小柯,5,2006-06-20 03:18:55,,12796,关于希望最强有力的注释。
赫克托尔,5,2007-06-06 12:22:55,,12925,有种鸟是关不住的.
寂地,5,2006-01-02 23:57:15,,7103,超级喜欢超级喜欢，不看的话人生不圆满.
影志,5,2006-02-04 05:58:22,,4681,FearCanHoldYouPrisoner，HopeCanSetYouFree
葱,5,2012-05-28 22:57:42,,5660,这样的男人谁会舍得背叛。。。
veronique,5,2006-06-15 18:56:18,,5027,一部没有爱情与美女的电影，却光芒四射
快乐人生,4,2018-01-04 11:51:34,,765,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
私享史,5,2005-10-08 14:35:04,,1195,因为1994年台湾引进了一部比较卖座的老片TheSting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子ReturnToParadise因为含有牢狱情节，被译成《刺激1998》！说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。
朝暮雪,5,2012-08-07 15:39:12,,1705,“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。
珍妮的肖像🦄,5,2006-11-13 08:41:13,,2823,没有人会不喜欢吧！书和电影都好。
如是,5,2018-03-14 11:48:26,,1780,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
Doublebitch,4,2007-12-24 17:50:21,,498,绝对是期待过高导致有点失望
挽梦忆笙歌,5,2018-01-13 11:21:05,,1537,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
顾俏乜,4,2017-05-03 19:04:54,,461,通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
小海,5,2010-01-28 22:52:32,,1396,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
美好生活,5,2016-11-14 23:44:21,,886,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
雨滋味,4,2018-01-31 08:46:09,,175,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
小易甫,3,2008-06-08 14:49:34,,2514,在我的心目中，它一直都是最被高估的电影。
眠去,5,2007-02-20 10:56:01,,1222,hopeisagoodthing
南笙,5,2012-01-06 23:02:43,,1519,对不起，我戒酒了。
小耳朵图吗,5,2007-08-21 06:50:24,,1212,越狱我感觉就是改编自这个
苏多多,5,2018-01-20 13:54:58,,853,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
乐安蓝,5,2008-03-02 15:00:17,,1081,明修栈道，暗渡陈仓
赫恩曼尼,5,2012-06-29 15:24:52,,556,若你试自由如生命，你愿意用20年等来一日的逃脱。
毛利,5,2006-11-21 20:12:53,,917,看完让人很振奋
遇见彩虹🌈,5,2017-10-25 10:14:27,,539,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
雨果,5,2016-12-23 19:03:28,,346,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
momo,4,2021-02-02 22:28:40,,180,其实理解不了为什么这部影片会排名第一…
yocofcjx28,5,2016-11-12 16:01:50,,527,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
橘猫爱吃鱼,5,2018-01-12 16:31:58,,461,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
老鸡｜扶立,5,2008-01-10 13:23:26,,633,我最喜欢的电影
百骨金titi,4,2018-01-12 14:08:20,,120,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
不良生,4,2016-05-18 09:30:06,,121,天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。
九尾黑猫,2,2008-03-19 00:32:02,,2210,真的不喜欢，不好看，没感觉
波波维奇,5,2018-01-20 16:48:59,,186,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
毛驴哥🔒🔒🔒🔒,5,2005-12-26 22:57:17,,317,不多说了
一只麦麦,5,2009-09-11 17:32:51,,265,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
Ocap,3,2015-06-30 22:20:52,,134,几年后，五星改成三星。
如月之恒,5,2022-10-15 01:33:49,湖北,131,我发现影史顶尖的作品，都反映了人的执念，一种笃定一切的意志力，这种意志不被人理解，但让人佩服，因为大多数人不敢付出这样的代价，他们不敢相信这一切的价值。自由和希望，就是每个人活着的一根弦，绷着就能生，断了就得死。所以“要么忙着去活，要么忙着去死”，在于选择。如果你愿意相信自己会是那只光彩夺目的鸟，那你就不可能被困在牢笼之中，因为安迪的牢笼是他自己打开的。
你读书少♂,3,2017-08-12 10:25:50,,33,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
东篱,4,2018-01-20 18:53:42,,112,经典老电影就是不一样，重温了无数遍呢
程晴之,5,2018-01-16 11:47:12,,143,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！
朱岳,5,2021-11-27 23:23:19,,159,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。
尽欢,5,2017-12-26 11:32:50,,330,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。
婷婷爱八卦,5,2017-12-20 17:30:46,,113,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！
A天涯任我行,4,2018-01-11 01:21:55,,262,可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味
欢乐分裂,5,2016-05-14 22:25:09,,136,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。
艾晨,5,2017-08-09 18:25:46,,99,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。
徐小花,5,2006-08-16 17:46:16,,465,酣畅淋漓
七沐妹妹,5,2018-01-24 13:46:00,,256,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。
