user_name,star,comment_time,geo_ip,vote,short
邪恶mango,5,2008-11-07 15:05:58,,13999,看到了人性的丑恶更是看到了人性的光辉一个性启蒙时期的少年雷纳多爱上了成熟美艳的少妇玛莲娜那些为了能见到她为了能碰到她而骑着自行车狂奔的时刻像是在追逐自己的幸福那些因为看到别人诋毁自己喜欢的女人而去报复的小动作那个在教堂里虔诚的跪在圣象面前喃喃自语的说在我未有能力照顾好她之前请神一定要好好保护她的少年那个亲眼目睹她因为生活所迫而被迫出卖肉体去换取卑微的生活用品时看到她被那些世俗的男子拥抱在怀里那种悲愤交加的心情的少年个中掺杂的辛酸和怨恨还有嫉妒又有谁可以明白呢这是一个少年最初的爱啊会记得那个女人被小镇人唾弃侮辱的时候少年的眼泪哗啦啦的流着就像那些难以言明的痛楚一样还有在月台上少年看着自己一直爱的女人落魄的离开小镇时那双洋溢着不舍和爱的眼睛里目睹着火车的渐行渐远像是在把少年的思念延续到远方一样我想尽管火车带走了她但少年那份爱是任何时间和距离都无法跨越的这个少年就是爱的如此执着爱的如此刻骨铭心感谢导演托纳托雷在最后把尊严还给了玛莲娜这个曾被世俗所堙灭的美丽女人在洗尽铅华过后重返小镇在广场上在众人的诧异和谈论中丈夫挽着她的手她依靠在丈夫的怀里目无表情的穿越过人群那些曾垂涎并且无耻的占有过她肉体的男人们看到她的那份淡定和从容不知他们会不会有所反思想起片中的一句话只有重返旧地才能重拾尊严这也许是对玛莲娜最好的褒奖不得不提的是玛莲娜那位被误以为战死于沙场的断臂丈夫在经历了一场因狂热的民族主义而爆发的战争后带着已有残缺的身体和疲惫不堪的心回到他的故乡或许生命于他而言唯一还有一点希望的是他一直以为他的妻子还有他们的家一直在等待着他的归来只是当他回到那个小镇回到他曾经的家却再也找不到他的妻子爱人没有人告诉他玛莲娜在他离开之后所遭受的种种不平没有人告诉他玛莲娜的下落只有小镇的人对他的无尽的讥讽和嘲笑他甚至必须和难民一起拥挤在曾属于他和她的温暖小家里会想起电影的这些镜头在沉默的黑夜里他背对着镜头沉思尽管看到他的表情但我想那便是关于落寞的最好诠释还好有雷纳多的帮助或许说是这为丈夫对玛莲娜的爱让他去相信自己的妻子在是非面前依然坚定不移的相信自己妻子的人这才是真正的好男人再美好的花前月下的承诺也比不上他在黎明之前踏上列车去远方寻找妻子的动作因为这才是真爱我喜欢这个男人他让我有理由相信男人除了所谓的好色和花心以外还有一种所不能获缺的品质它的名字叫责任影片最后这个叫黎诺的玛莲娜的丈夫用仅存的一只手臂挽着妻子穿越所有的人穿越所有的舆论和诧异穿越所有小镇的人曾对他们夫妇的伤害表情坚定就如他对妻子的信任和爱看到这里若是要我以一个词来形容这个戏份并不多的男人我想到的是绅士优雅的绅士真正的男人真正的好男人其实或许我应该把重点放在影片主角雷纳多身上但我却不想对他做过多的评论我相信看这部片的每个人会以不同的角度去审视他看待他我想说的是在他的身上我看到了一个少年在成为一位男人的过程里在面对着所谓的“爱情”时面对自己真正喜欢和爱的女人时所有的细腻心情包括很多看似荒诞但却真实反映人性的动作也许这少年浓烈的感情里面包括占有嫉妒或许还有少年时对感情浓烈的企盼但请别怀疑这个少年对自己喜欢的女人的爱在雷纳多最后看到那个曾深爱的女人玛莲娜时看到她也开始老了胖了开始有皱纹了不再是那个穿着丝袜身着性感的美丽女子了但我不怀疑他的爱会因为玛莲娜的容颜逝去而有所褪减也许是他成熟了懂得了真正的爱最后的镜头里雷纳多骑着他那辆自行车在向前行的同时不时回头看渐行渐远的玛莲娜也许这个细微的动作已足以说明他所有内心的爱“好象要逃避似的逃避的是我对她的一段纯真之情岁月匆匆而今我爱上过许多女人当她们紧紧拥抱我时问我会不会记挂她们我相信我当时的心里是会的但唯一我从来没忘记的是一个从来没问过我的人她就是玛莲娜”---雷纳多
7酱™,5,2012-02-07 18:02:31,,8838,有人深情的当做政治隐喻片来看，有人矫情的当做青春回忆片来看，也有人坦率的当做肉欲情色片来看。
senior,5,2012-09-01 20:41:04,,6008,关键时候男人都不出来帮他们的女神，不过如此
有心打扰,4,2011-05-15 20:33:31,,8657,当你不再年轻艳丽，当你的丈夫回到了身边，那么你就成了那群丑妇的朋友。
草威,5,2010-03-13 15:15:19,,5070,震撼全城的美貌，罪恶之源，情欲之源，纯真之源。这是公共意淫、诋毁、同化的典范。
熊阿姨,4,2007-01-24 04:12:11,,6540,原来男孩子青春期是这个样子地，原来女人美丽起来是这个样子地，原来登徒子的沉默和中年妇女的疯狂是这个样子地……
雷鬼膠囊套子啊,5,2012-12-01 14:23:25,,3950,最喜欢一段：之前走路眼目躲闪低垂的她，在那一夜后将蓬松凌乱的头发染红，低胸黑色连衣裙，眼里全是看破之后的凌厉无畏，姿态轻佻却强韧无比，翘腿，叼一根烟于唇间，四下便倏忽忽如游鱼抢食般凑来十几只握着打火机的手。從頭到尾沒有一句臺詞。
以琳,4,2009-12-31 10:46:41,,3935,即使美丽也不能太招摇，招摇总会惹来悲惨的下场。男人在小的时候都喜欢成熟的女人吗？那为什么长大了却又喜欢小姑娘？......
眠去,5,2007-02-12 19:16:30,,2451,“时光飞逝，我爱过许多女人，问我可否忆起她们，我说是的，我可记起你们，但唯一我不能忘怀的，是那个从未问过我的……玛莲娜”
同志亦凡人中文站,5,2014-03-29 10:07:19,,1864,贝鲁奇实在太美！连咪咪都美得人神共愤！男孩视角不能更动人。我们的历史总是在动荡年代，挑出一两位绝色女性，用她们的绛唇妆点狼烟，然后任之委弃风尘...
OnJel.,4,2007-09-30 20:02:07,,4391,有人问我是讲什么的：一个青少年的性幻想和女人美到一个程度就会很悲惨（大概）。
默默的蘑菇,4,2016-11-18 22:13:26,,4390,当相貌远远高于一个人的社会地位时，所带来的伤害也会远远高于一般人。
隆咚锵,5,2007-02-26 00:58:56,,2532,美丽无罪，不忍心看美丽在暴民政治下低头
徐小花,5,2006-10-17 03:04:49,,1962,这女人是可以让整个城市心跳加速的
快乐人生,4,2018-02-13 00:06:49,,1174,从13岁男孩眼里看到了人性的丑陋不堪，对特别美丽，又无所依傍的玛莲娜任意伤害，把她逼到绝境，不得已成为妓女，战后更是残酷暴虐把她逼离小镇，讽刺的是当一朵鲜花零落成泥后，她再一次和丈夫回到小镇时又用友善的一面对待。她终于不再美丽，不是异类，对她们没有威胁，沦为和她们同样普通。
Liza,5,2009-10-19 12:11:57,,924,每個人在他最純真的歲月裡全身心愛上的那個人總是最難忘的，然而在她最無助的時候竟然沒有人挺身而出
