user_name,star,comment_time,geo_ip,vote,short
原来是西门大嫂,4,2010-12-07 00:50:18,,4359,承认爆米花式的好看不行么？别分析政治隐喻了不如去分析下百年孤独更给力。这次是冯小刚式的姜文，不是国产大师不是救世主，他是凡客。。。
弗朗索瓦张。,5,2010-12-17 02:04:49,,7496,说姜文用力过猛的那只能说明您受功不够受用不起！
朝暮雪,5,2012-08-13 11:03:47,,7404,要是姜文拍完这部电影就宣布退休，他会被封神。
花继续开,5,2020-10-14 02:51:39,,7461,“有人问中国最伟大的人是谁？人民说是他，他说是人民。正确答案是人民，但他若不曾出现，是不会有这个答案的。”
大奇特(Grinch),4,2010-12-16 03:19:43,,2857,开篇大四喜，尾声单钓将；麻筒子连七对，汤混子全不靠，四万字无番和；大三元影帝，清一色男配，花牌周韵，自摸姜文。
顾盼,5,2018-02-08 17:53:21,,3863,姜文说，我想站着把钱挣了。他做到了。结尾处的那句没有你，对我很重要。怎么解读都不为过。
猪头小队长,3,2010-12-05 01:10:40,,1626,仍然有浪漫的想象、癫狂的审美、极致的表演，然而姜文这次说，他要让所有人都看懂，于是他不放过对任何细枝末节的解释。当彪悍的人生开始解释，所以，情怀没了，诗意没了，理所当然。难道所有导演的审美都要假装去迎合观众而连带着水准一起拉低？好吧，那市场胜利了，这下子都能看懂，都能笑了。
Touma,5,2010-12-16 17:15:11,,3566,拍个虎虎生风，拍个一日千里，拍个恍若隔世！
于少,5,2010-11-27 00:54:12,,3099,牛着逼！
琦殿,5,2010-12-17 20:46:01,,2473,行了，装逼一次，继段奕宏，姜文再一次满足了我对男人所有的幻想。操，嫉妒周韵。
shawnj,4,2010-12-16 14:41:24,,641,并不是所说的那么出色，被过誉了。横向比很棒，纵向比是姜文几部作品中最差的
Bravenough,5,2022-03-19 19:06:05,,1540,谁赢他们帮谁，但是他们不明白，他们帮谁，谁就赢。人类不感谢罗辑，同样的，人民也不感激牧之。
溴化雞,5,2021-03-15 11:07:35,,1501,20210315改五星，当年是真的没看懂，很隐晦，现在回看越来越觉得我不适合生活在现在这社会上了。哦对，为什么回看？因为发现现在很多社会事件拿里面的对白都可以解释。。。。
醉里挑灯看花,5,2018-03-06 08:34:08,,1003,姜文这种黑色幽默式搞笑时不时会出现在他的作品中，这部尤甚。
欣欣向荣,4,2018-02-20 10:28:27,,712,这个电影很好玩，重复看会发现很多隐藏线索，麻将面具也很有意思，最后还有惊喜，挺好看的
妖灵妖,5,2010-12-16 15:38:15,,512,国泰电影院早场「让子弹飞」全场爆笑四十多次，片尾观众自发鼓掌，这是姜文私版的「革命往事」，大家都让他站着把钱挣了吧，虽然影片有一些明显的问题
柏元,5,2022-07-15 01:19:16,,301,影片反映了三个年代，1、影片背景的年代，2、影片拍摄的年代，3、以后的每个年代
桃桃林林,3,2010-12-16 14:30:45,,642,姜文玩出来的电影，从头到尾都很放松，或者是太放松了，节奏总有点怪，有些情节也太儿戏。对白也不好，细节不如《鬼子来了》那么智慧，即便如此，这仍然是今年华语片最棒的。或者只能怪剩下那些太面货。请千万一定尽量降低期待。重看一遍，感觉这片舞台味真重啊。
留白,5,2020-12-12 23:14:13,,268,一直都觉得《让子弹飞》是我懂事以来国内拍的最好的电影之一了。不想理解也能让你看的过瘾，想思考也有足够的东西去思考，这才是真正的电影。
Q。,4,2010-12-16 16:01:38,,389,“走路不要太快，会扯着蛋。”这是一部溢满荷尔蒙的火药桶，这是一部会带来核动力反应的影片，震撼所有人，并且持续许久。130分钟的影片满是高潮，全场观众从头沸腾到结尾，不断的笑声、不断的掌声。无论哪个演员都表现的十分出彩，台词幽默精致，结构紧凑、首尾呼应，唯独缺少一丝控制。★★★★☆
Meow_Su,2,2010-12-08 13:48:45,,515,根本不够格叫电影，就是一长篇相声。啥人物啊啥情感啊，啥都没。不过还可乐点。
冰红深蓝,3,2016-01-15 16:37:38,,427,"男性色彩过于浓烈，女性全沦为扁平的符号。多处段落过于刻意，不加节制。舞台化气息太重，电影化手法较弱。所谓政治隐喻也欠缺力度。姜文由于[鬼子来了]输给[黑暗中的舞者]就对冯提尔怀恨在心，03戛纳利用评委身份公报私仇抵制[狗镇]，斥其为""哗众取宠""，结果自己后来拍的片质量比之差远了。（6.5/10）"
接十分钟的吻,4,2018-01-24 18:08:53,,284,三四年前看的，只记得全班人一起笑得跟傻子一样，挺不错的电影
李咬金,1,2010-12-04 22:41:02,,2177,我就不感冒！
同志亦凡人中文站,4,2010-12-16 22:00:39,,99,细节还差点儿故事很给力～！
艾小柯,3,2010-12-23 22:22:34,,96,意图是宏大的，娱乐性十足；但影片的节奏与细节处理都十分毛躁，多处糙而欠缺章法，执行上眼高手低。3.5星。
遇见彩虹🌈,4,2017-10-27 12:46:36,,95,影片节奏紧凑，剧情也挺出乎意料，表现形式虽略夸张但吸引人。让子弹飞一会儿吧。
快乐人生,4,2018-03-29 19:42:14,,54,剧情挺荒诞，也蛮搞笑，虽然看过很久啦，还能记住一些片段。
不穿袜子,3,2010-12-17 07:31:19,,161,没道理给五星，姜文这次成功的演绎了模仿秀。电影节奏太掉套路了，你说这电影导演，可以是盖里奇，可以是昆丁，还可以是宁浩，总之就是生意，票房第一。最后结尾又狗拉羊肠子，周润发搞的跟董存瑞似的，豆瓣上好评如潮啊，挺怪的。不过在这个烂片无数的年代，三星勉强给了。
豆豆龙,1,2010-12-16 13:59:13,,572,好在哪里？笑点没觉得可笑
btr,3,2010-12-16 22:20:48,,109,"""姜文的男性沙文主义把革命浪漫主义催化成一场自恋而空洞的闹剧；简单粗暴的革命幻想在漫画式演绎里沦为几无可信性且毫无深度的大纲式故事；冯氏笑料游离在电影的内在逻辑之外，成为段子级别的廉价调料。“全文：http://shanghaimonthly.info/blog/?p=2181"
TropicalMalady,3,2021-08-20 22:22:24,,58,我们受邀得以一窥姜文的精神世界，发现里面什么也没有except一根勃起的阳具。
roserosey,5,2022-07-16 09:16:02,,187,今时今日尤为应景
Dick,2,2010-12-16 22:32:26,,148,上映前到处都是海报让我觉得又是部烂片，今天看了评论以为自己错了，看完我觉得确实是不烂片
苏苏段,2,2010-12-16 23:22:40,,280,不好看，没什么很好笑的，不理解之前网上那些捧的都是怎么回事。
娄知县,2,2010-12-17 09:51:22,,67,《鬼子来了》之后，姜文就一直没有好本子，所以他的电影都是片段拼凑，没有完整，上一部登峰造极，这一部还是一样有这个毛病。当然我不反对你把它当一个四川话散打小品大荟萃看。
木由,5,2022-05-31 15:49:48,,191,慷慨悲壮的《太阳照常升起》用来做姜导的战歌真是最合适不过了。7年后回来再看突然发现从前没看懂。原来这讲的不是一群肝胆相照的英豪打败恶势力后各奔前程的光明故事，讲的是众叛亲离。屠龙勇士始终只有一位。汤师爷、三哥和花姐早就叛变了，小六和二哥一抔黄土埋忠骨，从前几位劫富济贫的兄弟最后成了“吃着火锅唱着歌”拿着委任状去捞钱的新一代恶龙，黄四郎金蝉脱壳甚至成了他们的师爷。新的循环开始了，凝视他们的只剩下大哥孤家寡人，他却还是选择了打马上前。乌合之众谁赢帮谁，贪得无厌，真的值得被解救吗？他不去想，他只去做，因为他不是张麻子，他叫张牧之。
Jason4,2,2010-12-17 00:45:08,,64,我看的是你们看的神作《让子弹飞》么?逻辑混乱不知所云笑不出来啊这个。
亚比煞,4,2010-12-19 22:15:06,,45,银鞍照白马，飒沓如流星。十步杀一人，千里不留行。
伊谢尔伦的风,5,2010-12-29 22:33:22,,118,“麻匪帮开个牛郎团都够啦！”
鸽子汤,2,2010-12-17 15:53:35,,60,姜文的子弹飞彻底暴露了他的缺点，不讲究的剪辑和运镜，设置随意的剧本，粗糙的特技，自已为是的对白（鬼子的重复），失败的表演（姜文）……失望！！
廖新,1,2010-12-17 09:49:00,,334,除了靠段子扯蛋逗乐，算个小品集合的贺岁片
bobiba,2,2010-12-17 15:45:59,,55,挺没意思的。挺荒谬的。挺装逼又装逼失败的。
臆想图志,1,2021-04-23 09:30:50,,64,为什么这不是一部好电影，因为它否定了诸众在社会革命中的贡献与牺牲，将社会革命胜利功劳锁定了少部分革命上层精英，诸众只是精明、自私、利己、怯懦的，所以社会革命成果不应该归功于诸众，融合伪装成精英主义的既得利益阶层视野，这是红二代既得利益阶层对人民革命否定的集大成，是红二代占领话语权，对既得利益的合理化辩解。
西楼尘,4,2013-08-21 22:42:57,,70,噼里啪啦，酣畅淋漓。期待姜文，真正用心拍电影的导演，姜文李安守住最后的电影净土。
统统趴下,4,2012-06-18 12:04:01,,5,很好笑
scaryzion,3,2010-12-17 09:00:24,,137,整片节奏混乱且冗长罗嗦，特技场面相当业余，出场人物宛如戴着面具般表情生硬，这是讲故事的电影不是大伙凑热闹的春晚，很多人物是可以删掉的。前半段笑果很明显，但后来越拍越乱，都快散架了，很多台词莫名其妙。如果可以剪到90分钟，应该会好很多。
淡墨文竹,5,2021-01-28 23:55:02,,138,看完后劲太大了人民永远怀念您的伟大教员千古
Leon Winters W,5,2015-12-30 02:07:05,,115,神作！一般人要想想才能明白内涵，在姜文的世界观里，英雄是第一位的。英雄改变社会，英雄创造历史。最大的悲哀就是没有英雄。所以张麻子拿了钱还不够，他还要除掉黄四郎，给百姓一个公平，给鹅城一个太平。你给我翻译翻译，神马叫惊喜！你给我翻译翻译，神马叫做TMD的惊喜！！！
眠去,4,2010-12-19 14:44:30,,73,重温一场英雄主义的旧梦
clqmorning,2,2010-12-16 22:19:02,,181,低俗的笑料，冗长混乱的剧情，没有突破的表演
小王漂流历险记,5,2022-04-23 19:10:24,,84,张牧之为什么慢慢被叫成麻子，谁愿意相信一个麻匪的名字会如此浪漫，这是世人的偏见。
春上村头🌲,3,2010-12-17 01:50:03,,46,如果姜文以前的片子是五星，这个只能三星喽。
安之,2,2010-12-19 11:55:46,,45,姜郎才尽。
亵渎电影,3,2010-12-18 22:27:51,,58,还好吧！我不是很喜欢，这类片子不是我的菜啊！不评论！
胤祥,4,2010-12-16 23:50:14,,32,三个男人相爱相杀什么的，最萌了。姜文什么的，最萌了，卖腐都卖的那么萌，萌死我算了……这就是非理性粉丝，虽然此片跟前三部相比最多四星，后期再次被中影数字基地糟蹋（内景还好，外景简直不能看，还有那些特效），但是能在大银幕上看姜文这种事儿毕竟不多……准备至少再看两遍
芊颖,4,2018-05-07 20:19:40,,26,葛大爷的片，天下无贼和这部让我印象最深了
暗淡整个宇宙,5,2010-12-07 00:29:16,,128,近年来最有男人味的一部电影，节奏流畅，风格鲜明。姜文的英雄主义情结发挥到极致。
狂奔的蜗牛,5,2010-12-16 13:15:33,,193,V5
死鬼,5,2018-05-07 23:46:43,,66,光这张海报就值五星
此女名为吃货,5,2021-07-19 01:20:50,,68,后悔没早看，庆幸没早看。进入社会后看这部片子会懂很多，太多的东西对应过去又映射进如今现实，好的电影总不会被时代约束。对现今的想法如同电影的台词一样：让子弹飞一会儿吧
AG,3,2010-12-09 08:12:06,,41,鸡血片，因为有姜文个优高级很多.但我一向不爱看发哥的喜剧表演，它这次戏份太多
啊啊啊啊洋,NaN,2012-05-23 13:05:10,,1,怎么说。。。还好吧~
懒肥柴,5,2022-02-23 22:06:24,,49,这照片是你吗
呆瓜,3,2018-03-11 19:17:38,,34,葛优的发型好酷啊，没怎么看
子爵91,4,2012-05-25 20:11:34,,5,我想知道这事那个年代？有火车，有子弹，有知县。
师太求点化,1,2010-12-16 22:19:47,,41,有些失落····
叉叉xX,4,2012-05-26 05:08:56,,1,TT。。。
woodward,5,2022-11-30 21:53:34,北京,60,在老七离去的夜晚，再看一遍他曾经探班过的杰作吧
