user_name,star,comment_time,geo_ip,vote,short
宝塔糖,5,2011-07-09 02:37:35,,12314,有钱才能保护喜欢的人
文泽尔,5,2007-10-12 07:32:32,,3764,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大
西梨,5,2008-06-29 23:14:08,,4403,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。
Ying,5,2015-02-15 22:31:59,,3226,“你从来不喝醉，那是绝佳的自制力。自制力就是权力。”“权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”
老鸡｜扶立,3,2008-01-10 16:18:52,,3641,导演很清楚观众会喜欢什么，而这正是我不喜欢的地方
朝暮雪,5,2012-08-07 15:42:09,,2311,连姆·尼森后来又演了《通勤营救》《空中营救》《飓风营救》，半辈子都在营救别人。幸亏《辛德拉的名单》当年没在中国上映，要不然中文译名可能会是《辛德勒营救》。
2013,4,2006-09-11 17:44:34,,7721,印象很深刻的是黑白画面中的红色。
Q。,4,2009-02-02 03:04:15,,1666,“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆
珍妮的肖像🦄,5,2006-11-13 08:39:25,,3340,不仅仅是犹太人，而是整个人类的悲剧。
veronique,5,2006-06-15 18:59:41,,3561,请看一部没有笑容的电影吧
赫克托尔,5,2007-03-23 16:47:47,,3371,救人一命就是救全世界.
雨果,5,2016-12-06 17:21:57,,1960,辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。
踢迩达,5,2012-03-30 17:24:10,,1528,这类片子，在我的概念里，和读书时四大名著同等级别，大部头，轻易不敢触碰，一旦决心看就要掏心掏肺100%投入。很辛苦。看完都像心灵负重走了长征。平庸之恶也许只是借口。真的猛士敢于面对人性的黑暗与软弱，敢于跳到体制中做出自己的选择。像伟大的犹太裔导演斯皮尔伯格致敬。
大头绿豆,5,2006-02-22 18:43:36,,2030,救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。
巴乌,5,2006-04-25 22:11:28,,2293,我哭死算了我
快乐人生,5,2018-03-02 20:45:50,,912,斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
薇羅尼卡,5,2006-03-29 16:01:25,,1103,很棒，直击人心。不知道什么时候中国也能拍出这样的电影。
影志,5,2006-01-08 05:32:13,,598,每一次看都有新鲜发现，每一次看都会内牛满面。/记第一次在中国大银幕观看20190413@天幕新彩云巨幕厅
杜扬Seatory,4,2006-10-26 05:00:56,,729,献给导演认真的态度和无数个小高潮
橘猫爱吃鱼,5,2018-01-12 16:09:22,,511,特别喜欢的片子，心里特别难受，从音乐到场景都是很压抑、很凄凉。当看到犹太人把金牙抠下来铸成了一枚戒指送给辛德勒那段时我已不禁泪如雨下。这部电影无论是在思想、剧情、摄影、音乐都做到了目前战争片的极致水平。
cassidy,3,2009-03-05 01:43:30,,435,属于看时激动，看完越想越没意思的那种
fffeng,1,2023-10-20 00:50:31,天津,1460,受害者早就成为了加害者。
老晃,5,2006-01-11 15:12:54,,402,又看了一遍《辛德勒的名单》。斯皮尔伯格像小学生第一次交作业一样用心、虔诚、小心翼翼。每个创作者都该记住自己的这个第一次。
沐之,3,2023-10-17 09:11:27,天津,269,老片新看结合历史与当下，犹太人的宣传做的太好了，这些书、影视从来就不会提到一点就是迫害犹太人的，不只有纳粹，还有他们自己的精英们。每年那么多二战犹太受害的书与其他著作，自诩是人类伤痛的那些学者可曾关注同样是二战里中国人民被屠杀的事情？这就不得不提到某人在美留学期间教授讲述犹太压迫时，底下同学纷纷抽泣。当他站起来谈到同时间的东方大国人民同样被残忍对待时，同学们立即止住抽泣转而以怪异的眼光望着他，教授打断了他的话语并继续讲回犹太人的故事，同学们继续抽泣。
孔雀鱼,4,2016-11-30 14:47:21,,446,辛德勒的名单，当时我看成希特勒了，还以为是间谍片，后来看了发现是救赎片。二战时期的片子大多是在救赎和摧残中纠结。日光之下再无鲜事。不过不能否认影片很不错。
徐然,5,2023-10-19 00:10:58,海南,237,几十年的时间也转眼即逝吧2023年10月18日这个世界的某个角落里又有人撕开了文明的薄纱极权鼓舞着镰刀忘记了战争的伤痛忘记了祖辈的痛苦当热浪裹挟着震动在加沙吞噬了那些年幼的生命带走了那些无辜者的灵魂当这些暴行躲在所谓政治的躯壳里卖弄自己丑恶的嘴脸我隐隐约约在厚重的历史重影中看到了曾经看到了“新纳粹”......
一只阿柒,1,2023-10-22 09:03:28,陕西,922,30年后的10月巴以冲突无差别炸毁医院学校真是好讽刺
Martin Chen,1,2023-10-22 08:39:20,辽宁,807,现在看来就是一部笑话。。
刘小黛,5,2009-03-09 19:18:52,,187,站台记录了那个年代可怕的未来和往昔，人心充斥的只有霸道和惨绝。
芥子山,5,2023-10-22 07:21:51,内蒙古,311,给这一代人保留点尊严和希望，特来打分
米粒,5,2010-03-19 12:09:31,,253,爱电影必看的一部，黑白色里的红衣小女孩和温暖的烛光令人印象尤其深刻——导演很清楚我们需要怎样的震撼和感动
掉线,4,2012-11-19 21:42:34,,291,一部没太大感觉的公认神片，拍的的确是很真实，但或许我口味重了点，还嫌不够残酷吧……最后辛德勒对着一千多人的一番话泪崩了，我和同学俩大男人在自习室默默泪流再默默用纸巾抹泪的场景太喜感了
奶包的乔巴,5,2021-02-07 00:41:05,,151,Amon是一个塑造的比Schindler更立体的人物…信仰、情感与人性的冲突、矛盾和对立…像电影里说的“也许…你不是错的，错的是这个世界”他爱上了Helen但是他不敢承认，他对Schindler说想要带Helen回家与她白头到老…但nazi他所一直服从的信仰不允许他承认不允许他去爱。他明知道Schindler的行为是为了什么目的是什么但他默许了。在Schindler亲吻犹太女孩之后找借口为他求情。Amon像一个没长大的孩子，对很多事情是迷茫的，nazism好像是他唯一可以依靠的东西。在Schindler告诉他“饶恕才是权利”之后，他像个孩子一样用一种与平日commander截然不同的语气尝试着说出饶恕的话语，往日他从未讲过的话语“iforgiveyou”十分的生疏
Jean,5,2005-07-18 12:51:00,,363,人性之恶，生命之荒谬
生长神像,5,2023-10-20 02:57:06,陕西,266,帮助了如此之多犹太人的伟人最后却落得如此下场
甜椒Oli,4,2017-03-26 10:20:40,,269,我可以冷漠的看完整部影片。我深知我改变不了世界甚至改变不了自己
裂心师,1,2023-10-25 22:04:19,浙江,543,我只知道，谁残害无辜百姓的生命谁就是敌人
有酒有酒,1,2023-10-18 00:39:58,湖南,739,以前觉得是做好事现在觉得最后穷空潦倒也是报应罢了
次元碎片,1,2023-10-20 08:05:35,陕西,956,很虚伪很讽刺
裴钟灵,1,2023-11-03 03:53:44,广东,236,电影是好电影。但是2023年评价这部电影，以色列的行为真是讽刺。实在是不忍心看到巴勒斯坦百姓被压迫被残害。愿世界和平。
朴素的雨,5,2023-10-22 08:37:04,陕西,212,N刷过的反战经典！自古是非善邪有标准，不能以立场来划定。
就死机圣诞节,5,2023-10-22 08:04:55,安徽,183,真正的大爱是不分人种甚至物种的，那些爱别人前需要确定种族物种的基本都是虚伪自私的小人。
黑,5,2023-10-22 08:52:38,辽宁,198,希望人类最终都能走向文明与自由，哪怕是再顽劣的。
云隐,1,2023-10-13 22:13:06,陕西,393,犹太人：世界以痛吻我，我以獠牙待之。tui～还是教员眼光远，舆论的高低我们不去占领，那么敌人就会占领。
wuli月半子,2,2023-10-25 11:09:56,上海,499,之前看很感动，现在结合现实，有点讽刺
别戳我萌点,4,2023-10-27 12:41:07,湖南,110,2023年冬，于东北，再次观影。没有眼泪，只有唏嘘。历史的轮回不改作品本身的优秀，但这种堪称讽刺的对照，实在让人很难打出五星。
豆瓣panda,1,2023-10-22 07:22:31,山东,320,作为剧情片很优秀，但是要挂上历史的标签，单独浓墨重彩刻画长河中一个小小的水滴无疑是很可笑的
爱幻想的小孩,5,2015-02-09 14:00:45,,154,主旋律，片段化，但是掩饰不住那份执着和认真的制作态度。最美的摄影果真都是黑白。光影运用极其出色。若干小高潮和小细节令人惊愕。让英国演员蹩脚的说带德国口音的英语到底还是阻碍了表演，让人出戏并加强做作感。人物塑造尚可，男主前后反差有点大，过渡没有做好，最后拔高有刻意感。
银杏菇靓,5,2016-12-31 08:39:29,,211,对里面纳粹扫荡犹太区，辛德勒立马山头那段印象很深，那抹全剧中唯一的红色真的让无数人揪起了心。约翰•威廉姆斯的犹太童谣配乐配得太好了，特意去搜了下中文歌词，无论我说错了什么都不要在意，我只想要你好好回来。。
N,1,2023-10-17 07:20:33,江苏,505,真是讽刺。
宋雯婷,5,2016-07-21 12:24:26,,125,豆瓣戾气一点也不比知乎轻。这样的电影还有人说媚俗，真是愚蠢。有一天大概也要去辛德勒种下的那棵树前面站一会儿吧。
西楼尘,5,2015-07-22 23:53:44,,96,这部电影的价值是用影调还原了值得铭记的一段故事，或许经年以后屠杀犹太人从近代史划归到古代史，这场灾难的伤痕逐渐淡却，依然会有后人因这样一部电影记得人类曾有过的仁慈与博爱。黑白影调中红衣小女孩和温暖烛光成为经典，《另一个故乡》也有运用。故事上《钢琴家》后来亦有诠释，但经典值得永恒。
花祭,5,2023-10-13 10:47:54,江西,118,为辛德勒五星，犹太人就算了，这次巴以冲突我才真正认识了犹太人。辛德勒，《辛德勒的名单》电影人物原型，曾经救助上千犹太人，晚年穷困潦倒，靠救济金生存，67岁饥寒交迫病死，自诩最懂得感恩的犹太人在哪里？2006年7月，以色列军队冲进黎巴嫩境内掠夺石油，被联合国维和部队发现炮击平民制造人道主义灾难，以色列怕事情败露，竟然直接向维和部队营地附近开炮施压，致使包括中国战士杜照宇在内的，芬兰、奥地利、加拿大，四名维和战士牺牲，当时杜照宇的孩子还不满两岁。
？？？,1,2023-10-11 18:14:30,广西,355,犹太人不是最惨的，但是一定是最会哭的
雪狼༊྄ཻᏴ࿆Ꮻ࿆Ꭶ࿆Ꮥ࿆,3,2023-10-22 07:35:53,辽宁,333,有意思的是，幸德勒晚年家产为犹太人耗尽，多方求助只得到了1.5万美元帮助，重新创业却被犹太人排挤打压。
