user_name,star,comment_time,geo_ip,vote,short
杜扬Seatory,4,2006-10-25 01:38:08,,8189,我开始想要过得快乐，睡在床上，有牵挂
沉歌,5,2007-10-14 15:39:36,,15334,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~
能工巧匠沙门哥,5,2007-08-16 10:52:43,,8608,一半的魅力来自反派：GaryOldman.
瓶子不能倒,4,2016-11-29 18:14:06,,2693,里昂只有一颗盆栽，不善言辞，爱喝牛奶。他不像，却真正是一个杀手。玛蒂达的到来，是包袱，也给里昂带来了生机。不过这种设定，注定是悲剧收场。里昂死后，玛蒂达将他盆栽的种子落地生根，里昂终于不再每日拿着手枪在椅子上不安地入睡，他落地了。娜塔莉波特曼太灵了，玛蒂达是如此特别。
眠去,5,2007-02-10 10:52:10,,8533,她对Leon说，自从遇见你后，我的胃，再也不痛了……
艾小柯,4,2006-08-09 05:50:48,,485,传奇，童话，传奇，童话，传奇，童话……
大头绿豆,5,2006-03-19 12:38:36,,6319,Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。
左宜右有Haak,5,2012-03-19 18:44:28,,7519,一个杀手被一个萝莉害死的故事
shu,5,2008-07-07 00:28:44,,5351,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。
浪味仙,5,2008-06-24 21:04:30,,3834,-Islifealwaysthishard.orisitjustwhenyou'reakid-Alwayslikethis.
Camellia,5,2008-06-23 19:52:24,,2919,Léon：You'renotgoingtoloseme.You'vegivenmeatasteforlife.Iwannabehappy.Sleepinabed，haveroots.Andyou'llneverbealoneagain，Mathilda.Please，gonow，baby，go.Calmdown，gonow，go.
酚酞,5,2012-03-10 17:23:47,,4189,看到泪飙，世上最温情的杀手。幸运的姑娘在12岁就遇到了真正的男人。
Nalakuvara,5,2008-10-25 11:20:45,,3255,或许是很多姑娘大叔控的根源。
李同学live,3,2012-03-05 17:42:38,,5709,我没啥感觉的公认好片。
。光本,5,2006-10-16 02:16:04,,2086,爱上了让雷诺。爱上了这个意大利杀手的温情。爱上了他脸部轮廓，和刚毅的线条。“人生诸多辛苦，是不是只有童年如此。”玛蒂尔达问。里昂说，“一直如此。”这样的话，击中了内心深处。
Cherry,5,2005-07-12 17:13:10,,2663,喜欢这个喝牛奶的男人
登对,4,2016-12-31 10:14:12,,300,确实经典没有很狗血的剧情没有大尺度的卖肉戏但是好奇怪我竟然没有被感动哭
百骨金titi,4,2017-12-20 10:03:23,,311,大叔萝莉的爱情💏，电影很好看也很经典，但我还是有点接受不了这种年龄差，这个里面还是诠释的很好，可惜大叔最后死了😭
小儿勾,5,2007-01-16 18:57:09,,1371,Hereinmystomach.It'sallwarm.Ialwayshadaknotthere，andnow..it'sgone.
高歌,5,2010-05-15 16:11:16,,2250,我到哪里找，像你这么好。
伊豆,5,2008-08-03 14:08:26,,1268,杀手又怎样？警察又如何？冷酷或者温柔，不是靠职业来评断。那个警察冷血的想让人捅死他~！而这个杀手，让人心疼的只想轻轻的温柔的抱抱他。
陈苍苍,4,2012-06-02 13:15:23,,208,“这是关于两个小孩的故事，一个女孩和一个男孩，在他们心里，他们都是12岁，他们都感到失落而他们深爱彼此。”
kingggggg,1,2018-04-01 20:44:50,,221,我tm真的不明白为什么这样一部烂片会有那么高评分，观众都是萝莉控吗？剧情总结，就是原本一世英名，无坚不摧的杀手，被一个刁蛮无理，思想极其阴暗的少女给坑死了。凭什么占据豆瓣排名第三的电影？？？
王xx,NaN,2007-12-16 21:46:03,,654,我妈说：这个小孩儿怎么办啊，她又不想学习！她又学不进去！
亚比煞,5,2012-08-06 09:18:29,,1110,“你最好对我一点感觉都没有。因为只要有那么一点点。你都将会后悔你没有让我知道。我爱你，里昂。”看完第六遍，很多台词都会跟着背，还是会哭。
汪拾叁,5,2007-01-05 16:45:59,,1456,超级爱那个男人抱着一盆植物走在街道上的样子。
潇湘烟雨,3,2018-03-06 19:15:34,,283,评分超高的影片，看完毫无感觉，明明很一般啊，嗯，一定是我不懂得欣赏
小耳朵图吗,5,2006-07-18 04:45:44,,1180,娜塔莉波特曼激萌啊
yunyan,4,2017-12-24 21:18:25,,170,Leon可谓是史上最为可爱以及百变的杀手。如果你想找个杀手做男朋友，并且带有那么一丁点儿“叔叔控”，那么Leon无疑是最好的选择。
布那那鱼,2,2017-08-01 00:02:43,,463,不管大家怎么为这个电影附上美好纯粹的感情色彩，说他们内心世界年龄是同步的，但是我无法忽略这就是一部说一个未成年幼女和一个大叔的接近爱情的故事，光是这点我就无法克制自己的反感，心无旁骛地看。让我不解的是竟然没有多少声音在质疑这点，而大家都用美好的滤镜去过滤粉饰这样一个原则问题
OnJel.,5,2007-02-12 06:14:09,,784,找不到比这个更喜欢的了。
壳子,5,2017-01-03 10:38:40,,707,人们常说这是大叔与萝莉的爱情在我看来却不然大叔的内心也是一个孩子他很少与人接触更不要说异性小女孩直白地表达爱慢慢地动摇他的心让他知道原来这个世界上还有这么美好的感觉两个孩子为了爱奋不顾身为了最纯洁的爱
651564165cz,4,2018-01-20 12:02:35,,272,经典好看，昨天又看了一遍。好电影总能让人回味
王小邪,NaN,2008-02-02 15:59:46,,366,复杂的社会关系里总有绽放如花的感情
Q。,5,2008-05-18 01:10:33,,587,叙事节奏清晰流畅，毫不拖泥带水；Léon、Stansfield、Mathilda，几个主要人物个性鲜明；加上如同MTV般快速切换的画面，影片从头到尾紧抓观众的眼球，非常难得。更因为此片，让全世界认识到了娜塔莉·波特曼。★★★★☆
熟鱼鱼,2,2017-03-05 14:28:58,,174,很怪，感觉从头到尾没有亮点。看别人的评价，说要结合时代来看，在那个时代拍这样的动作场面是惊呆众人的效果。好吧。然后，大叔和萝莉在我这儿确实没有任何萌点，我还是喜欢共同成熟，你我相当的感情，不要和我说什么里昂心里是12岁小男孩，我一百万不信
momo,3,2021-01-03 23:10:38,,232,这部能top4是我心里的谜团
My Soul,3,2022-02-22 13:55:15,,128,一度怀疑我的欣赏能力，豆瓣top4的电影，在我看来真的很一般……
你看起来很美味,5,2012-02-26 15:30:18,,378,我希望你没有说谎。我希望在你内心深处真的对我没有一丁点儿感觉。你最好对我一点感觉都没有。因为只要有那么一点点。你将会后悔你什么都没有对我说。我爱你，里昂
吃瓜(^.^),4,2018-01-20 23:59:41,,83,反差萌的两个主人公软萌大叔和暴力萝莉太搭了经典的影片
赫克托尔,5,2007-03-26 14:29:42,,240,小loli和大叔的爱情故事.
雨果,5,2016-12-18 23:05:16,,291,一个行事一板一眼有条不紊的杀手邂逅了一个激越鲜嫩的小生命原来之前的悠悠岁月自己从未活过一个反叛哀怨愤世嫉俗的弱小灵魂荡涤了一个沉睡中的王子心灵从此一塌糊涂糟糕透顶的生活有了希冀谁说年龄是问题谁说身高是距离小王子被他的玫瑰花驯服了小女孩从此有了兰花作伴
我！,1,2022-03-30 04:48:07,,194,这tm就是用华丽外表包裹的变态恋童电影，每一件恋童犯罪下都有这种电影传播的影子。c每部这种变态电影都tm搞成是女人诱惑主动，tm男人都是被迫发生，真tm会给男人美化
Neophyte,1,2021-08-05 00:41:49,,106,演员演绎或许很棒，但情节设计未成年小女孩迷恋甚至引诱大叔令人不适。看到豆瓣这么多人把这部电影奉为圭臬，我愿称之为国内显性恋童癖和隐性恋童癖的集体高潮。
