user_name,star,comment_time,geo_ip,vote,short
Zia,5,2009-12-23 21:56:24,,8712,最刺痛的是那被直接丢出阳台的坐轮椅的老人
今天小熊不吃糖,5,2010-01-31 10:13:21,,3704,影片的结尾让整个故事的基调上升了几个层次，这并不是一部简单的反映二战反映犹太人与纳粹的影片。人性是很美的，当然，人生的际遇变幻各有轮回
Deborah,5,2006-11-28 14:30:27,,4511,从此就喜欢上Adrien那张驴脸了
Doublebitch,5,2011-11-13 21:42:51,,3677,“你为什么穿着德国人的衣服？”“因为冷”
次非,5,2008-10-25 23:31:09,,2689,你叫什么名字？斯皮尔曼。斯皮尔曼，一个好钢琴家的名字。
朝暮雪,4,2017-03-16 07:34:01,,2820,波兰斯基凭借此片获得奥斯卡最佳导演，却因遭到通缉而没去领奖。生活不像电影，生活残酷多了。
PuNa,3,2006-02-12 22:40:40,,2498,如果说它想反映纳粹的残酷，那一点都不算残酷；如果它想反映主角的坚韧性命，那只能说他是运气好；反而我倒挺同情那个最后就他一命的德国人的。。。我想用ridiculous来形容，可以么？
youngman,5,2009-09-08 16:50:00,,2521,谢谢上帝不用谢我，他让我们死里逃生，
野次馬,5,2007-12-12 14:55:19,,1333,好难过好难过。仿佛就连呼吸的功能的丧失了。战争来时。任何人的意志都受到扭曲。毫无例外。从拒绝佩戴袖章到拉着德国军官的裤子求情。人就这样一步步在战争之中沦丧。幸好还有音乐。还有艺术的伟大。伟大的艺术。
台,3,2007-04-06 23:10:44,,701,对于一部记录二战中的犹太人的电影来说，相比《辛德勒名单》它只能算是入门；对于一部钢琴题材音乐电影来说，它也没有《海上钢琴师》壮阔。
1968小金,5,2009-08-07 07:06:20,,1433,百无一用不仅仅是书生还有钢琴家，与其苟延残喘不如一死了之。
寂地,4,2006-01-03 16:37:22,,1564,可能因为刚看了拯救大兵，所以难免的觉得这里描述的世界太干净了．是的，即使你已经觉得很残忍了，它还是太干净漂亮了一点．但是我还是非常喜欢这部电影，．只要那些温暖的东西在，就好了，尽管战争的事实，实际上是要残酷得多的．
mado1983,4,2008-10-28 19:05:40,,1315,如今这个民族仍然在继续受苦，苍天无眼
大島,5,2015-12-22 14:54:11,,1432,男主的幸运值已经达到MAX，但是每一个经过二战活下来的犹太人应该都像男主一般幸运才可以。
小墨MO,4,2012-06-05 06:34:49,,821,不要嘲笑他的苟延残喘为了活下去他放弃的那些尊严坚持和希望在战后又重新披回到他的身上战争所造就的废墟已经把他的心碾成残渣他始终活动着的手指在每一次命运交接时暗暗弹奏着命运的主题曲AdrienBrody把他的挣扎和优雅都演活了面对死亡和恐惧我们都一样渺小最艰难的其实是坚持
Ocap,4,2014-08-13 16:05:47,,469,罗曼·波兰斯基的场面调度也可以超越斯皮尔伯格，深青淡黄的画面风格似乎成为了一个时代的印象颜色。电影本身就如一曲感伤的肖邦，流畅自然地穿梭过残暴与鲜血，一直在酝酿高潮的前奏，最终却平铺直叙地收尾，直接让你在意犹未尽的同时体会到战争与命运轮回的无始无终。
影志,5,2005-12-28 01:21:42,,1605,某种程度上可以媲美《辛德勒名单》
Eudemonia,5,2007-03-18 00:06:40,,1167,这片子，跟男主角那两抹气质超群的眉毛一样耐看！哈哈
游牧人·芳汀,4,2010-01-29 16:36:20,,219,心痛，有一个强大的国家是多么重要。如果我是主人公早活不下去了，不是自杀就是饿死忧郁死吧，让我想起余华的《活着》。另外就是很喜欢最后那个救了他一命的德国军官。
米粒,5,2009-06-16 17:45:34,,787,在影院看，恐惧和难受真是无孔不入。波兰斯基以一个观察者的角度展现了波兰的二战场景，看似冷静却又是最可惧的。而人活下去的信念到底能有多强大，恐怕不到死神擦肩而过的关头是无法预料的。如果说一部电影能给人信念，那《钢琴家》就是这样。
A-sun*,5,2010-06-12 22:15:45,,1508,那个耳鸣太震撼了。
LORENZO 洛伦佐,5,2011-01-16 10:35:47,,914,我偏向认为这是一种全世界对于艺术的无私保护，大音希声，恐怕只有面对艺术人们才难得在价值观上达到类似的趋同。
寒枝雀静,4,2017-07-18 17:09:03,,54,C＋/最大的优点是没有将战争中的艺术元素阐发出过分的诗意，而是集中展现主角的视角下战争生活最为真实的“苟且”。其他方面似乎更觉得工整而少有特异之处。倒是开头一个个谣言成真的段落与现实生活有种莫名的呼应。有种来看金棕榈结果看了部奥斯卡BP的感觉。好吧我承认还是哭了很久。
露娜peace,4,2006-06-12 10:24:22,,158,老套路：以个人命运来反应动荡全局……但还真的不错
路克,3,2006-06-11 22:12:17,,366,其实并不太好看~
吉法师,5,2020-10-28 19:59:40,,583,忘不了那颗被分成六份的糖。
风向未来吹去,3,2008-06-24 21:34:15,,244,莫非是我铁石心肠？没感觉
嘟嘟熊之父,5,2013-11-07 22:18:30,,314,一边是自我蚕食挣扎的生，一边是目睹他人绝望的死。电影的复杂性不在于正义、苦难或者残酷的背景，而在于战争之中人们依然因其生命的复杂而被左右和控制。所谓宿命，既是命悬一线的咬牙坚持，又是冥冥之中的上天注定。
糖罐子.,4,2018-06-29 15:56:31,,52,艾德里安·布洛迪与生俱来的古典气质注定让角色无法沦为世俗，延绵不绝的炮火中，优美的琴声也未曾停止悦动。导演将战争戾气化为个人对生存的渴望，依靠前段树立典雅形象与后段苟且偷生对比营造落差感，加之德军暴行强化观众情绪代入，控诉残忍战争；“音乐是他一生的热情，求生是他生命的杰作”。
有心打扰,5,2012-02-28 00:29:29,,305,1.看完只想大声呼叫：生存有理！2.战火中，即使他的双手不再白皙修长，美丽的钢琴音符仍旧从他的指缝间跃动而出。3.影片着力表现钢琴家的悲惨境遇，而他却是犹太人中最幸运的的幸运儿之一。4.罗曼·波兰斯基的镜头下，弥漫着荒凉末世的画卷感。
李濛Lemon,5,2016-09-23 00:23:47,,286,战争几乎摧毁了他所有的骄傲，废墟中求生的日子里他如行尸走肉，只有当手指掠过琴键，音乐再度在耳边流淌，他的尊严与梦想才再度清醒过来。导演对故事的掌控力简直可怕，情绪传达得相当到位，电影时长两个半小时却毫不拖泥带水，每一次转场都处理得干净利落。前半段主角视角下的难民群像触目惊心。
朝阳区陆依萍,3,2016-05-31 20:37:25,,186,所以，人一定要有一技之长。
某J。624,4,2020-08-25 17:46:47,,49,通过钢琴家的视角来展现那场在家门口惨无人道的屠杀，也因为是钢琴家的视角，观众看到的更多是一个人想要活下去的挣扎与战争中大部分平民的心理状况以及人性中始终不灭的善意。导演拍得非常克制，当年真正的惨状如果看照片绝对会引起身心双重不适。至于说钢琴家因为有一技之长所以在军官手中活下来的，事实上这位军官不仅帮助过男主一位犹太人；然而也正是因此，关进集中营六年后，最终被折磨致死（苏联人认定军官撒谎）。
赫恩曼尼,5,2015-03-29 06:58:53,,253,一个人的流亡历史，一个民族的苦难血泪史。
不二,5,2022-04-14 16:37:14,,196,想不到有一天，我也在吃发芽的土豆了🙃
西楼尘,5,2015-07-07 23:22:16,,128,直面苦难，数次与死神擦肩，历史沉重得像一个歇斯底里哭喊的人，呜咽悲戚，却发不出任何声音。威廉·霍森菲尔德与席皮尔曼之间的小插曲闪烁在苦难记事薄里显得无足轻重但弥足珍贵。同样是苦难，《金陵十三钗》煽了眼泪，《钢琴家》奏了首无声之曲。波兰斯基让这与电影相处的150分钟变得无比凝重而深刻。
小痕呀,4,2017-04-01 23:05:38,,65,影片看的压抑又沉重，是一部反映二战时期纳粹的电影，通过钢琴家的视角窥见那一段历史。
蓝色啄木鸟,5,2017-02-18 13:51:36,,175,很震撼人心的一部二战影片，从窗口被直接扔出去的轮椅老人，帮助男主且痛恨德军行径但又一直在升职的德国军官都令人印象深刻，战争中人性都被无限放大，很多事情已无法简单用对错判断！
美女菜kun,4,2017-04-02 16:27:21,,30,对于一部记录二战中的犹太人的电影来说，相比《辛德勒名单》它只能算是入门；对于一部钢琴题材音乐电影来说，它也没有《海上钢琴师》壮阔。
欢乐分裂,4,2021-12-25 18:40:50,,13,重看；4.5；一个人的战争经历，全人类的哀歌，目睹他们境遇一路直降，如共同走进人间炼狱——此间没有怜悯，没有奇迹，只有粗暴的殴打和干脆的射杀；长长的人群排着队走向心知的悲剧结局，饿殍满地尸骨遍野不足以形容，一道车门隔开生与死，偶然的同行者随时消失，各人的命运随时被改写。音乐成为生存下去的圣光，隔出一个得以喘息的自处空间，并成为关键的救命稻草，琴键上敲出的狂风骤雨打通了人类暂时可以共通的悲欢；炮轰后的耳鸣相当震撼。
Q。,5,2009-02-02 02:32:25,,222,那些跳跃的手指和灵魂。★★★★★
美神经,4,2017-06-20 23:49:21,,33,一开始就离不开音乐。嗯，于我音乐，给我情感寄托和激励力量。这会儿子，它给一个几近累垮的人一股子力量，现在忙活在期末的阴影中的我。
melogodot,5,2022-11-20 01:18:54,湖南,67,1、一个人的教养只要形成，那便一定伴随一生，他在快饿死时依旧是非常羞愧地问“我能要一块面包吗”，很可贵的时对方并没有施舍而是回答“我们和你一起吃”；奄奄一息时也不忘对医生说“谢谢你”，翩翩君子啊…2、一定要精湛一门技术，无论是在精神上还是物质上，多多少少能够给我们活下去都希望。3、要善良，一定要善良，虽然可能没法活下去，要和平不要战争，哪怕活得很艰难也要和平，至少还有人岁月静好。4、看看二战电影，再审视我们的生活，真彻彻底底应了娄烨那句：“战争中你流尽鲜血，和平里你寸步难行。”讽刺的是让人民平等的不是所谓的进步的发达的社会，发达只会越发让参差不齐，战争面前倒是真的人人平等了，人人都是下一秒钟都可能死掉，太……讽刺了……
Sophie  Z,5,2017-08-02 10:56:42,,166,完全可以理解男主拍完这部电影后为什么出现类似PTSD的症状。最震惊的一幕大概就是他的手指隔着空气在弹琴键的样子。
纤纤,4,2017-12-15 15:27:55,,45,音乐…也能成为救命的绳索…
kingfish,3,2006-03-22 14:10:41,,172,不该得奥斯卡
沉歌,3,2015-08-06 19:50:15,,90,见过的最忧郁的眉眼
祖国人,5,2021-12-26 09:26:22,,95,就算波兰斯基没有被曝出性侵的丑闻，这部电影电影也足以表明他是个疯子、怪物。看惯了战狼式的战争片，我很难想象一位母亲丧生于集中营，自己侥幸从铁丝网破洞逃脱的人，能导演出这样的电影。这不是克制煽情，而是冷静甚至于冷酷。大量的白描处理，纪实般的镜头，都让人觉得好沉重。
菲菲蓝,5,2022-01-22 17:22:13,,86,那颗切成六份的糖果、那个被扔下楼的坐轮椅的老人、那个趴在地上等着德国人换弹夹然后被开枪打死的光头犹太人。点点滴滴尽显战争的残酷。在那样的岁月里，只是想活下去，都是那么艰难的事。
春潮如往,5,2022-04-21 00:10:05,,60,4.20上海封楼中看。当年父母让我学乐器，是否也有这种考量呢？我意识到得太晚了吗，爸爸？你被封在家里，你会演奏它吗？
水片,4,2017-02-07 17:04:25,,17,像是在欣赏一气呵成的古典主义文学作品。它饱满，而且沉甸甸的，却像雨果的《悲惨世界》那样让人着迷。
🌞娘卷卷🌙,5,2013-11-07 22:07:32,,68,这次在艺术影院看感觉好好啊，果然爆满，没让我失望&白买票.五百多人等着片尾字幕全放完才开灯散场，多久没有这种体验了.
萝莉不克我,5,2022-02-14 21:55:17,,90,最终钢琴拯救了他的生命但战争早已刺穿了他的灵魂
UrthónaD'Mors,5,2008-01-27 00:05:11,,152,最后那点我哭了
踢迩达,5,2012-11-06 00:57:58,,38,它不是《辛德勒的名单》，对纳粹的指责不那么血淋淋赤裸裸。它不是《海上钢琴师》，没有把音乐上升到生命的高度。它只是讲述一个在战争中侥幸躲避存活下来的波兰犹太钢琴师的故事。这是对战争的一种温和的控诉，仿佛诉说着，冥冥之中，艺术拥有一种与生俱来的好运，不灭，不亡。
渡口无边,3,2015-03-31 10:38:47,,39,如此工整的剧本，厚重的历史背景，加上波兰斯基稳健的场面调度，它定能套上许多优秀的标签。但这些恰恰是我不能太喜欢这样的电影的地方，他太工整，以至于灵性不够，也不让人惊喜。况且，9年前还有《辛德勒的名单》。
思路乐,5,2019-09-06 22:38:06,,61,【A+】难怪波兰斯基说这是自己最为得意的作品，实至名归。先不说其视听表达的高超与成熟，关就影片内反复出现的“主观窥视”视角就足够探讨一番了。这种“主观窥视”的镜头设计真的相当厉害，一方面既贴切主角本身逃亡隐藏的困境，在视觉表现力上又主动去克制那些暴虐的画面，反而使得影像上所传达的情感更加深刻。说到“克制”，也是本片的一大表现主题之一。每一幅画面都足够冷静，每一个角色都保持着相应的风度，这让其背后所折射出的人间惨剧更加令人无法承受。这是一部真正伟大的反战电影，无论是视听、情感，还是视角与表达，都做到了无懈可击的雅俗共赏，令人敬佩。
曾于里,4,2013-04-11 16:36:06,,21,导演以古典主义的方式讲述二战时期波兰犹太人的遭际，更客观，更节制
掉线,4,2012-12-26 22:37:15,,142,不要抱着一部类似《辛德勒名单》的二战片去期待它，这的确只是一部传记片，从这个角度看，本片是很优秀的。冷静而客观的讲了一个故事
