user_name,star,comment_time,geo_ip,vote,short
SydneyCarton,3,2014-10-11 13:26:31,,1356,一入漫威深似海，从此逻辑是路人。
影志,5,2014-10-11 14:57:00,,1324,比《星际迷航》更壮阔，比《阿凡达》更瑰丽，比《复联》更燃，比《美国队长》更荷尔蒙，比《海扁王》更逗逼。树人和浣熊的萌趣搭档，银河五人组的撸瑟反斗，配上复古轻快的老歌，新鲜的组合，不同的漫威，年度最强科幻动作爆笑娱乐佳作就此诞生！
陈永仁,4,2014-08-11 08:17:22,,2663,26年超长使用寿命的sonywalkman，当然要高呼索尼大法好
米粒,3,2014-08-04 08:58:35,,349,完完全全就是个逗逼喜剧片哎！这一点预告片还是很诚实的。既然创作者都不在意剧情了那观众就更加不要在意了咯，跟着乐就行了（虽然、好像、有些角色、其实不太搞笑。。）。真的想养个树精的盆栽在办公桌有木有？！
L'automne,4,2014-07-31 23:29:49,,2132,漫威也太奢侈了，请范迪塞尔来就只为了说一句台词：IAMGROOT!!现在只要是漫威的片子大家就会全部乖乖等彩蛋~
陀螺凡达可,4,2014-08-02 06:53:42,,1029,其实问题不少，套路和梗直接复制《复联》，太偷懒了。好在角色塑造很成功，能让我在两小时内就喜欢上逗逼银队。整体仍然是漫威式没心没肺的娱乐产品，笑至捧腹，燃出热泪，视效极美，OST大赞，已经很期待续集了。大家一起念：#漫威大法好##漫威大法好#以及#干脆面君快到碗里来##树君快到盆里来#！
桃桃林林,4,2014-10-10 13:06:47,,695,很不错的娱乐电影。紧扣loser战队设定，几个主角时刻迸发蠢萌魅力，整片非常欢乐，且具反英雄特质。由于是全新的漫威世界，意味着设定上更多的新奇，很期待与复联的相逢。复古流行音乐与宇宙高科技的混搭真是棒，这一部分是属于詹姆斯·冈的
艾小柯,3,2014-08-17 13:37:54,,102,段子集，笑点蛮多，漫画迷应该很爱。作为电影而言就没什么突出特色，直白简单复古，接近早期动画片的处理。
RITA,4,2014-08-18 00:53:00,,432,完全被萌坏了特别是小浣熊被抚慰的时候那一动一动的耳朵！！越发觉生来乐天的人实在难让人不喜欢不管长得是挫是美
时间的玫瑰,5,2014-07-31 13:13:49,,837,好好地谱了一曲逗逼英雄的赞歌啊！看得我又哭又笑。树人又萌/又强大/又温柔/又不废话/居然还浪漫……绝对是完美男友的典范啊不是嘛！Marvel越来越会挑音乐了看完电影想再听一遍原声呢！【看完等彩蛋==好想去现场捡一个小小树人哇……
susie___琦,5,2014-08-01 00:47:47,,493,妈惹好看死了电影本身就是个大彩蛋各种搞笑鸡血煽情感动各种刷起来漫威大法好关于彩蛋那个太空服狗狗在漫画里也是银河护卫队成员之一另外那只鸭子是霍华德鸭子和奇异博士有关的我估摸看彩蛋给2016年的电影奇异博士造势呢吧漫威大法好啊！！！！
别问了不知道,5,2014-10-11 10:02:43,,439,罗南一脸WTF看着星爵跳舞的样子太可爱了
荒川,4,2014-08-04 07:00:44,,262,为何那么热血？！为什么？！虽然还是个人英雄主义吧！groots亮了串串烧之后的表情萌翻了在场的所有观众
囧之女神daisy,4,2014-11-23 22:11:27,,85,男主一副loser翻身相，他能捏住那块jiujiujiu从而拯救宇宙，是因为他爹是外星人，他体质不一样——都到银河系了，还得拼爹。漫威你们不要这样，好歹输出点美国式价值观啊。
夕夕夕,5,2014-08-01 09:03:33,,385,超级逗比全员吐槽技能MAX啊！从头乐到尾真是今年最欢脱的电影没有之一！还有BGM真的太棒了啊啊啊绝对值得刷好几遍！！
木卫二,4,2014-10-10 13:27:14,,31,彼得·徐峥酷爱抽象表现主义绘画大师杰克逊·波洛克，他蒙了张人皮戴了假发，在银河系里依然油嘴滑舌花心怒放，但这一回，他不爱蓝皮肤的阿凡达了，他爱绿皮肤的卡魔拉。结尾第三个彩蛋是无重力飞船震。
LORENZO 洛伦佐,4,2014-08-03 09:18:22,,24,在瑞典和feather一起看得各种欢乐，磁带、树人和浣熊的完全胜利！笑声此起彼伏，瑞典人民也爱逗逼五人组！佩佩穿着个蕾丝内裤样的浓妆演大反派辛苦了！演完有彩蛋别错过！期待第二集！（漫威又下了一盘好大的坑爹的棋）
King Son Dragon,5,2014-08-02 13:55:36,,342,充满了80年代的流行元素，被橙色点缀的科幻世界，还有那些伟大的80年代的摇滚金曲！坐等票房冠军
同志亦凡人中文站,3,2014-08-10 14:29:21,,101,同样是系列重启，完成度不如“星际迷航”。有太空牛仔片的影子（甚至让人想到了宁静号），但最终是靠着一连串80年代的怀旧歌曲在挠G点。口碑虚高。PS从头到尾一句台词的树精怒刷存在啊～
bamboo,4,2014-11-06 09:34:29,,40,"""WeareGroot""深深戳中泪点在电影院一片欢笑声中哭惨，也是醉了"
小斑,5,2014-08-26 05:28:21,,177,昨天看漫威展的时候我就想喊：RyanMeinerding嫁给我！！！IMAX全身舒爽！虽然「城市建设」还差点意思，但飞船武器和星际效果太帅！跟配乐相映成趣。而且主角怎么能全都这么贱这么作。这种不讲道理的反派和莫名其妙就热血起来的（反）英雄，这才是漫威的真身吧。
心生,4,2014-10-12 17:56:01,,27,一部标准的、不烂不无聊的爆米花大片。视觉奇观量足够，很多画面已经只有IMAX才能给发挥好。逗比们耍酷卖萌两不误，因为众所周知的原因，影片无辜地被折损一部分元气，好在这种片子的核心不在台词。总体来说，跟预期是有落差的，本片的功能主要是引入逗比，组建好银河护卫队，期待后续吧。
伍德与夏洛蒂,4,2014-10-13 00:22:30,,20,期待一年的银河逗比指南跟想象中一模一样~逗比组注定前途无量，尤其是从开映前就火得一塌糊涂的浣熊君和树君。JamesGunn本身就是玩音乐的，所以OST质量奇高，但对于笑点和节奏的掌控，还是乔斯韦登更牛逼啊。建议看之前多补角色幕后功课，别被傻逼翻译影响，最后请默念十遍“漫威大法好”。
亵渎电影,3,2014-10-13 08:33:28,,68,我不是漫威电影黑，我只是不喜欢那些没有第三幕的电影，其实这年头的爆米花电影严格意义来说其实都没有第三幕，拉长一场战斗末了再来个反转煽个情也就结束了。编剧的台词写的很棒，个个神经病都性格鲜明，美中不足的地方是碍于翻译，喜剧活生生的变成了正剧，我猜这是总菊有意搞垮票房的阴谋。★★★
闫妮,4,2015-02-01 14:15:09,,11,萌萌的小动物~
