user_name,star,comment_time,geo_ip,vote,short
战国客,3,2008-04-20 11:48:20,,3204,影史闻名的标题党，无感的公认佳片
米姐起飞,5,2010-03-07 20:00:05,,10375,当我心中的正直感逐渐淡去之时，我庆幸我看到此片.
大头绿豆,5,2007-12-22 23:12:00,,4859,刚开始，我觉得阿尔帕西诺演得有些用力了。但是看完，我觉得他就应该这么演。甚至那个年轻人O'Donneil也被他带动出极好的水准。探戈，演说。几近完美的一部片子。
Q。,4,2010-09-27 14:50:32,,4313,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★
A-sun*,5,2010-03-29 20:48:29,,5692,感谢在我灵魂枯竭的时候看到这部电影。
佛罗里达乐园,4,2010-08-29 16:00:03,,2739,美酒佳肴衣鬓香影，一曲绝世探戈，尽情绽放然后死……连自杀都这么浪漫。片名叫人没有看的欲望，看完却觉得再适合不过。你我身边都可能会有这样一位愤世嫉俗自以为是夸夸其谈的老顽固，在他身边多呆一秒都是折磨，然后某一天发现他身上的优点比你所能想象的更多。
Augety,4,2014-03-02 20:06:24,,749,本来想给五分额结果在最后雷动的掌声里仿佛看到了春晚……╭(╯ε╰)╮
Ocap,4,2015-02-16 14:38:42,,633,看晚了，在启蒙时期更容易被这种片打动。这是一个标榜男性人格和操守的故事，老少同行的配置，多主题的诠释，荣誉、老年危机、正直、魅力，三观正，演技撑，几段戏出彩到留名，就足够了。我还脑洞了下：如果军人麦克·柯里昂坚持不继承父业，他的另一条人生轨迹就如这片。
Lan~die,5,2006-10-07 07:48:00,,3241,Pacino成就了这部电影，他的每次出场都使影片散发着夺目的光芒。那段震撼人心的演说，那段迷人的探戈，还有一个盲人肆无忌惮地在空旷的街道开着法拉利……当你对着镜子缅怀青春感叹年华似水时，Al让人相信，时光对他来说只是种更为炉火纯青的化妆，皱纹也可以是种性感。
老鸡｜扶立,5,2008-01-10 17:15:23,,6932,史上最美的探戈
晚安小姐,4,2007-11-27 22:45:04,,909,喜欢TANGO那段
冰红深蓝,4,2015-07-20 17:16:09,,481,阿尔·帕西诺在第7次提名时终揽奥斯卡影帝，他在本片中的表演实在惊为天人。影片主题还是略显俗套的美式励志鸡汤，结尾安排的大团圆也过于简单粗暴，好在几段高潮足够精彩：青史留名的那支探戈、让人紧张又落泪的自杀场面、布鲁克林大桥下的法拉利飙车戏，以及结尾的那段慷慨激昂的演讲。（8.5/10）
晴天,4,2020-02-19 16:15:42,,247,孩子，记住，西装要量身定做的，面对奚落，尽量豁达，实在不想忍，打架要够狠。遇到喜欢的女人，远远的看会显得很没出息，搭讪时要有礼貌，坚持时要有分寸，找对时机说一两句笑话，因为女人笑起来更好看，同时也更容易接近。如果和别的男人竞争，不要退缩，找到对手的弱点，叹息间，把女人的心带走，即使不带走，至少令她心头一颤。遇到老油条，你要比他更滑头；遇到条子，你要穿过而且潇洒；给小费的时候要带着尊敬，人生何处不相逢。
朝暮雪,4,2017-03-15 09:24:18,,286,教父分分钟教你做人。
暖鱼,4,2008-03-09 01:27:35,,183,颓废的那几段打动人，探戈那段也很不错
Cherry,5,2005-07-12 16:26:46,,2811,原来讲的是男人的故事
