user_name,star,comment_time,geo_ip,vote,short
prost,3,2009-12-23 06:48:33,,2396,印第安在白人领导下的反白人入侵战争，可惜史实与此相反
RKO,NaN,2009-12-18 00:01:08,,1329,我整个人都潘多拉了
皮革业,4,2009-12-23 13:17:28,,6703,JamesCameron闭上眼，全是电影的明天。
荔枝超人,4,2009-12-31 14:59:28,,4161,已经不是在看电影了，是在比谁Wow的次数多，眨眼次数少。
Menphis,5,2009-12-17 01:37:25,,9271,钉子户大战城管in3D
不体面james,5,2009-12-18 07:42:44,,7655,当所有美国大片都开始炫耀自己的视觉效果时，詹姆斯卡梅隆只是坐在阴暗的角落里冷笑，然后抛出这么一部让所有人感慨“操，真他妈牛逼啊！”的电影。
郭二,4,2009-12-17 17:53:27,,2588,场面恢弘华美，情节烂俗狗血
圣约血镰,5,2009-12-17 00:05:47,,5749,抱歉，2012？在Avatar面前不过是小儿科！只有一句话：这是史上最强科幻！可恶的卡梅隆，你要让未来十年的所有科幻片都味同嚼蜡了！因为所有观众的审美标准已经一口气被你提高了几个档次！这部电影，不去剧院看绝对一辈子后悔最后，感谢上帝赐给我们一个JamesCameron
同志亦凡人中文站,4,2012-07-20 20:39:43,,796,情节水了点，想象力的世界叹为观止！
X. U.,5,2009-12-17 01:03:03,,4358,有一天，意中人会踏着飞着的大怪兽来救我.然后Iseeyou...
Color,5,2009-12-16 23:51:31,,3033,刚刚看完，浑身起鸡皮疙瘩，无愧于人类电影历史上一个里程碑
关雅荻,5,2009-12-17 04:26:26,,2003,特效震惊，3D感一般，但够真实，故事一般，创意度一般，世界观展示一般，但呈现效果牛逼至死，战斗场面热闹和精彩，但谈不上震惊，整体只能说，整体符合预期，这是它的优点，但没有意想不到的亮点是它的遗憾之处。推荐观看。
张小北,5,2010-01-06 00:52:24,,1644,从现在到未来，从地球到潘多拉，《阿凡达》再次告诉我们，要想泡到一个姑娘，有一辆好车是多么的重要啊～～
Mars,5,2009-12-18 20:05:32,,1360,全宇宙也就天朝的钉子户最弱势了。潘多拉版风中奇缘。另外我buy所有生物都是生态网络中相互连接的神经元这个idea。
楚仙,5,2009-12-18 00:32:10,,1376,这电影的特效是自指环王以后见过的最令人惊艳的。我觉得可以打6星！去看的时候一定要去看3D版的。
格兰芬多,5,2021-03-12 23:48:56,,1173,这12年来真正的3D电影竟然还是《阿凡达》。
Neuro,5,2009-12-20 06:21:22,,1015,天空之城+幽灵公主+魔兽世界。
TORO VAN DARKO,5,2009-12-16 09:44:08,,817,卡梅隆用顶尖的CG和3D技术创造了天神下凡似的巨作。
花花盆子女王,5,2009-12-18 15:30:17,,552,其实Avatar根本不需要拍成有剧情的电影，大型风光科教片就行了，将pandora上所有的生物一个个介绍过来，加上性感大姐姐的全程旁白……我也会去看的……
三斤,3,2009-12-22 09:15:04,,237,前一个半小时我看到睡着。
曼市六点半,5,2021-03-16 20:40:33,,405,可惜，印第安人没有杰克，更没有圣母。
于写意,3,2010-01-04 17:48:21,,186,噢我无感。。。我为电影技术迈进新纪元高兴，但我不同意说这是一个动人的好故事。。。
桃桃林林,4,2010-02-08 22:19:54,,504,十一年之后重看改成四星吧。如今再看《阿凡达》，观影感受完全不同了。可能这些年心境太多变化了。十多年前更多执着于视觉，会认为故事很套路。现在觉得，虽然故事套路，但情感是充沛且直接的，会被感动到。此外，如今再回味本片，影响主要有两方面。一方面是让内地观众知道了IMAX，并且知道了看大片必须看IMAX。另一方面，是让观众知道了3D电影，也让《阿凡达》之后，内地掀起了一股子3D电影浪潮，到今天还没完全消退。
徐淼淼喜从天降,5,2010-02-03 16:57:49,,166,能不能四星半的|||不过已经很好了美中不足的就忽略了忽略了
朝暮雪,5,2012-08-18 13:57:24,,235,将科幻和奇幻巧妙融合，堪称21世纪最强想象力。十年过去了，仍然没有任何一部电影终结《阿凡达》的票房神话，也许再过十年也没有。
momo,3,2020-07-19 20:24:22,,110,主题还蛮符合丑国热爱侵略的本性
梦魇马戏团,5,2021-03-13 22:13:50,,155,十二年前南京只有一家IMAX在河西万达，一家人周四晚上去排队买了周五22:00的电影票：但其实当时看完，并没有意识到什么，我记得当时报纸还说片子不如泰坦尼克号感人，卡梅隆不行了云云。现在，我刚走出影厅，一想到这是一部12年前的电影，就感到一阵绝望：我们一点进步都没有，只等着卡梅隆未来再提前十年二十年拯救我们。
西楼尘,5,2013-08-21 22:46:39,,140,卡梅隆是认真拍电影的，描绘出崭新的世界，高潮处竟然落泪，每一帧都是技术的革命。当年高中紧张备考的时期，同学说有免费的票谁要同看，果断把握住了机会，赶在新年的热潮里与小伙伴体验了非凡的3D片。那新星球诱人的蓝光、奇观的动植物、炫目的世界令人心驰神往。而这，都是电影带来的最美好的回忆。
欢乐分裂,4,2021-03-12 15:05:59,,334,11年后重看多少是袪魅的——可以预料的剧情推进和转折，不无拼搭的多重主题构成，绝对政治正确的诉求，过于杂糅的科幻元素，刻板的人设；然而，这又有什么关系呢，仍为触手可及的美丽而心动，仍在肆意酣畅的奔跑飞翔中沉醉，仍被生命的纯净本真与自然的神秘幽深折服。现在回望，无论是开启的3D技术风潮还是工业标准，时至今日还是超一流的，并在后来无数作品中都可见其影子。仿佛与他们一起踏足那片神奇的土地，目睹贪婪与愚昧最终被信仰的力量和守护家园的决心打败，感受万物有灵的能量流动，一同在无比绚烂的梦境里完成想象——这么华美的画布很容易遁入其中，即使明白这只是一场虚假的“造梦”运动。
影志,4,2010-01-04 17:15:34,,352,JamesCameron缔造的潘多拉星球，是一个永远也不可抵达的梦。
Mondo Bongo~,5,2009-12-31 02:41:23,,159,拆迁者爱上钉子户！
橘猫爱吃鱼,5,2018-03-19 07:28:08,,87,特效震撼，一场完美的视听盛宴。
陀螺凡达可,5,2011-12-28 08:52:42,,123,卡梅隆用顶尖的CG和3D技术创造了天神下凡似的巨作。
斯维特兰娜,5,2021-03-14 13:17:53,,129,叹为观止！庆幸自己十一年前没在大屏幕看这十一年间也没有在小屏幕上浪费这次机会。完全感受不到这电影11年了，甚至于惊叹于11年前居然这么厉害！这是一部从技术、内容和世界观都十分完美的电影。那么美丽的潘多拉星，那么善良的纳威人，那么和谐的环境。人类的理想，希望印第安人的悲剧不要重演。为什么人类不会学会尊重，尊重世界，也是尊重自己！
小噗噗🌫,5,2021-03-13 01:50:13,,144,看完就两个字:震撼！过瘾！他第一次上映我才14岁，对科幻电影一点感觉也没有，这次重映特地选了IMAX3D，特效场景震撼我妈，这是11年前的电影？？！无论是剧情还是画面放现在还是很好看，更别提11年前第一次带上3D眼镜看的那波人有多惊奇了。最后大战的场景实在是太燃了，剧情紧凑，绝对比今年春节档任何一部电影好看十倍。
大橘子啊,5,2021-03-13 22:36:36,,105,一个潘多拉赘婿的故事。
Imogen,4,2021-03-13 12:17:37,,105,十年了，我终于看完了
奇爱博士,2,2010-01-14 23:24:11,,101,故事太烂俗了
山微漾,4,2021-03-18 17:26:59,,108,讲的是殖民地引进殖民者的先进意识形态做武装，建立了党支部，发挥了先锋带头作用，扭转了解殖运动中的不利局面，最终印第安人打赢了朝鲜战争，干翻美帝！
Ajolote,3,2022-12-12 06:02:44,荷兰,59,很遗憾的，以2022的眼光来看这部电影，最大的感受是itdidn‘tagewell。遵循好莱坞传统叙事框架的剧情本身中规中矩，但大量纯粹炫技而非叙事性的特效镜头在今天只显得节奏拖沓，反而让我们分心注意到电影其它方面的缺点。男女主突兀的感情发展的背后是老套的性别观念，片中对殖民主义的指涉也有一种美国白人式的肤浅。这部“划时代”电影对现今观众的意义，也许只剩下看着电视屏幕努力想象先进技术力对当年观众产生的冲击，以及十多年后不幸仍然切题的环境危机这两点了。
大宸,5,2010-01-04 01:11:23,,137,感谢伟大的造梦者---JamesCameron！我后悔没去过电影院看《魔戒》三部曲，但我庆幸有生之年能在电影院看到《阿凡达》，这是仅次于《魔戒》三部曲，世界上最好看的电影！
自由的玩,5,2018-03-20 22:51:13,,54,令人震撼，史诗般的电影
纤指十三,5,2018-03-22 23:04:37,,63,每次看都会有不同感觉的影片。尤记得第一次看阿凡达的震惊感，仿佛来到小时候的梦境一样。
大奇特(Grinch),5,2010-01-04 17:09:04,,59,2021.3.14.时隔11年重新回到影院，看到IMAX版。当年卡梅隆向世界展示了新技术，除了3D创新和视觉效果外，它没有失去故事的凝聚力，还有生态和殖民主题。11年后的重映算是大型集体活动了，能不断吸引新观众去看。
世界尽头,4,2018-03-23 21:32:43,,58,认识3d和IMAX的第一场电影，之后很多号称3d的视觉大片都无法与之相比。情节一般，想象力还是很足的，视觉上真是极致了。
偏要勉强,5,2018-03-21 22:19:42,,51,当年3D电影的巅峰之作，卡梅隆大师的又一部神作，画面很美很震撼的。
Yeoman,5,2010-01-19 00:18:53,,99,科幻片从此分为两个阶段，《阿凡达》前，和《阿凡达》后
yigedazhi,5,2021-04-04 15:39:37,,80,十一年过去了，科幻电影的技术天花板似乎并没有上升
、佚,5,2018-03-20 22:55:22,,33,这毕竟是我看的第一部3D电影当时觉得挺赞的。
波西米亚人,5,2022-02-18 19:41:57,,77,为什么我到2022年才看阿凡达？
▲T E,3,2009-12-29 14:17:24,,57,Ifyouhavethatmuchmoneytospend，putitintoSAVINGTHISPLANETfirst.
夜礼服假面,5,2021-03-14 18:55:45,,63,庆幸从没在电脑上看过。电脑不配拥有它！😂
还没死哈,5,2009-12-17 23:41:17,,92,我看完了想挑毛病，实在挑不出，迫不得已给了五分
艾小柯,5,2009-12-21 06:20:57,,75,好莱坞电影的新时代
无声,5,2009-12-22 03:50:55,,52,打十星！一定要去看的电影，总会有一天，没看过阿凡达你都觉得不好意思出门见人。其实是个鼓励上网的电影，网络世界多精彩啊！全都是帅哥、美女，人人跑得快跳得高，还能驯服大怪兽满世界飞；即使在网下你是残疾，走路都要靠轮椅。。。
卢十四,5,2010-01-11 01:37:28,,74,《阿凡达服务器保卫战》内容简介：地球人试图端走纳威人的服务器、拔他们网线，结果可耻滴失败鸟。
常江,NaN,2017-03-21 18:32:37,,47,阿凡达在中国市场获得了超过十亿元人民币的票房收入，很多影评人认为该片情节毫无新意，无外是“白人统治者倒戈，帮助弱势群体反抗白人暴政”的老调。但不可否认的是，这般“俗套”其实是西方经典叙事传承、发展至今的结果，其意蕴和好莱坞早期西部片是一脉相承的。
博子,5,2021-03-13 19:20:20,,51,十幾年過去了，還是最牛逼的。人類的自我厭惡是最值得以技術呈現的內容。
樊小凡,5,2021-03-12 19:17:22,,51,感谢重映，有机会弥补了多年的遗憾。阿凡达初次上映那段时间，是我人生中最灰暗的日子，而那一切都过去了，现在的我很好。跟男主一起，跟过去的自己告别，再见了我的青春。珍惜当下，现在的自己，身边的人。
杨迪,5,2010-02-03 14:52:05,,56,不用我描述了吧。
求剧透,5,2010-01-07 14:14:02,,62,首先，要选择一个职业，战士比法师好；然后再找只骑宠，能飞的比不能飞的好；最后，有个高级宠基本就所向披靡了……
枝北涵,5,2021-03-13 20:29:33,,53,一会觉得像1840年英国入侵清朝，一会觉得看到了地球三体组织的最高状态。看完后明白了：除非天降猛男，否则落后就要挨打！
木鱼水心,5,2010-01-12 12:23:58,,40,可以值得这个分数。
圆首的秘书,5,2020-10-01 21:25:40,,39,2020.10.01withLT三克映画1.11年了，技术水准没有能超越的电影，甚至没有接近的，还说什么“奇观”，这才是真正的奇观；2.母题之丰富令人惊叹（后殖民，网络/互联网，新媒介，人机交互，种族，环保，人类学视点的宗教…可深可浅，可前可后，商业性最大化，论原创性，近十年科幻电影接近于零，论宏大，近十年科幻电影无出其右；3.我们所说的“电影”，真的是在肉眼可见地退化吧，而且也就是近段时间的事情。
虎跳匣,3,2009-12-23 12:17:20,,65,好吧我坐在第三排晕的七荤八素的中间还睡着了···
小十三,4,2018-03-22 21:08:41,,32,记不太清楚了，反正宣传蛮厉害了，看的第一部3d电影？就记得蓝颜色的外星人看的时候第一眼脱口而出丑死了，笑哭，可能小时候不是技术宅感官控科幻迷，所以审美有点儿怪异？早期的3d代表作了吧，闲时可以翻出来看看的
水云小鸽,5,2021-03-21 00:44:08,,52,你知道吗，一想到这是一部2009年的片子，我简直为这十年里的绝大多数科幻和3D片导演的想象力感到羞愧。话虽如此，其实它想讲的东西在今天看来已经变成烂套了，设定的回扣也变成“经费终究不够”的佐证，更暴露出主线剧情的草率，但回到它的历史语境里，一句神作是不过誉的。
女神的秋裤,5,2021-03-13 01:44:16,,63,十一年了，依旧震撼。迄今为止3D效果最好的电影，没有之一。不止一次想伸手去够那个蒲公英一样的种子。十一年前只觉得是一部科幻片，现在看出了卡梅隆对于美国历史的反思和对自然的敬畏。《阿凡达》不止是一部电影，它更创造了一颗星球，一个世界。
Shaw喆宇,3,2021-03-13 22:22:32,,57,特效厉害，但故事太简单了，一股好莱坞特色味儿，莫名其妙的情节太多，那对男女一出来我就直觉不好，神明的参与更是让人脑阔疼，美国人真是和韩国人一样，一边拍反战一边又死不悔改，要是他能拍到纳威人灭绝我倒是更佩服他三分。实在是这两天友邻的推荐让我的期待拉得太高，却是这么标准的好莱坞商业大片模板实在让我接受不能。3D眼镜配上打来撞去的视觉效果，三小时下来眼睛疼。算了，那个拍泰坦尼克的，他就是个拍爱情的，懂个屁战争。
嘟嘟熊之父,4,2021-03-13 15:46:01,,45,当然是奇观轰炸，但卡神绝不会因担心露出破绽而采用那些便捷的手段：错位的视线、偏狭的景别或过速的剪辑。他坚定地在人物运动与镜头运动之间建立一种韵律，以还原人类在初次步入新世界时对周遭的贪婪摄取，是全景的、流线的、环绕的，而非惯常等待烟火绽放的一瞬并发出无力的惊呼。他提醒着我们焕发光彩的电影永远应该做到：所得大于所见。
Monday,3,2021-07-27 15:31:56,,26,剧情挺无聊的，当年胜在3D技术
疯脱,3,2018-03-21 15:51:58,,23,成为纳美人究竟意味什么？消失或革命。但心虚的导演补上一条，做上门女婿。靠大自然的力量赢得战斗，那不是革命，是撒娇。根本上，文化多元主义抵抗不了殖民和全球化。终影或许是一口气，可是爱华不就是科学家所说的童话么。不敢闹革命，连为被欺负的人点个赞，都要靠黑化反派来给自己打气。挺没劲的。
苏幼,3,2017-03-18 18:49:35,,19,真的好好看，特效也超好，剧情也好
旺仔小王子,3,2021-03-12 17:52:47,,31,多年前看光碟都能看下去，现在我坐在电影院，只想倍速播放
巴塞电影,5,2016-11-16 15:53:47,,40,重看阿凡达，的确划时代，无论故事是否老套，电影自身散发的魅力是无与伦比的。
一五零点九八,3,2022-10-03 15:56:25,河南,22,从技术上来说詹姆斯卡梅隆又一部划时代作品，但故事内核在现在看真的很符合美国人一贯自以为是的价值观，美化的自己的侵略行为，成为英雄拯救世界，不得不说多少真的是令人作呕……
焰熠,4,2018-03-21 18:56:54,,153,初看真的被震撼了景色特效这么多年依然没忘。3D特效的开山之作！！！
潇湘烟雨,4,2018-03-19 09:04:24,,40,特效很好场景很美，可惜没有去电影院大屏幕感受一下3d效果，期待第二部
愿赌服输,5,2018-03-23 22:39:20,,33,里程碑式的电影，开创了一个时代！初看之时只能用震撼来表达，剧情，画面，很棒。
liangerxi,5,2021-03-15 21:39:23,,49,难以想象这是十一年前的电影，卡梅隆牛逼！
罗洪禹,5,2021-03-13 18:09:25,,39,10年前想和女朋友去看，她不愿意看科幻片，就错过了。10年后，我带我儿子看。坚持了10年没有看。必须3d
seabisuit,5,2021-03-12 19:35:15,,14,完美呈现电影造梦的属性，革新升级影院观影的体验，记得当年冬天排队买IMAX票的盛况却没看上，十多年后重看3D激光由于亮度清晰度的增强更加喜爱，驯服飞龙在天空翱翔还是那么激动，视觉效果也依然顶级，而卡梅隆奥斯卡败给前妻新作续集居然到现在还都没有。很纯真本能世俗完整的人物成长弧光，主角在新的躯体（观众在银幕之中）学会走跑进入到另一个世界体系，感受接触挫折反抗，摧毁一切真身相见再醒来已是重生。爱情模式和《泰坦尼克号》如此相像，也叫杰克的他还弥补了在大船中不可能达到的地步。人类的企业资本军事政治被原始的信仰宗教自然万物最终赶走，是对战争殖民侵略强拆的反思，但席卷全球的此片也正是科技权力能量的代表。10年代兴起的霓虹光影美学是卡神开启？从纳美族集体祷告来看有些抄08北京奥运开幕式，所以是缘自于张艺谋。
光头查理布朗,3,2022-12-01 21:24:31,广东,21,白人和印第安人的另一种结局
Amon,5,2021-03-13 19:41:20,,43,Neytiri抱着奄奄一息的弱小的Jake的那一刻，我发誓我看到了世界上最动人的爱情。善恶对抗，勇敢的心，捍卫自然是传统的美国电影拍法，也看到了很多宫崎骏的影子，但是Jake作为一个outcast，betrayor，alien在人类之外的世界找到归属感真的太让人动容。人类有给过自己这样的可能性吗，如果我们自己不认同人类的生活方式，又该何去何从？也许也只能要么随波逐流为食人公司卖命，要么在轮椅上虚度此生。结尾AVATAR标题出现，几乎没有人离席，实在太难平复了。走出电影院有一种滤镜消失的感觉，Whoarewetothinkthatweownthisworld?去人类中心化，这样的电影我们还需要更多，放给自认为人类精英的人看。人类在Ava面前是无知的。
思路乐,5,2021-03-13 17:11:09,,20,【A+】2021.3.13重映/十一年过去，《阿凡达》仍然代表着一种“观看”的极致。在3D电影泛滥平庸化的这十一年来，也仍然只有这部电影撑起了该技术的门面。但卡梅隆仍然是克制的，在技术所构建的虚拟世界中，他仍然会让“摄影机”模拟手持的晃动感，让丛林环境和景别框住你的视野，机位与视点始终在更换，这些措施反倒让观众愈发贪婪于电影内的世界。而当景深真正被打开时，无论是在悬崖俯瞰，还是在旷野瞭望，都不免因穷尽双眼的细节而战栗。那么恭喜，电影成功调动了你的感官本能，宣告着卡梅隆对观众视觉的支配。那么当那块屏幕内部的景深空间感做到极致，技术革命所带来的“视听颠覆”是否也将走向同质化的结局？不知卡梅隆的《阿凡达2》能否给我们答案。
内陆飞鱼,5,2010-02-07 19:13:09,,12,牛逼牛逼啊牛逼，内牛满面。
Zimo,5,2009-12-17 07:50:16,,19,能打10星我肯定打，在斯图加特看得首映，神作
