user_name,star,comment_time,geo_ip,vote,short
张天师,5,2006-11-06 10:42:26,,1494,真希望世界像它描述的那么美好
挽梦忆笙歌,4,2018-05-17 16:08:15,,398,雪绒花这首歌太熟悉了，玛利亚老师真的是一个与众不同的家教老师，她用她的爱她的音乐感染了上校一家，让原本枯燥无味的家变的活泼充满音乐和欢笑的家，真的是一部很经典的片子
赱馬觀♣,4,2010-12-31 08:29:28,,155,经典迟观，竟也分次完成。除三个小时确实太长，很重要的一点：这是一部优缺点非常突出的电影。优的部分如此之优。哆来咪雪绒花孤独的牧羊人，密集在60到90分钟时段。只要回想史上经典歌舞片留下过几首脍炙人口的歌曲？雨中曲第二首名曲叫什么？音乐之声仅用30分钟就奉献了足以同竞三甲的作品，足见伟大。可另方面，用以产生名曲的故事进程老实说有些乏味。反纳粹题材框束了某些情绪抒发是一方面。另外在角色层面上，上校的性格太硬太矜，普卢默高富帅却不够引人；玛利亚也只在与孩子相处歌唱时才显魅力（安德鲁斯的爱戏普通），俩人吸引动情的火花不够，加之竞争对手女侯爵被刻意处处下风，即使情路曲折，也无法让观众更多移情与期待。七小孩倒是展现了差异之趣，却局限在年龄和形态，性格或情感好恶上还是偏于单调——凭啥一定要“都”爱玛利亚？
薇羅尼卡,5,2006-02-03 22:37:43,,1235,很棒的电影，唱段经久不息，流传至今。
superfei,5,2006-06-05 19:39:14,,1162,从小看到现在，大概有50遍了吧。
战国客,5,2009-03-13 23:21:57,,1181,难以被超越的音乐剧经典~~
世界尽头,4,2018-04-26 09:20:19,,258,主题的音乐很好听，但可能是距离现在太久了，不太符合现在人的审美，感觉还好吧。
翠蝶🌸羽生✨💫,4,2018-04-29 10:53:22,,84,我是先喜欢里面的一首歌才来看这个电影的。里面的歌舞不错，故事也挺正能量的，如果老师都用爱来教育培养孩子，那孩子们就太幸福了。
巴喆,5,2013-03-17 19:27:24,,577,里面的音乐剧已经载入教材，《哆唻咪》《孤独的牧羊人》《雪绒花》《音乐之声》等歌曲至今让我们耳熟能详。而更让我动容的，是隐藏在音乐背后的那博大而深沉的爱。最后特拉普带领他们逃到广袤而无限秀丽的阿尔比斯山脉，那是从专制走向了自由。8.8
秋瞑,4,2018-02-13 01:56:18,,51,里面的音乐真好听，女主挺阳光的，小孩子也很可爱，经典音乐剧。
白发生,5,2012-02-25 14:15:20,,743,温情四溢、沁人心脾的音乐电影，经典的一塌糊涂。
2013,3,2006-09-11 17:38:57,,705,原谅我，我真的不知道它好看在哪里。
托尼·王大拿,4,2018-09-18 09:59:45,,19,最开始是小时候是听了一盘所谓的外国优秀影视音乐磁带，其中打头阵的便是《哆唻咪》和《雪绒花》两首；后来又在电视上断断续续看了好几遍，却总是没有留下整体的印象，最后便是此次完整的重看，真是一种固执而坚强的原始性单纯美好，鲜艳的色与柔和的光好生温暖，亦是好莱坞传统歌舞片的最后高峰。
Panda的影音,5,2011-10-10 20:41:13,,399,有悦耳的音乐相随，有动人的情感相伴；有政治但没有阴谋，有战争却并不残酷；不愧是一部极佳的音乐电影！——《音乐之声》上映50周年纪念日：在玛利亚的身上看到了好些自己的影子，喜爱大自然、喜爱音乐、带孩子们愉快地到处玩乐、教孩子们唱歌、……，这一遍的重温观影真是满满的享受呀！-2015.03.02
股神看不懂,5,2016-11-03 17:20:10,,544,还记得是音乐老师放给我们看的，真的好好看，真希望现实生活和剧里描写的一样和谐
影志,5,2005-07-28 15:17:51,,602,用音乐化解仇恨，让歌声串起美好。
boks,4,2005-08-22 15:53:52,,51,需要温习
快乐人生,5,2018-04-27 17:58:16,,367,经典之作，其中反纳粹，追求自由，积极乐观的生活态度，至今仍打到人心，激励和鼓舞一代又一代的人。
偏要勉强,5,2018-04-25 22:03:39,,194,音乐剧中最经典的了吧，难以超越，里面的音乐至今仍广为流传。
波波维奇,4,2018-05-17 16:24:54,,20,经典音乐剧，剧里的世界很美好，喜欢《雪绒花》这首歌。
斑斑点点,4,2017-02-18 16:08:30,,25,非常经典的音乐剧。但是我只喜欢看上半部。
石头星,5,2017-02-15 18:36:45,,148,风景、音乐、唱功、家庭、爱情、教育、幽默、优雅、爱国、反战、男神、女神演技什么都有了。
Lan~die,5,2008-03-30 17:09:24,,244,居家旅行必备良药~
CJ Bryant,5,2021-08-03 13:03:31,,64,修道院不是让你逃避的场所，而是让你鼓起勇气，直面人生困境的摇篮。任何时候都不要放弃，音乐给你宽慰，给你勇气，给你向前的力量。爱情的流逝，似落花流水，潺潺之声不绝，但落花已远，流水无情。面对纳粹强权，对国家信仰依旧，纵使翻山越岭，也要逃离那至暗时刻。以音乐为媒介，影片介绍了德奥合并背景上尉一家人祸福相倚、荣辱与共的家庭命运，表现了在国家危亡时刻忠贞不渝的品质，用音乐表达心声，传达对和平的歌颂，对战争的抵制。
婷婷爱八卦,5,2018-01-17 12:17:54,,122,会好看的电影，音乐非常好听，男主角的小孩真多啊！好可爱
做一件事很难吗,4,2018-04-26 07:58:52,,16,影片上映后当年票房达到1.59亿美元，一举荣获第38届奥斯卡金像奖十项提名并获得最佳影片、最佳导演等五项大奖，写下了好莱坞影坛历史性的一页
冰红深蓝,5,2015-04-01 15:27:42,,37,1966奥斯卡最佳影片，好莱坞歌舞片没落前的力挽狂澜。片中《音乐之声》《雪绒花》《哆来咪》《孤独的牧羊人》等都已成为影史经典原声。奥地利和阿尔卑斯山风景美如画，柔焦镜头和温暖明亮的配色让人赏心悦目。尽管是略显俗套的主旋律剧情，对抗纳粹戏份的悬疑氛围和爱国情怀为影片加分不少。（9.0/10）
ZhaoCong,NaN,2009-12-08 01:42:10,,221,初中音乐课
Ｍ．,NaN,2010-07-26 21:58:14,,23,我们班唱这个拿合唱节特等奖==
amelin,5,2016-11-30 02:49:24,,38,音乐，让世界更美好。很经典的音乐电影，现在一想起它就想起了leiyiouduleiyiouduleiyiou的旋律。愿每个人能在繁杂纷扰的世界里有自己的一片净土。
哈哈哈啊啊啊,5,2018-04-25 10:03:36,,26,经演不衰的故事，传唱深远的插曲，都很经典。这是我看过的第一部歌舞电影，时常回味。女主人公青春活力，对待孩子，对待生活，对待爱情的积极态度如同温暖的阳光感染着我。
醉里挑灯看花,5,2018-04-24 08:30:50,,37,教育是鼓励与宽容，很经典的一部电影，还有经典的音乐。
南悠一,5,2017-11-16 17:15:06,,22,2017.11.15是为记。再看时，关于我为什么至今还单身这个问题有了答案。大概我是那个伯爵夫人，并不真的热爱生活，同时我还没她那么有钱（分别时她提到了钱）。小时候真的不曾喜欢和注视这个配角，现在靠移情理解，她的形象太立体了，她不是坏女人，她是现实，反而女主角则更像过度美化的梦。
粟熙,5,2008-04-26 12:31:30,,36,从三岁开始看，至今看过次数最多的电影，每一首歌都会唱，我不管什么蜜糖或是虚假，我就喜欢怎么招
东篱,5,2018-04-26 07:45:48,,34,很小的时候音乐老师放给我们看的，至今印象深刻，一部经典的音乐剧。
👹天神的审判,5,2018-04-27 11:19:20,,25,是部音乐剧，整体上比较轻松欢乐，影片中玛利亚是一名家庭教师，她有一颗包容善良的心，她用自己的智慧解决了对孩子教育的问题，让孩子从原来的调皮捣蛋变成了聪明好学。
夕梨,5,2018-04-26 08:03:37,,27,读书时音乐老师放给我们看的，一部经典之作
九尾黑猫,5,2008-03-19 00:38:43,,43,我的经典。
宁宁,4,2018-04-29 11:08:56,,38,片里的歌曲雪绒花很喜欢，很好听，虽然是喜剧片但是反映的是严肃深刻崇高的人道主义！
哪吒男,5,2015-08-05 11:50:13,,19,纯洁多无趣，善美多乏味，《音乐之声》却创造出一个充满真爱又引人入胜的触手可及的理想世界，再愤世嫉俗的人看《音乐之声》也会露出温柔的微笑。
遇见彩虹🌈,5,2018-04-27 18:41:43,,22,超治愈的作品。里面的音乐特别好听，《Do-Re-Mi》英语老师在课上经常放！
a little mark,3,2013-02-19 06:52:41,,14,小的时候在电视上断断续续地看过无数次，今天才终于完整地看了一遍。那些耳熟能详的歌谣也不觉得有好听，电影过于四平八稳反而没亮点了。虽然Maria性格招人喜欢，但我还是更喜欢表面工于心计其实心地善良的男爵夫人，不是帕克的话我也不会想重新找来看的==
红色的狐狸,5,2017-03-18 12:47:00,,24,小的时候老师给看的，很久很久了印象还是很深，真的很美好
芊颖,5,2018-06-03 01:36:47,,12,真的很棒啊，很好看，歌也好听……听歌的时候QQ音乐有歌手的图片，有点惊讶但是想了想时间，也就懂了……只是有点感伤，有点羡慕她们老了还有这些证明着她们的优秀与美貌，挺好
mingjoyce,5,2017-03-12 21:25:35,,18,看了一次一次又一次，看了幾百次都不會膩！怎麼有電影可以拍得如此……，即使過了50年還是沒有時代感的隔閡！怎麼有歌曲可以寫得如此……，首首好聽，沒有一首歌是不抓耳不動人的！
豆友153586472,5,2017-03-18 20:58:45,,18,以前还小，老师放给我们看的时候并不觉得有多经典有多好看。现在长大了，才学会……
朝暮雪,5,2012-12-21 23:29:23,,26,歌曲改变人生。
