user_name,star,comment_time,geo_ip,vote,short
萨萨,5,2009-07-24 23:40:51,,6294,最后那些最无聊的事情，才是我最怀念的。
Mr.王™,5,2009-07-23 17:19:08,,2276,有史以来最强壮的老爷爷和最轻便的房屋~一群最不靠谱的狗和一只引人发笑的怪鸟~外加一位惹人喜爱却戏份不多的老奶奶，组成了一部我大爱的好片！
momo,5,2016-09-10 21:25:01,,2368,最让我感动的是电影开头，这对夫妻志趣相投、相濡以沫，我想自己能不能找到这样的另一半呢
昏金暗玉,5,2009-08-05 14:13:27,,1523,从头哭到尾
Orchid,4,2009-05-13 21:55:23,,2840,“我总是记得那些无聊的小事情……”“感谢你给了我精彩的一生”，简单并深情着
汽车大师,4,2009-08-04 20:35:26,,1961,去掉小孩，坏蛋，狗，鸟的话，这会是部完美的短片，but......;那段夫妻蒙太奇应该是我迄今最喜欢的pixar段落了;有一点不得不佩服pixar，拍的第一部3D就能完全摒弃滥斛噱头；而片头前那个“国内首部真人3D电影”的三分钟预告片，足以列入反面教材的经典了
阿北,5,2009-08-07 23:48:54,,1279,史上第二彪悍钉子户的离奇拆迁故事。Pixar完美地成熟了。
文泽尔,4,2009-08-09 14:42:05,,952,基本是儿童剧，最感人的部分一直到屋子初飞起的那一刻，之后就一直在梦游了..=。=原本以为一切奇想不过是卡尔在再遇女孩那晚所做的一场梦，并且第二天天亮她还会来找他的…对男孩子气的艾莉的印象实在是太深了，这片要是只选取到艾莉死时，卡尔飞起气球，就是满分。皮克斯的技术没得说，因此4星
后天的雨,5,2016-11-03 22:28:31,,1107,在影片最开头对老夫妻一生的回顾无疑是最大泪点，他们过了很好很幸福的一生，当垂垂老矣，他们仍深爱着对方，就算你已不在，也要带着他们曾经共同的梦想在生命的最终冒险一把，就像小朋友不畏惧一切的好奇心，对生活对梦想，再大的年纪都不是阻碍
hanahana,5,2009-08-05 09:40:24,,784,爱和梦想，勇气和希望
Doublebitch,5,2009-10-26 19:23:03,,645,几十年的夫妻生活浓缩成几分钟那段美好死了。
岚,5,2009-08-05 10:34:11,,364,近乎无可挑剔..
米粒,5,2009-10-31 18:49:25,,303,PIXAR总是这么perfect.原来和爱人相守一生是最大的冒险
同志亦凡人中文站,5,2012-07-20 20:12:37,,172,触动内心最柔软的温情
胤祥,4,2010-02-17 23:51:18,,680,前12分钟完美，后面剧作不及技术好。
木卫二,4,2009-08-06 00:40:44,,697,为爱妻遗愿，老钉子户一飞冲天，远赴南美寻梦
波波维奇,5,2018-02-28 10:28:27,,192,相识相爱相伴到老是人生最浪漫的事。其实爱情不需要轰轰烈烈，柴米油盐普通的平淡的生活才是最真实的。珍惜人生旅途中陪你看风景的人吧。
PaulineW,5,2018-03-06 00:30:57,,56,我们都有过梦想，但长大后实现的人寥寥可数！看过这部动画片的人，或许你和我一样想到自己曾经的梦想，有没有努力，自己知道，看着身边一个个边看边哭的样子，我想这部片成功的地方在于孩子们的热情与梦想都是无限可能的，虽然我们随着年纪增长而缩小了范围，但那依旧是我们曾经的梦想
花落  思量错,5,2017-04-09 00:12:13,,141,开头浓缩的一生，从小变老，简洁的一生确实最真实幸福的一生，爱不需要华丽的语言去修饰，爱只是简单的陪伴，那些看起来不起眼的小事，才是回忆里最温情的东西。
影志,4,2009-05-19 01:20:09,,653,梦想，多久开始实现都不晚。《冰河世纪》也好，《史瑞克》也好，永远都赶不上皮克斯动画的情怀与意境。
朝暮雪,4,2012-08-07 16:05:10,,371,最震撼的片头，5分钟见证一生。
陀螺凡达可,5,2011-12-28 07:02:19,,38,期待8个月，皮克斯居然没让我失望！
~月~,4,2009-08-04 20:29:56,,308,PIXAR总是能带来最单纯的美好
杨迪,5,2009-12-19 14:37:19,,64,皮克斯无法挡，我对这部太有爱。次次看都必哭。。。。。
笑盹儿,4,2009-07-10 05:19:19,,169,SouthAmericaisAmerica，butinthesouth.
冰山李,1,2014-03-13 09:46:39,,57,感覺跟大家看的不是同一個片
一起吃地瓜,5,2018-02-28 10:37:52,,95,想去那座山看看，很遥远在南非，希望能找一个人陪我去。很多人都曾梦想去某个地方，梦想去环游世界，现实中的负重让人很难迈出这一步，如果有勇气真希望走出去好好看看这个世界。
春风不解意,5,2018-04-30 23:27:29,,31,平平淡淡的温馨才是生活的本真，幸福也不过如此。
丁丁虫,5,2009-12-11 01:05:16,,37,前15分钟果然是神作
:-O一觉醒来,5,2017-04-08 15:43:06,,28,梦想不在乎年龄不在乎时间只要你想
岛上的夏奈,4,2016-04-02 07:36:41,,78,活着的时候完成心愿比较重要。
潇湘烟雨,4,2018-02-03 10:41:24,,115,影片温馨感人且有趣味，发现主角的偶像是最大的反派这个跟寻梦是一个套路啊
