user_name,star,comment_time,geo_ip,vote,short
mjxian,4,2012-09-19 22:16:47,,9934,如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦
寂地,5,2006-01-03 17:44:39,,9262,那音乐壮丽的响起的时候，觉得心里被一种温暖充满，然后实在控制不住眼泪了，不是因为伤心，而是因为，它给人的感觉，实在美好到无法表达了．
苏比,4,2011-01-20 22:48:17,,5732,原来龙猫的戏份这么少啊。
Lan~die,5,2007-02-10 09:19:52,,4929,龙猫，好烂漫的幻想。消失的乡下风景、慈祥的爷爷奶奶、嬉笑追逐的儿时玩伴，是童年最纯真美好的回忆。
赫恩曼尼,5,2013-08-08 00:28:36,,2134,宫崎骏真是个内心柔软的天才。能给这个残酷的世界这么多温暖。龙猫真像童年时的一场梦，长大之后似乎忘记了，突然看见它毛茸茸的身躯，就想起了所有的奢望。这大概就是我们得以在孤独中相互告慰的东西吧。无论怎样，成熟都是一场病，而能够治愈它的，大概只有对这个世界最温存的渴望。
Q。,5,2008-09-01 09:45:33,,2474,人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～★★★★★
Dyingpluto,4,2006-12-28 01:05:27,,1645,日本的动画总是能触碰心灵和温情
沉歌,5,2007-10-03 15:06:29,,2056,我要告诉你，纯真是一种财富。
芦哲峰,4,2011-01-31 12:43:18,,1310,宫崎骏最感人的一部，初看平平无奇，回味一下痛彻肺腑。
宅蘑菇Moku,5,2011-10-12 23:04:14,,1472,摸摸龙猫的鼻子胡须就会颤动起来哦=w=……看见斜眼偷瞄逃跑的小白一定要跟上去！童话总是在相信它的人心中真实的存在着，想起来的时候心中就会充满温暖守护的力量
欢乐分裂,4,2018-12-14 13:23:57,,138,#重看#4.5；历经整12年的回温依然感动满怀，经典作品无惧时光的损耗，历久弥新。年初《千与千寻》，年尾《龙猫》，于是一年就这样结束了，电影定义、标注、界定了我们的生活。满目苍翠的山居岁月，一派静谧悠然，蝉鸣林静，蛙声鼓噪，童年天性得到尽情释放，灵动美妙的配乐响起，在璀璨星空下翱翔于家园上方，简直是最梦幻最美好的事；日常细节铺设得温暖而真切自然，雨滴落在鼻子的滴答声，窗台上摆满的花，远远望见父母言笑晏晏，恻然而泪目。跨越人类现实界限的龙猫是童真与良善的守护者，唯有不带尘俗杂念的纯良心灵才有机会与之相遇，精灵与人类共生恰是宫崎骏一以贯之的核心理念，在这片如桃花源般的理想净土上，亲情与友情焕发着纯粹的光芒，即使生活长河多遇艰难险阻，他们凭着爱与希望，向善与坚强，走出黑暗泥淖，迎向新生的太阳。
Lycidas,5,2010-12-16 18:13:38,,1017,下雨天龙猫撑着伞，突然有树梢积累的大颗水珠滴下来发出砰的声响，它很开心，很喜欢那个声音，就跳起来震得树上雨水纷纷落下。20181215和妈妈一起进影院重看。30年过去，这个永恒的夏日童话依然纯真得令人泪下，提醒着无忧无虑的日子已经一去不返，如今的我，想必已经再也看不到龙猫和猫巴士了吧。
大头绿豆,5,2006-09-23 13:07:18,,1144,我好像看到小月和小梅坐在那棵松树上对我们笑。“搞不好真是她们呢。”
Vini_Kazma,4,2012-01-10 18:26:57,,112,作品的可贵之处不在于对真实儿童世界的重塑，而在于宫崎骏借儿童与动画两载体表达了他对于乌托邦世界的向往，趣味童真。--短评《龙猫》『Tas』
木卫二,5,2018-12-14 21:30:24,,517,因为缺少重看的观影经历，又被那套网络上的都市传说所影响（已辟谣），一直在疑心，年少时，是不是真有遗漏掉关键信息。得益于二十年后的重映，大银幕上重温，依然觉得是个单纯无比、被孩童想象所充盈和浇筑的成长故事。里面有美化过后，昭和年间的田园风貌回忆。樟树王、老房子、水稻田、乡间小路和巴士车。小孩子能看见龙猫，自然是关于童心无邪。除了制造人类与大自然的连接，更多是因为，小孩子才能看见美好、已经失去的东西（考虑到电影制作于昭和最后一年），无论是乡村，还是不存在的，被美化提炼的幸福回忆。《龙猫》的恐惧，止于小孩子对黑暗的想象（无人空屋、林中深处和天黑落雨）。其实，如果有童年在乡下成长经验的影迷朋友，应该很容易理解由孤独所引发的心理感受，需要灯光、温暖暖、家庭与人群所围绕。
寒枝雀静,4,2018-12-14 12:20:35,,34,B＋/#大银幕二刷#略略降一点吧，但还是太好看了。非常无头无尾的故事，保持时间感延绵开放的同时悉心维系起内部的通透性。梦境与现实的界线存在但却完全没有被勾勒，以至于不需要“虚实交错”的论断来定义而只有此刻坦荡的真实本身。之前完全没注意到开头如此鬼宅恐怖片的设定以及对女性生命力极为突出的描摹。女孩仿佛是来自城市的精灵，对乡村的神怪阴影进行祛魅又完全沉浸其中，依靠童话的仪式完成新的人与自然关系构建（生长的橡树丛实在是太像蘑菇云了），完美平衡共存的梦幻图景啊。
无所谓则无所畏,5,2010-07-25 21:16:42,,1018,萌啊，给我一只龙猫吧
Hi!www,4,2021-04-05 17:34:18,,51,长成大人了，会担心小梅受到伤害，妈妈不是简单的发烧，龙猫会凶起来打小孩子
冰红深蓝,5,2016-02-06 17:10:04,,466,"宫崎骏最纯净无邪、恬淡温情的一部作品。没有反角、猜忌、冲突与灾难，即便是""鬼屋""、密林、神怪也都浸染着童趣可人之色。呆萌的龙猫，喜欢水珠落在雨伞上的声音，乘着陀螺起飞，催种子发芽，在树梢上吹橡子。煤炭精灵同[千与千寻]。十脚猫巴士与老鼠车灯。母亲的病也不致命，一切都很美好。（9.0/10）"
👹天神的审判,4,2018-03-19 18:22:55,,98,虽然故事很平淡，但是很温暖很治愈系，估计只有天真善良的孩子才能看见龙猫吧，因为它是爱神，它帮助小月找到了她的妹妹，太温暖了，里面的小梅太调皮了但是真的好可爱啊！
薇羅尼卡,5,2006-01-28 23:55:29,,464,很温暖的片，喜欢龙猫，那个可爱的、带给人安全感的动物。|2018.12.16，大银幕重温，依旧美好
傻白甜,5,2018-01-11 12:22:54,,377,最喜欢的一部动漫其实没有什么大的冲突点整个就很平淡叙述但一点也不会觉得无聊看的很入迷龙猫也超萌的也看过很多遍每看一次就又喜欢多一点
朝暮雪,5,2012-08-07 15:49:37,,164,太完美了。如果非要说遗憾，就是《龙猫》上映那年奥斯卡还没有“最佳动画长片奖”。
世界尽头,4,2018-04-05 15:29:32,,39,很老的片子，却充满童趣，治愈心灵。配乐真的大写的服气，在其他地方都无数次听过，很经典了
有心打扰,5,2011-10-26 20:20:48,,209,喜欢这对姐妹、这对夫妻、龙猫、猫车、乡间美景、乡间里闲适的生活、孩子般的开怀大笑、音乐。影片让我的灵魂轻松愉悦，却又触动了我内心最柔软的地方，我回忆着童年。或许我能想到的最美好的动画片就是这一部了。
战国客,3,2008-11-21 18:30:02,,1549,这个情节也太简单点了吧……
同志亦凡人中文站,5,2012-06-24 22:04:56,,164,何等童趣的想象力！好想要只龙猫啊～（原地打滚）
遇见彩虹🌈,5,2017-11-14 09:44:50,,91,很温情的故事，孩子看中的世界，这才是童话。孩子意外的很喜欢煤灰精灵。
祝羽捷,5,2018-12-20 21:49:28,,80,虽然一直在大笑鼻子却酸得不得了，故事里子是一个悲伤的故事，母亲重病，父亲卖房交医药费，家庭贫困搬到乡下破败的房子里，见不到母亲的小梅走失。可是故事叙事视角是看得见奇异世界的小梅，苍天大树，有蝌蚪的纯净小溪，青蛙，松果，绿草地，会来帮忙的邻居奶奶，叫你一起上学的女同学，还有毛茸茸的大龙猫和它召唤既来、带你去任何地方的猫出租车！为什么只有姐妹俩能看到龙猫，一开始甚至连姐姐也找不到那棵树洞的入口，可能只有小梅就是从一开始相信世界上有奇迹，相信世界上存在我们看不到的精灵。宫崎骏用伟大的童真视角告诉我们，人生不易，我们更不应该费尽思量，无所不用其极地丑化生命，让世界更为复杂。心中住着童年，闭上眼睛可以听到大自然的音乐，睁开眼可以见到龙猫。
花落  思量错,5,2017-03-04 16:37:15,,175,认识一个四十几岁的姐姐看了这么多年了还在看，足见这部剧并不是只给青少年看的，温情满满的画面，两个勇敢又懂事的女孩，一个大而萌的龙猫，友善的乡邻，认真负责的父亲，让人向往的世界。
bekey,5,2018-04-03 17:23:03,,167,希望我们迷失方向和失魂落魄的时候，都能有一只龙猫相伴左右，哪怕只是远远的看着也好啊！喜欢龙猫的这种温暖陪伴，专门代购了龙猫毛巾，每天洗脸都能看到，就当给自己搭建的乌托邦吧！
冰胖胖,1,2011-12-07 06:32:38,,28,超级无聊，极其煎熬的八十多分钟观影！两个小孩子咋咋呼呼的快讨厌死了！个人最讨厌的一部吉卜力作品！比平成狸合战差太多了！观影时别有用心的把这部当作那个谣传的恐怖版本来看倒是平添一点小乐趣，但说实在的也一点惊悚感都无！特特罗同学可爱指数一般般！哎~80年代~
一起吃地瓜,5,2018-04-03 18:38:31,,61,宫崎骏的电影总是温暖治愈。剧情和画面都很美，给孩子一个美好的童话世界，大人看了也很向往。
momo,5,2016-10-31 10:41:04,,75,我也想要个龙猫当宠物，公交车好可爱。
影志,3,2007-06-03 14:12:49,,563,简单奇妙的故事、可爱的人物造型，除此，没有太多打动人心的地方。
酒鬼一家小迷妹,5,2018-03-07 08:54:25,,54,美好的童年美好的回忆，从此喜欢上了龙猫。
泪小鱼|念。,5,2006-07-30 15:29:25,,113,喜欢毛茸茸的龙猫。
某四,5,2017-04-29 07:36:26,,70,一派纯真，连个坏人都没有，看完觉得自己只有五岁。如果能遇到龙猫巴士，我想去看看小时候跟我一块儿包橡皮泥饺子滋蚂蚁洞的蓝丽丽……
纤指十三,5,2018-04-04 11:53:35,,40,愿每个人心中都有一个龙猫。（梦里）
卡比巴拉的海,5,2017-02-14 09:49:02,,39,生活坏到一定程度就会好起来因为他无法更坏努力过后才知道许多事情坚持坚持，就过来了
小晗要当锦鲤,4,2018-04-03 19:26:11,,33,大龙猫，拥有神奇的力量，带你领略不一样的风景。是真诚的陪伴，也是困境中的伙伴。当多多洛的音乐响起时，心都化了。一部特别适合在睡前看的电影，然后，期待龙猫入梦来。
小十三,5,2018-04-07 18:45:43,,24,每个人心中都有一个只有自己认识的龙猫吧，那是童年的陪伴，是孤独时的温暖，导演很有情怀啊，才能拍出这么温暖的故事
ceci🍰,5,2018-04-04 22:18:32,,25,龙猫也是很萌了，宫崎骏的电影总是那么温暖治愈，愿自己能一直拥有一颗不失童真的心。
哪吒男,5,2018-01-26 13:28:31,,24,《龙猫》当然是我个人最喜欢的宫崎骏作品，童真不幼稚，天马行空却有温度，剧情简单不单薄，一切都妥帖柔和，恰到好处。整个电影的“惊奇感”不高也不低，像孩子第一次摸到小动物的喜悦，觉不可思议，却完全信服，宫崎骏第一次把这种“信与不信”处理得这么好。
胖达叔,5,2018-12-15 22:37:30,,16,与老婆及其闺蜜夫妻带着各自的孩子，一时兴起，去看了龙猫。突然想起，可能是日语咋整，硬着头皮上，位子买的靠走廊，如果他们看不下去，立马走人。可没想到两个孩子，一个两岁，一个三岁都安安静静地看完了人生当中第一场院线电影。
哈哈哈啊啊啊,5,2018-04-03 17:39:09,,41,小男孩骑自行车的方式我也经历过哎，可是女孩子们都不小了确定还要跟爸爸一起洗澡🛀🏻吗？我们对亲人的爱就是那么浓烈和温暖。愿每个孩子的心里都住着一只龙猫，有希望有美好。
。,4,2018-01-16 09:20:02,,134,可爱的梅，可爱的龙猫，可爱的月，可爱的故事😘
夕梨,4,2018-03-25 08:58:25,,36,童话人内心美好梦想及希望的存在，简单但能触碰心灵温暖治愈
媛媛,4,2018-04-03 18:47:28,,14,孩童天真烂漫，大人能够做到对孩子充分理解和包容，淳朴风土人情，热心助人的邻居每一处都融洽和谐！！
乔治,5,2018-04-04 20:00:08,,24,宫崎骏的每部都好喜欢看，龙猫也没有令人失望。很温暖治愈，很棒
花衬衫,4,2018-04-04 12:46:49,,18,宫崎骏的电影总是带着美好，让人心生向往。
小耳朵图吗,5,2007-08-21 07:00:15,,49,可爱的小龙猫。我也想要有只瓦。
碧绿色的河,5,2018-03-19 17:34:09,,34,宫崎骏的电影从不会让人失望，很治愈
西楼尘,3,2018-12-16 18:52:31,,195,我的个子矮到还骑不上单车，却能在森林里钻洞。我种的橡果小到还来不及发芽，却能在夜晚时参天。住进破旧的鬼屋会有精灵，吃了早饭还是很快就会想吃便当，树叶滴下的雨水和普通雨水完全不同。我还知道怪物在哪里等车，何时吹笛，它会带我飞到天上，载我去见想念的人。而这些秘密，大人们统统都不知道。
春风不解意,5,2018-04-06 19:40:05,,75,当你无法再拥有的时候，你唯一能做的就是不要再忘记。
豆辛瓜辛,5,2018-04-07 23:47:05,,24,迷人的自然风光，山林河流稻田。打闹的孩童热心的乡邻，处处洋溢着一种温情，分外动人。
七七,4,2018-04-05 07:45:54,,18,保持童心，看这类电影真的觉得很美好，也想要一只这样的龙猫！
Augety,5,2013-08-22 01:29:31,,29,看完之后才知道这原本是一个真实的悲伤的故事。但是宫崎骏用很美好的改编隐喻了死亡的结局。不管怎么样，这真的是一部超级温暖的电影。龙猫真的好萌啊！
荔枝蜜薄荷苏打,5,2018-04-03 00:43:37,,26,想做一个梦，梦里有一棵大树，梦里有一只龙猫。
左胸上的吸盘,2,2019-01-03 22:34:25,,51,隔13年二刷。简单到干瘪的一部片子。是吉卜力诸套路的低配展示，同样是儿童切入奇幻世界的设定，但在剧情上几无矛盾起伏，亦无场面的营造，黑球小怪物和龙猫的引入也很随意甚至僵硬。宫崎骏在这里没有大张旗鼓的宣扬自然主义，它也没有埋设借物少女里那种阶级教化的暗雷，它是一种纯粹童话感的神秘主义抒发，捎带在找妹妹的戏份里展示了多腿猫公交的奇观，这不是一部依附逻辑的片子、制作上也不精致（画风可能更偏向《聪明的一休》而非吉卜力），它旨在响应某种对乡土神秘主义的共情，此外，看上去浑身蛮力的小妹妹算是一个写立体了的角色，其它人物则面目不清，和影片的主张也没什么互动和背反，整体寡淡如水，但放在散文体电影里来考察的话，如前述，制作程度上的欠缺又少了感染力
yocofcjx28,5,2016-11-12 16:09:18,,27,连我女儿都非常喜欢，母女一起看！！
susu/苏酱,NaN,2006-01-16 18:53:58,,339,有童心是多么的重要啊！！！！！！！
登对,4,2016-12-31 10:39:00,,16,那辆公车好可爱原来片尾曲就是从小听到大的多多洛！
旧书君,4,2018-12-15 20:32:13,,12,满载物什的搬家小车、急忙跑进缝隙的灰尘精灵、沾满煤灰的脚丫和双手，连小水洼里游动的蝌蚪、龙猫撑伞从树枝上抖落下来的雨滴、姐姐在田坝上跑动时夕阳拉长的影子都让人触动不已。宫老说他拍龙猫的初衷是为了让人想起那些被遗忘的事物。今日在大银幕上看吉卜力，感觉像是做梦。
kingfish,5,2006-04-06 10:11:49,,34,爱到极点.
安蓝·怪伯爵𓆝𓆟𓆜,5,2021-01-27 15:04:10,,18,“我好像看到小月和小梅坐在那棵松树上朝我们笑。”“搞不好还真是她们诶！”越是平淡越是真挚的感情越能打动人，哪怕只是个纯真美妙的梦。想起小时候爱唱的“豆豆龙”，那会儿根本不知道有龙猫这个电影呢！童年真美好，可是离我们越来越远了。眼眶浅到一直哭！台版配音太萌啦！
伍德与夏洛蒂,5,2011-03-16 20:56:37,,34,永远的豆豆龙
