user_name,star,comment_time,vote,short
嗷拜拜,5,2010-05-22 10:55:55,126,陈奕迅说，一年他完整听过的专辑只有这张。
光年‖影视歌三栖民工,2,2011-08-10 15:45:44,34,不止一次听到人说卢广仲的歌好听，今天好歹听了一下，基佬音乐。萝卜青菜各有所爱去吧
停用豆瓣勿cue,4,2011-12-21 10:39:39,34,歌词超白痴的
打脱手,5,2009-12-11 23:49:35,24,作为曾因为难以忍受阿信唱功而抵制五月天的我，没觉得卢广仲难听啊
颜良辰,4,2008-06-18 17:19:05,11,很美好很台灣。
wonderland,5,2011-06-22 21:18:11,10,有2张专辑在我心中是“从头到尾每一首都是主打歌”，一张是范特西，一张是100种生活
叶子阿姨,4,2009-03-20 18:01:21,7,曾经在我眼前，却又消失不见。
南 至。,5,2008-08-23 13:25:44,6,而這片歌聲裏有海洋的潮浪，安穩也起伏。
Bill,5,2008-06-05 21:27:15,4,灵性是有的可惜缺失的东西太多
锐利修蕊,4,2011-10-21 10:08:33,5,好想要挥霍
兔子已死,5,2009-02-24 14:22:40,4,没听过的时候不以为然，觉得是炒作；听过之后觉得这些炒作都还不够多。
柒禾,4,2008-06-06 23:57:45,2,封套那件Tee好赞
X-qun,4,2009-12-08 16:22:41,4,简介里说:一个用笑容和热情追逐梦想的短裤少年
Dyingpluto,2,2008-06-01 23:03:58,1,让我恶心的男人如果他能被称为男人的话
饥饿艺术家,2,2008-10-12 10:47:15,3,对！我最烦小清新了！
Athena,4,2010-08-02 16:51:46,7,继方大同之后又一个其貌不扬声音吸引我的男人广仲童鞋
狂躁的淑女,4,2010-08-22 17:04:32,3,记得曾经有段时间每天都在听好想要挥霍和我爱你。当时还不知道卢广仲长什么样子。一直幻想是一个气质优雅的美少年。。后来无意看到了照片之后。。。整个就囧掉了可是还是喜欢这个很有才华的小西瓜皮
BLanca~,4,2009-02-12 17:31:55,2,方大同的推荐
henrytea,5,2009-12-04 17:46:59,2,对啊对啊对啊对啊。这小伙让我找到了第一次听到Jay时的感觉，尽管风格不同，但给我的感受是相似的。我也不知为什么。一转眼，八九年都过去了。Jay都老了要。哎。ps.他的歌可不是所谓的indie.
Akane,5,2010-05-03 18:05:27,3,我怎么听怎么喜欢boring，简直就是我无聊透顶时的写照。
ztlpoppy,5,2009-04-19 05:09:54,1,非常的好听
Aragaki,5,2008-08-07 13:47:04,4,见过的评论是“要是《蓝色大门》里的方士豪有音乐的话就是这样的声音”，果然如此。
L I M O,5,2010-06-09 22:01:00,0,想要的一百種生活。
Susie,4,2009-10-31 10:32:39,1,本来因为他把方大同PK掉了很不sai他，后来发现的确有厉害之处！哈，现在要我选一定是卢广仲hoho
Song³,4,2008-06-13 21:56:31,0,图个乐够了。吃早餐是一种Rock&Roll的Style！第20届金曲奖最佳新人奖&最佳作曲人奖
Claire,4,2008-06-19 20:30:09,0,他轻松地唱着，告诉了我100种生活的方法。
半袖,2,2008-06-02 20:08:53,1,怎么听都嫌吵。
zard砸得王大崩,3,2008-05-28 21:13:03,0,下一个Jay？
sorrento,5,2008-05-28 12:57:25,0,听他唱歌好轻松一点都不累
凹凸代餐,5,2008-10-25 12:11:48,0,http://u.115.com/file/a5etqzf
捞,4,2008-10-23 17:25:34,0,独爱鼻音重的男孩。。。很喜欢无敌铁金刚。～
草威,4,2012-05-06 22:47:24,0,对呀，对呀
DeerColin,5,2014-12-30 13:23:41,0,可以没技术，但一定要有灵感和情感。Cut：【一百种生活】【好想要挥霍】【别杀我】【我爱你】【寂寞考】【破气球】
夏日扬帆,5,2014-07-09 16:19:50,0,以前只是注意到我爱你和吃早餐，重听才感觉到100种生活和好想要挥霍的好啊，真是好听。话说这张后小队长也基本上是没什么可以打动我的了[100种生活，好想要挥霍]
十六。,4,2012-10-24 20:56:29,0,对啊对啊，对啊对啊。
Dorothy,5,2009-12-05 18:01:14,0,greatmusic
ladybird,4,2008-07-15 12:51:30,0,宣传文案真是糟糕
易召,4,2008-06-01 10:41:27,0,四星半
一问三不知。,3,2008-06-10 00:24:57,0,还好而已。
尉迟,4,2008-05-30 15:35:52,0,无敌铁金刚～～
banana*🌈,4,2008-06-10 18:39:53,0,"""歡迎光臨!你兌yaa兌yaa~~"""
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-06-05 22:27:22,0,我爱你。。别杀我。。整体的感觉很好呃~！
小M,2,2008-06-05 20:55:26,1,不喜欢吹得再高也是不喜欢啊
阿萌今天也很饿,4,2011-12-14 15:24:50,0,风格突出，造型呆萌＝。＝
不万能青年,5,2011-05-29 22:44:18,0,我慌乱面对你转身离开，不管未来快乐是不是我的必需品。
阿尖,3,2008-09-06 22:38:05,0,我承认我有点被他的假声雷到了。。。不过他还是很有娱乐精神的！
眠去,3,2008-06-08 12:12:04,0,果然很难听。
石小po,4,2010-04-27 15:11:40,0,不错~
大海边的憨豆豆,4,2011-01-25 20:35:05,0,好久没听到这样的声音
BlackScholes,5,2014-03-28 09:50:30,0,你在干嘛，挥霍，我爱你，寂寞考，小美女2008
Elika,5,2008-12-01 12:03:11,0,您啥时候出新砖?
mee,5,2008-08-07 22:37:43,0,太好聽了
徒然曜日,4,2008-06-01 23:09:17,0,對阿對阿　對阿對阿對阿對阿　對阿對阿　對阿對阿對阿對阿　對阿對阿　對阿對阿對阿對阿
不擅长,5,2010-07-17 15:35:41,0,http://www.xiami.com/album/168676
殘 藍。,3,2008-07-19 18:40:11,0,QueTePasa？你在干嘛？。早安晨之美。
madmozart,5,2010-07-18 13:28:38,0,这种人是DRAKE的反面，却一样很棒
我爱看海,5,2009-11-30 10:06:31,0,这个小哥听起来不大习惯~
車,4,2008-06-11 16:04:52,0,额，声音好嫩啊~不过也就是这点好
麦单,4,2011-07-30 12:35:57,0,对啊对啊。
神秘金针菇,5,2010-10-30 09:27:01,0,完美的真假声，完美的挥洒，完美的RockN'Roll
亞麻君,3,2009-08-09 16:24:45,0,有些失望
樹男,5,2010-12-30 17:31:06,0,卢广仲的专辑就这张最好听。
薇羅尼卡,4,2008-06-17 09:47:13,0,很轻快，很青春
Inevitable,3,2008-06-05 21:18:52,0,不是很喜欢卢同学
徐大阳,3,2010-03-17 08:33:59,0,既宅又潮
元気一杯咪噶酱,4,2010-10-10 14:28:12,0,为什么我对他没什么好感……
Illusion,4,2008-07-31 23:36:19,0,他唱歌声音好听
鹌鹑之丘白桃挞,5,2009-07-30 17:10:59,0,重听一遍，终于听出特别的味道了。热泪盈眶啊。。。
鱼秋刀刀刀,5,2011-05-08 14:21:19,0,喵~无敌铁金刚~
木木龙,4,2008-11-13 15:09:09,0,好像要挥霍，这首歌让我喜欢上了这张专辑~
影志,4,2011-06-27 14:30:42,1,好的音乐是让人有心结的音乐
Memento Mori,3,2010-05-11 21:39:12,0,md第一句出来我以为周杰伦来了=。=
挂拉,4,2009-05-24 00:41:13,0,憨卢难比方大同
kokki@靠模子,4,2008-06-29 12:10:45,0,声音不错音乐也不错
慕容小虫,4,2008-07-14 08:50:45,0,生猛，青春
godeau,5,2010-04-11 18:21:55,0,还可以吧，100种生活，还需努力
日烟火,3,2008-09-07 18:00:53,0,我觉得很一般呐这。
撒野,4,2009-06-29 21:14:16,0,撒娇男人之歌
Cedrick,4,2010-07-30 07:24:10,0,说到底还是流行音乐，不管他打什么牌，贴什么签，好听就行
一絲不掛,1,2008-11-14 17:12:23,0,听了让人烦躁
deus,4,2009-09-24 17:02:25,0,音乐元素多元，比较有灵气，加一星，把那些最俗气的深情POP情歌演绎得异常动人，加一星，大部分歌词虽然可以解释为真性情不加掩饰的流露，但还是写得太直白，有脑残嫌疑，减一星。最近实在是对INDIE不感冒，但是考虑到要客观要理性，而且这也的确是一张很用心去做的INDIE-POP，虽然企宣做得相当矫情，还是给四星吧。几首深情歌《好像要挥霍》《寂寞考》《破气球》唱得真是没的说，当时听他和梁静茹对唱的时候就觉得他应该有戏，只恨那时没去听那张《渊明》。
endy,5,2009-02-28 22:12:25,0,好久没这么好的台湾音乐啦
西柚小姐,4,2008-07-30 16:42:10,0,耳目一新的流行乐
朱尔赫斯,3,2010-04-16 11:20:33,0,100种生活
破产君,4,2009-07-25 11:10:14,0,早安，晨之美/我爱你
五月微蓝,5,2008-07-05 14:34:14,0,我们都爱宅男
掩杀,NaN,2008-08-03 00:16:13,0,一想起他每说一句话一定要YEAH就囧
送你一杯乙硫醇,5,2010-04-25 09:29:36,0,小清新……
Vince♫,4,2010-01-10 21:30:23,0,100种生活
魏几几,4,2010-12-24 22:27:51,0,我喜欢这种特别放得开的声线。
泓,5,2009-10-03 14:33:42,0,O(∩_∩)O哈哈~
喷农药,5,2009-05-27 22:53:31,0,听了心情很好
DG,5,2008-06-15 19:02:34,0,太年轻了！
KAVA,5,2010-11-10 22:50:54,0,第一次认真听完卢同学的这张专辑，听得我心花怒放得。sohappy！看来过去的生活我确实错过了很多。
彌張,5,2009-01-12 17:50:28,0,很爱卢广仲懒散舒服的声音
給料泥棒,1,2010-07-31 22:51:05,0,是啊
stranger17🎐,NaN,2008-06-05 14:43:49,0,发音有点做作。
午后小憩,4,2008-12-17 14:08:40,0,够清新很随意
baichi0038,4,2008-06-07 23:26:57,0,寂寞考~~
靠谱青年™🌈,4,2008-07-12 16:41:36,0,凑活，相当凑活
