user_name,star,comment_time,vote,short
岛上的夏奈,5,2012-03-05 14:35:17,115,其实这个时候的ADELE比现在更好。
做人呆呆,2,2011-03-11 06:03:12,40,blues不是未经世事的十多岁小女孩唱点小情小爱就能够表达出来的，何况blues只是幌子本质唱得还是流行。内容幼稚，声音却一味地装成熟，这只会让人觉得奇怪，不如老老实实唱点符合她年纪的东西
PabloHoney,3,2008-05-30 16:17:14,32,比AmyWinehouse差了点桀骜劲
丶,4,2011-12-09 12:41:31,32,这张19不失为一张制作精良，别具型格的亮相之作，尤其是几首小品之作，为整张唱片奠定了无糖可乐一般的基调：色泽深沉，口感清爽。这般女声，不唱歌真是暴敛天物。
齊克斯尼力佐飛,4,2011-04-12 23:22:51,14,现场版似乎更棒。
颜良辰,5,2009-10-18 19:30:23,2,这也是很棒啊~开场第一首就把我抓住。
Bill,4,2009-03-30 14:27:44,0,胖胖的很强悍
JulyChan,5,2008-04-11 10:36:16,2,好听是王道。像一杯午后研磨起泡沫的咖啡。
UrthónaD'Mors,4,2009-06-09 11:43:33,0,jazz的味道还不是那么浓
Song³,5,2009-02-19 13:02:05,1,Adele之于“格莱美”和达菲之于“全英音乐奖”，两个人的获奖都是情理之中，“格莱美”看中音乐品质，“全英音乐奖”看中销量和流行度，达菲的专辑《Rockferry》是2008年的销量冠军，“全英音乐奖”的评委们对于专辑销量向来格外看重，因此她对Adele的胜名正言顺。个人喜好：
吴嘎嘎,5,2009-03-01 21:53:14,0,MySameRightAsRain
L I M O,5,2008-04-26 20:05:18,0,洗腳。
光年‖影视歌三栖民工,5,2010-03-07 21:07:40,1,HometownGlory很出名
Mignon松弛地,3,2008-02-03 20:12:02,0,不是我的菜……
锐利修蕊,5,2014-10-19 14:58:20,1,HometownGlory最喜欢这首。
icier,3,2013-01-16 12:06:24,0,有几首还不错。
倉鼠,5,2011-06-05 09:09:26,1,慢热极其耐听
zard砸得王大崩,5,2008-02-26 22:47:44,1,ever19。19岁就能到这感觉，太牛了。所以加一星。
人淡如菊。无奈,4,2008-02-08 12:47:50,1,19岁成熟的声音daydreamer
virgin,5,2013-09-29 01:05:57,0,120925已收星外星版CD--有个平常听的就行吧:)。。但其实能听出来Adele在这张里比在21里更多的渴望和简单化的创作动机赞!:)。。
