user_name,star,comment_time,vote,short
夏日扬帆,5,2013-10-26 12:28:25,131,就是在一众优质音乐中，披头士还是可以轻易让人感觉音乐的美好而不用担心听不懂
果酱☮,5,2007-02-14 21:33:19,50,这张中学那会买过打口CD，那会我还没这么忧郁。
兔球波,5,2008-09-24 12:41:24,43,我想不爱他们的人也算得上异类了，很简单朴实，但动心往往只要这一小小因素
virgin,5,2009-05-04 15:32:59,4,我有CD!!:)。。
Kreuzberg,5,2009-06-16 15:20:18,6,所有beatles的都是经典中的经典。我想给10个星星！！！！！！！！
毛利,3,2006-11-25 03:24:19,6,老实说，我不喜欢那么简单的旋律
阿朽,4,2010-06-13 14:28:00,5,我脑袋是坏掉了吧..近期听披头有感了
齊克斯尼力佐飛,4,2012-01-23 21:55:34,1,我嫌编曲老气。
Enjoy🌈Rachel,5,2012-02-19 23:45:39,1,选的的确都是最棒的歌儿了~~~
三层保暖,5,2009-07-12 23:12:02,0,精选，五星
ztlpoppy,5,2009-04-13 12:21:18,1,听烂了。。
亵渎电影,5,2011-08-13 08:50:25,2,FromMetoYou
令糊葱,5,2009-08-28 10:06:12,1,永远的披头士！
zard砸得王大崩,5,2006-12-20 12:50:11,1,经典中的经典
Odding,5,2006-03-26 00:08:20,0,经典啊。
草威,4,2009-11-27 14:17:07,1,住在黄色潜水艇
眼角的花朵,5,2007-09-13 07:52:36,0,我爱他们！
丝绒陨,5,2008-07-11 19:00:55,1,流传多少年才算经典？
banana*🌈,NaN,2006-03-24 00:32:57,0,LETITBE!
狮子人,5,2007-10-11 14:19:07,0,最经典吧！
Ridden,5,2007-12-06 12:37:51,0,Help!。Yesterday。HeyJude。
夏日良人°,5,2008-04-18 13:25:05,1,我借给谁了，麻烦您还我吧！
静@Einfühlung,NaN,2007-04-01 21:25:54,0,Hello，Goodbye
采桑,5,2007-04-01 19:58:05,0,很喜欢很喜欢，永恒的，无限的…
谁亲爱的偏执狂,5,2008-09-14 00:46:28,0,我最爱的专辑ever
品客,5,2007-08-13 21:47:40,0,5star!
不擅长,4,2011-11-05 18:28:57,0,http://www.xiami.com/album/168416
雪  叁更,5,2011-06-03 18:43:47,0,摇滚启蒙……
蹦床,5,2010-04-03 14:28:21,0,居然漏了这张
Dietcoke,5,2013-07-29 22:02:08,1,听了让人轻松开心的专辑
薇羅尼卡,5,2006-04-13 22:33:31,0,很不错，首首动听~~
安东妮,4,2006-02-08 11:49:44,0,最永恒的流行曲
Doyle Frenger,5,2007-11-22 21:28:11,0,老妈和我开车时听得最多的。。。
远xx,NaN,2009-07-06 02:46:47,0,那么多thebeatles合集。。。这个最无爱
Pumpkinhead,5,2012-08-23 14:44:33,0,说他们好不是瞎说的
流空破刃,5,2012-04-14 22:07:18,0,喜欢Bside多于Aside，全碟所有歌都短小精悍的Beatles到底是怎么会把heyjudy弄得那么大屁股的呢，第一次听的时候就开始不理解
久菜合子,NaN,2011-02-06 14:10:41,1,http://rapidshare.com/files/348549557/song.back012.skdown.net.part1.rarhttp://rapidshare.com/files/348549566/song.back012.skdown.net.part2.rarhttp://rapidshare.com/files/348549404/song.back012.skdown.net.part3.rar
江央又被晒黑了,5,2011-02-10 13:09:55,0,哈我的这张专辑还是磁带……可惜现在也没地方播放了
风撼斜阳,5,2011-07-24 18:35:24,0,都是经典的作品哇
Белка,5,2008-03-25 00:09:11,0,无话可说的经典
Seamoon,5,2008-05-24 22:42:20,0,我在韩国常去的超市只有卖这张还有love那张。而我想买的是专辑。
许仙,NaN,2007-05-19 12:39:34,0,...
popok,5,2008-07-08 22:22:16,1,全碟我都会唱>w<
小隐隐于浆糊,5,2009-04-27 20:07:43,0,重温
铎奇,5,2009-11-03 18:10:33,1,beatles，ornothingelse.
伊丽莎白·素贞,5,2010-09-02 17:09:56,1,我永远年轻，我永远热泪盈眶……入门级必备，听后可装逼。
齐鲁矿业李德友,NaN,2019-08-22 15:57:26,0,Can'tBuyMeLove
雪翎,5,2010-10-10 14:11:13,0,他们出现，时代出现。他们终结，时代终结。
宇宙宝贝,5,2008-08-07 17:33:00,0,就这么认识你们的
脫繮的蛇肉堡,5,2007-12-31 11:50:23,1,你发现他们比你想象中的熟悉多了
張騫,4,2007-02-03 16:04:08,0,星不敢给少了--对披头士同学们一直不感冒
ms.鳄鱼,NaN,2007-10-13 14:59:01,0,Beatlesisthebest.
克莱德思构坡,NaN,2011-12-04 05:04:42,0,我的英伦启蒙
賴床不起。,5,2008-10-19 15:01:53,0,WQ
西柚小姐,5,2007-06-08 19:27:19,0,无比自恋地唱heyjude
五月微蓝,5,2007-08-18 17:32:52,0,Beatles的经典
linn,5,2011-10-21 20:34:10,0,Yesterday.Letitbe.WhenIfindmyselfintimesoftrouble，MotherMarycomestome，Speakingwordsofwisdom，letitbe，Andinmyhourofdarkness，Sheisstandingrightinfrontofme，Speakingwordsofwisdom，letitbe，Livingintheworldagree，Therewillbeananswer，letitbe，Forthoughtheymaybeparted，Forthoughtheymaybeparted.Letitbe!!
蒸桑拿的冰激凌,NaN,2011-08-23 14:27:05,0,EleanorRigby
爱罗武勇,5,2013-06-13 12:43:52,0,"从“lovemedo""到“nowIlongforyesterday”。从“allyouneedislove”到“Don'tleavemewaitinghere.Leadmetoyourdoor“。什么都有了，什么都够了。"
北北~,5,2013-10-28 11:36:38,0,姑娘18岁的披头士启蒙——据说18岁左右接触和喜欢的事物会影响你一生的方向，于是本宫就海王星了XDDD~
息为,5,2010-12-21 09:24:19,0,过了这么久听起来感觉又不一样了.
≌菩提风花,5,2007-03-28 18:03:11,0,太经典的歌了!
Ten,5,2007-09-11 16:58:21,3,我还是觉得听beatles不应该先从精选辑开始。
kingfish,4,2006-03-23 15:40:10,0,流行中的古典.
痴人,3,2007-11-22 20:43:44,0,哎我不喜欢那么老爷爷的摇滚。
靠谱青年™🌈,5,2007-06-21 15:35:08,0,letitbe!
战国客,5,2009-01-06 13:28:53,0,HeyJude&Yesterday
枕枕枕头,5,2012-07-04 18:48:44,0,披头四27首在美国及英国榜上停留128周的冠军单曲。
毛香菇,5,2013-07-15 11:02:54,0,又名……
齐烟九点,5,2008-11-08 10:39:37,0,冠军精选辑
电池,4,2007-06-17 14:25:46,0,只是又一个Collection，我收藏中beatles的唯一一张正版
P先生,5,2013-07-16 16:26:14,0,又名:屎壳郎1。。。。这是要作死啊！！
豆友3079484,NaN,2012-09-09 22:58:52,0,披头士补起来（嘘
March,4,2007-10-25 10:57:55,0,经典咩～～
A-Mian,5,2008-07-31 19:15:16,0,no1forever
Meteora,NaN,2007-11-13 19:05:35,0,NO.1
JoKe8,5,2007-09-06 00:29:46,0,lucyintheskywithdiamond是那么美好
tlmgt,5,2017-03-04 02:10:05,1,当然是好精选。但如果想更全面了解他们，除了听完所有的录音室原创专辑，Anthology123那三张合集收录了更多Bside，现场，alternative版本和demo版。精彩不容错过。
饭夫斯基,5,2010-01-30 13:13:06,0,黄色潜水艇，shelovesyou，heyjude，letitbe
遲,4,2007-07-25 17:34:52,0,HeyJudeLetItBe。
蕉,5,2009-07-05 22:12:09,0,啦啦啦.欢欢乐乐的
菲以,5,2011-02-24 19:54:24,0,很有趣的是每隔一段时间就重新对Beatles狂热一次。
蕾蕾,5,2006-12-05 09:05:05,0,HeyJudyLetitBeYellowSubmarine
饭团,NaN,2012-08-26 22:16:03,0,突然又随机到Letitbe了
mikaholic,4,2008-11-17 21:15:16,0,當時在非常看到的..覺得7蚊買張甘既好抵..
TRUTH CN,4,2009-07-13 21:53:25,0,Yesterday，HeyJude，LetItBe，TheLongAndWindingRoad目前最爱letitbe~
