user_name,star,comment_time,vote,short
光年‖影视歌三栖民工,4,2010-05-23 17:33:12,23,听多了好像风格都差不多，每首都一样。没新意。
李风,5,2012-02-18 03:01:26,24,美国白痴的经典是因为时值战争时期，且是全美对布什政府的不满情绪最足之时，加以对战争的控诉，年轻人的迷茫与忧伤，加上Greenday马不停蹄的巡演所创造出来的。其实绿日一直都在类似主题中徘徊，只不过现实给了他们太大的支撑，而这一次实在非常难得他们还能够在旋律和故事的配合上再一次做到极致。我们常说美国梦，而绿日所做的一次又一次给你讲讲美国的brokendream.
熊仔面,5,2012-02-18 22:43:54,9,Whenyou'reattheendoftheroad，Andyoulostallsenseofcontrol，Andyourthoughtshavetakentheirtoll，Whenyourmindbreaksthespiritofyoursoul。
韧勉,3,2009-05-24 00:35:46,3,不朋克，很摇滚~
吴嘎嘎,5,2009-05-28 22:10:34,1,21Guns
L I M O,5,2010-01-13 22:58:14,0,世紀大崩解。
果酱☮,4,2009-05-21 01:57:00,0,http://www.1ting.com/album/4e/album_26783.html
朴九月,4,2009-05-23 23:58:51,0,（8.9）
Song³,4,2010-07-10 15:36:55,1,21Guns（变形金刚2的插曲
Aragaki,5,2014-06-23 15:46:21,0,太棒了！
zard砸得王大崩,4,2009-05-22 13:29:11,2,greenday一出，我必定摇头晃脑的~21Guns~murdercity
StevenTong,4,2009-04-23 23:51:04,0,為了體現和上一張的差距，即使這張很棒，我也只能給四顆星了。誰叫我如此鍾愛上一張呢？！！
猫打喷嚏,5,2010-11-09 14:39:49,0,太好了！
valdanito,4,2009-05-08 23:27:11,0,GreenDay的三主题唱片，赞歌或战歌，讽刺或挑衅。Bille的“称雄”野心昭然若揭。“21stCenturyBreakdown”构建新世代的朋克史诗，歌曲末段激潮澎湃的键盘和吉它似乎有超越皇后的“波希米亚狂想曲”的意图，而专辑中的几首柔版慢歌提供了适当的情绪调节...
苏格,4,2009-05-10 10:50:35,0,KnowYourEnemy
影子的影子,5,2009-07-26 19:43:25,0,没想到会这么好，张弛有度，我的年度十大候选啊
Hao,4,2009-05-28 08:04:02,0,5年之后..
草威,5,2009-05-18 17:13:14,0,牛逼闪闪
英恩,4,2011-04-16 20:14:19,0,嗯哼，还是送过几张靠谱砖的...
夏日扬帆,3,2011-12-08 21:14:48,0,[21gun]
Enjoy🌈Rachel,5,2012-09-02 15:44:28,1,非常不朋克但是很好听
格林先生,4,2009-05-16 09:36:58,0,最近好多朋克大牌都发专辑啦，如NOFX，SUM41，Anti-Flag等等，当然还有GreenDay，这张总体感觉还是延续上一张美国白痴的风格，曲子上有好几段接起来的那种长曲目，内容上玩的还是概念，什么歌剧朋克啊。。叙事体裁啊。。不过不得不说，绿日的小旋律做的还是很精髓的，很耐听。夏天果然是个听朋克的好季节啊~！
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2009-05-20 20:42:43,0,GD的意义。
Bartholomew,5,2012-02-09 15:11:51,2,IAMSENDINGALLMYLOVETOYOU
莊小壞,4,2009-05-12 20:39:33,0,3.8－－－感觉已经不是他们最好的时候了。
和风莫吉托,4,2011-03-10 00:01:42,1,绿灯亮起的一瞬间，VivaLaGloria的鼓点也喷涌而出。你知道这一刻我等了多久
邪,NaN,2009-05-09 01:17:08,0,想起下午的毕业典礼，就有些小兴奋。
涒灘,3,2009-12-18 14:34:09,0,就是歡喜不起來
小敏吃掉小敏,4,2009-05-16 18:25:28,0,封面非常thinktank
亲爱的1969,4,2009-05-25 19:35:18,0,虽然偶着吵的要死要活的。。。。。
夏日良人°,5,2009-05-26 08:40:20,0,5+1颗星。
Karonen,5,2010-02-21 21:00:51,0,从对21Guns如此狂热看出我真的变口味了...
不擅长,4,2010-08-10 12:39:03,0,http://www.xiami.com/album/319903
AngelaWood,4,2009-05-09 01:50:38,0,挺欢快
leon mai,4,2009-05-13 21:27:14,0,与上张差别不大，但还是很棒
Yome,4,2009-05-10 18:14:08,0,之所以愛GREENDAY是因為他們審視的也是我們審視的之所以愛GREENDAY是因為他們審視的也是我們審視的
陈郁,4,2009-06-02 16:49:01,0,新朋克怎么了一样有货有骨气
妄想代理7,5,2009-05-20 18:50:20,0,极度迷恋的开始！！！
Doyle Frenger,3,2009-05-14 18:02:06,0,我总觉得只有那首21GUNS好听。。。放一段时间再听吧
Pumpkinhead,3,2009-08-09 15:02:11,0,太油，听听还行
麻木粮姜,4,2009-05-30 21:47:17,0,5年算是没白等
放开那个西红柿,3,2010-05-07 15:57:08,0,多年以后打了个还行，可能自己老了。
Angelo_44,3,2009-05-24 17:56:14,0,美國白癡的自我重複
中世纪福音工人,NaN,2013-06-07 21:24:29,0,金属什么的最棒了。。青春的声音。。
安蓝·怪伯爵𓆝𓆟𓆜,4,2009-05-28 12:51:29,0,21Guns
铎奇,3,2010-05-14 10:48:39,0,那个叫什么来着——第一遍的惊艳不复存在。
日烟火,5,2009-12-19 20:17:52,0,我也觉得它让我激荡。但跟muse的不一样。它是一往无前无所畏惧。muse是破釜沉舟。
撒野,5,2009-05-22 23:32:44,0,其实跟oasis一点都不像啊干吗说他俩相互抄
yum,4,2009-05-11 14:05:23,0,对punk接纳度超高，心噪听着就闹腾，衔接的还是挺得法的，坚持下来整张就值了
Griet,5,2009-05-14 06:29:01,0,很爽。他們還是充滿憤青活力。很棒。
一絲不掛,4,2009-05-22 06:11:39,0,21GUNS
娘口三三,5,2009-05-08 14:48:28,0,听得浑身畅快哈哈~
宇宙宝贝,5,2009-07-19 21:00:24,0,綠日你們還是那小樣
zk,3,2009-06-01 18:30:55,0,年轻真好，但是比不上上一张
Soda兰,3,2009-05-18 01:10:49,0,是我不喜欢他们了么？
