user_name,star,comment_time,vote,short
tlmgt,3,2011-11-30 19:46:26,7,我没有很喜欢他声音诶·····果然小清新在豆瓣上已经无敌了么。
瓜。相信这个世界很变态。,4,2007-03-17 20:06:45,29,我越来越讨厌，因为每个人都如此喜爱。
颜良辰,5,2008-06-18 17:18:23,11,简直就是美好又温暖的声音。
锐利修蕊,5,2009-12-11 20:26:09,6,非常非常非常喜欢。听的耳朵出血也还是觉得熟稔。
愛永,5,2009-05-19 04:03:40,6,每首都好聽，雲淡風輕的午後，輕輕吹開我的心
Charles Rosen,NaN,2007-11-24 10:44:32,4,适合咖啡店
Song³,4,2007-10-20 12:45:11,3,ValderFields
叶酱,4,2012-05-23 09:16:16,1,听了那么多年的ValderFields，才知道是他唱的
不流ᝰ,3,2011-02-12 21:52:24,1,面男Folk对于听后摇的人来说，真是太浮云了…………
果酱☮,4,2008-11-25 09:45:42,0,封
光年‖影视歌三栖民工,5,2010-11-15 16:09:51,0,好听
33迟来_小小岛,4,2014-05-08 22:04:47,1,-ValderFields
要早睡啊minami,5,2010-04-18 22:56:44,0,太爱了！
Aragaki,5,2007-11-02 16:09:33,0,温柔死了
丶,5,2011-11-04 08:40:02,0,小清新必修功课啊！！！
zard砸得王大崩,4,2006-12-20 18:11:20,0,一贯水准
易召,5,2007-09-01 19:18:15,2,奔跑在春日田野里的暖风
英恩,3,2010-03-23 23:16:40,1,I'mSorryThatTheKitchenIsOnFire
旗旗,5,2006-09-20 16:20:21,0,春天的民谣..
夏日扬帆,4,2010-12-11 23:22:14,0,就那一首就够了[ValderFields]
Yolanda,5,2008-11-19 16:29:54,0,购入
少年夏不安,5,2008-02-23 22:35:48,0,很温柔的男声，很动听，力荐！
shu,5,2008-04-12 20:04:09,0,又遇好听的声音。。但是听久了会腻，就像林一峰。
cristine,5,2006-05-27 12:03:23,0,舒缓的音乐，干净的吉他声
小魔@优雅穿梭,5,2009-12-31 15:44:21,0,听得我泪流满面~好声音夏天的记忆，白色球鞋白色袜子白色连衣裙暖暖的风~
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-09-13 23:55:52,0,淡味。
Topfun,5,2012-05-02 10:07:39,0,ValderFileds各种手机铃声
进宝,2,2012-06-22 16:16:45,0,腻
欢乐分裂,3,2014-08-15 10:30:29,0,催眠神曲，软绵绵地像跌入云里。
BlackScholes,NaN,2015-08-02 00:52:30,0,Overblown
葡萄呀,5,2012-07-01 14:48:38,0,早安歌是ValderFields
Luffyjun,4,2013-01-03 01:40:54,0,最出名的就是这首《ValderFields》。。不。。贪。。不。。念。。不。。伤。。不。。恋。。终。~
邪,NaN,2009-09-08 19:52:32,0,美然，你亦不过是过客。有想念过未来吗。
Karonen,4,2010-05-25 22:45:45,0,简单。
Angela,5,2007-08-10 13:06:48,0,经典经典！！！！！
预见|| X X,2,2009-07-27 17:15:46,0,这不外国苏打绿么…男不男女不女的
钟,4,2007-06-10 00:47:23,0,清新温柔的浅唱.
怀山鹿,5,2009-11-12 22:14:10,1,淡淡的风~
书庭,5,2010-02-02 13:34:57,0,就像是穿过森林化作风的少年
亞麻君,5,2009-04-06 13:16:50,0,大愛。。。
小氢弹,4,2008-01-20 13:52:27,0,甜了点。
Amberose,5,2017-11-29 23:38:25,0,柔和、清新、自然而美好
Illusion,4,2008-02-21 00:47:15,0,最后两三首
Wong,5,2011-03-15 09:17:05,0,多经典。。。
明法™抗议豆瓣删组,5,2007-11-22 12:57:18,0,经典的、放松的
Белка,5,2007-09-02 14:58:40,0,TW大人暖和得骨头都没有的声音，.............
Aki,2,2009-03-22 17:25:07,0,已删腻死人了我操
安蓝·怪伯爵𓆝𓆟𓆜,5,2007-08-10 08:56:42,0,很温暖的声音流淌过心田
杜扬Seatory,5,2007-04-03 23:19:55,0,亲爱的~
V,4,2010-03-29 16:02:01,0,8.5/10
铎奇,3,2011-05-14 23:19:17,0,我是真没听出来这张专辑有什么好==人家送了我一张，谁想要的拿去吧。
艾桑,5,2006-10-13 22:00:30,0,无所谓悲伤无所谓甜蜜，就这么静静地弥漫……
大米,4,2009-11-12 17:54:20,0,灰常干净的声音···
yum,4,2008-03-24 21:47:02,0,轻轻柔柔小男生
MOEの魔导☆,5,2011-06-23 16:15:54,0,ValderFieldshttp://www.xiami.com/album/168521英文歌词
不要焦虑浣熊妹,5,2009-02-08 22:12:31,0,好像午睡时的阳光
