user_name,star,comment_time,vote,short
banana*🌈,4,2008-05-18 11:23:36,111,K房冷場專用...
锐利修蕊,4,2017-09-21 11:10:19,24,我的玩具就是我自己。
停用豆瓣勿cue,4,2011-09-09 15:33:05,12,「After17」。Track系列中陪伴我最久的一首
Bill,4,2008-07-23 00:01:02,7,安静而短小的两首作品稍微有些太短了让人实在意尤未尽小小校歌的歌词很有特色四个字一句比较清新
固力果guriko,NaN,2009-12-16 09:14:25,5,17岁以后才听到满满的遗憾
夏日扬帆,5,2014-03-31 23:16:50,3,小小校歌特别好听[小小校歌]
zard砸得王大崩,4,2013-12-13 20:42:50,1,forever17
齊克斯尼力佐飛,5,2011-10-29 22:41:03,0,我的孩子气给我勇气
奈斯,5,2014-06-08 22:55:45,1,一步一步走过昨天我的孩子气
不万能青年,5,2011-08-24 14:48:01,2,我的玩具是我的秘密，我的孩子气给我勇气。
神探夏洛特二世,5,2008-12-13 11:23:31,1,很有感触的after17
果酱☮,5,2008-12-10 22:33:02,0,一步一步走过昨天我的孩子气
Dorothy,5,2008-03-25 11:27:53,0,wheniamafter17
長閑,5,2008-08-23 21:57:07,0,独立单纯的陈老师。
汤阿春,5,2011-11-10 21:29:52,0,还记得你写给我的吉他谱吗还记得边弹边唱我边和的日子吗
哈默林騎士,4,2006-02-25 20:45:32,1,回不去就留下吧就继续往前走吧
Ridden,NaN,2007-11-08 15:15:23,0,谁能陪我共看月亮，共数星星？
九份的咖啡店,NaN,2008-02-14 13:18:32,0,吉他弹奏。空白，停顿，单曲重复。
乡愁,3,2010-03-18 22:22:47,0,一步一步走过昨天我的孩子气。/我愿陪她，追逐山林；我愿陪他，携手天涯。共看月亮，共数星星。
豆维,5,2005-10-06 12:30:19,0,初听不是特有感觉，直到几个月之后才听出感觉来
薇羅尼卡,5,2008-01-09 12:51:01,0,挺棒，很喜欢~~
j u n,5,2007-11-25 14:19:01,0,小云寄来。
小晨,4,2007-05-31 15:19:09,0,同样在要买的list里~
机动美少年高興,5,2008-08-27 19:57:44,0,忧伤的歌……
怀山鹿,4,2010-02-05 17:52:57,0,首先喜欢上after17
安东妮,4,2005-12-27 18:58:01,0,WhenIamafter17
Memento Mori,3,2010-04-14 22:39:41,0,我从17岁前听说这首歌一直到今天终于去科普了--于是我被雷了。姐老了。
Белка,5,2008-01-30 18:51:27,0,after17比较应景
逅宝,4,2007-08-30 13:32:36,0,seventeenafter……
血源2出了吗？,NaN,2017-10-04 06:21:33,0,（补标
soloye,5,2008-12-08 08:45:58,0,那些情窦初开的时光，美好，都变成回忆
老夏天___,5,2008-12-18 11:15:17,0,美丽的十七岁
艾桑,4,2006-05-08 18:13:14,0,清新可人
千寻｜Scorpio,4,2010-08-21 09:03:46,0,在cheer的专辑里，很喜欢的一张EP。
纯子,5,2009-04-06 17:36:11,0,WhenI'mafter17
momo,5,2009-04-26 20:38:36,0,巨爱
五月微蓝,NaN,2007-09-06 18:32:04,0,“幸福中所必要的，说起来实在很简单！不过是一个风笛的声音罢了。”这个声音就是-陈绮贞。
程萬萬金,5,2007-11-11 01:31:26,0,WhenIwas17，Ihadthefaceofpleasure，butIhadnoknowledgeofpleasure，andIwaslisteningtothissongalltime.
薛定谔的毛,NaN,2012-04-09 22:39:46,0,我怕我說不喜歡她會遭群毆。。。。。
你是桌子我是布,5,2010-04-04 00:12:14,0,tobewithyouafter17
一又,5,2008-02-06 00:36:39,0,我的玩具就是我自己。老师永远seventeen。
辣碗痞丝,5,2015-06-08 18:59:26,0,真是
Spidy,5,2010-02-06 23:18:52,1,那时候还不像现在这样装逼
兰 希,4,2012-01-30 19:45:39,0,我想我會好好度過這個唯一的十七歲。
kingfish,5,2006-03-23 10:41:37,0,陈老师的全都好听.
baichi0038,5,2008-01-16 12:43:57,0,哦～～越听越爱的歌曲～～陈老师，我爱你啊～
暝明,4,2008-06-07 23:41:19,0,WhenIamafter17
大兒童,5,2010-06-04 10:04:44,1,老娘也17岁过！！！！
Seahorse,4,2012-05-30 19:58:44,0,再听这首歌曲的时候，发现自己已经老了...
少年桑将,4,2007-09-19 13:26:24,0,很清新，很喜欢CD封面
徐李夫人,5,2011-10-06 11:11:28,1,17岁的时候听的太符合不过内时候以为自己已长大现在回头来看不过是小屁孩一枚想以后的我看现在的我不过仍是小屁孩一枚罢了
花。卷,5,2009-07-10 17:00:40,0,自从那一天起我自己做决定自从那一天起不在意谁的否定自从那一天起听我说的道理WhenIamafter17…
aqua||。。。,5,2009-04-30 20:36:42,0,回忆~~喜欢~~
小鹿e^x,5,2009-01-05 18:26:32,0,非常喜欢
0405|Love&Life,4,2010-06-20 16:14:36,0,还真是超级单间的说。
dooling,3,2006-06-21 09:11:48,0,太溺
昵称已被占用,5,2008-02-09 00:28:32,0,小小校歌...cheer的声音怎么就能这么好听呢..
布安安,5,2009-09-10 08:38:10,0,一步一步走过昨天我的孩子气我的孩子气给我勇气…自从那一天起我自己做决定
Supernova™,NaN,2011-06-24 18:18:24,0,我的孩子氣給我勇氣
◆鱼阿白@白◆,4,2007-01-12 19:01:03,0,她的小把戏
靡靡菲斯特,5,2011-08-19 00:42:29,0,Jan·srecommendation
五月之星,5,2007-09-02 16:01:40,0,自己是自己的玩具
劉咳暝,5,2007-11-17 12:21:04,0,以及渐渐遗失的记忆。
❤ 。韩小绿,4,2009-12-21 11:25:39,0,这首很喜欢。
夏一慕,5,2011-10-15 13:46:06,0,校园风，大一。
老实人楷模,5,2012-12-26 13:58:29,0,2005年第一次听，就喜欢得不行，特别是最后的的纯音乐夹杂着童声。
Chimney,NaN,2009-09-04 11:57:23,0,2004/陈绮贞
狂热逗逼丸,5,2012-07-06 00:33:15,0,想念的声音一直在
psy,5,2008-08-22 15:16:15,0,美丽
＂withaen,5,2007-11-16 11:32:16,0,早就AFTER17了...
babyiJc,4,2012-05-05 16:45:52,0,忘了
AsuraHu,5,2011-06-07 01:39:04,0,我还是15岁得时候唱着WHENIAFTER17想象着成长。我20岁的时候回来看觉得心事只有在吉他声中才开始柔软。谢谢老师。出色之作。
坦蕩蕩,5,2008-07-25 23:42:32,0,我最喜歡的一首陳綺貞的歌
花糖,3,2008-11-09 18:26:02,0,小矫情
zooeyyyyyy,5,2007-08-27 12:03:01,0,这封面，这人，这歌．．．．
lemonscent,5,2006-07-19 13:18:31,0,一步一步走过昨天我的孩子气我的孩子气给我勇气…
mecca,4,2008-03-20 21:27:00,0,ANYWAY~~
花事,4,2008-07-19 23:38:28,1,概念大于旋律……或者歌词大于旋律%……
児童症×,5,2009-09-06 21:41:10,0,毁坏所有梦想跟身体の年龄纪念死去の17
freesia,3,2006-12-06 12:58:14,0,不感冒就是不感冒
mariewyssa,3,2011-08-04 00:05:14,0,太简单。
Pinkelephant,5,2007-02-08 19:13:57,0,i'malmost17^0^
