user_name,star,comment_time,vote,short
韧勉,4,2008-09-10 20:54:52,7,虽然SameMistake在名气上没有You'reBeautiful大，但是整张专辑的质量、流畅性上都比前一张有质的飞跃，非常棒的一张专辑
UrthónaD'Mors,4,2008-05-30 14:56:05,4,原来一听他的我就会换到别的音乐，现在回过头来也不是那么难以接受
Bill,4,2008-07-19 20:34:11,4,声音很喜欢唱法很自如听上去比较舒服封面设计很花功夫值得关注的一位艺人
锐利修蕊,5,2010-01-18 21:40:34,2,极爱
KinG羽,4,2009-08-26 16:17:29,0,上尉诗人～
光年‖影视歌三栖民工,4,2011-07-20 17:13:54,0,好听，想了一下，还是不给5星了。
tlmgt,3,2013-05-25 19:35:13,0,可听，比《BackToBedlam》好。
令糊葱,NaN,2007-12-14 00:57:20,0,新砖，节目里做过的砖。
饥饿艺术家,NaN,2007-11-18 17:51:14,0,1般
丶,4,2011-12-05 15:22:27,0,一贯的风格。英伦男声。
BlackScholes,4,2014-02-23 06:08:11,1,shineon
zard砸得王大崩,4,2007-09-13 13:51:31,0,poetinthemetro
Samuca,5,2010-05-26 23:02:09,0,somemistake
Hao,5,2007-10-05 15:09:09,0,专辑质量不减。
ladybird,4,2007-10-27 15:21:01,0,samemistake
DeerColin,5,2013-10-23 13:03:53,0,"JamesBlunt的""1973""当年真是超爱！！！这张专辑和首张呈现给人不同的感觉，首张浪漫得令人窒息，这张则温暖迷人。"
张兮兮,4,2010-05-14 22:22:13,0,我听这张专辑的感觉有点像听Maroon5的《Shewillbeloved》，感觉他会为了每一个疲惫的人停下来，带每个迷路的人回家。
狮子人,5,2007-09-21 17:37:45,0,我爱你，亲爱的大兵。
莊小壞,3,2009-03-21 23:02:48,0,3－－－这张极其一般，滥满大街。
Valkyria,5,2013-01-26 21:35:02,0,热泪盈眶
明明就,4,2010-02-07 13:15:22,0,迷幻声音
抑郁小兔李邦妮,5,2007-10-11 21:06:25,0,我居然给感动了……感觉比上一张还好，很喜欢。作为流行歌曲，已经很不错了。
大海边的憨豆豆,5,2010-02-23 23:16:07,0,1973
席德,4,2009-05-15 23:41:31,1,GiveMeSomeLove
不擅长,5,2007-11-09 18:11:43,0,http://www.xiami.com/album/168667
韬,5,2012-02-24 00:12:19,0,伤感的嗓音。
神秘金针菇,5,2010-10-25 10:17:21,0,依然执著于那些，只是更加温和，更加积极了。
薇羅尼卡,4,2007-10-26 12:18:46,0,还是那把声音～
Lance,4,2011-07-12 01:53:05,0,好听。
Белка,5,2007-10-04 17:46:22,0,好喜欢，好喜欢！JamesBlunt在You'rebeautiful就电死我了。。。
Seamoon,5,2011-05-16 22:56:52,0,重点关注。
逅宝,5,2008-02-02 21:18:23,0,从未letmedown
挂拉,5,2007-10-11 22:51:11,0,他还是有好纵的口音也...
Wanderin',4,2010-04-15 23:51:36,0,GiveMeSomeLove，Darling
日烟火,4,2009-01-07 13:01:09,0,有爱啊有爱。
yum,NaN,2007-09-25 09:17:44,0,JB自己特有的假声...我爱，专辑到中段开始进入状况
纯子,5,2008-05-01 22:41:41,0,痴迷这声音
小猪de世界,4,2007-09-15 11:58:39,0,大牌哈哈
小岩菽,4,2008-02-11 21:41:40,0,万千人像我是真的只需要你。
Vince♫,NaN,2009-07-31 17:45:22,0,不感冒。。。
Ancora*山妮,4,2009-10-23 22:15:03,0,justshone。闪闪，你要shineon
Leoooo,4,2008-02-14 09:39:00,0,上尉詩人
ヽ 丶詸゜,5,2008-07-11 13:16:58,0,嘿～
Theo Lee,5,2007-11-08 22:49:08,0,妖嬈男聲
0926根本没有,NaN,2007-11-11 19:16:58,0,Allthelostsouls
午后的缪斯,5,2009-07-25 21:06:07,0,JamesBlunt的声音总会让人感动
≌菩提风花,5,2007-10-11 18:34:59,0,依然美好~
给我个电话亭，我要拯救地球！,5,2007-10-15 20:18:09,0,上尉！
捡垃圾的提莫,3,2008-02-09 20:06:20,0,一般般，不知道这唱片怎么会那么好卖
痴人,5,2007-12-01 12:24:18,0,很适合秋天的阳光哦
Mr. White,4,2012-08-02 19:47:13,0,无以复制的磁感声线，但是歌词太屌~~~~丝了，俨然男版的adele
Illusion·L,5,2014-02-01 23:06:06,0,还是一如既往的好。
战国客,4,2009-12-29 22:26:20,0,GiveMeSomeLove&IReallyWantYou&1973
