user_name,star,comment_time,vote,short
文泽尔,4,2010-08-30 06:09:39,101,主要喜欢其中三首：HolidayBoulevardOfBrokenDreams以及WakeMeUpWhenSeptemberEnds
阿朽,NaN,2010-06-01 17:53:35,44,豆瓣电台老给我放。。。烦死了
潜意识,5,2008-06-07 17:41:05,73,很多人从这张专辑才知道绿洲，我ri
Arthur,5,2012-12-10 21:21:45,46,朋克的巅峰与最后的辉煌，首创乐章式朋克，曲调流行精彩，三大件既有硬核又能婉转，且前人后作cliche并包，朋克真的仅次一专足矣。之后野心随篇幅胀大，质量效果随之缩水，朋克不谈政治那是鉴婊专家
徐达多,5,2007-10-04 21:17:08,18,最曼妙大气的一张。
夏日扬帆,5,2014-04-03 18:50:07,7,好多大热金曲啊[wakemeup，boulevardofbrokendreams]
潋 | Béatrice,5,2013-04-12 11:37:21,2,里程碑
UrthónaD'Mors,5,2007-08-25 14:41:21,0,不错的专集
离净语,4,2006-10-11 18:58:02,1,punk里还不错
L I M O,5,2007-04-28 12:04:08,1,白癡嗎你。
令糊葱,5,2008-03-04 03:14:07,1,有点儿喜欢。
Μουσαι,5,2012-02-27 17:16:48,2,AmericanIdiot|Holiday|BoulevardOfBrokenDreams
瓜。相信这个世界很变态。,4,2008-08-10 01:40:28,2,我以前是听流行朋克的~羞~
Mignon松弛地,4,2006-11-19 14:34:33,1,其实他们早前一张更好，但这张让老绿日又红了一把
wangzhy,5,2010-01-03 22:47:46,4,Thissongwassendabigfuckyoutoallthepoliticians
英恩,5,2010-05-08 23:11:02,2,Iwalkalone
Lola,NaN,2009-07-05 20:51:04,3,还是有偏见，不就破朋么
icier,NaN,2006-01-16 19:22:54,1,没想到还蛮柔的
zard砸得王大崩,4,2006-12-20 15:00:34,1,AmericanIdiot
丶,5,2011-12-06 00:07:46,2,我更喜欢She'sARebel。
seren,4,2006-04-28 02:38:04,0,muchgentle，butnice
龙三,5,2007-03-19 06:35:31,0,朋克三十，比利.乔而立~！
Augenstern,4,2011-12-12 18:20:48,2,果然沒錯偽搖和搖滾是一聽就能聽出來的對於我這種入門白癡也是如此
肥匪廢·老🐰,5,2013-08-24 09:45:42,1,Shakeyourbody！
小魔@优雅穿梭,5,2009-12-31 15:41:58,0,walkingontheboulevardofbrokendreams
Topfun,5,2012-02-04 07:02:20,0,一觉睡到国庆节
阿萌今天也很饿,5,2011-10-08 13:15:23,0,赞！！！
小狐狸BOBO,NaN,2005-12-08 21:45:39,0,青葱岁月的翻译多少有些做作的嫌疑，多年终于修成的正果，谁能相信这样振奋人心的肯定，哈哈!
莊小壞,4,2009-01-30 23:37:51,0,4.3－－－想要这个炸弹。
dorothy,5,2008-10-11 19:33:01,2,Irealize，thisismyfaverockrecordafterall.
Ridden,5,2007-12-04 13:54:19,0,AmericanIdiot。Holiday。JesusOfSuburbia。BoulevardOfBrokenDreams。不举例了。全爱！
陈永仁,4,2012-09-23 09:27:17,0,室友推荐的，为什么我下的只有9首歌。
齐鲁矿业李德友,3,2019-02-24 20:25:11,0,JesusOfSuburbia的钢琴加得好。
椒图,4,2011-01-16 19:41:22,0,手写。
Luffyjun,5,2011-07-14 22:12:00,0,wakemeup……
Miss Lucky,4,2006-12-23 00:51:26,1,AmericanIdiot
息为,5,2008-01-05 12:39:50,2,超棒概念专辑，敏感政治内容.旋律又好听好听.
品客,4,2007-08-09 05:02:25,0,cool
囧之女神daisy,5,2008-08-15 17:05:22,0,亲爱的greenday
不擅长,5,2010-06-09 17:05:37,0,http://www.xiami.com/album/304564
韬,5,2012-02-23 16:58:25,1,为什么这几天主管总喜欢到我工位上当面找我，平时不都是QQ联系吗！！！每次来找我的时候，我不是在听歌就是在下歌，要不就是在看歌词。。。。我压力很大的好吗。。。。[答应了10天不能改状态，想说的话只能靠这样的方式说。。]
Tiff,5,2010-04-01 21:27:27,0,在夏天完结之前，唤醒我。
薇羅尼卡,5,2006-05-27 18:49:35,1,很棒！没想到朋克也能做成这样，很喜欢BoulevardOfBrokenDreams与WakeMeUpWhenSeptemberEnds
必要幻觉,5,2007-06-16 21:20:15,1,很棒流畅好听的旋律
帕布利卡醬,4,2008-07-27 15:01:13,1,喜欢里面的那首，makemeupwhenSeptemberends。
亞麻君,3,2009-09-28 23:14:22,0,為了WakeMeUpWhenSeptemberEnds這首歌~~~其他歌曲貌似沒有是沒印象~~
和风莫吉托,5,2010-09-03 00:02:39,0,启蒙，入门
你好代号君!,3,2008-04-19 15:56:06,0,好吧。我决定重温。
謝爾·愛睡覺,5,2007-06-29 16:37:23,0,WakeMeUpWhenSeptemberEnds
猫不然,5,2011-07-12 23:58:21,0,大爱。尤其爱他们在英国那场豪华演出。
RoJay,5,2007-07-03 23:24:44,1,15岁听到老。。。
Alto,NaN,2007-03-21 10:17:54,1,WakeMeUpWhenSeptemberEnds
Белка,5,2009-01-11 22:19:36,1,好听的特别是WakeMeUpWhenSeptemberEnds听了多年
Seamoon,5,2011-02-05 15:00:50,1,考虑要不要把这张专辑加到我的Top10list。
鱼秋刀刀刀,5,2012-05-10 10:37:50,0,thxforthememorywithLC
铎奇,4,2009-11-03 18:15:41,1,neverwakeup，ontheboulevard.
Memento Mori,3,2010-02-02 00:37:57,0,我是有多不喜欢Greenday啊。
chaaaaad。,5,2010-04-11 21:12:12,0,百听不厌才是好证据。
biiru_u✨,NaN,2007-05-28 11:02:25,0,wakemeupwhen...
驎樨,5,2010-06-04 13:34:13,0,这是最喜欢的GreenDay的一张专辑
≌菩提风花,5,2007-03-28 18:03:47,0,WALKALONE...ANDBRINGIT>.<
荼,5,2010-08-06 17:46:52,0,在豆瓣电台上都陆陆续续听完了@_@?
给我个电话亭，我要拯救地球！,5,2007-10-24 16:30:55,0,GREAT!
[已注销],5,2009-06-20 20:06:59,0,……说真的和我听的朋克差别很大……好吧我也没听过几个朋克==
🌟亚树🌟,4,2006-05-07 19:27:48,0,WakeMeUpWhenSeptemberEnds
給料泥棒,4,2010-08-04 22:24:15,0,She'sARebel
痴人,4,2007-11-19 19:57:50,0,wakemeupwhenseptcomes
Bill,5,2013-02-18 16:18:50,0,是..这张之后再也没有靠谱的了，怪不得说这张是最好的一张呢..21guns那种...唉...还是holiday靠谱!高中支柱之一...
太空少年孙轩宇,NaN,2008-06-26 10:57:30,0,哦，流朋！
许玉玉,4,2006-03-18 12:13:11,0,封面吓人了点，我买的时候老板在那边狂看我，因为MS一个比较文静的女生么
暝明,5,2008-06-21 12:37:30,0,Wakemeupwhenseptemberends.
猛汉世雄,5,2008-06-18 21:08:02,0,=V=哟~
豆腐脑敢死队,4,2007-07-19 22:54:16,0,GiveMeNovacaine
Augenstern,5,2012-04-14 11:13:47,0,good~
Nosferatu,5,2007-02-28 09:57:48,0,很不错的一张专辑！但是终于听完了！
阿随向前冲,NaN,2011-09-18 16:19:31,0,真不让人失望high
Gloria|╋━|嵐,5,2007-03-31 18:38:03,0,greenday
抽屉的烦恼,4,2008-06-10 07:53:03,0,有些讽刺美国选秀活动的成分但整体很不错很多歌我都是超喜欢
电池,4,2007-06-17 14:24:53,0,朋克歌剧？还只是销量的催化剂
Kyri,5,2009-02-25 20:31:20,0,巅峰不装逼的帅
豆友3079484,5,2012-07-14 20:56:46,0,【补2009档】GD=Ellen，肿么办现在是我的联想等式
四二,5,2007-08-23 19:50:37,0,Kuso王道。
北北,NaN,2008-08-13 21:34:59,0,2006年的冬天，就那样中毒了……
方東美,5,2015-05-26 19:25:34,0,我在2010-02-13标记为想听。2010年3月在#豆瓣音乐#下载到MP3专辑。
大恬,4,2014-08-14 20:15:38,1,我第一次听的时候，读初二。我不知道什么是摇滚也不知道什么是朋克，我只是觉得好听。
伐要安利坏人呀,2,2006-02-08 20:47:27,0,这主唱和Pete长得有点像，眼圈都像被人揍过一样
12 bunny,5,2007-04-16 13:15:19,0,Punk
tavico,4,2010-01-31 10:47:09,0,7.9/10从可听性来说，这张还不错
雨人,5,2011-03-19 03:47:02,0,有生命的朋克摇滚一直在循环
Meteora,5,2010-08-12 13:57:52,0,AmericanIdiot
JoKe8,4,2007-11-23 13:42:29,0,weakmeupwhenseptemperends
苦杏仁的气味,5,2009-11-11 17:16:48,0,我想哭……
