user_name,star,comment_time,vote,short
丶,5,2011-12-09 22:55:00,49,即使是悲伤，气场也很强大。
UrthónaD'Mors,4,2008-02-21 23:30:33,26,对onerepublic太不公平了
果酱☮,5,2009-02-17 00:52:15,11,apologize!!!
tlmgt,4,2012-09-12 01:32:40,10,我可以说喜欢这首歌只是因为李霄云翻唱过么？
莊小壞,4,2009-09-29 13:22:21,8,4－－－编曲还行。朗朗上口的曲子，但听多两次就有点腻了。
Enhui,4,2010-01-28 02:58:07,0,4星全給Apologize~~
笪笪,3,2015-11-02 23:39:02,1,我一直不是很喜欢这首歌。
三四,5,2008-05-02 12:53:59,1,apologize
不擅长,4,2011-10-16 16:49:43,0,哎哟，这首烂大街的…
ANNXXNA,4,2010-11-20 18:58:08,0,GG
Белка,5,2008-10-30 22:08:22,0,GG里的当时听到就惊艳了！
Seamoon,5,2012-09-16 16:03:07,0,到底是谁写的歌。。。
时以星,4,2008-03-31 20:56:28,0,It'stoolatetoapologize，it'stoolate
poiuny,4,2012-12-06 20:13:27,0,就这样听了timbaland的live...
原獸god,5,2013-12-13 23:59:32,1,Iloveyouwithafirerednowisturningblue.
社畜弄弄子,1,2012-09-15 23:13:28,2,和《一觉睡到国庆节》有异曲同工之妙用，催吐
星尘战场,5,2011-05-08 22:19:21,0,ApologizeByTimbaland杯具的现在有点烂大街了这歌
陌聆,5,2009-12-08 21:08:56,0,你叫我听我当然会说好啦～
洛洛,5,2009-09-21 22:52:06,0,是越听越耐听的那种……
黛二小姐。,5,2009-06-07 18:37:58,0,both。
我在思考人生,3,2012-08-12 20:39:39,0,老子偏要给三分
丢丢,5,2013-02-12 00:33:27,0,老年痴呆的扶墙表示这不过去一直听的么
夏至线,5,2009-03-21 22:15:45,0,抒情的极致~
RIC,1,2010-04-04 08:58:38,0,越听越不耐听
翔樹。,5,2010-04-20 11:38:54,0,最好听之一。
TJ,4,2008-12-09 00:41:05,0,toolate...
