user_name,star,comment_time,vote,short
神威太太,5,2008-05-17 12:23:42,92,一想到JamesBlunt的成名曲是他窝在坦克里写下的就觉得即唯美浪漫又悲怆激情
文泽尔,4,2007-10-24 17:27:44,40,这张几乎每首都爱，最喜欢的是GoodbyeMyLover
韧勉,2,2008-09-10 20:52:33,13,其实除了那两首大俗，其余都是一堆糟泔！
Bill,5,2008-07-14 00:03:47,20,You'reBeautiful一曲惊艳全球很喜欢GoodbyeMyLover每首歌都值得一品
BlackScholes,5,2014-01-06 12:24:56,9,youarebeautiful，goodbyemylover，tearsandrain，billy，cry专辑循环一次哭一次
英恩,5,2010-11-10 10:15:39,2,JamesBlunt可以告诉你，什么是这个世界真实的样子，它不安，动荡，还有恶意。可是我们听着歌的人都会安于自己内心的爱和温暖。这个世界如果因为自己的存在而多一份爱，是一件多么舒坦的事情。
果酱☮,5,2008-12-10 02:38:03,1,虽然You'reBeautilful已经烂大街了，但是看James唱现场还是感觉很不错的。
tlmgt,1,2013-05-25 19:23:07,1,磨磨叽叽
ζωήιδ,4,2008-06-11 10:23:28,3,简直太流行了，流行到婚礼和葬礼用曲都能从他的专辑里解决掉。Urbeautiful=婚礼。Goodbyemylover=葬礼。
TakeItEasyTed,2,2012-11-20 14:08:59,2,来啊继续造，看英国垃圾乐评还能造几个神出来
L I M O,5,2007-01-12 13:27:34,0,再見，我的愛人。
DeerColin,5,2013-10-23 09:32:27,1,JamesBlunt大概也是极少能让我感到颤抖的欧美男歌手了。第一张专辑很经典，为他带来无上光荣，他也值得歌迷去歌颂！
令糊葱,5,2007-12-14 00:54:43,0,还是算英伦好了……
丶,4,2011-12-10 11:26:32,0,其实除了urbeautiful，他还有很多好听的歌。
zard砸得王大崩,5,2006-12-26 00:25:58,0,一夜成名。
猫打喷嚏,5,2010-04-24 20:48:28,0,很棒的！沙哑的声音总是能吸引我
Samuca,5,2010-05-26 23:02:53,0,那一年的goodbyemylover
meiiii,5,2010-11-14 01:33:50,0,youarebeautiful
夏日扬帆,4,2010-08-12 06:41:46,0,独特的嗓音和演唱方式[you'rebeautiful]
火龙果不耐受者,5,2013-11-25 13:10:17,0,非常耐听！
小魔@优雅穿梭,4,2009-12-31 15:58:55,0,这个城市流行歌
Summer孙夏天,5,2011-06-10 17:28:48,0,You'reBeautiful
{ 少爺° },4,2007-09-16 06:39:48,0,2005，goodbyemylover陪我贺岁。
莊小壞,4,2009-03-21 23:02:12,0,3.7－－－泛滥的流行。
Luffyjun,5,2011-05-29 10:53:53,0,《Youarebeautiful》好听啊
大头绿豆,5,2006-03-03 01:44:18,0,打动。
落羽杉,4,2010-05-27 09:08:02,0,很有力量
mosquito惟,5,2010-09-27 13:02:40,0,!!!
娅,1,2010-07-18 13:09:39,0,可以死了
不非否,4,2015-08-29 02:55:43,0,一半很好听一半差一点
神秘金针菇,5,2010-10-25 10:14:55,0,作为军人出身，生活给了他全部的素材，而他运用的实在出色。
和风莫吉托,4,2011-03-10 00:01:34,0,我睡前听人家葬礼上听的音乐
薇羅尼卡,4,2006-06-18 01:11:46,0,还不错，词很好~~
幸福超市总经理,4,2017-12-09 03:24:21,0,听完了英伦新流行天王的卖座专辑，已经3点多，夜色里，猫守护在我旁边，而音乐不止，人生不熄，夜与昼的交替，写满感慨与悲哀……
林里安,5,2006-03-24 20:47:51,0,youarebeautiful，我最喜欢的歌
Syc,5,2009-11-26 13:10:48,0,1、You'reBeautiful2、GoodbyeMyLover3、TearsAndRain
Tatiana,NaN,2008-09-02 13:22:23,0,GoodbyeMyLover
你今日飲咗未,5,2011-01-10 00:01:21,0,他的歌咋都一个调调。。。。。
Белка,5,2009-05-12 12:50:45,1,前两首就决定5星了><Isawyoufaceinacrowdedplace，AndIdon'tknowwhattodo，'CauseI'llneverbewithyou.多年前就爱的一段，终于听完了这整张
Pumpkinhead,3,2011-02-01 02:31:16,0,3.5好声音顺耳太多了就俗
