user_name,star,comment_time,vote,short
麻木粮姜,5,2009-07-06 18:53:21,12,这女娃我喜欢
Kreuzberg,4,2011-01-03 23:39:16,14,我真土鳖，这专辑都没有听过。
阿朴,5,2013-01-09 12:59:00,11,这把嗓真是爱啊
齊克斯尼力佐飛,5,2012-04-14 23:05:07,7,听了5遍了还是不喜欢怎么办！后来再听就很喜欢了。
小敏吃掉小敏,5,2009-03-08 16:10:14,9,几年几年地听
Claire,5,2008-12-16 21:21:56,1,还是觉得她这张专辑最好听。
Song³,4,2007-12-22 19:06:38,3,ComeAwayWithMe/I'veGotToSeeYouAgain/SevenYears
夏日扬帆,4,2011-01-15 07:49:29,2,SOFT的声音，[Don'tknowWhy]
zard砸得王大崩,5,2006-12-20 16:08:42,1,这种调调的东西因为她，我也爱上了。ComeAwayWithMe~Don'tKnowWhy~ColdColdHeartNightingale
猫打喷嚏,5,2010-04-24 20:26:36,0,我听的第一张norahjones
香水瓶,5,2006-04-29 03:24:11,0,很久没听到这么好听的JAZZ了，turnmeon
virgin,5,2009-05-07 10:50:42,0,我有！。。
Enjoy🌈Rachel,5,2012-12-14 11:13:32,0,太好听了
Summer孙夏天,4,2011-07-29 19:56:39,1,PainterSong
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,3,2022-05-02 07:55:31,0,就是从小就不太中的一类jazz味儿
Luffyjun,4,2011-02-16 22:05:55,0,懒懒散散的感觉，很舒服。。
不擅长,5,2010-05-11 10:43:08,0,http://www.xiami.com/album/167862
Pandy,3,2009-11-22 01:20:00,0,coldcoldheart...comeawaywithme?路上听...
eveilebi,5,2011-09-30 23:13:06,0,K430.APE.好喜欢！
猫语猫寻,4,2012-12-04 15:17:58,1,这女人的声音，听多了腻的很，就像吃多了芝士蛋糕一样！
和风莫吉托,5,2011-03-10 00:08:05,0,治愈系，失眠良药
Lolali,5,2008-03-12 21:59:56,2,多年前在雨夜听远走高飞，现在总觉得歌者该是蓝莓之夜里那个最后的顾客多年前在雨夜听远走高飞，现在总觉得歌者该是蓝莓之夜里那个最后的顾客
mon babe,5,2011-02-22 14:54:31,0,果然很适合当背景音乐
奈斯,5,2015-04-23 17:05:23,1,这张可以听无数遍
Memento Mori,4,2009-10-01 15:46:49,0,特别是Lonestar。
Белка,4,2007-09-01 22:51:39,0,有一些很喜欢
haidb,5,2009-04-03 11:04:58,1,感觉和王若琳的音乐有点像，但是更喜欢这个
逅宝,4,2007-08-30 13:17:59,0,又来一个经典的好听之sevenyears
朱朱朱古力♥,4,2010-12-14 00:31:12,0,来我们喝一杯Don'tknowIwhy
艾桑,3,2006-09-22 02:40:10,0,没感觉……
Stella,4,2007-08-31 12:44:45,0,诺拉红起来的时候跟风在网上买了这张唱片，可以听，很舒服，就这样而已。don'tknowwhy这首确实不错...
白牙尖,4,2013-05-28 15:43:00,2,norahjones的歌听着就觉得自己在演爱情电影
五月微蓝,NaN,2007-08-17 15:45:38,1,觉得她的音乐很适合深夜聆听，有种纯净的感觉。而她，也让Jazz开始为越来越多的乐迷接受并喜欢了。
迷鹿,3,2006-03-11 23:12:56,0,说实话我觉得一般
Parachute.cpp,5,2014-09-01 21:41:56,0,这里面都蛮好唱的
Junit,5,2011-12-30 22:51:21,1,高二冬天。。。。。
CRAIGJOJO,4,2014-11-20 16:16:38,0,キャッチ狙いすぎ
程萬萬金,5,2011-03-03 07:37:45,0,Comeawaywithmeinthenight..
ｅｍｏｌａ,NaN,2013-03-15 16:23:31,0,本格爵士
喷农药,3,2010-07-12 23:11:16,0,<Don'tKnowWhy>，<TheLongWayHome>，<ComeAwayWithMe>，<Sunrise>，<Lonestar>，<ThoseSweetWords>，<CarnivalTown>，<ColdColdHeart>.
Theo Lee,5,2007-09-28 15:25:51,0,NarahJones
无梦快乐酣睡者,4,2006-02-14 19:41:33,0,只听不思量
做人呆呆,4,2010-02-07 07:14:44,0,新千年后民谣爵士的佳作，不过远不如独立发展的catpower
≌菩提风花,5,2008-02-16 15:00:24,0,~~
[已注销],3,2010-07-20 12:21:45,0,声音和旋律都不是我的菜……
笪笪,4,2011-04-11 12:29:56,0,搜这张专辑，出来这么多结果啊。
痴人,3,2007-11-24 23:42:45,0,当年的grammy红人。。
baichi0038,5,2014-08-20 11:51:59,0,其实一直对JAZZ不感冒，一直觉得欣赏不来。但是！但是！这张专集从高中听到现在~真是好听到令人泪洒……
c小调的冰蓝,5,2011-01-29 22:27:51,0,贊!
Ｈ·今天·你·Ｈ·了沒？,3,2008-10-14 03:29:53,1,NorahJones-ComeAwaywithMe：第一首Don'tKnowWhy。总让我觉得唱歌的此女子月经迟迟未来所以奋受困扰。。。她家条件太好了，总觉得有点过于捧她了。
家常辣酱,5,2008-12-15 13:55:38,0,comeawaywithme...
豆腐脑敢死队,4,2009-06-20 23:29:50,0,Don'tKnowWhy
公羽木杉,3,2008-07-28 23:02:29,0,没感觉。。
向晚,4,2012-05-27 12:30:18,0,九分虽然我不喜欢诺拉琼斯
北北,5,2012-02-28 05:07:08,0,当年的她吟唱爵士清醇如酒。一首Don'tKnowWhy依然脍炙人口。真是遗憾知道她这么久到今日才听到这最初的成名作。喜欢Lonestar、PainterSong、ComeAwaywithMe、ShoottheMoon、TurnMeOn、TheLongDayisOver。基本上一张专辑都打了小红心。后来她的爵士不知怎的，就怎样都听不进。
黛二小姐。,5,2009-03-25 13:33:32,0,Don'tKnowWhy
KOOK,5,2007-09-06 19:28:32,2,CD上的一句评述是：这是一张值得你反复听24小时的专辑……
饭夫斯基,4,2011-03-02 13:54:03,0,还是更喜欢BillieHoliday味道更纯正
蕉,5,2010-07-30 02:29:43,0,各种夏天碟。
Épiméthée,5,2012-12-28 20:52:15,0,你在这里伫立，宛然成歌。
Eudemonia,3,2009-10-13 10:54:36,0,对爵士的感觉，就好像对桃子的感觉。不甜不酸，不冷不暖。
mikaholic,5,2008-06-01 13:00:40,0,我們也..在耳中揮霍過那么多睡眠在單行課桌之間的距離穿插過那么多字詞陰天與午后晴明或凌晨不小心沉睡與笑
元森可乐,NaN,2010-11-02 18:50:22,0,aqxb6s6i
看到你的文艺我就浑身抽搐,4,2011-09-27 19:04:38,0,原来仙境的音乐都是诺拉琼斯的啊。。。
Arthur,5,2013-03-10 21:02:25,2,就像凉白开，淡然无味，不知不觉间它却让人放松舒服。本来想放空一下大脑，但这专融合爵士民谣乡村蓝调BlahBlah的折中主义相当不简单，我成功地词穷了。还是老老实实无脑一下吧
崮莔☂°,4,2007-09-07 18:01:16,0,很喜歡這種調調……舒服
布安安,4,2010-08-18 16:02:47,1,一张很好的能让你睡前看会书然后在有些低迷沙哑的女声中慢慢沉入梦乡的专辑
"""eMily""┆rehab",5,2007-09-23 16:17:49,0,wonderfulvoice
乌龙大王,5,2015-04-07 07:23:16,0,有点参差不齐
Mthen.,5,2007-08-04 16:20:41,0,买啦买啦!
K,5,2012-09-25 22:50:59,0,啧啧啧~真是太棒了！
五月之星,5,2007-10-10 10:10:43,0,comeawaywithme
托克逊,3,2011-09-01 19:44:50,0,Don'tKnowWhy
Ren77,4,2009-04-12 00:01:54,0,优质女声Jazz。
芥末小馒头,3,2006-09-12 15:54:14,0,听得不太全乎，但是很喜欢~
王小刀,5,2015-07-29 11:06:59,0,高二的时候，同班同学推荐了NorahJones给我。现在回想起来，她的taste还是很别致又成熟的嘛。过去了七八年，如今我们都有自己的宝宝啦。
结球,4,2007-02-28 21:17:31,0,JAZZ
小明灯仁波切,3,2015-07-25 21:13:15,0,《I'veGotToSeeYouAgain》
藤井樹,NaN,2005-12-15 12:57:30,0,远走高飞，我喜欢这个名字。
落雨天地,4,2012-01-16 22:21:11,0,高三
Levi Wern,5,2012-08-17 18:22:30,0,NorahJones的歌声曾经如此饱满，但经历了一次惨痛分手后就只剩生涩和哀怨。
kkkl,NaN,2010-09-03 22:18:48,0,thankstobookstar
psy,5,2008-08-10 13:56:46,0,从这张起买了好几张
静流,3,2010-04-26 22:01:12,0,对她的唱腔和歌真的不感冒呢……
阮免了,5,2009-02-22 13:22:43,0,shootthemoon
西门炀酒林,4,2011-07-19 23:21:50,0,不知为何，那就不知道吧，静静感受。
"Go | 屋内饮酒,门外劝水",NaN,2009-03-08 13:24:48,0,Nightingale
朱大侠。,4,2011-10-01 19:20:33,0,若拉琼斯沙哑而富于磁性的声音让人安静。
容安,4,2010-06-27 16:47:12,1,美人美声。
兰波不是兰博,5,2013-03-02 19:16:41,0,非常非常好听的一张
WWrenLiiiiiii,4,2006-12-18 16:59:14,0,初见
>Out_Of_vOice<,4,2005-11-28 20:29:44,0,给我沧桑浑厚的感觉
花糖,5,2015-04-26 22:43:07,0,女伶爵士。当代爵士杰出代表。
❤  立 夏 。,4,2010-07-14 10:15:05,0,慵懒女声。
Samuel,5,2010-05-09 00:00:35,0,我的最爱
zhenmafan,5,2011-05-18 04:05:53,0,well.也够了，算是名副其实了.
爱地人,5,2010-01-10 17:57:29,0,已豆列。
二手月季,5,2009-12-27 10:18:59,0,记录不见了。。。
人细为善，事工为美,NaN,2007-12-20 02:13:00,0,打动人心的JAZZ
Hi-Fi,3,2008-07-13 09:01:12,0,月光照在我的脸上
