user_name,star,comment_time,vote,short
prayer,5,2015-02-26 16:06:22,577,十首歌拆成十张专辑的主打歌至少会红到2020年……
fake,5,2011-07-03 08:37:39,254,第一张也是空前并绝后的一张。
斯 琰 🌈 🍭,5,2013-06-12 19:31:07,196,一直觉得他们是一支很特别的主流乐团，正是因为他们让我听到了很多不一样的音乐元素。很多人都说他们起点太高而后劲乏力，但我觉得他们认真做音乐的态度以及所呈现出来的作品还是值得肯定的，不能因为第一张太好而抹去他们之后所做出的优秀作品。
tlmgt,5,2011-06-07 00:52:58,128,觉得F.I.R.首专像一张受涩谷系流行影响的台湾乐队的专辑，专辑也做得蛮涩谷感（包括intro采样滨崎步，还有各种世界风拼贴的东西，也符合涩谷专辑的做法）只不过做得非常非常流行。但是不能因为人家做得Pop就忽略了涩谷的影响
慢先森,5,2009-12-30 21:13:15,58,起点太高，无法超越
33迟来_小小岛,5,2010-10-12 14:44:46,73,第一张真的太经典了
zard砸得王大崩,5,2006-12-15 14:37:31,59,一整个夏天的飞儿
喵喵吖,5,2011-08-10 00:15:18,35,这些歌现在听来还是令人惊艳.....不过真的是绝唱
Phigma,5,2014-02-06 00:23:54,26,一直觉得这张是台湾乐坛业界良心啊
肉卷卷又称肉卷,5,2010-05-05 14:50:26,25,为什么都是第一张就是最登峰造极时候呢
BKKKKKKK君,5,2013-07-21 22:13:46,9,一出道起点太高后来再无超越
🍀again 😸,4,2011-09-18 06:54:57,9,可惜胡萝卜太快
vi vi ちゃん,5,2012-08-02 15:50:15,19,没什么说的中学时期的听烂了的磁带。每一首都是主打。
岛上的夏奈,5,2012-11-26 11:27:38,11,F.I.R.最好的一张。
L I M O,5,2008-09-24 19:40:31,7,當初的飛翔。
momo,5,2013-11-17 22:15:41,13,这真是本质的不能再本质的大神专，现在在淋13深渊想回春都难惹
停用豆瓣勿cue,4,2011-11-12 21:31:12,6,「FlyAway」「Lydia」「我们的爱」「你的微笑」「后乐园」「YouMakeMeWantToFallInLove」
MOMO,3,2009-02-28 17:53:33,1,主唱的声音以及整体录音还是欠缺啊
MeetMeinaMaze,5,2013-01-03 19:43:02,4,初中几乎人手一张，此团泯然众人矣的速度太快。
阿朽,4,2008-10-02 21:09:51,0,确实不错的专后面垃圾
棍儿,5,2009-03-13 13:53:11,4,永远忘不了第一次看斗鱼听到Lydia时的震撼
郑宁素,5,2011-05-22 09:27:08,1,这张的确经典
KREJERK,5,2010-05-06 19:37:39,0,键盘用的太过了些--
卢十四,4,2014-06-08 18:49:54,1,太口水了
固力果guriko,5,2010-01-26 13:07:46,1,你们陪我过整个高二
果酱☮,5,2008-12-11 16:18:50,0,这张还是很不错的
Song³,4,2009-06-27 22:00:20,2,Lydia
夏日扬帆,5,2009-08-10 10:25:11,1,那时候的震撼
丶,5,2011-12-01 17:13:33,0,成名专辑。非常赞。
猫打喷嚏,3,2010-04-27 19:42:04,0,不是我的菜
DeerColin,5,2012-11-01 21:45:37,2,整张专辑无一粪曲，也是他们一直无法逾越的经典之作了！
何小刀,5,2012-02-17 22:05:49,0,绝唱。
慕祺海Perkira,5,2013-06-13 13:09:53,3,A94lydia、你的微笑特别感动，光芒、flyAway引人向上，我们的爱更是当年的金曲，第一张专辑太好了，往后的确实让人感觉到一张次于一张。
o0工藤波波0o,5,2010-10-16 01:52:47,0,爱他们的那年无需理由，CD磁带全收@2010-10-1601:52:47
不眠飞行,5,2008-01-24 13:57:15,3,无论旋律还是编曲在华语流行里都算顶级了
小魔@优雅穿梭,4,2010-01-26 14:15:29,0,FIR很有trapnest的范儿
Summer孙夏天,4,2011-01-25 01:13:27,0,个人觉得是F.I.R最好的一张。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2008-08-29 00:53:45,0,听来听去的一张pop。当时。
Topfun,4,2014-04-13 20:30:33,0,初中时很喜欢女主唱
阿萌今天也很饿,5,2011-01-29 18:18:55,0,听见就想起桃子
ｅｍｏｌａ,5,2009-12-13 15:48:03,2,目前所见的华语最顶级的个人风格原创专辑，全新的、个人的、讨巧的、迷人的、大气的风格
莊小壞,4,2011-01-03 00:55:02,0,4－－－第一張。這張挺好。
大橘喵子^ ^,5,2010-05-20 19:01:06,0,那个年代最好的记忆，他们最好的专辑。
○Ⅴ○,5,2010-10-16 13:31:09,0,我喜欢最初的你们。这话我只对FIR说。
Luffyjun,4,2011-02-16 15:29:27,1,还记得班长的彩铃。。
BlackScholes,4,2013-12-17 11:32:39,0,青葱岁月，你的微笑和lydia可没少听。
≌菩提风花,4,2007-06-18 14:33:24,1,恩比较不错
战国客,5,2007-06-27 11:41:50,3,你的微笑&我们的爱
肖浑,3,2017-12-20 12:05:27,0,没心没肺口水歌。
翠西,4,2010-05-02 17:49:34,0,嘛，也还记得听到第一声的那份惊艳
三四,5,2008-08-19 15:58:20,0,最好的FIR
品客,3,2007-08-07 03:44:51,0,soso
豆维,3,2005-10-06 12:31:07,0,这张中很多歌听起来都差不多，不过还是出现了我们的爱之类的不少k歌大热歌曲。
