user_name,star,comment_time,vote,short
丶,4,2011-12-21 22:32:32,186,说实话，她的乡村并不明显。但她就是火，没人知道原因。也许命运到了谁也挡不住。好在他的唱功还算可以，歌曲创作也不赖。我始终觉得这张专辑充满了迪斯尼的青少年风范。
tlmgt,5,2015-08-06 14:15:54,93,FEARLESS＞SPEAKNOW，我买的是改版有加歌和live的版本
影子的影子,3,2010-02-12 13:03:42,83,感觉比第一张好听点，更流行了，第一张里带着的那一点点乡村味这下基本没有了。不明白为什么那么红。
Kreuzberg,2,2011-02-14 09:23:24,44,这定义了什么是shit和cliche，我替你男友感到悲哀。
Hao,4,2010-02-09 17:50:03,30,听起来倒是愉悦，但是作为格莱美年度专辑是不是有点过了？
L+,5,2009-06-12 16:42:17,29,阳光就是这么个声音。
尹嘤嘤,4,2010-02-11 12:56:49,24,蛮好的啊...干嘛有那么多人批评她..--歌好听不就行了
颜良辰,4,2009-09-29 18:50:51,24,你是应该红的！
zard砸得王大崩,4,2008-12-12 23:15:22,22,Taylor，该怎么爱你的真挚和勇敢
十六。,4,2012-09-23 18:12:44,9,fifteen是此张我最喜欢的一首。
TsingSea就是,3,2010-04-14 08:23:27,8,就是乡村配器的pop嘛我怎么觉得很像艾薇儿
bjsn,3,2017-08-26 14:34:32,5,听下来一水儿的“青春密语”可能我老了吧腻的难受
阿朽,2,2009-11-01 09:55:57,4,notmystyle，听着听着以为是艾薇儿
DeerColin,5,2012-11-19 22:51:32,13,"这张专辑乡村风格还算浓郁，""LoveStory""算是Taylor的成名曲了，个人很喜欢，旋律上口，很适合KTV带动气氛！""WhiteHorse""算是让我惊艳的一首，歌词很棒，感动我无数次。""YouBelongWithMe""，""Breathe""也是很成功的歌曲，甜蜜和悲伤"
小魔@优雅穿梭,5,2009-10-07 16:15:22,3,Saveme~Theyaretryingtotellmehowtofeel~~~
L I M O,4,2010-02-01 13:31:19,0,無畏。
加州站街男孩,NaN,2010-02-28 13:48:07,4,中文名【怕个卵】
果酱☮,NaN,2009-08-01 04:27:22,0,http://www.1ting.com/album/3c/album_21908.html
Jonathan,5,2016-11-08 16:18:38,18,又翻出来这张听，就觉得真的是满分的好啊。作为霉霉第二张村专，全球狂卖了900万，拿了当年格莱美年度最佳专辑、最佳乡村专辑、最佳乡村女歌手、年度村歌，成为了最年轻就拿了年专的女歌手。同时这张也是史上获奖最多的乡村专辑。不知道那么多黑霉霉的人居心何在--~
口袋_肥力士,5,2009-02-04 12:06:03,4,吼吼就是喜欢这种乡村女孩～
弓长忄享,3,2012-01-14 14:46:40,4,公交最好的专辑
amiko,5,2010-04-15 13:30:16,3,TheBestDay
徐达多,NaN,2009-11-18 00:05:12,0,婷。以假乱真的艾薇儿
草威,4,2009-02-17 22:19:23,4,没有乡村，只有动听
Showing V1.4.1,5,2013-08-13 22:27:09,7,没有太大亮点不过算是从头听到尾不会想去跳歌的专辑
Luffyjun,5,2012-04-04 11:24:20,4,听了多少遍的经典啊。。
Enjoy🌈Rachel,NaN,2012-11-24 22:20:40,2,其实俺可喜欢Fearless和WhiteHorse颤抖着来听整张专辑最终证明对小镁铝这种洋气的人是不存在专辑这样土鳖的概念的。。。
BlackScholes,3,2012-06-11 02:13:07,1,lovestory，youbelongwithme，ktv必唱
米粒,5,2010-01-15 20:43:09,5,lovestory!!
破产君,5,2009-07-20 11:17:56,2,Fearless/LoveStory
tavico,5,2015-11-26 13:45:16,5,9.3/10同名专辑之后的全面升级，词曲创作、配乐、形象.....Fifteen无愧为专辑里最优秀的歌曲。
椒图,4,2010-05-14 23:43:55,2,KTV金曲啊……
Sophie  Z,3,2010-02-22 15:56:41,3,没有听出乡村味道，身边的男生们貌似很迷她……
𝗯𝗮𝗰𝗸𝟮𝗯𝗹𝗸,5,2009-10-03 15:40:36,1,偶偏爱小众希望下张不继续这么赞（从首张就一直爱她）
不擅长,5,2011-10-16 17:46:57,0,http://www.xiami.com/album/307966
dddddddddd,5,2013-07-19 14:33:39,1,重新回去听这张最开始的专辑，从whitehorse到lovestory.当时觉得live唱成那样的歌手还是算了吧...四年过去了，成了绿茶婊，销量依旧流弊。有才的话就是会发光挡也挡不住。
机动美少年高興,5,2012-05-14 17:50:49,0,countrymusic怎么可能这么带感！这不科学啊！
