user_name,star,comment_time,vote,short
tlmgt,4,2012-11-29 18:37:57,45,神曲效应····觉得全碟没那么神。突然觉得好多以前喜欢的歌手一下子就没那么喜欢了·····好凌乱感觉不会再累了············一直喜欢不起来《空白格》
北漠,5,2008-10-15 12:15:29,48,才女蔡健雅从友善的狗跳到华纳完成了完美转身她是一种代表，代表着石头森林中芸芸白领的那些淡淡的喜悦分离哀愁
香水瓶,5,2008-11-22 14:51:48,34,最喜欢那首当你离开的时候
光年‖影视歌三栖民工,4,2011-08-24 03:35:17,38,达尔文好听
Bill,5,2007-12-04 13:35:49,16,完美诠释了什么叫做『唱作俱佳』略微少了一些上一张碟的惊喜与震撼但仍是体现实力的作品反反复复仔细听下来可以感受到蔡健雅正在不断散发出的独特魅力
停用豆瓣勿cue,4,2016-07-23 23:42:40,4,刚刚找回08年在个人贴吧留下的记录，当年引进时当当网推出了两千套限量版，包括复刻台版DemoCD+海报+《达尔文》吉他弹奏谱+拨片，现在找不到实体图了。当当网的宣传页面居然还没失效→http://static.dangdang.com/music/topic/847_8401.shtml
颜良辰,5,2008-04-14 17:47:53,4,失恋的人，热恋的人，还没有恋爱的人……都可以听的一张专辑。在Demo的时候就很喜欢的三首，经过重新编曲之后，更新打动人心。整个世界开始崩塌了，当你离开的时候。
锐利修蕊,4,2009-10-18 14:42:30,3,当你离开的时候，如果你爱我。
沉默电话,5,2011-08-09 10:05:05,3,Goodbye&Hello、达尔文
Song³,4,2008-09-16 18:18:50,5,第19届金曲奖最佳国语女歌手
L I M O,5,2008-01-01 00:59:13,0,再見。
神探夏洛特二世,NaN,2008-12-13 11:27:53,0,除了达尔文和晨间新闻都不是非常喜欢，一般般吧
李风,4,2012-02-18 02:49:35,0,其实在这一张专辑里蔡健雅的模仿倾向还没有完全表现出来，但是也钻了一些小空子，但是毕竟从制作风格上来讲在华语女声中仍算难得，也相对比较耐听。
猫打喷嚏,5,2010-04-27 19:46:08,1,这妞超有味道，喜欢
Ding,5,2012-08-10 22:02:20,0,空白格
zard砸得王大崩,5,2007-12-21 10:24:29,2,我珍惜的人和歌
ztlpoppy,4,2009-04-18 13:52:35,0,正版碟，买来了之后听了几个晚上哼了几天的达尔文
Claire,4,2007-10-28 19:53:29,0,【空白格】
要早睡啊minami,NaN,2008-04-02 10:33:49,1,只要是她，我便关注
令糊葱,5,2008-03-01 01:19:40,0,大爱。
眼角的花朵,4,2007-12-15 10:31:26,0,喜欢越来越不懂　就是突破不够　还是一直以来的都市调调
不良生,4,2008-06-08 00:09:10,0,城市的伤口。
Rebecca,NaN,2007-10-23 01:20:50,0,好听啊
凹凸代餐,5,2008-07-27 11:38:12,0,Goodbye&Hello
MochaTong,5,2007-12-30 23:47:42,0,近年来少有的首首精良。
英恩,5,2010-12-24 09:26:53,0,非常非常推荐
夏日扬帆,4,2014-06-09 21:53:15,1,这张属于耐听型。高中时候听的TANYA的歌，很多并不来自这张，但是后续被众多歌手翻唱选秀唱过后，发现真的挺耐听的[当你离开的时候，空白格]
YoyoRan,5,2010-04-28 22:29:16,0,空白格达尔文
DeerColin,5,2012-11-17 22:19:13,0,依旧优质好专辑，歌词很有意思，《达尔文》两个版本都很喜欢，《越来越不懂》很有共鸣，最感动《空白格》，《晨间新闻》歌词很有趣！
肥匪廢·老🐰,3,2014-08-08 10:26:20,0,一张没引起太多关注的专辑。
thundercat,5,2007-12-01 12:50:33,0,原来你的青春也不是没伤痕
易召,5,2008-08-12 21:56:20,0,每年都有一张都会女性代言人专辑。前年是SANDY，去年是她。完美如初，所以好评如潮。溢美之辞详见豆瓣所有评论。
Summer孙夏天,4,2011-01-26 10:31:28,0,当你离开的时候
小M,4,2007-10-29 15:51:19,0,喜欢她的嗓音
狮子人,4,2007-11-16 15:01:15,0,悄悄喜欢你。
纨卿,NaN,2007-12-11 11:17:15,1,听她时一定是T-time
伊豆,4,2008-01-17 00:46:07,0,也是以声音征服大家的女歌手，有几首歌听到死都不会腻。
Ridden,4,2008-10-21 10:42:18,0,越来越不懂。
