user_name,star,comment_time,vote,short
▲BOYBOWIE,5,2012-11-07 22:07:36,207,陳綺貞與搖滾扯上關係從這磚開始，民謠電子bossanova雷鬼搖滾香頌晦澀內斂情歌都放在一起並且找到最好的平衡感，個人最愛。直接把陳珊妮等一票裝逼系列女歌手踩在腳底下。
夏日扬帆,4,2014-06-20 18:06:54,33,这张听的还蛮舒服的
Pumpkinhead,5,2008-10-03 16:38:15,22,英式
何小刀,5,2015-04-15 11:20:38,18,最爱原来是这张。
欢乐分裂,5,2009-10-12 09:03:41,15,即使我不再爱她，也仍然是5星啊啊啊。。
V.Dunham,5,2020-02-11 00:24:46,84,它的伟大就在于它的“细致”，挖掘到“恋爱”这个早被写烂的母题在精神世界最微弱的情绪波动，并且是以最自然的文艺口吻。“躺在你的衣柜”是她最重要的作品，将个人体悟投射到世界哲学，具象化了她的骨子里的厌世、脆弱和高傲。
Aragaki,5,2013-11-12 18:50:30,5,每首都很经典
Bill,5,2008-06-01 22:48:51,4,非常优秀的音乐作品演唱上略微有些飘这也是歌者的特点小步舞曲吉他手躺在你的衣柜
soulnleevh,5,2012-12-28 13:05:04,7,每一个MV里的她，头总是那么的大
瓜。相信这个世界很变态。,5,2008-08-07 16:47:19,3,是我最喜爱的一张。
Song³,5,2008-10-07 20:52:45,7,1234567/小步舞曲
L I M O,5,2007-10-01 04:10:52,6,我愛妳我愛妳我用盡所有美好夢想。
zard砸得王大崩,5,2013-12-13 20:43:26,5,我想，这是最贴近我的，最爱的你。
叶子阿姨,5,2008-05-18 11:13:49,12,我最爱的吉他手今天和我视线交错。
DeerColin,5,2013-12-10 20:11:39,13,最近沉浸在陈绮贞的小世界里自拔不得。
poppyxong,5,2008-02-08 12:16:23,3,最愛的一張
锐利修蕊,5,2011-06-19 23:46:33,10,你离开我的时候忘了带走甜蜜的折磨
91.7,4,2008-08-26 17:20:20,4,還是喜歡apractice阿
苏格,NaN,2007-01-08 14:03:36,2,哇哇哇哦~~那时的你
usquebaugh,NaN,2008-06-08 09:14:59,0,爱爱爱。爱。
易召,5,2010-07-11 20:54:03,4,我的冬天，就要来了。
李念河重出江湖,5,2009-06-20 18:05:25,0,是陈绮贞，就是爱！
不万能青年,5,2011-08-24 14:44:21,2,夏天提早出现，汗水湿透白衬衫。
ishine,5,2007-10-30 11:35:39,1,绮贞早期最好听的一张专辑
眠去,4,2007-08-31 13:14:48,1,哈，我亲爱的偏执狂……
Ridden,5,2008-01-05 09:48:18,1,不应该。
○Ⅴ○,4,2010-02-19 23:23:33,1,一个有点儿大大咧咧的陈绮贞。
何必在乎我是谁,5,2008-10-29 12:32:19,5,神专就是每一句话都让你觉得这人才华横溢，绵绵不绝。
豆维,5,2005-10-06 12:27:12,2,在滚石的最后一张作品，用甜蜜的音调唱血腥的故事
星泛长河,5,2008-06-01 13:41:07,4,我最爱的吉他手和我视线交错短短一秒钟
薇羅尼卡,5,2006-04-01 23:54:26,1,不错，歌都很好听~~
すなのしろ,5,2006-05-07 00:03:05,2,我亲爱的偏执狂/太聪明/躺在你的衣柜/小尘埃
謝爾·愛睡覺,5,2007-07-28 15:15:17,0,躺在你的衣柜
新竹,4,2014-08-04 03:30:10,0,那時我們都喜歡小塵埃。
汤之问棘🌈,3,2010-09-07 00:01:51,1,还评九点一分标签贴什么folk些明明是pop脑子是怎么长的
Memento Mori,3,2010-05-08 15:24:18,1,我对陈绮贞的各种不喜欢是从她的声音开始的。
神山樹,5,2011-10-19 00:30:28,0,想起往事我就一阵恶心
Yi,1,2007-05-14 19:58:18,0,这张才应该被人神话其他的没什么
soloye,4,2008-10-18 22:03:48,0,听这样有内容和景色的声音
朱朱朱古力♥,5,2011-04-26 23:36:38,0,小步舞曲太聪明1234567
不如的我的,5,2007-11-02 14:58:18,0,小女生的梦吟
宇宙宝贝,5,2008-08-05 21:52:51,0,我是你的小小groupie
五月微蓝,5,2007-09-06 18:21:13,1,我的Groupies。
镜泉,4,2010-09-21 20:38:02,0,带着灵气的芭乐歌。封面上没心没肺的女孩……阿不，女人。
psy,4,2008-08-22 15:13:59,1,比较有意义的就是躺在你的衣柜了
Lethe。,3,2007-09-22 21:25:14,0,还有多少回忆。
程萬萬金,4,2007-11-11 01:31:36,0,每一句，都在心头，都在脑海。
萌塔 C-137,4,2010-03-31 16:15:00,0,每一天都是新的练习
索总，,4,2019-02-03 19:23:40,0,AsiaPop☞2002
一又,5,2007-10-31 21:58:29,0,我喜欢这张唱片中除却吉他手的一切。
兰 希,4,2012-01-30 19:43:41,3,綺貞，我很想變成你的groupies。你說當世界都腐壞時，還有吉他和音樂在陪著你，就連這個離你很遠的我都覺得是件很幸福的事。
TristanShen,4,2009-06-23 16:28:31,0,3.7
壁鹿,5,2018-11-16 00:10:01,0,最爱的一张，太聪明大概是我的感情自述曲吧。
然,NaN,2009-01-06 16:28:59,0,从这张专辑遇见陈绮贞。开始你的歌我的梦
給料泥棒,5,2011-11-27 22:08:26,0,小步舞曲
Mario.K,NaN,2015-05-09 00:00:56,1,她我只喜欢这一张
kingfish,5,2006-03-23 10:44:03,0,晕眩!!!!
baichi0038,4,2008-01-16 12:48:00,0,买的第一张老师的专辑就是这一张～
巴黎在燃烧✨,4,2006-03-08 12:23:29,1,骨肉皮这张是我认为最好的
ro,5,2009-11-22 15:07:12,0,舒服
大佑,5,2009-01-02 01:12:48,1,5.0學生時代最喜歡她的一張專輯
豆腐脑敢死队,NaN,2009-03-23 11:34:14,0,比较懒散
Papaya,5,2008-09-13 09:42:37,0,躺在你的衣柜很神奇。
抽屉的烦恼,5,2008-07-13 17:24:45,0,陈老师没得说！
伐要安利坏人呀,3,2006-02-26 17:55:10,0,[躺在你的衣柜]挺英式的
tavico,4,2009-04-19 23:48:59,0,我怀念以前的陈绮贞
春风颜色,4,2010-02-06 16:47:44,2,《小塵埃》很經典。我終於知道我爲什麽對陳綺貞的感覺永遠是不溫不火了，我總是在寒冷的冬天或灰色的陰雨天聽她的歌，而她的旋律和聲線又和天氣的感覺相互作用…，绮贞其实是冷冽、自我而犀利的。
Gavin|江湖骗子,5,2010-08-05 15:22:20,0,我最爱的吉他手那天和我视线交错
Rosa,4,2010-08-18 22:02:55,0,小尘埃
吃饱了撑着做俯卧撑,5,2009-01-29 16:10:56,1,太聪明
mikaholic,4,2008-06-24 02:34:27,0,開始變
--三思--,5,2012-07-03 16:03:38,0,太聪明
布安安,5,2009-09-10 08:34:20,0,大2我的一路成长有你的陪伴
Supernova™,4,2011-02-23 01:46:30,0,躺在你的衣櫃
白牙尖,4,2012-10-02 10:42:56,0,太聪明
靡靡菲斯特,3,2011-10-05 23:57:23,0,我在这里手提着沉沉的行李迷失在我和你未完成的旅行
五月之星,5,2007-09-02 16:02:02,0,啦啦啦
小柔♥,5,2009-10-11 20:12:38,0,我最喜欢的一张cheer
臧麦麦,5,2013-04-09 20:24:37,1,以前有个记者问她：“吉他手是写个男友的吗。”“一直以来不都是一个人么。”妈呀淡淡的霸气><
寺嶋裕二没有心,5,2008-05-18 14:12:50,1,但愿我能找到属于我的吉他手。
芥末小馒头,5,2006-12-10 02:00:16,0,高中时最爱的专辑
Chimney,NaN,2009-09-04 11:57:37,0,2002/陈绮贞
贫民窟主-土,4,2015-06-21 10:16:17,0,外面下着大雨，缩在屋里看着书，打开app，发现小清新的歌还真适合在这个时候做BGM。
黑金鱼,5,2006-02-13 02:47:35,0,非常喜欢<小尘埃>
Ziggy 🇵🇸,5,2016-12-08 09:21:44,0,玩了八年豆瓣没有标记过陈老师是什么情况
啟,5,2010-01-19 18:06:58,0,最喜欢的一张陈绮贞唱片，大爱小尘埃
鲨鱼曾给海唱歌,3,2006-04-28 19:40:16,0,清新
WWrenLiiiiiii,NaN,2009-12-05 22:56:59,0,就算全世界与我为敌
玉木大河,5,2019-01-17 13:17:07,0,真的是质量很高的一张专辑了，可能也是顶峰时间的陈绮贞了。
爱地人,5,2009-12-01 01:42:35,0,已豆列。
janes,5,2011-11-10 12:34:19,0,个人比较喜欢这张
"Camellia,S",3,2011-07-05 08:43:32,0,哪来的不应该
花糖,5,2008-11-09 14:56:16,0,最喜欢她这张
张霓,5,2008-06-24 17:35:59,0,最爱这一张。
韩小暖。,NaN,2008-09-12 10:25:06,0,我亲爱的陈老师。
讓-克勞德.浮雲,5,2008-07-02 18:03:15,0,我不想和别人享用，你每一个小动作
zooeyyyyyy,5,2007-08-27 12:02:23,0,最爱的Cheer~~
≈,5,2013-08-20 02:11:29,1,(85)专辑封面是她最美的一张照片。我总是不能把她的民谣创作和摇滚乐联系在一起，尽管这张融合了很多西方元素，但是整体她的音乐人格凸显还是十分具象和明显，摇滚的外衣套上洒脱的内核，她在做摇滚乐的时候一点也不拖沓。
児童症×,5,2009-09-06 21:46:17,0,小步舞曲我踏着你丧失の旋律捡回一些扔掉の记忆
Janis,NaN,2007-04-07 21:35:06,0,送的正版噢～幸福
