user_name,star,comment_time,vote,short
和风莫吉托,5,2011-03-10 00:33:18,32,当年就是这盘磁带让初中的我爱上了摇滚
神秘金针菇,5,2010-11-07 10:20:57,54,最初的狂气与才气。
潜意识,5,2008-03-23 14:40:18,13,最早听LP是01年，不过02年买的这盒引进版磁带是因为多了两首歌，其中就有mydecember
MOMO,4,2008-03-10 18:00:49,5,今天就他了，够黑的
果酱☮,4,2008-12-10 22:01:33,3,那会儿大家都听，实在太红火了。买过CD或卡带。
光年‖影视歌三栖民工,2,2011-08-19 19:45:58,0,不好听
莊小壞,4,2009-04-17 20:25:24,3,4－－－最好的一张吧，听的时候会很爽，声线普通，爆发力不错，但无法感觉延续的后劲，所以不是很耐听。
Hao,4,2011-07-28 21:51:49,1,现在想起来自己高一真够2的……
Anubis,5,2009-08-23 13:30:21,1,回顾一下……不愧是典范……童年记忆涌上心头
banana*🌈,5,2006-03-24 00:44:16,0,喜欢POPROCK的地球人都知道!
muzer,5,2006-08-25 13:16:00,2,伴我度过一段黑暗而不堪回首的高中岁月……
苇间疯,5,2014-03-26 09:35:24,3,"大学时候，寝室4个兄弟发疯似地对窗外喊""ShutUp!""。现在LP变了，我们也变了。恍如隔世。"
陈永仁,4,2010-10-07 22:28:22,1,intheend好听
Ridden,5,2009-02-04 04:38:26,0,InTheEnd。
不擅长,4,2012-11-12 22:11:03,0,http://www.xiami.com/album/168575
殘 藍。,5,2006-06-19 00:47:10,1,INTHEEND我觉得很经典。
Charles Rosen,4,2007-08-24 20:22:07,1,IlikethemsomuchwhenIwasyoung...
海孩等pk14,5,2011-11-30 16:47:50,0,血性
大D,4,2007-04-10 10:20:17,0,惊艳
半吊子社畜阿九,5,2008-01-06 03:07:20,0,20年咯
Knight,4,2010-08-25 13:57:34,1,重金属味道十足。
水果君,5,2009-08-13 17:03:22,1,因为Intheend认识的他们。
命运的深渊,2,2007-02-05 15:03:52,1,HybridTheory是LinkinPark的首张专集，在全球范围内大卖，也奠定了他们的地位。但是我一直都不太喜欢这支乐队，有点像精致可人的甜点，虽然看上去好吃，但是多吃几口就会觉得腻。最让我受不了的就是那个腻腻歪歪的主唱，他的声音已经足够把我逼疯了，其次就是精致得有点可笑的吉他失真，使摇滚乐的颗粒感荡然无存。我更乐意把LinkinPark定位成一支有摇滚色彩的流行乐队，这样的音乐对于那些年轻而时尚的少年男女们比较适合，而对于我这样的已经度过青春期的男人来说，注定是MP3Player里的匆匆过客
丹,4,2006-06-01 23:34:49,0,justfine
索总，,4,2019-02-03 22:15:03,0,UsaRock☞2000
ｅｍｏｌａ,4,2013-01-16 21:59:17,0,InTheEnd
Happy Wiggin,5,2008-10-27 21:45:32,0,对于LP，我真是啥也说不出来了，只有拜倒在他们的电吉他下了><
黏黏雲端,5,2009-11-28 15:50:35,0,启蒙
西部獭仔,5,2011-04-04 22:55:38,0,重要的专辑
Bill,5,2013-03-08 11:41:58,2,原来这才是LP的第一张?一首Papercut足够!
熊猫没彩照,5,2014-06-11 10:18:00,1,高中时候的最爱。
一只麦麦,5,2010-08-09 15:32:52,0,Hypocrisy&paranoid，confusingwhatisreal.
[已注销],5,2011-06-28 14:30:06,0,这个不用多说了...11年前就开始听...HT永远是LP的顶峰之作...木有之一...其实LP刚出来的时候才是爆得最强势的...HT才是最真实的LP>3<
Samuel,5,2006-01-13 01:05:33,0,实在是好，不多说，听了便知
太空少年孙轩宇,5,2008-06-26 10:59:14,0,巨赞！！！
家常辣酱,5,2008-11-04 14:46:14,0,我就是伪摇滚饭。。
阿随向前冲,NaN,2011-08-06 19:10:22,0,开始补习LP啦，哇哈哈。只有《IntheEnd》早有所闻，不过都够好听啦。
aluuuuuuuuuuuu,5,2009-08-29 18:28:38,0,绝对王者
如电。,5,2006-01-23 18:20:39,0,初试啼声之作，但已经很震撼
凛,5,2009-05-23 22:25:47,2,水晶苍蝇斗士……會聽一輩子。而且MyDecember一定是我葬禮時的哀樂。
fake,5,2009-04-26 14:09:10,0,不可复制的经典。。
Meteora,5,2011-07-21 17:55:34,0,HybridTheory
qweerew,4,2012-03-04 22:45:31,0,贱人送的生日礼物
TRUTH CN,5,2008-12-07 19:57:59,0,嗯，每一首都很喜欢~挺耐听，整体听也棒~
Sign,4,2010-07-04 15:44:35,0,哪个傻叉摇青当年没听过LP【4.0】
Supernova™,5,2008-05-13 14:08:27,0,初二的時候買的
Arthur,2,2013-01-06 20:00:15,1,化学的杂化轨道理论解决了有机物、配合物成键问题，生物的杂交理论解决了中国人吃饭问题，这个HT连最基本的旋律问题都没解决，就只普通讲话、扯破嗓子喊、说恐怖悄悄话三种“唱”句，要不是电吉还蛮爽...
Doggze,4,2011-05-29 17:10:32,0,第二张欧美乐
Solidibiza,4,2012-03-23 02:38:22,0,中国青少年启蒙团体
Yoo,4,2008-10-06 00:36:05,0,ＯＹ
阿踢,5,2009-06-14 02:57:56,0,很多歌都陪我走过最艰难的时刻
NATHAN,5,2011-11-27 12:37:07,0,ItriedsohardAndgotsofar
瓦达西瓦又又又桑只爱这巧克力,5,2009-02-10 17:20:41,0,我的linkinpark第一专
cheevo,5,2006-02-28 17:05:48,0,手抖
芥末小馒头,4,2006-05-16 18:38:11,0,听的时候，觉得世界是红色的
Dr.Moth,5,2008-06-06 09:29:27,0,http://ahaahe.zone.gougou.com/category_229.html
Felix,4,2007-12-10 13:58:33,0,linkinparkHybridtheoryrock
咻咻~,4,2009-07-31 17:17:01,0,啊真是很久以前的事了
Chimney,NaN,2009-09-03 23:14:17,0,ＬＰ
chuck,5,2009-11-22 17:23:13,0,跟流星圣殿一个命运...
。,NaN,2007-04-08 01:04:48,0,高中第一次买摇滚
汤之问棘🌈,4,2017-07-23 10:35:23,0,这张当年太流行了。但愿天堂没有此楼盘。
海鹰,5,2010-12-04 20:47:08,0,太给力啦
孙道德,3,2012-06-30 18:48:57,0,对林肯公园一直不感冒。
杜松,5,2009-04-26 10:02:42,0,京文唱片引进版。
疼酱,4,2008-06-27 19:30:17,0,很经典~~
keppel,5,2011-11-28 09:06:15,0,百听不厌
KAKHABERVNA,3,2008-08-12 14:12:42,0,不用脑子就可以听得很高兴
熊生海海蔫蔫地,4,2012-05-22 19:23:21,0,不太喜欢这种带着说唱的风格。。。
放开那个浪味仙,5,2008-06-07 13:33:04,0,Great!
清胧,4,2009-11-12 20:22:10,0,说唱太多。。
兰波不是兰博,3,2014-01-01 16:14:54,0,土
刘小吃,5,2010-08-04 14:05:02,0,loveu4ever
牛肉罐头反对南京汉口路西延工程,5,2008-04-22 13:27:41,0,从那时爱上LP
龙三,5,2018-03-04 12:07:32,1,千禧，扛起革命大旗
)))撞墙小兔(((,NaN,2007-12-07 14:22:57,0,林肯公园
牛花,1,2013-06-06 20:40:01,0,听不下去了
zhenmafan,4,2012-08-27 04:27:12,0,虽然真的好滥...但是公平点，还是值的.
可爱的你,4,2010-06-12 21:58:42,0,如果你还没有听过“令肯公园”乐队的专辑《混合理论》，甚至对这支乐团还一无所知，请问您今年多大？58岁？-----冲着这句话我听了。
Hi-Fi,3,2008-07-02 23:00:52,0,最火的一张
马达[mǎ dá],5,2011-08-14 18:48:57,0,曾经的打球必备。
讓-克勞德.浮雲,5,2008-07-02 22:23:34,0,第一张专辑已经很有实力，也是迅速喜欢上的专辑之一
白鹤派二当家,4,2008-05-12 13:11:30,1,一直有人说我和主唱长得很像～～
Rovie,NaN,2007-10-23 13:11:21,0,放置太久没听了
林 寶兒,4,2009-03-13 11:29:11,0,早期`````我也知道为什么是那张才开始出名了
張懌潯,NaN,2009-03-18 14:35:56,0,最最爱
Sancruz,5,2011-05-23 19:38:11,0,经典，基本上每首歌都很不错
毛栗老弟弟,5,2007-11-09 21:34:02,0,LP的第一张专辑，让我耳目一新。为什么我买的碟是两张？
Mercury Tears,5,2012-07-24 13:40:18,0,最早最早听LINKIN也是别人推荐
deer in?,5,2015-05-04 13:34:05,0,当年拿了同学磁带来听听到一半觉得吵死了就没在听下去世事总是难以预料谁曾想后来我会那么仔细的听完LP的每一首歌呢我可以给十星么
独行侠杀手阿何,5,2012-10-27 01:29:46,1,这才是金属好不！
#瞬间收藏家#,4,2009-06-13 15:15:33,0,InTheEnd！
zyyis,NaN,2008-06-24 12:52:13,0,狠。。。
yourstepmom,4,2012-02-21 17:53:57,0,初中哎╮(╯▽╰)╭
皮皮兔,3,2012-05-12 04:03:24,0,曲子都喜欢，关键是vocal一进来我就想死...vocal惟一听得下去的就是最后一首了...
佐伊舟,5,2006-08-14 16:22:49,0,再加五颗星！
莫,5,2011-08-14 17:43:09,0,啊啊啊啊啊。我实在不想说我有多么喜欢这张专辑了。
burglaryod,5,2013-01-04 17:00:39,0,最喜欢intheend，从高中一直喜欢到现在……
喝豆乳也没用,5,2009-08-26 10:36:42,0,最喜欢这个~~~
