user_name,star,comment_time,vote,short
Bill,5,2009-05-02 13:03:53,172,整体质量超一流上乘沙龙于心有愧
潋 | Béatrice,4,2013-04-16 11:55:46,157,音乐性高，流行性低。
莫呼洛迦-屁股上的青春在歌唱,4,2009-04-13 00:18:12,33,很TVB，但是很好听。
光年‖影视歌三栖民工,4,2010-04-22 14:25:29,42,不喜欢盲从。但是静静听了之后，我真的觉得好。
Song³,5,2009-03-27 20:48:32,14,新艺宝。//喜欢《今天只做一件事》，《沙龙》以照相来比喻爱情快来的爱情不靠谱快去也难免一句即影即有售罄菲林都已拆走但是冲动用完又再有每一次感情来得快去得也快我以为感情已经耗尽但是冲动用完又再有
饥饿艺术家,4,2009-03-29 16:35:43,2,同之前都差唔多。。
tlmgt,3,2013-08-02 21:46:34,6,没怎么认真听过这张。唱得真好，封面真好，可惜大部分歌我都不喜欢。有些喜欢也只是喜欢一首歌的一部分，比如《今天只做一件事》《一个旅人》《七百年后》。《沙龙》原来是他自己作曲的，厉害。
停用豆瓣勿cue,4,2012-02-12 02:47:21,4,「今天只做一件事」「太阳照常升起」「于心有愧」
锐利修蕊,4,2010-12-11 14:03:58,4,对你有愧，愧对于你。
zard砸得王大崩,5,2009-05-04 23:12:57,5,音乐有点看开了的感觉。算是在商业和喜好上找到了平衡。爱于心有愧和沙龙。分属林sir和y生的气质
PabloHoney,4,2009-03-28 00:02:29,1,最喜欢第一首歌了！
三层保暖,4,2009-11-22 19:34:50,1,沙龙
吴嘎嘎,3,2009-03-28 20:08:53,0,没感觉
33迟来_小小岛,3,2013-12-24 15:55:04,1,我算是发现我不怎么喜欢陈奕迅
L I M O,5,2009-06-02 17:12:47,0,今天只送給你。
半袖,2,2009-10-07 14:39:24,3,《一个旅人》
L+,4,2009-03-23 19:31:37,0,额
瓜。相信这个世界很变态。,4,2009-03-27 00:16:06,0,渐入佳境。
長閑,5,2009-05-31 17:58:21,4,蔷薇将春光，如一的给了最细致的味。茫茫人海，或有几多漂泊与淹盖。
StevenTong,3,2009-04-09 18:48:33,0,自己鬥自己，贏咗情義，輸咗内涵。
Hao,5,2009-04-27 13:10:26,1,封面和风格至今想不到一起。
Margo,5,2009-03-25 22:17:29,1,因為你是陳奕迅...這一張在如今流行音樂界不只是够了，而且是太超過了
猫打喷嚏,3,2010-04-27 19:44:20,0,流行天王我咋就喜欢不起来。。
香水瓶,5,2009-03-26 14:01:51,0,于心有愧
苏格,4,2009-03-23 12:19:04,0,柳重言，周耀辉，C.Y.kong，林夕，黄伟文……依旧和eason一起做着可信赖的流行乐
Nuage☁,5,2009-03-23 19:18:34,0,于心有愧
