user_name,star,comment_time,vote,short
Bill,5,2011-04-20 04:21:23,9,谢谢陪伴。
psycho DC,5,2011-10-07 17:25:26,8,男巫！！
夏日扬帆,5,2010-02-16 09:07:12,4,完美的
1806,5,2011-05-06 17:24:57,8,打二星的是傻X
tlmgt,5,2012-04-07 02:16:16,4,~~~~^^
鸭酱,4,2010-05-02 18:53:51,4,我发现我英语听力真是差的可以。。。看歌词儿才发现跟我听得不是一玩意儿。。
Song³,5,2010-07-14 09:59:15,0,http://v.youku.com/v_show/id_XMTY2MDAzNjY0.html
○Ⅴ○,3,2010-04-27 19:50:03,2,作为高分EP..对这张挺无感的
丶,5,2011-12-21 22:41:22,0,如果你喜欢这种害羞大男孩嘻嘻呵呵对你唱着情歌的感觉，一定不要做过这首歌。
猫打喷嚏,4,2010-04-26 13:54:28,0,民谣，耐听
Samuca,NaN,2010-05-26 23:04:05,0,封面是我的屏保。
mosquito惟,3,2010-07-11 20:17:41,1,都快满分了，这叫个什么儿事儿啊
肥匪廢·老🐰,5,2009-12-08 09:57:32,0,男巫……
刘小黛,5,2009-11-25 17:46:10,0,之前巨爱阿~
莊小壞,5,2010-01-17 18:38:54,0,5－－－超级好听。
眠去,NaN,2009-10-23 11:31:45,0,d@thailand
Luffyjun,5,2013-09-15 20:32:22,0,single。有人用吉他清唱，有人翻唱成爵士，总之是JM的神曲
大头绿豆,4,2011-06-12 13:52:38,0,简单。清楚。
Hey Johnny,NaN,2012-01-14 11:10:16,0,唱歌的嘴还真不是一般的歪
不擅长,5,2011-03-01 20:01:33,0,http://www.xiami.com/album/427606
Bartholomew,2,2011-06-09 20:43:27,0,好听个鸡毛
亞麻君,5,2009-08-26 21:14:37,0,很喜欢这首歌...
Yome,5,2010-03-28 20:31:47,0,最喜欢JASON的一首
Tatiana,5,2009-08-20 23:41:06,0,i'myours
就叫我陳先生,NaN,2010-04-27 20:14:54,0,en...
米粒,5,2010-03-26 14:07:01,2,太好听
莉莉🦁,5,2011-06-25 12:20:12,0,Thisisourfate，I’myours
zk,3,2012-04-04 09:52:20,0,吟唱
兜里个兜,5,2011-08-10 13:44:39,0,favorite~
喷农药,5,2010-10-22 09:24:46,0,<I'mYours>.
pulp croc,5,2011-05-08 09:33:30,0,太好听啦！
某水,5,2010-05-17 09:07:37,0,alltimefavorite!!
拦.....拦住Ta,5,2011-03-04 14:03:59,0,更爱radio版
猛汉世雄,3,2010-02-06 13:34:04,0,民谣食屎吧
aluuuuuuuuuuuu,5,2009-07-30 00:41:43,0,oneofmyfavouite
黛二小姐。,3,2009-05-25 17:03:35,0,难道我是另类？
菲以,5,2009-06-16 15:55:33,0,JASON又出现啦！这首歌还被PCHY翻唱，真是满足我一颗花痴的小心啊~
Gavin|江湖骗子,5,2010-02-20 21:37:57,0,Wooooooooooonderful~
凛,5,2009-08-04 21:59:49,0,I'myours，butyou'renotmine.
大兒童,NaN,2008-11-18 22:19:18,0,又是我喜欢的
0405|Love&Life,5,2010-08-29 20:10:25,0,就是这个版本，我最爱的这个版本。
