user_name,star,comment_time,vote,short
九份的咖啡店,5,2008-02-14 13:22:22,12,Neverknow。吉他吉他吉他。
UrthónaD'Mors,5,2007-08-25 17:32:06,0,挺温暖
L I M O,5,2008-04-13 03:04:48,0,夢夢間。
果酱☮,4,2008-12-09 23:15:05,1,封面
Kreuzberg,4,2011-07-05 09:08:29,0,不是我的菜
不流ᝰ,3,2009-05-13 22:55:12,0,不爱，絮叨。
光年‖影视歌三栖民工,4,2010-12-10 13:22:59,1,GoodPeople出处
不擅长,5,2010-06-16 10:32:07,1,http://www.xiami.com/album/168530
徐达多,5,2009-02-12 00:41:40,0,DoYouRemember?
zard砸得王大崩,5,2006-12-20 17:00:56,0,我多喜欢你，几乎一听就爱上。
鹿依尘,5,2012-07-09 18:38:27,0,夏天的歌
英恩,4,2010-12-17 19:11:37,0,抱着吉他的夏天的感觉。可以轻吟的歌。最爱的是GoodPeople，还是因为歌词。
基一凹,4,2013-02-27 09:50:19,0,可爱的岛的轻松一派
夏日扬帆,5,2012-05-06 22:08:45,0,想不爱都难吧！！！！！那个性感的尾音，那个随意的唱腔！sowonderful![neverknow、bettertogether]
shu,5,2008-04-27 14:24:34,0,对他的声音一点抵抗力都没有。很好，这个夏天，要和他一起度过。
起名困难户,4,2013-08-28 22:39:04,0,果然听的入耳的还是bettertogether大众口味无异√
Summer孙夏天,5,2011-06-10 19:02:39,1,整张。
神威太太,5,2008-05-09 13:36:28,0,流泪推荐！！！
柠檬 -w-,5,2010-12-19 06:27:57,0,就让我最后再少女一次吧……
进宝,5,2012-09-05 14:43:28,0,翻来覆去整专辑都听烂了也舍不得删掉
阿萌今天也很饿,5,2011-05-07 09:33:38,0,吉他，送给夏天的礼物。
小M,5,2008-04-04 18:55:55,0,就好象在海边一样最舒服的海风
佐罗大王🌸,5,2011-01-12 15:36:56,0,想到某之
眠去,4,2008-02-05 13:41:19,0,DoYouRemember
Ridden,5,2008-05-26 12:37:29,0,Sitting，Waiting，Wishing。BetterTogether。NeverKnow。
飞老湿,4,2013-04-19 11:18:16,0,每次不小心跳出来，都会让人心情舒畅。
Luffyjun,5,2012-05-17 23:01:57,0,这男娃真有激情好能折腾。。。。音乐(^_^)不错~~晚安，晚安~
鹿鹿子(>^ω^<),NaN,2010-05-18 08:43:05,0,http://www.rayfile.com/files/80c2128c-2fd0-11de-a329-0014221b798a/
evan是幻想家,5,2010-11-09 19:26:00,0,今天在某同学空间听到他的某首歌，发现原来我并不孤单。。。
豆友35496190,5,2012-12-25 16:59:21,1,高中回忆扑面而来了QAQ【听着这张专辑在济南大画室边哭边画画
Sophie  Z,5,2011-04-22 00:49:07,0,原来是你。。。
Karonen,5,2009-09-29 20:04:09,0,当时看到封面就买了，感谢豆瓣让我从箱底又一次翻出来。
eveilebi,5,2011-05-31 01:54:46,0,每一首都很好听呐
咖喱娜,5,2011-01-06 13:28:33,0,职业冲浪选手腻味滑板了跑去拍电影，现在又改行唱歌，还唱得这么好。啊啊啊啊啊！尊羡慕~
韬,5,2012-02-27 14:55:27,0,心情郁闷就听听他的歌吧，轻轻的吉他，大海般柔软朴实的声音，总会让你心旷神怡，忘记烦恼吧。
亞麻君,4,2011-07-01 13:30:12,0,一张头重脚轻的专辑
和风莫吉托,5,2011-03-09 23:46:32,0,他最棒的一张
薇羅尼卡,5,2006-08-12 19:06:06,0,很喜欢，心情也变得舒缓起来
胸毛,5,2012-06-02 16:04:29,0,午后调剂
小氢弹,4,2008-01-20 13:52:03,0,听多了也就那样。
猫语猫寻,5,2014-02-17 15:27:47,0,唉呀，好甜美！！甜死我了！！
mon babe,4,2011-05-11 09:43:53,0,这确实是夏天的声音，夏天的调调。可是，也只是适合去年初夏。那时候我觉得生活还可以更美的。而现在，我全无幸福感，只是在一种茫然的心态下被夏天了。
鱼秋刀刀刀,5,2012-05-23 20:55:32,0,betterbetogether
twotwo,5,2014-03-20 18:44:11,0,★★★★★★★★★★
Seamoon,5,2011-09-11 21:41:29,0,超过2万人评价，依然能在豆瓣上获得超过9.0的平均分，这张专辑是个BUG呀！
安蓝·怪伯爵𓆝𓆟𓆜,4,2009-10-09 19:49:08,0,NeverKnow
逅宝,4,2008-08-02 11:35:59,0,upsidedown
阿Gin波尔迪,5,2010-06-14 17:30:30,0,好听
小隐隐于浆糊,5,2008-06-25 22:33:53,0,goodpeople和sitting@#%￥……两首特别喜欢
不如的我的,5,2006-08-09 13:26:46,0,午后的一阵凉风
迪,5,2010-12-20 12:31:52,0,！！！！！！
godeau,4,2010-03-14 12:24:36,0,JJ
艾桑,3,2011-04-19 13:58:55,0,在插电的中间听点做调剂很好
大米,4,2010-04-20 15:35:33,0,有爱的碟，自由的声音
LORENZO 洛伦佐,5,2011-03-16 21:18:14,0,这是最好听的民谣歌曲了，这张砖也是JackJohnson最好听的一张。BetterTogether，DoYouRemember，NeverKnow，SittingWaitingWishing，CryingShame等都很好听。
驎樨,5,2010-12-11 14:03:18,0,五星力荐。适合闲着的时候听听，放松心情。
A R I A。,5,2009-03-09 10:04:13,0,highschoolmemories
三言,5,2010-01-03 21:17:53,0,大学买的第一本正版CD专辑
复活节彩蛋,2,2007-08-23 16:14:10,0,不合口味
🔥🪵,4,2006-07-27 19:41:23,0,很棒！我很喜歡他！
兔娘,5,2010-09-21 22:01:54,0,bananapancake
温故知新,5,2010-02-27 15:12:09,0,好久没給五星了。。。
魏几几,4,2011-01-12 19:11:09,0,忘却低烧不断的痛苦。
Sputnik,4,2013-07-03 11:36:55,0,好棒~summervigor
ｅｍｏｌａ,4,2009-12-13 15:44:34,0,很不错的folk，只是就个人口味而言有些太中调了……
爱罗武勇,NaN,2011-02-14 05:58:34,0,DoYouRemember，BetterTogether
TristanShen,4,2009-04-17 19:21:52,0,3.8
≌菩提风花,5,2007-06-22 16:08:22,0,不经意间发现的美丽宝石!太好听了!!
陌聆,5,2011-05-22 09:10:51,0,NeverKnow
豆友1144637,5,2014-03-15 22:15:38,0,少见的全都赞~！
彌張,5,2013-02-25 01:21:40,0,beach~
打破,5,2010-05-26 18:17:34,0,沙滩男真有才啊！好喜欢！
🌟亚树🌟,5,2006-10-10 09:27:11,0,GoodPeopleNeverKnowDoYouRememberSitting，Waiting，WishingBetterTogether
nownow,5,2006-03-07 00:54:48,0,我爱的
靠谱青年™🌈,5,2012-11-25 16:16:54,0,来自偶像推荐
Bill,3,2013-12-03 14:03:28,0,浓浓的太平洋味道
姽嫿ღ,4,2008-07-08 14:31:43,0,声音跟人一样阳光。
Jesse,5,2013-01-12 22:30:47,0,心情缓冲剂
太空少年孙轩宇,5,2008-07-02 17:51:26,0,冲浪天才唱歌也一样牛
小草,5,2012-03-25 01:33:18,0,alwaysbettertogether
得我艳与天齐,5,2009-02-19 01:04:35,0,好听好听我喜欢
OnJel.,5,2007-10-04 20:13:09,0,惊艳==
大佑,3,2010-02-02 18:24:58,0,挺舒服的~常在TOSHI的店裡聽~
Papaya,5,2006-12-09 20:53:48,0,听他的歌有一种非常非常矛盾的感觉，好像他只唱给我听，为我而唱；又好像他只唱给自己，无所谓有没有听众。
小熊猫,4,2007-04-28 18:53:06,0,inbetweendreams。
卡羚,5,2009-10-17 20:57:41,0,生在夏威夷，长在蓝天下。冲浪摔断牙，成了作曲家。
饭夫斯基,5,2009-11-15 13:58:59,0,我还是挺喜欢民谣的
Gavin|江湖骗子,5,2010-02-22 01:36:55,0,够我听一辈子
aqua||。。。,4,2008-07-10 22:36:08,0,夏威夷风情~~~
hotdogyer,4,2010-11-03 16:41:06,0,绝对可以一直听一直听，我一直RE着BetterTogether和breakdown。不会腻味。
忏悔的仪表盘,5,2011-07-05 10:18:39,0,BetterTogether，还记得这歌不啊？以前就是专门给你做彩铃的。
Ziyue,5,2012-04-29 15:13:30,0,很好听
愤怒的面面酱,5,2011-03-15 18:01:37,0,某人推荐给我的~
Lolali,5,2010-08-19 10:41:46,0,嗯，好明快好闲散的
咪,5,2009-12-28 14:06:06,0,好喜欢
崮莔☂°,4,2008-01-03 18:56:50,0,超愛吉他彈奏
昵称已被占用,5,2008-01-27 01:29:18,0,jj..你别唱了吧..怎么停的下来..
K,5,2013-07-03 22:37:57,0,夏天听真的好赞！等等我去找AAC！
A君,5,2010-07-20 22:46:08,0,第二首
Doggze,5,2011-11-29 23:22:54,0,我爱不完
