user_name,star,comment_time,vote,short
o0工藤波波0o,5,2010-07-03 12:14:48,556,周杰伦已经不再是那个周杰伦，这张CD曾以120大洋的高价收来，至今仍未开封@2010-07-0312:14:48
黏黏雲端,5,2015-07-16 01:58:50,453,简直前卫！前卫到儿时的我需要强迫自己自己接受它！当时哪个歌手会把自己名字在歌里反复唱一段当水印啊！还有印第安老斑鸠那他妈什么歌词啊当时谁敢这样写歌词的？？还有谁敢像娘子那样叽里咕噜地念叨啊？？反方向的钟！这首歌虽然我唱不上去但是KTV必点！
UrthónaD'Mors,NaN,2009-11-13 16:32:25,335,经常把周杰伦叫gay==
令糊葱,5,2008-10-12 11:57:23,295,永远的经典，每首都经典。
锐利修蕊,5,2014-03-22 23:21:56,203,金曲奖从来没有亏欠周杰伦，第一张就给过最佳专辑，也是金曲奖独具慧眼。
郑宁素,5,2011-05-18 20:52:03,109,跨时代的一张专辑
Song³,5,2007-12-05 22:54:32,77,第一张真是百听不厌。龙卷风/黑色幽默/可爱女人/星晴
L I M O,5,2010-07-22 15:25:49,64,周杰倫。
DreamReaver,5,2017-05-17 08:46:14,54,满溢全砖的鬼马细节和灵气设计，加上无敌的旋律，即使制作还粗糙，但已经能感受到挡都挡不住的巨大能量。一直好奇他的灵气的根基在哪里，为什么上来就能hold住这么多曲风？
城南草木生,5,2007-12-16 19:35:02,31,第一次让人惊艳，也是最后一次。当时听了无数遍这张唱片
Panda的影音,5,2012-10-07 21:10:11,11,「周杰伦」应该是我的朋友中「共同喜欢的人」最多的歌手了，然后，听他的歌会让我想起他们：舍友黄、表姐谢、阿嬷刘……-2017.11.02
Bill,5,2007-03-22 23:29:32,38,黑色幽默星情龙卷风反方向的钟其他真的尚可造就了一个音乐人的非凡时代
果酱☮,5,2008-12-27 18:12:37,26,最初的也是最经典的一张
Boron_Phage,5,2017-07-25 22:38:09,13,A丰满的人格，动听的旋律，精细的歌词，优秀的制作。对华语乐坛的意义是重大的。都好听，都喜欢，俗气的我最喜欢《星晴》。
石湃溪,5,2018-03-09 20:40:14,12,台湾流行乐最棒的一专之一。（和《陶喆同名专辑》《孙燕姿同名专辑》《苏打绿同名专辑》一起。）
不万能青年,5,2011-08-24 14:34:51,45,泪水鲜红，全面放纵，所有回忆对着我进攻。
口袋_肥力士,5,2014-03-13 22:29:55,25,龙卷风的歌词真是，幼小时听不出稍微大点就觉得歌词赞到不行，写词的是徐若瑄嘛
发条橙,5,2008-07-10 09:12:45,27,那时的jay无比强大。
苏格,NaN,2007-01-16 15:48:49,32,那时的你想过低调下去么
北漠,5,2007-04-21 03:01:44,18,他的第一张专辑那时候的他不为人知怀念那些载录在这张专辑中的岁月
蕉,NaN,2013-12-09 22:27:35,8,好吧，就是刚出道怎么个屌丝都好，这些都挺好听的，起码挺真诚，就算按鼓机也按出点花头来了
猫打喷嚏,5,2010-04-26 14:10:10,16,小周的第一张专辑非常耐听
丶,5,2012-09-01 13:40:30,14,最好的周杰伦。
韧勉,5,2008-11-14 12:47:00,13,台湾首版感觉就是不一样！
撒旦的表妹,5,2016-10-30 22:46:43,10,我的中学记忆，少有的直到现在我还能跟着唱的专辑。
madmozart,5,2009-08-06 14:19:53,10,初中把磁带听烂了.....
远子,4,2015-09-11 16:24:57,12,印第安老斑鸠
blbsunny她没准,5,2013-08-05 00:56:43,8,那一年还没发现自己在心里偷偷喜欢一个人
伊豆,5,2009-08-30 22:25:13,6,龙卷风是第一次认识jay，那个jay也再也回不来了。
蘼迷猫,5,2011-09-21 11:09:18,9,4.5星，GAYCHOU那时候的音乐没说的，前两张之于华语乐坛都是石破天惊的意义
豆友36396401,5,2011-06-26 07:56:42,8,跨时代的专辑他带着这张处女座开启了华语乐坛的新时代直到现在都没有再出现一个能和他相比的天才看看他早期这些专辑的曲目表从头到尾几乎首首都是大家耳熟能详的经典这样的人除了他还有别人吗不过话说回来那时候的唱功真是不敢恭维一直希望他能把早期这些歌重录一遍
神秘金针菇,5,2010-09-17 14:55:54,19,如今越听越是伤心，曾经他的歌是何等的完美啊……
莊小壞,2,2009-06-19 14:34:39,6,2－－－我几乎找不到我喜欢的任何一首。
DeerColin,5,2012-11-16 16:03:02,7,首张专辑就展现出出众的才华和独特的个性。专辑里面的每首歌都别有味道，更是承载了我们年少时期多少的美好回忆！
猛汉世雄,5,2009-08-27 17:30:13,10,就算现在看来这张专辑也很赞
banana*🌈,5,2006-03-24 00:59:03,4,最初的JAY
Hao,5,2008-08-02 22:04:01,1,Avant-garde!!
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2008-08-29 00:12:54,8,最开始的总是最好的。。
南 瓜 子,5,2009-04-13 21:11:23,8,我想说这是他第一张专集也是最后一张专集.只喜欢2003年以前的他
佐罗大王🌸,5,2011-07-04 14:31:00,2,这张是真好。
破破,5,2021-05-25 00:22:07,39,这张必须要重评一遍在世纪之交才华横溢且还完全没被00s世界流行乐逐渐兴起的廉价美学所影响的周杰伦的debut他最实验最有意思的一张专辑除了「黑色幽默」（钢琴+弦乐+唱功炫技）以外其他所有歌的制作思路都太“生猛”了如果你像我一样听的歌多了点儿再去重听又第一次注意到通常被视作ballad的三首歌里「可爱女人」的New-Age取向和干燥鼓机之间无时无刻不在对撞「星晴」在间奏中以混音手段“模拟”出的双吉他配置「龙卷风」背景音里正弦波的隐秘跳跃你说不定跟我一样都要疯了更不用说剩下几首歌里已然溢出来的编曲亮点光「斗牛」那碎拍+Microsound的思路就够我跪一天的说国内其他专辑划时代我都有点儿微词但这张真的挑都没得挑甚至真正意义上超越了时代
南,5,2012-12-18 11:28:48,1,我竟然沒有收藏過這張？！
哈默林騎士,NaN,2007-03-31 15:21:05,1,早期的JAY虫子似的还算低调后来就免了
XB,5,2010-02-09 21:29:08,3,第一张太经典。最喜欢斗牛~
evan是幻想家,5,2012-04-05 17:10:04,4,小卷毛的经典
熊猫没彩照,5,2015-09-08 15:22:19,0,中学记忆。
张恩勾,4,2006-06-09 09:05:16,3,台版200元人民币，我还是买了个内地版。个人认为这是Jay最好的一张专辑！！
○Ⅴ○,5,2010-12-04 19:16:01,1,伊斯坦堡+反方向的钟+星晴+龙卷风+娘子+可爱女人
KeneL裤头,5,2007-05-31 13:07:49,4,你不得不承认前两张的完美
Luffyjun,4,2011-02-16 13:52:52,2,是金子早晚会发光。。
萨嘎摩多熊猫桑,5,2010-04-23 10:48:28,0,记录一张吧，不知道家里碟还在不
杨山魈,5,2010-06-25 21:07:01,9,撕心裂肺的诚意再也买不到了
赞成的巨兽,5,2012-03-16 23:03:40,5,用他常说的话就是，屌爆了！回味惊艳的第一张！像周杰伦这样一张接一张冲击华语流行乐坛的，真的很少见啊！
