user_name,star,comment_time,vote,short
Song³,4,2009-12-29 16:54:01,51,“会唱歌的张爱玲”
岛上的夏奈,4,2010-12-02 15:41:54,2,MaybeSomeOtherTime果然是神曲！！！！！
Bill,4,2009-01-29 23:54:39,6,要不是有自己的创作这张只好算是重复自我的一半水准作品了一招鲜吃遍天的时代已经过去了背景音乐专辑也已经数量足够了市场前景不错但也经不起糟蹋和浪费
Dyingpluto,4,2008-12-21 12:42:53,0,比上次成熟大气
颜良辰,5,2008-12-26 17:34:20,2,我不得不说太棒了。
PabloHoney,3,2009-08-27 14:25:49,0,这个声音怎么听起来就别扭呢
齊克斯尼力佐飛,4,2011-08-12 00:33:04,1,你歌再多一点咯，听一张碟要听两个钟才能听完一遍！
三层保暖,5,2009-07-03 22:18:52,0,听说你不唱了……
范困,NaN,2008-12-25 13:54:27,0,太棒了
KREJERK,NaN,2011-01-11 13:09:51,0,这张技巧多多了
L I M O,4,2009-01-18 21:05:41,0,聽歌寫歌。
Kreuzberg,3,2009-06-25 20:41:58,0,不过如此。我喜欢她的态度
瓜。相信这个世界很变态。,3,2009-01-18 23:44:47,0,失望。
Claire,4,2009-01-28 18:10:32,0,【Vincent】【We'veOnlyJustBegun】
筱晗,3,2010-03-20 14:31:18,0,比第一张真的是差远了
锐利修蕊,3,2020-12-04 19:40:18,1,早期真的是碗大量多，曲库小贴士，还好后期有了创作人格，不然真的不好。
Yi,1,2009-01-17 15:58:52,1,真他妈难听侮辱爵士乐么
丶,3,2011-11-08 17:01:17,0,声音有余，其他东风。在一个雨后居然也能听的无感，可见一斑。
香水瓶,4,2009-03-25 14:56:43,1,很适合咖啡馆的午后
zard砸得王大崩,4,2009-02-07 22:49:57,0,jazz的情感散发不均。但并不妨碍这成为好听的专辑
猫打喷嚏,3,2010-04-27 19:53:25,0,觉得怎么有点像norahjones..
Sophie  Z,5,2010-01-06 00:09:37,1,每次听Joanna唱Vincent，心理总是一阵阵地抽痛。
人淡如菊。无奈,NaN,2009-01-17 13:37:07,0,为什么这么多给标签JAZZ明明是POP。如果第三张还这样就歇菜了！
捞,3,2009-04-08 16:13:32,0,喜欢她的live。专辑可以少听则少听。
夏日扬帆,4,2009-11-24 13:36:23,0,JAZZ真的带劲
ladybird,5,2009-01-05 17:32:49,0,We'veonlyjustbegun很赞
usquebaugh,4,2009-02-17 16:33:37,0,保持水准，些些俏皮些些低沉
尉迟,4,2009-02-08 15:07:16,0,Onewholeday，foryou。
banana*🌈,3,2009-03-15 11:21:14,0,還素英文比中文強..
Summer孙夏天,3,2011-08-04 17:27:38,0,Tikiville
小M,4,2009-01-23 15:47:13,0,还是不错的她的文森特别有滋味！
Kiki,3,2008-12-23 17:43:41,0,预购礼还打了四星，因为We'veOnlyJustBegun，但整张专辑出来后只能给三星，中文歌太寒了。
mee,4,2009-03-19 22:44:45,0,其实我觉得也就是还行。这样的歌挺多了容易听觉疲劳。
夏日良人°,2,2009-10-12 15:33:32,0,你们很喜欢，我却不满意。
不擅长,5,2010-05-30 00:41:45,0,http://www.xiami.com/album/315517
M2,3,2009-06-15 19:48:42,0,希望越大失望越大
Halah,4,2009-02-13 12:51:37,0,美偶嗓
走走走走一,4,2009-01-16 15:08:06,0,静静地听完了那首《Vincent》。什么也没有想。彻底地被打动了的那种。
Inevitable,5,2009-03-12 09:31:04,0,好舒服
Luffyjun,4,2015-01-14 18:04:38,0,菇凉~勇气可嘉~~继续努力吧~~确实不要做太多流行乐，久了就都不流行了
怀山鹿,5,2012-10-09 22:57:18,0,她的声音让人无法抗拒，绝。
你好代号君!,NaN,2009-01-23 14:08:42,0,惊喜。
Pumpkinhead,3,2009-01-28 22:01:34,0,实在合不来
放开那个西红柿,4,2010-04-22 11:53:24,0,很少听女的的歌，但是这个还不错。
Белка,4,2009-02-16 06:39:39,0,喜欢的，可还是觉得一点点生一点点装...
Seamoon,4,2011-07-11 20:38:47,0,英文和中文一起唱，难免有点凌乱，玫瑰玫瑰我爱你很棒。
haidb,4,2009-07-20 17:00:58,0,夏天真的很适合听jazz
