user_name,star,comment_time,vote,short
小海,5,2012-04-04 22:58:49,110,当初《第10放映室》结束的时候放了那段小曲，我直接给听愣了，站在那里无法动弹——这世上怎么会有这么悠扬动听的小调？然后我知道了这张专辑，然后我知道了这部电影，OMG，生命中的奇遇！
Amberose,5,2010-03-26 13:36:17,45,好原声，遗憾是已经被装文艺的CCAV放滥了
Bill,5,2007-03-11 23:09:44,23,很经典，经典到大家都会哼～
Bayes_Dan,5,2010-08-20 16:18:22,14,每次听都有不同的感觉，耐听
固力果guriko,5,2011-06-10 14:19:03,4,跟着起舞吧
Ding,5,2011-02-21 14:16:46,3,LesJoursTristes(instrumental)
徐达多,5,2009-10-05 16:14:48,7,听了近一个月，初初更是疯狂，这片子看了一个月，仍有欲罢不能的势头。PS:LaValseD'amélie是第十放映室的片尾曲。
tlmgt,5,2012-07-02 23:53:12,2,最爱《SoirDeFęte》
Aragaki,5,2009-01-01 14:13:35,1,了不起的OST
丶,5,2011-10-25 16:55:36,1,ost
UrthónaD'Mors,5,2007-10-24 19:17:07,1,好听哦
微霄,NaN,2012-06-08 13:52:54,1,很可爱，收做铃声~
眼角的花朵,4,2008-03-07 10:38:51,2,手风琴的欢快，让AMWLIE带我去天使的国度
黛西,5,2005-07-25 11:32:47,4,无论何时何地，听着听着就露出美好的笑
pH7[..匪七..],5,2006-05-22 00:38:00,3,色相丰富暖暖的
文泽尔,5,2010-09-05 04:27:11,2,这张就没有不喜欢的.比较不爱的（=。=）是：LaValseD'amélieLaNoyéeAQuaiLeMoulinLaValseD'amélie(versionOrchestre)以及之后许多首.爱的是Guilty这个调调
[已注销],5,2008-12-04 20:44:16,1,喜欢手风琴。
易召,5,2014-06-06 23:03:37,1,俏皮灵动的手风琴
哈默林騎士,4,2006-02-27 18:52:20,1,充满了奇幻的缤纷色调
小魔@优雅穿梭,5,2007-03-15 17:03:56,1,最奇思妙想的音乐
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2010-11-13 22:54:43,1,AllaboutYannTiersen.
宇宙真菌•远远,5,2011-01-18 17:54:22,4,ComptineD'unAutreété:L'aprčs-midi
mee,5,2006-01-04 00:39:06,1,平淡的，忧伤的，明媚的，手风琴。
CD,5,2005-07-28 23:45:03,1,天使爱美丽
Karonen,5,2010-05-05 23:10:12,1,LaValseD'amélie是播放器里永远不会删除的歌之一。
UFO™,NaN,2010-01-23 20:33:22,1,大爱啊~~
书庭,5,2008-02-18 14:21:06,1,动人的旋律~
不擅长,5,2009-10-09 02:25:30,0,http://www.xiami.com/album/33078
Augenstern,5,2012-02-22 23:41:34,0,色彩和OST是这部电影之魂
和风莫吉托,5,2011-02-27 10:49:47,0,美得让人心痛
Yome,5,2009-03-01 12:39:20,0,YannTiersen就是個天才
薇羅尼卡,5,2006-09-14 18:44:29,0,嘿嘿，那个美丽的世界，需要自己来营造。不可多得。
小晨,5,2007-05-30 23:48:55,0,大可爱
安东妮,5,2006-11-19 18:52:42,0,beautiful
半个柿子,4,2011-05-12 15:43:59,0,Amelie是听过的所有OST里最轻松的
你今日飲咗未,5,2011-01-13 14:21:52,0,Tiersen~
Illusion,4,2008-02-25 22:49:33,0,ComptineD'unAutreEte-l'apres
新竹,4,2012-02-20 13:40:38,0,最弔詭的是。這張原版的CD盒裡面竟然裝了一張刻錄的CD。不知道借給誰刻錄的，給我調包了。個不要臉的東西！<(=╰_╯=)>
谦客骚人雷倒夫,5,2012-04-03 15:07:00,0,YannTierson!!!
東柏林地下黨,5,2008-08-11 17:38:17,0,全套原版正在收藏中
嗷拜拜,3,2010-09-24 06:36:51,0,不想听的东西电台也让我听完了。
海孩等pk14,5,2011-12-08 07:39:36,0,ComptineD'unAutreété:L'aprčs-midi
Белка,5,2007-11-30 20:34:16,0,非常爱的电影
星泛长河,4,2010-01-24 19:44:26,0,古灵精怪好好听
杜扬Seatory,5,2006-09-13 02:27:59,0,太惊喜了
逅宝,4,2009-02-05 00:32:10,0,风格化
A R I A。,5,2010-01-01 13:51:51,0,很喜欢
Hola Barbie,5,2011-01-31 01:05:01,0,我高中的下課鈴就是其中之一…
雪翎,5,2010-02-27 14:15:21,0,備考期間必選專輯，沒有會崩潰的。另外畢竟我會彈的第一首完整的鋼琴曲就出自此張專輯～～嗯嗯～～
At7antic,5,2011-11-14 11:30:22,1,现在还想要amelie床上那两幅画啊啊
克莱德思构坡,5,2011-05-26 13:42:05,0,阳光得像一个充满暖意的午后
西柚小姐,4,2007-05-02 09:58:38,0,明媚的定义
迷鹿,5,2011-03-04 21:27:00,0,仍是电影无感，ost大爱~
魚鰭,4,2007-12-31 13:35:06,0,被我弹了很多首的一套
五月微蓝,NaN,2008-09-02 16:48:37,0,还未看电影先听了原声，很愉悦的音乐。
水果君,5,2010-07-10 01:35:11,0,原本我不喜欢弦乐来的……
掩杀,NaN,2006-08-30 14:25:48,0,喜欢电影~音乐也很棒~
Vince♫,5,2008-05-06 20:06:02,0,下次表演就它了
Lethe。,5,2007-12-14 00:05:47,0,明快的色彩竟然是可以听得到！
无鬼斋,5,2010-04-19 14:43:48,0,孤独但是充满想象力的生命激情
程萬萬金,5,2012-05-30 03:56:14,0,手风琴原来可以带来如此明媚的忧伤。
索总，,4,2019-02-03 21:06:39,0,FilmOst☞2001
梅可,4,2010-02-03 19:51:22,0,亲爱的beny，看到emily，就想起你
对抗拖延,2,2010-11-30 22:46:38,0,听的曲子越多越不喜欢这个原声专辑。
≌菩提风花,5,2007-10-02 14:39:45,0,只要那一曲就够了无数的憧憬太经典了
墙角青苔,5,2011-03-12 11:16:53,0,很好很强大
给我个电话亭，我要拯救地球！,5,2008-01-03 20:27:17,0,太浪漫
捡垃圾的提莫,5,2008-02-09 20:02:49,0,刷刷的旋律，真他妈有FEEL
kingfish,5,2006-07-04 10:58:11,0,古灵精怪，好听之极.
Mr. White,5,2011-08-11 22:21:22,0,昨天看的电影，昨夜梦里就都是她了
冥王星,4,2010-02-24 11:28:58,0,就是好听。
Seahorse,5,2010-06-20 00:48:06,0,Shouldwesaythisisthegreatestsoundtrackeverproduced?Yeah，Ithinkso
Paprika,5,2010-07-03 23:28:53,0,大一的夏天
ro,5,2010-06-06 23:51:37,0,好听到爆
血源2出了吗？,4,2010-09-21 13:59:11,0,4.6
林||我们谈什么都像谈死！,5,2005-11-16 22:09:55,0,杨-提尔森
大佑,4,2009-01-14 10:13:10,0,4.0熱鬧
Joamyjin,5,2011-08-07 12:24:18,0,这样一部电影，这样一张原声。不给5星得，去屎好吗！
荆棘小鬼,4,2011-04-15 12:50:08,0,经常回放到=。=...也算是听了个遍
北北,5,2009-05-26 20:57:11,0,赞啊！完美的作品
万俟祺,5,2010-03-06 20:47:07,0,我的爱呀
maze,5,2010-10-11 16:33:15,0,闭上眼睛，你已经徘徊在法国潮湿的街道上。你的身旁是被丈夫抛弃的妇女，是把蔬菜当孩子一样的卖家，是连握手都会骨折的“玻璃人”。。。这是一场探险，独特，神奇。
卡羚,5,2006-11-06 17:21:41,0,YannTiersen的就不多说了~~全面顶……
苏格拉,5,2009-12-03 13:07:11,0,人人都爱爱美丽
J,3,2008-12-29 23:13:52,0,两周没上法语课路上听听想找些感觉没想到一句法语也没有…………（有一首和一首老歌事后证实（删歌时才发现））听的不要再听的旋律了……电影一般原声也一般
菲以,5,2009-04-18 12:49:22,0,LaValseD'Amelie听得我那叫一个神魂颠倒……目前来说，是我听过的最喜欢的一张原声吧。
琉森,5,2009-08-30 11:52:08,0,这就是我要的巴黎感觉！层层叠叠的钢琴、小提琴、手风琴、鼓声、口琴…构成YannTierson自成一格的异想世界，低吟时像打在湖面轻泛涟漪的细雨，轻盈时便化作跳动的水瓢，音符简洁短促，主旋律带出一次次变奏，旋律就这般悠然荡漾。
预习,NaN,2008-04-29 22:41:22,0,手风琴狂轰乱炸在放肆的春天。
小怡,4,2013-09-19 10:11:07,0,好听，但是睡着了
夏至线,5,2010-02-06 18:11:25,1,3拍的手风琴浪漫到极致跳跃欢快如同艾米丽的异想世界~
夜国,5,2010-01-10 11:01:06,0,J'ySuisJamaisAllé，LesJoursTristes，LaValsed'Amélie，L'autreValseD'améie，AQuai，PasSiSimple
肥利普先生,5,2008-10-07 00:01:48,0,我的天使。永远不会离开的天使。
