user_name,star,comment_time,vote,short
with,5,2008-07-24 21:30:57,67,我爱死了那个在雪山上唱歌的燕姿
锐利修蕊,5,2019-02-16 13:24:24,50,反而是年纪渐长，越能听懂孙燕姿。人与人之间的关系是矛盾又独立的，比如在《懂事》里重复堆积的叛逆，《直来直往》的劝阻。这张曲风多元的专辑，却是她展现自己唱功的集大成之作。《我不爱》简直可以视为：衡量孙燕姿唱功大于咬字辨识度的代表作品。真假音切换完美流畅，滑音和气声使用得当还有《眼神》和《爱从零开始》。我曾以为孙燕姿的歌里，唱的都是青春将散未散时的“落寞余韵”，但听了这张明白她唱的其实是“求之不得”，不如“收手算了”。但这种随便的情绪，被她演绎出了怅然若失的另一种滋味，是同名里的那句“你没对我说再见，所以我没有走远”。但这种思绪如果只是等待又教人觉得悲哀，孙燕姿的作品里是少见“悲哀”的，即使是《我不难过》和《我不爱》都是模棱两可坏情绪的反语，可“最难忘那句‘我了解你’，空白伤害”又见洒脱的不甘。
DeerColin,5,2012-10-14 16:35:50,33,"现在来听，反倒觉得这是值得5星的专辑，原谅之前我不识货。《我不爱》的真假音转换很漂亮，摇滚血统的《懂事》和Hip-Pop元素、俏皮可爱的《直来直往》都让人惊喜，《一样的夏天》里的唱腔尤其特别，她自己作曲的《眼神》倒是不过不失，""Leave""有让我无法抗拒的口琴。"
夏日扬帆,5,2015-07-06 22:05:21,28,这张还真没怎么听过。我真不是苛求现在的孙燕姿，当年她的歌真的充满了灵气，现在的她像是躺床上录的歌[我想，不同]
Bill,5,2007-08-15 12:36:34,9,一张险些被遗漏了的好碟部分作品其实在精选里面听过很欣赏《爱从零开始》的歌词《直来直往》很逗趣
tlmgt,5,2011-06-07 01:00:21,9,我不爱。“谁陪过我无声哭泣，在我最遭的夜里。你肯定我所有的努力，最难忘那句我了解你”
朴九月,5,2010-02-17 22:03:02,8,这是我认为的燕姿最好的一张专辑。
L I M O,5,2007-06-25 10:46:17,3,是我太懂事。
zard砸得王大崩,4,2006-12-14 15:54:27,3,某些日子因为这些歌而清晰了起来
不宁,5,2008-10-05 11:35:25,4,我记得那时的燕姿，眼神很坚定，唱着作战！
大島,5,2018-12-19 23:09:52,1,初三的夏天
离净语,5,2007-11-25 00:44:34,1,应该是听过的第一张主流唱片，从同学那借来的卡带。
eloise暖,3,2008-07-18 16:02:21,3,你没对我说再见所以我没有走远
斯 琰 🌈 🍭,5,2014-04-14 22:47:33,5,好久没听到这样一张专辑，初听印象分只有8分左右，但是越听越好听，而且真的挺耐听的。虽然说她的情歌也很出色也很经典，但是对我而言，我总是更爱她唱一些随性的洒脱的自由的歌，比如《直来直往》，比如《我想》，比如《Leave》。
Song³,5,2008-10-12 18:42:50,1,一起走到/直来直往/Leave/爱从零开始
Claire,4,2011-10-27 21:41:33,0,【我不爱】【一样的夏天】【爱从零开始】【眼神】
令糊葱,4,2008-11-19 16:16:37,1,依旧卡带时代。
塘坑一姐小渡边,5,2013-01-25 13:21:44,3,一样的夏天、我不爱、懂事，真的好爽
LORENZO 洛伦佐,4,2010-05-03 14:42:20,2,《我不爱》《直来直往》《懂事》
香水瓶,4,2006-04-15 16:07:58,1,我是个直来直去的女孩子，嘿嘿。
我只有两只脚,5,2014-11-17 18:06:33,1,十年前的卡带，找“爱从零开始”。
essence.c,4,2014-07-08 17:47:42,1,【我不爱】【爱从零开始】
少年夏不安,4,2012-08-18 17:26:45,0,这张很棒！
伊豆,4,2008-08-14 13:49:10,3,当时听觉得有点过了的唱腔，如今发现，其实是一种突破~很喜欢《一样的夏天》这样慵懒的唱腔，《懂事》的爆发，《leave》可算是经典，越听越爱~那一年在长沙，金鹰节演唱会，大屏幕放她从出道到现在的VCR，然后她唱《天黑黑》，说要离开一年，我作为记者兼歌迷，在体育馆里哭的稀里哗啦。
普通美,NaN,2014-02-12 23:24:19,2,直来直往！一样的夏天！（直接打xt的时候出来的居然是下体，我果然是很猥琐的一枚
Summer孙夏天,5,2011-01-25 01:52:39,0,直来直往
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-11-15 01:19:43,0,哦哦，这一张。我让你读了很多次歌词。怎么这张也听过。。
莊小壞,4,2009-03-21 21:55:19,0,3.7－－－第五張。
三四,5,2009-01-29 00:50:58,0,这张瘦弱且倔强的定位从封面就贯彻得彻底。
不擅长,4,2007-10-09 17:28:12,0,4http://www.xiami.com/album/11674
13平米宅,5,2011-02-06 08:41:28,2,突然发现自己在不断地翻以前自己喜欢过地专辑出来听，这是我喜欢的华语女歌手。
Layla,4,2008-11-02 21:53:36,1,《懂事》《眼神》
钟,4,2009-09-23 10:22:55,0,那个夏天很热，但是还会下雨。
亞麻君,5,2009-12-21 12:08:29,0,一样的夏天我们那时听同样的音乐
薇羅尼卡,4,2006-01-27 21:03:22,0,还不错，喜欢直来直往。
ANNXXNA,4,2010-10-28 14:40:38,0,小学买的第一张正版碟我的燕姿
妈妈我想吃肉,4,2008-05-30 21:49:04,0,眼神~
沉歌,5,2009-02-21 16:53:36,0,一样的夏天。
坏人瓦卡卡卡卡,4,2013-03-12 22:28:53,1,我不爱啊我不爱
失控的蘑菇,5,2011-03-07 12:16:03,0,她最好的一张
邪念,5,2012-07-16 14:35:04,1,我不爱眼神
不如的我的,3,2006-08-11 12:07:02,0,假作坚强
老夏天___,5,2009-08-22 12:35:36,0,最愛孫燕姿
不眠飞行,4,2009-02-26 13:02:16,0,懂事
[已注销],5,2011-03-19 13:45:13,0,一样的夏天+直来直往+一起走到
一絲不掛,5,2008-12-19 20:01:58,0,我最喜欢的一张孙燕姿的专辑
momo,5,2009-04-28 16:27:45,0,爱从零开始
球儿先生,5,2010-04-20 08:50:36,0,最爱的你的专辑，没有之一。封面的雪山，看一次，感伤一次。
小澈,5,2008-11-26 21:57:51,0,大爱
Vince♫,4,2008-05-21 18:15:58,0,初中的记忆/一样的夏天
程萬萬金,3,2008-01-26 11:36:11,0,懂事
丹,NaN,2006-05-31 07:35:48,0,还不错。我不爱
ヽ 丶詸゜,5,2008-08-07 16:46:02,0,02年..夏天
A-sun*,NaN,2007-10-25 06:12:16,0,孙燕姿
≌菩提风花,5,2007-04-02 14:46:11,0,YANZI经典
然,5,2009-01-06 16:37:09,0,曾经伴随我初中三年的歌曲们……
毛栗老弟弟,4,2008-08-19 12:50:52,1,那首Wewillgetthere，我唱了五年
給料泥棒,4,2010-02-12 09:18:12,0,一样的夏天
kingfish,4,2006-03-23 10:49:10,0,也不差哦.起码还有直来直往.
c小调的冰蓝,5,2011-01-19 19:43:06,0,一樣的夏天
Spidy,5,2013-01-25 19:57:36,1,这张燕姿的抒情歌在打榜方面出现疲软，但《我不爱》仍是一首大气情歌，同时也出现了像《爱从零开始》这样的鸡肋情歌以及清淡的情歌小品《眼神》；抒情之外，《直来直往》算是这张专辑最为人所知的中板作品了，此外《一样的夏天》的民谣风格也难在之后的专辑中出现
暝明,5,2008-04-26 01:37:49,0,她的声音，历久弥新。
血源2出了吗？,NaN,2009-08-30 07:32:48,0,初中啊初中
豆腐脑敢死队,4,2008-04-13 23:26:15,0,有一种勇敢，叫原谅
Nosferatu,5,2010-04-18 16:46:23,0,陪伴了我一整个的夏天
奈斯,5,2015-02-17 14:35:54,1,一样的夏天，眼神。
tavico,4,2009-06-09 11:39:33,0,《爱从零开始》有点耗子屎的味道
寒凌旭,5,2008-03-16 23:49:17,0,直来直往爱从零开始
器官坏死,NaN,2008-06-05 22:12:34,0,我的一段记忆
菲以,4,2012-04-27 06:34:16,0,诶~~之前居然都没听过这张！古灵精怪慵懒又屌屌的风格大爱~
Gavin|江湖骗子,4,2010-01-21 16:41:06,0,听Leave时也是初中一个夏天
微 曇,4,2010-05-08 21:43:28,0,等有一天我们的名字都换了新的地址
hotdogyer,5,2010-05-28 19:51:52,0,因为你是燕姿！！最爱你短发的样子！！
NickyROி,NaN,2006-05-13 22:55:33,0,该休息了
Amik的女朋友,5,2008-03-22 14:42:41,0,《懂事》，燕姿的转型之作。
巴  士,4,2010-04-25 18:04:35,0,编曲听的出来是大价钱
Y2K-nostalgia,3,2009-12-02 13:55:16,0,曲风有突破，洒脱的街头感，安全范围内的流行探索。
RIC,5,2010-04-04 09:01:09,0,还依稀记得当年抱着磁带模仿的样子，我心中的最佳。
逆光,NaN,2010-03-06 14:54:33,0,竟然那时候还在上小学呢...当时觉得不如《风筝》，现在再看曲目还是很好的
朱大侠。,5,2011-07-29 17:37:52,1,听着每个demo，想象自己的诠释。这张专辑的封面真的很棒！
sickid,5,2012-09-06 18:26:23,0,懂事。眼神。Wewillgetthere.
五月之星,5,2007-10-24 13:26:40,0,好像CD歌词前面的一句话：在黎明前一刹那离开
暖气团。,4,2010-12-20 23:49:47,1,到今天才发现我最喜欢的一张她的集竟然是leave
小聪明,NaN,2007-05-03 22:24:03,0,离开
DOODLE||今日拯救咗地球,5,2008-12-26 18:28:27,0,一样的夏天...我的故事...你的歌...
飞鱼的八音盒,5,2009-06-05 17:02:22,0,曾经曾经，却是很久以后
林小脑,4,2011-11-23 10:38:48,0,爱从零开始
ChoirCat.,5,2010-05-08 21:51:10,0,永远的那个夏天，有燕姿，有Leave。
Felix,3,2009-10-30 11:48:48,0,孙燕姿离开
洗头油|盖盖儿,3,2008-12-05 15:49:16,0,我想我还是我独自拥有你。
Chimney,NaN,2009-09-03 23:57:53,0,2002/孙燕姿
Echor,5,2008-10-01 17:37:31,0,跟着yanzi的寻找计划！
psy,4,2009-03-07 02:12:43,0,买了买了买了啊。。。
XP大魔王,5,2014-06-08 00:23:02,0,就喜欢那个时候的孙燕姿，年轻而冲动
鲨鱼曾给海唱歌,4,2006-04-28 19:53:36,0,曾经多么的喜欢
miaomimi,NaN,2014-09-25 07:38:19,0,初中的walkman里不断循环的一张专辑大爱深白色的词曲
❤  立 夏 。,5,2010-09-03 09:37:41,0,這年我遇到很多與我一樣對她傾心的人，他們和我一樣愛哼唱她的歌。那年夏天尤為漫長，我喜歡反復聽她的歌，一遍一遍，直到把每個音符都刻進記憶裏，可以脫口而出。
不归鸿,5,2008-10-30 12:28:50,0,燕姿最好的专辑了STEF最好的一张，inmyopinion
ILYZ,5,2008-09-24 01:34:32,0,我爱燕姿
missmissmiss,4,2010-03-06 14:12:41,0,怎样都喜欢
