user_name,star,comment_time,vote,short
眼角的花朵,5,2008-03-07 11:08:55,30,个人相当喜欢这一首：风中飞舞的风筝，请你别停下，飞往大海飘向高空，一个孩子在望着你呐，在那暴风雨中，你高扬着翅膀，别忘了飞回我身旁。每次一听就会触动我心灵最柔软的部分，童声的力量，更准确的是说是纯净的力量。
FREAK_SYNK,5,2011-05-07 20:09:57,14,还是被感动得一沓糊涂
Luffyjun,4,2012-10-02 05:19:13,13,说实话看电影没有那么大的触动。。。只是想起了死亡诗社。。。好教师真的不多了，真的不多【歌曲还不错，唱诗班这种宗教色彩的，不能解其意，却能懂其情
Showing V1.4.1,5,2013-02-19 18:45:20,9,超越电影的存在
UrthónaD'Mors,5,2007-08-25 17:33:12,2,棒
Amberose,5,2010-03-26 13:36:43,1,没有什么能比童声合唱更美好
高歌,5,2011-05-08 23:03:05,1,我居然靠着电台累积播放听完了一张专辑~~~~
丶,4,2011-12-01 11:03:50,1,ost
小魔@优雅穿梭,5,2007-03-15 17:03:19,0,moving!!!
大头绿豆,5,2005-11-12 10:14:13,1,天籁呗。歌词很棒。
CD,5,2005-07-28 23:45:11,0,天使在唱歌
蹦床,5,2010-06-02 22:43:53,0,真好听
神秘金针菇,5,2010-11-14 18:19:33,0,澄澈
Белка,5,2007-08-21 21:26:26,1,相当不错的音乐不是那么喜欢电影
薇羅尼卡,5,2007-03-06 10:09:56,0,太美了~~
新竹,4,2013-06-12 13:02:13,0,都不記得電影的內容了。雖然旋律好熟悉。
不眠飞行,4,2015-12-02 17:24:05,0,只有纯粹是不够的
69.DDC,5,2012-08-14 01:43:30,0,童声合唱团，听得人想哭。
バカ蓝蓝,5,2010-06-05 11:45:57,0,曾经最喜欢的
伍德与夏洛蒂,5,2011-03-17 13:14:53,0,听了不知道多少遍，拉片次数最多的片子。
小海,5,2012-05-17 21:04:49,0,哭了……
🔥🪵,NaN,2006-07-09 11:54:09,1,非常棒的和声！
小岩菽,5,2007-11-11 13:51:21,0,圣童在他们能够望见苍穹的年纪里。
Dr. Tardis,NaN,2008-06-05 00:53:11,0,这个电影我看过但我都没什么印象了我只好不给星
螺蛳粉兔,5,2013-05-13 21:10:21,0,TT
ｅｍｏｌａ,5,2013-06-18 02:07:42,1,说到Voissurtonchemin，最喜欢的其实是Beyoncé在05年Oscar上的演绎，虽然懂法语的人都对她发音无语，可是阿姨的台风太美><
迷鹿,5,2006-05-01 22:02:10,0,电影和ost都非常不错
五月微蓝,5,2007-10-12 12:26:34,0,太喜欢这个声音了~~~
爱罗武勇,5,2013-07-26 13:06:02,0,我渐渐相信音乐真的有改变人心的力量。
Azeril,5,2013-12-24 11:33:09,0,超级喜欢
≌菩提风花,5,2007-04-28 14:13:45,0,太美的声音
笪笪,5,2010-11-24 11:16:02,0,亮点，亮点啊
Bill,5,2013-06-03 14:08:39,0,没记错的话我有盘
Strelizeia,5,2009-09-07 17:44:09,0,beautifullywipemytear!
李叔（shú）,5,2011-11-20 17:35:10,0,可以热泪盈眶的天籁之音
林||我们谈什么都像谈死！,4,2006-01-20 12:59:12,0,那个令人心无杂念的高音
少年桑将,4,2007-09-15 21:53:17,0,强烈推荐风筝!!可以听很久很久的OST
奕yi,5,2007-02-05 17:14:05,1,天使的声音
卡羚,5,2006-11-07 17:57:00,0,泪奔推荐~！！！！
薄荷茶不凉,5,2010-03-21 13:52:57,2,孩童时代的面孔，连同内心深处的情感对我们是如此珍贵。在日后的人生道路中，幼年时期的记忆永远无法磨灭。飞逝的欢笑和无法抑制的泪水都已成为过去，却永远不能忘怀。
大兒童,NaN,2008-11-18 22:11:59,0,怎么说呢
安然槿 - 露,4,2011-06-14 15:24:20,0,歌词已经忘好多了（惭愧（这辈子不能指望法语了
夏至线,5,2009-02-19 22:31:06,0,天籁~~nodoubt~jeanbaptistemaunier啊~你的声音尊是华丽丽的咩~~
Maria,5,2013-06-01 18:39:36,0,高二时候在教室开班会的时候第一次看到这部电影。因为电影太长占用了课间吃饭的时间，下课比较晚。走出教室看见胡晓旭在等我。我和她一起吃了饭吧。
yu,5,2013-09-21 12:52:06,0,perfect！！
