user_name,star,comment_time,vote,short
豆友36396401,4,2011-06-03 11:11:17,176,在这十几年的少女流行摇滚领域真的没什么能和艾薇儿比的，无论创作才能唱功甚至是长相。17岁的出道作，光朗朗上口听一遍就记住的Complicated和爆发力十足且强弱控制得游刃有余的LosingGrip就足够惊艳了，专辑曲目的8到11四首歌更是惬意得好像走在洒满阳光的纳帕尼小镇。
tlmgt,5,2014-10-10 06:06:08,100,若干年后会和TaylorSwift一起成为这一代的GreatSongwriter吗（其实论作品的话霉霉的起点《TimMcGraw》不比她低。http://www.xiami.com/song/2073770
KeneL裤头,5,2006-08-13 16:28:32,75,初一的耳朵完全被她霸占了.我发现过了这么久我还是听到前奏就能跟着唱，完全是条件反射.
MeetMeinaMaze,5,2010-07-08 00:53:59,32,启蒙教材
BKKKKKKK君,5,2011-11-09 14:24:37,10,现在的黑也是曾经的粉啊。。。遥远的初中时代周遭全是一片港台就我听AV作冷冽装酷逼的年少轻狂时代一去不复返
Bill,4,2007-05-18 18:30:35,8,很流行的摇滚～
阿朽,5,2009-02-13 16:54:12,4,高一
丶,5,2011-12-21 22:29:28,8,这是一张我非常喜欢的专辑。也是我最喜欢的艾薇儿的专辑。尤其是tomorrow，百听不厌。不想多说，我就是被她迷住了，从这一张专辑开始。
UrthónaD'Mors,5,2007-08-25 14:34:23,1,喜欢
Song³,4,2009-09-16 18:44:47,2,当年可着迷了
离净语,4,2011-05-19 05:27:37,0,明天
L I M O,5,2007-01-14 03:06:23,0,超復雜愛上妳。
果酱☮,5,2007-01-03 19:53:29,0,还是最喜欢这第一张
zard砸得王大崩,5,2006-12-20 16:35:40,6,太喜欢那个青春期的你
Mignon松弛地,5,2006-11-19 14:40:27,1,作为处女大碟在那时绝对惊艳，我也迷了这小妮子挺长一段时间
Claire,4,2009-06-02 21:51:22,2,【LosingGrip】【Complicated】【I'mWithYou】【AnythingButOrdinary】【MyWorld】
毛利,4,2006-11-25 03:19:05,0,高中时候听感觉很棒，大学还迷了一会
DeerColin,5,2013-05-15 12:43:49,1,音乐需要态度和个性！！！
小海,4,2012-09-12 19:39:09,3,很久以前我是多么的迷恋……十年之后再听，不过尔尔。最好的声音都在回忆里。
英恩,3,2009-12-17 21:41:47,0,挺帅气，想起了初中高中的自己
○Ⅴ○,4,2010-06-26 18:17:54,3,这张的分寸很好。没太吵当然也没让人想睡觉。如果你要听艾薇儿，请先听这张。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-08-08 16:08:44,2,不管现在怎么说，还是听过很多遍。
Luffyjun,4,2012-08-20 00:17:25,2,又该听轻音乐了。。。。哈哈哈哈
banana*🌈,4,2006-03-24 00:33:22,0,punkgirl
Summer孙夏天,4,2011-01-24 19:25:39,0,Tomorrow
莊小壞,3,2009-03-21 01:02:06,0,3.5－－－第一張。有那么几首。比较有感情。
客心未央,NaN,2008-10-19 16:30:34,0,小身躯中的大能量
椒图,5,2010-05-31 01:04:48,0,青春回忆啊魂淡。
杨生活,5,2008-06-28 21:43:04,0,那时候很爱的
阿右,NaN,2006-08-24 14:09:08,0,喜欢loosinggrip
三四,5,2008-03-02 12:26:13,0,桀骜不驯。
品客,4,2007-05-19 18:07:17,0,她最让我喜欢的一张专辑.
研磨_Lynette,5,2008-12-16 17:23:48,0,这真是一张值得怀念的专辑。听她的那些年里有很多值得怀念的事情。
