user_name,star,comment_time,vote,short
Luu,5,2006-07-11 23:30:31,185,当你把切格瓦拉贴在门上，能否猜到十年后的自己是现在的样子当你穿海魂衫ACCP的国旗服你梦想一种什么样的生活当你留着长发背着bass招摇过校，还记得你跟我说的吗kurtcobain在这次live后不久开枪结束了生命我知道时间是怎样的野兽可我不知道会这样遇见它
長閑,5,2013-11-06 15:11:27,68,cobain温暖大毛衣
小M,5,2009-10-14 21:15:43,56,你都这么牛逼了我哪敢不听啊
哈默林騎士,4,2006-06-24 09:58:34,34,wheredidusleeplastnightmygirl
Bill,4,2007-12-20 23:55:01,5,不是很了解西方摇滚乐算是入门级别的涉猎吧没什么感觉
美美,5,2010-02-11 15:31:59,13,我真想给无数个星
文泽尔,3,2010-10-25 03:22:46,2,我到底是有多讨厌涅槃啊...整张没有一首喜欢，一首都不喜欢.这就不该去听的==最喜欢的不插电，还是EricClapton吧.
韧勉,5,2008-09-20 17:16:54,4,让幼小的俺知道了什么是涅槃，但是我还是喜欢他们翻唱的那两首歌
tlmgt,5,2012-03-28 13:22:44,8,TheManWhoSoldTheWorld、Plateau、LakeOfFire、WhereDidYouSleepLastNight?
米粒,5,2009-11-15 19:54:19,5,考托前就靠你们了。。。
Odding,5,2006-03-26 00:07:12,2,它改变了我的生命。
Jr.Pimp,5,2010-07-26 17:47:00,1,著名的不插电开场曲AboutAGirl
女巫,5,2007-12-02 04:38:57,1,我心中最好的不插电的现场
大头绿豆,5,2005-11-24 23:27:44,4,不插电，永远那么经典。WhereDidYouSleepLastNight？心都碎了。
Song³,5,2008-12-19 13:52:51,1,经典拉阔！JesusDoesn’tWantMeForASunbeam
静@Einfühlung,5,2006-10-17 17:56:08,2,GIRL，WhereDidYouSleepLastNight
virgin,5,2008-11-14 11:40:49,0,我有！。。
十六。,5,2012-04-28 19:44:05,1,最好的一次不插电收音。
夏日扬帆,4,2010-07-29 18:57:16,2,柯本的声音在高音几近呐喊的几首歌里实在是太美妙[wheredidyousleeplastnight，lakeoffire]
Enjoy🌈Rachel,5,2011-01-04 10:03:13,0,经典到爆~~~~
Luffyjun,5,2012-06-11 22:13:54,4,初听涅槃还是在大学，那时候也不觉得好听，只是觉得他们的名字好酷，美丽的人生如同涅槃，在悲伤苦痛中开出幸福的花朵来。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2010-11-13 22:53:12,0,Stilllikeadream
Topfun,5,2012-11-30 11:51:07,0,涅槃
狮子人,5,2007-10-05 22:20:29,0,柯本的声音...
欢乐分裂,5,2006-05-26 19:49:25,2,到最后，一切都会失去。
莊小壞,5,2009-04-17 19:55:17,0,5－－－一个字：完美。
椒图,5,2011-04-05 20:09:34,1,你是多么坚强的人，又是多么脆弱的人；你是多么勇敢的人，又是多么怯懦的人，亲爱的柯本。
mee,5,2013-03-02 15:13:18,1,真TMD棒。。。我年轻的时候为啥就没喜欢涅槃呢==
阿右,5,2010-11-11 16:34:05,0,震撼的想抽筋
孤独心俱乐部,4,2010-10-24 11:10:06,0,名曲和科本的嗓，不插电的编曲很小品，很有风格~
劳戈,5,2007-08-03 14:22:41,0,很久很久以前　！！！
品客,4,2008-10-23 12:18:18,0,3.5
安东妮,5,2009-04-29 11:26:33,1,好听得水花四溅
不擅长,5,2012-11-12 17:19:16,0,http://www.xiami.com/album/55659
殘 藍。,5,2006-06-19 00:54:55,0,wheredidusleeplastnight?mygirl...
leon mai,5,2008-07-22 23:18:57,0,孤独，孤独.
Augenstern,5,2011-12-12 11:31:54,2,完了成功被某人調教得越發重口了
和风莫吉托,5,2011-03-10 00:00:06,0,悸动
大蒜味儿口香糖,5,2008-09-27 15:02:42,1,经典的不需要解释
五摆五折,3,2016-08-16 20:05:14,0,http://www.xiami.com/album/55659；7.5分
爆青,5,2009-11-04 16:13:07,4,当年每一盘磁带封皮都用透明塑料胶封好，以为20年都不会磨损，可这世界变得太快了。。。
謝爾·愛睡覺,5,2007-06-28 13:27:14,1,JesusDoesn'tWantMeForASunbeam...WhereDidYouSleepLastNight?...其实Kurt翻唱都不错
半个柿子,5,2011-03-16 10:21:29,0,themanwhosoldtheworld
热带小城爱人,5,2009-09-27 08:43:54,1,感人至深，那是你生命的绝唱和死亡的预兆
Tatiana,NaN,2009-08-17 15:15:11,0,WhereDidYouSleepLastNight?
Illusion,3,2007-11-24 12:39:27,0,notmycupoftea，eventually
新竹,5,2012-02-20 13:47:35,0,愛死愛死愛死愛死愛死愛死。。。
土树,5,2008-10-05 15:34:11,0,绝唱
木木龙,5,2007-12-20 12:02:12,0,赞~
江央又被晒黑了,5,2010-05-08 00:42:26,0,这才是真正的不插电
Memento Mori,5,2010-02-02 00:40:26,0,我看了大概有100遍了吧。mygirl，mygril，don'tlietome。
Fantasy,5,2009-11-20 23:36:06,0,神作
逅宝,4,2009-02-05 00:19:33,0,WhereDidYouSleepLastNight疯了
仙人掌C,5,2008-05-16 23:59:31,0,kurt
阿Gin波尔迪,5,2010-09-17 18:42:53,0,赞啊。
|,5,2007-10-06 11:08:22,1,你那么安静
Stella,5,2007-08-31 12:42:46,0,大学时看过Nirvana的一篇评论后开始喜欢，于是买了这张CD，直到几年后工作了买了CD机才得一听。听后确实喜欢上了...
不眠飞行,4,2009-03-24 17:24:13,0,没什么音乐性可言
驎樨,5,2011-04-05 10:32:18,0,大爱
poiuny,5,2011-06-06 22:25:56,0,经典！
大D,NaN,2007-02-12 18:45:45,0,好听
菜泡饭,5,2008-09-25 22:42:49,0,原来kurtcobain是左手弹吉他的，原来他这么帅。
Gwen Cooper,5,2011-08-07 00:28:20,0,像柯本身上的毛衣一样温暖
宇宙宝贝,5,2009-01-10 11:06:18,0,最棒的不插電。最不朽的你們。
克莱德思构坡,5,2011-05-06 22:33:08,0,催泪啊~
迷鹿,5,2006-04-28 19:56:32,0,听他的绝望
滚石,5,2010-11-17 12:42:35,1,KurtCobain宁静时分的心声，如苍白的殉难天使。
五月微蓝,5,2007-08-14 18:05:36,0,撕心裂肺的WhereDidYouSleepLastNight?
掩杀,NaN,2006-04-15 03:28:15,0,喜欢《WhereDidYouSleepLastNight》喜欢最后一首
S*,5,2011-05-27 08:43:48,0,至今这都是我最爱的live前三名
索总，,5,2019-02-03 18:53:40,0,Nirvana☞1994
一又,5,2008-04-18 11:10:24,0,Wheredidyousleeplastnight?
momo,4,2007-12-25 23:11:57,0,那些翻唱都好棒
⬇,5,2008-03-24 11:54:36,0,我最喜欢的一张专辑
TristanShen,5,2012-07-15 22:09:38,0,4.9
豆友1094556,5,2006-07-12 14:36:28,0,这个世界值得我们去爱吗
珍妮的肖像🦄,NaN,2009-01-11 13:15:14,0,WhereDidYouSleepLastNight
做人呆呆,5,2010-11-11 01:24:39,2,抽掉了原版的硬核外套，用一把最真挚的声音呐喊出忧伤绝望的人生观，消极到让人不敢多听。吉他和鼓的完美配合更是锦上添花。
≌菩提风花,5,2008-08-03 19:23:30,0,ILOVEIT
XA™,5,2009-02-02 18:41:07,0,Live之王~
Yii,5,2006-07-18 10:53:26,0,经典Live
Ten,5,2007-03-16 16:35:58,0,美式的极至
大蹦,5,2008-02-26 14:15:45,0,多说无益，傻逼才评论。
豆腐脑敢死队,4,2007-10-17 21:40:09,0,有这个的DVD
Nosferatu,NaN,2009-11-28 17:04:05,0,涅磐最干净的一张唱片，值得听一辈子！
齐烟九点,5,2011-12-26 22:07:50,0,涅槃永生。
电池,5,2007-06-17 14:28:58,0,涅磐的另一面
卡羚,5,2007-05-09 20:56:44,0,比吉他的保存时间更长==+
煮蓝,5,2010-08-26 18:33:59,0,摇滚史上出现下一张能够与之比肩的专辑估计还要许多年，在那之前我们只有一个办法了，把这张神作听上一千遍。
Meteora,5,2009-03-03 12:26:05,0,Unplugged
JoKe8,5,2007-09-06 00:28:52,0,nirvana的绝唱
苦杏仁的气味,5,2008-09-25 10:25:17,0,这张专辑让我认识了Nirvana。
遲,5,2007-07-25 17:37:32,0,有《WhereDidYouSleepLastNight》这首歌，这张专辑足矣。
蕉,5,2009-10-18 15:22:06,1,喜欢在空旷的晚上听。你撕心裂肺的唱。
littlemissrock,3,2013-06-19 20:04:42,1,Justanotherlivealbum
方東美,5,2014-04-17 18:32:12,0,自从VERYCD上下载成功后听了好几遍。
神气女侠,5,2008-06-14 21:43:56,0,经典live
mikaholic,5,2008-04-12 23:09:45,0,神經質男人卻讓人出奇沉迷
yu,4,2012-01-01 23:21:23,0,我有这个CD
Sign,5,2010-06-15 00:19:54,0,突然发现自己居然没收藏这张【4.4】
